_Glon,_Glat,_RAJ2000,_DEJ2000,_RAB1950,_DEB1950,_Elon2000,_Elat2000,recno,Name,Band,RAJ2000,DEJ2000,PA,h,e_h,z0,e_z0,S0,e_S0,gradz0,mag,B/T,Type,RV,AName,NED,preferred_name,catalog_name_normalized,z0_over_h,h_over_z0,thickness_flag
101.37755548,-53.64608271,000.18259000,+07.09014694,359.54195561,+06.81180777,002.99957773,+06.42990637,3,EON_0.183_7.090,r,0.18259,7.090147,157.78,7.61,2.56,1.31,0.18,23.51,1.04,-0.23,16.88,0.09,SB,,2MASXJ00004392+0705232,NED,2MASXJ00004392+0705232,,0.1721419185282523,5.809160305343512,intermediate
111.01703124,-27.93941698,000.18678806,+33.75680889,359.54649955,+33.47851113,015.04798689,+30.57982037,6,EON_0.187_33.757,r,0.186788,33.756809,156.87,3.59,0.53,0.88,0.1,22.06,0.19,0.061,17.36,0.11,SB,,PGC2038248,NED,PGC2038248,PGC2038248,0.24512534818941506,4.079545454545454,thick_like
104.75550714,-47.00070228,000.18999611,+14.07466306,359.54943687,+13.79633510,005.86772834,+12.81709465,9,EON_0.190_14.075,r,0.189996,14.074663,6.05,3.7,0.09,0.82,0.1,21.3,0.21,0.106,17.39,0.07,SC,12512.0,SDSSJ000045.59+140428.7,NED,SDSSJ000045.59+140428.7,,0.2216216216216216,4.51219512195122,thick_like
104.85331268,-46.80893222,000.19955611,+14.27753000,359.55898756,+13.99920227,005.96134330,+12.99851810,12,EON_0.200_14.278,r,0.199556,14.27753,79.01,4.13,0.07,1.79,0.14,20.2,0.15,0.036,15.3,0.22,SB,10873.0,PGC1454005,NED,PGC1454005,PGC1454005,0.43341404358353514,2.3072625698324023,thick_like
091.71250685,-65.12973532,000.21228000,-05.37084194,359.57151330,-05.64920159,358.05282146,-05.01089233,15,EON_0.212_-5.371,r,0.21228,-5.370842,45.8,4.11,0.16,1.0,0.09,22.1,0.19,-0.082,17.13,0.08,SC,11241.0,PGC1045602,NED,PGC1045602,PGC1045602,0.24330900243309,4.11,thick_like
104.93810891,-46.68431560,000.22046889,+14.41352611,359.57987601,+14.13519841,006.03733387,+13.11438692,18,EON_0.220_14.414,r,0.220469,14.413526,72.06,6.77,0.75,1.1,0.14,22.71,0.31,0.028,16.65,0.17,SB,27590.0,PGC1457443,NED,PGC1457443,PGC1457443,0.16248153618906944,6.154545454545453,intermediate
107.17764495,-40.98327507,000.23309389,+20.33832694,359.59253293,+20.06000855,008.59679704,+18.50367073,21,EON_0.233_20.338,r,0.233094,20.338327,110.21,18.51,0.55,2.81,0.24,22.77,0.19,-0.108,14.52,0.06,SB,6803.0,UGC12900,NED,UGC12900,UGC12900,0.15180983252296054,6.587188612099644,intermediate
087.15429048,-68.76268601,000.46371889,-09.40843389,359.82312021,-09.68679958,356.65268828,-08.80997695,24,EON_0.464_-9.408,r,0.463719,-9.408434,121.83,4.18,0.05,1.29,0.1,21.33,0.25,-0.093,16.99,0.07,SC,22772.0,PGC991444,NED,PGC991444,PGC991444,0.3086124401913876,3.2403100775193794,thick_like
105.96189502,-45.09541959,000.47376306,+16.13763194,359.83283356,+15.85930759,006.99444070,+14.58705185,27,EON_0.474_16.138,r,0.473763,16.137632,31.03,5.55,0.06,1.45,0.09,21.63,0.14,0.031,16.4,0.06,SC,12783.0,PGC1501610,NED,PGC1501610,PGC1501610,0.26126126126126126,3.8275862068965516,thick_like
111.73255067,-26.55881763,000.57798389,+35.24231694,359.93638686,+34.96402342,016.18859666,+31.74520245,30,EON_0.578_35.242,r,0.577984,35.242317,137.68,7.51,0.22,1.33,0.08,22.58,0.14,-0.093,16.86,0.05,SD,,PGC091845,NED,PGC91845,PGC91845,0.17709720372836218,5.646616541353383,intermediate
085.91561330,-69.69248729,000.59330500,-10.42879000,359.95283676,-10.70715501,356.35430798,-09.79522736,33,EON_0.593_-10.429,r,0.593305,-10.42879,173.77,6.19,0.23,0.65,0.13,22.0,0.2,-0.105,17.89,0.05,SD,,,NED,NED,,0.1050080775444265,9.523076923076923,intermediate
110.90676115,-29.94537090,000.59858500,+31.77860611,359.95703546,+31.50030809,014.36071825,+28.66245765,36,EON_0.599_31.779,r,0.598585,31.778606,68.51,3.79,0.08,1.58,0.2,20.91,0.18,-0.036,15.98,0.27,SA,,PGC1964011,NED,PGC1964011,PGC1964011,0.41688654353562005,2.3987341772151898,thick_like
111.31878692,-28.63934574,000.68002889,+33.13141611,000.03817820,+32.85312225,015.13770012,+29.83517786,39,EON_0.680_33.131,r,0.680029,33.131416,37.99,4.52,0.04,1.76,0.13,20.44,0.12,0.065,15.27,0.19,SB,,PGC2024213,NED,PGC2024213,PGC2024213,0.3893805309734514,2.568181818181818,thick_like
110.91363891,-30.27161084,000.68880389,+31.46148500,000.04699853,+31.18318899,014.27534029,+28.34490676,42,EON_0.689_31.461,r,0.688804,31.461485,93.0,4.23,0.43,1.18,0.17,22.7,0.24,0.195,17.7,0.07,SB,,,NED,NED,,0.27895981087470445,3.584745762711865,thick_like
110.11645417,-33.82064769,000.82973806,+27.85081500,000.18772311,+27.57251889,012.59772535,+25.05752315,45,EON_0.830_27.851,r,0.829738,27.850815,248.27,6.07,0.33,1.47,0.1,21.96,0.26,0.026,16.48,0.14,SC,,PGC1819666,NED,PGC1819666,PGC1819666,0.24217462932454695,4.129251700680272,thick_like
109.09931890,-37.44583229,000.85455389,+24.13271111,000.21268390,+23.85441044,010.86365195,+21.69711174,48,EON_0.855_24.133,r,0.854554,24.132711,66.71,4.53,0.1,1.39,0.13,22.39,0.13,-0.023,17.09,0.07,SC,,,NED,NED,,0.3068432671081677,3.2589928057553963,thick_like
110.83437807,-31.55660654,000.93549694,+30.19224694,000.29305336,+29.91395937,013.84476520,+27.11584457,51,EON_0.935_30.192,r,0.935497,30.192247,28.69,4.47,0.47,1.07,0.1,21.97,0.3,-0.002,17.12,0.11,SB,,PGC1893913,NED,PGC1893913,PGC1893913,0.2393736017897092,4.177570093457944,thick_like
092.66663769,-66.25660365,001.08124000,-06.19338889,000.44093564,-06.47172583,358.51879672,-06.11039688,54,EON_1.081_-6.193,r,1.08124,-6.193389,120.1,6.0,0.05,1.58,0.22,21.84,0.17,-0.025,16.05,0.09,SB,25257.0,PGC090450,NED,PGC90450,PGC90450,0.26333333333333336,3.7974683544303796,thick_like
