r_kpc,v_obs_kms,v_vis_kms,v_err_kms,galaxy,v_gas_kmps,v_disk_kmps,v_bul_kmps,a_obs_kmps2_per_kpc,matched_sparc_name,matched_sparc_name_norm,included_source_catalog,secondary_source_catalog,duplicate_flag,duplicate_status,source_object_name_primary,source_object_name_secondary,structure_2014_Name,structure_2014_preferred_name,structure_2014_catalog_name_normalized,structure_2014_RAJ2000,structure_2014_DEJ2000,structure_2014_Band,structure_2014_h,structure_2014_e_h,structure_2014_z0,structure_2014_e_z0,structure_2014_z0_over_h,structure_2014_h_over_z0,structure_2014_S0,structure_2014_e_S0,structure_2014_gradz0,structure_2014_mag,structure_2014_B/T,structure_2014_Type,structure_2014_RV,structure_2014_AName,structure_2014_NED,structure_2014_thickness_flag,structure_2014_biz_name,structure_2014_biz_name_norm,structure_2014_biz_catalog_token,structure_2014_RA_match_deg,structure_2014_DE_match_deg,structure_2014_biz_aname_norm,structure_2014_biz_aname_token,structure_2014_biz_ned_norm,structure_2014_biz_ned_token,structure_2014_matched,structure_2014_match_reason,structure_2014_matched_sparc_name,structure_2014_matched_sparc_index,structure_2014_matched_sep_deg,structure_2014___source_catalog__,h_kpc,segment_index,Dw_i,sigma_i,beta_i,source_core_i,info_source_i,I_struct_i,gamma_topo,alpha_geom_i,alpha_mass_i,weight_geom_i,weight_mass_i,mass_bar_segment_msun,mass_norm_i,alpha_relax_i,neighbor_gradient_i,ell_info_kpc,c_info_gal,tau_struct_gal,mean_dw_pert,mean_sigma,mean_beta,r_scale,dw_internal,dw_external,observer_gap,observer_factor,factor_dw,factor_sigma,factor_rscale,factor_beta,gamma_raw,g_topo_km2s2_per_kpc,v_struct_kms,v_topo_total_kms,rotation_residual_topo_kms,rotation_residual_vis_only_kms
0.31,3.1,4.17163037672323,4.5,UGC05750,1.0,4.05,0.0,31.000000000000004,UGC05750,UGC5750,Bizyaev_2014,,False,unique_to_2014,PGC91032,,EON_158.937_20.706,PGC91032,PGC91032,158.936539,20.705694,r,7.64,0.06,2.64,0.26,0.3455497382198953,2.8939393939393936,21.68,0.12,0.105,15.26,0.1,SC,16460.0,PGC091032,NED,thick_like,PGC91032,PGC91032,PGC91032,158.936539,20.705694,PGC091032,PGC91032,NED,,True,coord_review,UGC05750,123.0,0.2845034918360085,Bizyaev_2014,0.35,1,2.0581791241504703,0.2134813075166444,0.8980393573969179,0.055510729643991924,0.049850819978124544,2.0224450934177622,1000000.0,2.0705897287057433,2.0312823161893467,0.13725490196078433,0.0633315415706617,195541322.45660406,0.26002618350866125,0.20626418593009,0.05647653638006466,10.905000000000001,1.0,2.0,0.16491977790879253,0.2134813075166444,0.9471417937308513,4.300134098843159,2.2644433100805603,2.1649197779087928,0.09952353217176757,1.2630106942211148,5.497325930326418,21.34813075176444,1.7200536395376638,1.0,2549531.364186582,21045214.291547995,2554.2154236438005,2554.2188302649165,-2551.1188302649166,-1.0716303767232298
1.47,15.7,17.317187993435887,8.5,UGC05750,4.69,16.67,0.0,167.68027210884352,UGC05750,UGC5750,Bizyaev_2014,,False,unique_to_2014,PGC91032,,EON_158.937_20.706,PGC91032,PGC91032,158.936539,20.705694,r,7.64,0.06,2.64,0.26,0.3455497382198953,2.8939393939393936,21.68,0.12,0.105,15.26,0.1,SC,16460.0,PGC091032,NED,thick_like,PGC91032,PGC91032,PGC91032,158.936539,20.705694,PGC091032,PGC91032,NED,,True,coord_review,UGC05750,123.0,0.2845034918360085,Bizyaev_2014,0.35,1,2.0581791241504703,0.2134813075166444,0.8980393573969179,0.055510729643991924,0.049850819978124544,2.0224450934177622,1000000.0,2.0705897287057433,2.0312823161893467,0.13725490196078433,0.0633315415706617,195541322.45660406,0.26002618350866125,0.20626418593009,0.05647653638006466,10.905000000000001,1.0,2.0,0.16491977790879253,0.2134813075166444,0.9471417937308513,4.300134098843159,2.2644433100805603,2.1649197779087928,0.09952353217176757,1.2630106942211148,5.497325930326418,21.34813075176444,1.7200536395376638,1.0,2549531.364186582,935927.2032105894,1172.9505482839274,1173.0783749262305,-1157.3783749262304,-1.6171879934358877
2.52,28.0,22.73033655712119,10.0,UGC05750,7.69,21.39,0.0,311.1111111111111,UGC05750,UGC5750,Bizyaev_2014,,False,unique_to_2014,PGC91032,,EON_158.937_20.706,PGC91032,PGC91032,158.936539,20.705694,r,7.64,0.06,2.64,0.26,0.3455497382198953,2.8939393939393936,21.68,0.12,0.105,15.26,0.1,SC,16460.0,PGC091032,NED,thick_like,PGC91032,PGC91032,PGC91032,158.936539,20.705694,PGC091032,PGC91032,NED,,True,coord_review,UGC05750,123.0,0.2845034918360085,Bizyaev_2014,0.35,1,2.0581791241504703,0.2134813075166444,0.8980393573969179,0.055510729643991924,0.049850819978124544,2.0224450934177622,1000000.0,2.0705897287057433,2.0312823161893467,0.13725490196078433,0.0633315415706617,195541322.45660406,0.26002618350866125,0.20626418593009,0.05647653638006466,10.905000000000001,1.0,2.0,0.16491977790879253,0.2134813075166444,0.9471417937308513,4.300134098843159,2.2644433100805603,2.1649197779087928,0.09952353217176757,1.2630106942211148,5.497325930326418,21.34813075176444,1.7200536395376638,1.0,2549531.364186582,318475.2288702699,895.855778991842,896.1440983196173,-868.1440983196173,5.269663442878809
3.35,36.0,26.325022317179524,11.0,UGC05750,9.58,24.52,0.0,386.86567164179104,UGC05750,UGC5750,Bizyaev_2014,,False,unique_to_2014,PGC91032,,EON_158.937_20.706,PGC91032,PGC91032,158.936539,20.705694,r,7.64,0.06,2.64,0.26,0.3455497382198953,2.8939393939393936,21.68,0.12,0.105,15.26,0.1,SC,16460.0,PGC091032,NED,thick_like,PGC91032,PGC91032,PGC91032,158.936539,20.705694,PGC091032,PGC91032,NED,,True,coord_review,UGC05750,123.0,0.2845034918360085,Bizyaev_2014,0.35,1,2.0581791241504703,0.2134813075166444,0.8980393573969179,0.055510729643991924,0.049850819978124544,2.0224450934177622,1000000.0,2.0705897287057433,2.0312823161893467,0.13725490196078433,0.0633315415706617,195541322.45660406,0.26002618350866125,0.20626418593009,0.05647653638006466,10.905000000000001,1.0,2.0,0.16491977790879253,0.2134813075166444,0.9471417937308513,4.300134098843159,2.2644433100805603,2.1649197779087928,0.09952353217176757,1.2630106942211148,5.497325930326418,21.34813075176444,1.7200536395376638,1.0,2549531.364186582,180213.41888329358,776.9909608605711,777.4367884651675,-741.4367884651675,9.674977682820476
4.82,49.8,29.831568849123578,4.5,UGC05750,13.0,26.85,0.0,514.5311203319501,UGC05750,UGC5750,Bizyaev_2014,,False,unique_to_2014,PGC91032,,EON_158.937_20.706,PGC91032,PGC91032,158.936539,20.705694,r,7.64,0.06,2.64,0.26,0.3455497382198953,2.8939393939393936,21.68,0.12,0.105,15.26,0.1,SC,16460.0,PGC091032,NED,thick_like,PGC91032,PGC91032,PGC91032,158.936539,20.705694,PGC091032,PGC91032,NED,,True,coord_review,UGC05750,123.0,0.2845034918360085,Bizyaev_2014,0.35,2,2.2716604316671147,0.2134813075166444,0.9962442300647846,0.29676100857832355,0.2956464425043609,5.395338517323944,1000000.0,2.006539239910324,2.2815872568346105,0.024673951357067327,0.6589808200263627,5588539864.334183,1.3901030119706668,0.007217121586554409,0.011840338741910393,10.905000000000001,1.0,2.0,0.16491977790879253,0.2134813075166444,0.9471417937308513,4.300134098843159,2.2644433100805603,2.1649197779087928,0.09952353217176757,1.2630106942211148,5.497325930326418,21.34813075176444,1.7200536395376638,1.0,2549531.364186582,232233.3688006381,1058.0003958501509,1058.4208804247373,-1008.6208804247374,19.96843115087642
6.6,61.5,38.68858875689316,4.5,UGC05750,16.38,35.05,0.0,573.0681818181819,UGC05750,UGC5750,Bizyaev_2014,,False,unique_to_2014,PGC91032,,EON_158.937_20.706,PGC91032,PGC91032,158.936539,20.705694,r,7.64,0.06,2.64,0.26,0.3455497382198953,2.8939393939393936,21.68,0.12,0.105,15.26,0.1,SC,16460.0,PGC091032,NED,thick_like,PGC91032,PGC91032,PGC91032,158.936539,20.705694,PGC091032,PGC91032,NED,,True,coord_review,UGC05750,123.0,0.2845034918360085,Bizyaev_2014,0.35,2,2.2716604316671147,0.2134813075166444,0.9962442300647846,0.29676100857832355,0.2956464425043609,5.395338517323944,1000000.0,2.006539239910324,2.2815872568346105,0.024673951357067327,0.6589808200263627,5588539864.334183,1.3901030119706668,0.007217121586554409,0.011840338741910393,10.905000000000001,1.0,2.0,0.16491977790879253,0.2134813075166444,0.9471417937308513,4.300134098843159,2.2644433100805603,2.1649197779087928,0.09952353217176757,1.2630106942211148,5.497325930326418,21.34813075176444,1.7200536395376638,1.0,2549531.364186582,123859.92923149552,904.1435355782125,904.9709055145754,-843.4709055145754,22.81141124310684
7.86,68.1,42.880412777863974,12.2,UGC05750,18.53,38.67,0.0,590.0267175572518,UGC05750,UGC5750,Bizyaev_2014,,False,unique_to_2014,PGC91032,,EON_158.937_20.706,PGC91032,PGC91032,158.936539,20.705694,r,7.64,0.06,2.64,0.26,0.3455497382198953,2.8939393939393936,21.68,0.12,0.105,15.26,0.1,SC,16460.0,PGC091032,NED,thick_like,PGC91032,PGC91032,PGC91032,158.936539,20.705694,PGC091032,PGC91032,NED,,True,coord_review,UGC05750,123.0,0.2845034918360085,Bizyaev_2014,0.35,2,2.2716604316671147,0.2134813075166444,0.9962442300647846,0.29676100857832355,0.2956464425043609,5.395338517323944,1000000.0,2.006539239910324,2.2815872568346105,0.024673951357067327,0.6589808200263627,5588539864.334183,1.3901030119706668,0.007217121586554409,0.011840338741910393,10.905000000000001,1.0,2.0,0.16491977790879253,0.2134813075166444,0.9471417937308513,4.300134098843159,2.2644433100805603,2.1649197779087928,0.09952353217176757,1.2630106942211148,5.497325930326418,21.34813075176444,1.7200536395376638,1.0,2549531.364186582,87332.04030657279,828.5106135769548,829.6195312368569,-761.5195312368569,25.21958722213602
9.43,73.4,47.473245096580456,12.2,UGC05750,20.89,42.63,0.0,571.32131495228,UGC05750,UGC5750,Bizyaev_2014,,False,unique_to_2014,PGC91032,,EON_158.937_20.706,PGC91032,PGC91032,158.936539,20.705694,r,7.64,0.06,2.64,0.26,0.3455497382198953,2.8939393939393936,21.68,0.12,0.105,15.26,0.1,SC,16460.0,PGC091032,NED,thick_like,PGC91032,PGC91032,PGC91032,158.936539,20.705694,PGC091032,PGC91032,NED,,True,coord_review,UGC05750,123.0,0.2845034918360085,Bizyaev_2014,0.35,2,2.2716604316671147,0.2134813075166444,0.9962442300647846,0.29676100857832355,0.2956464425043609,5.395338517323944,1000000.0,2.006539239910324,2.2815872568346105,0.024673951357067327,0.6589808200263627,5588539864.334183,1.3901030119706668,0.007217121586554409,0.011840338741910393,10.905000000000001,1.0,2.0,0.16491977790879253,0.2134813075166444,0.9471417937308513,4.300134098843159,2.2644433100805603,2.1649197779087928,0.09952353217176757,1.2630106942211148,5.497325930326418,21.34813075176444,1.7200536395376638,1.0,2549531.364186582,60672.97817960937,756.4034533459749,757.8917424234918,-684.4917424234918,25.92675490341955
11.43,77.6,45.69966848895077,11.0,UGC05750,23.34,39.29,0.0,526.8381452318459,UGC05750,UGC5750,Bizyaev_2014,,False,unique_to_2014,PGC91032,,EON_158.937_20.706,PGC91032,PGC91032,158.936539,20.705694,r,7.64,0.06,2.64,0.26,0.3455497382198953,2.8939393939393936,21.68,0.12,0.105,15.26,0.1,SC,16460.0,PGC091032,NED,thick_like,PGC91032,PGC91032,PGC91032,158.936539,20.705694,PGC091032,PGC91032,NED,,True,coord_review,UGC05750,123.0,0.2845034918360085,Bizyaev_2014,0.35,2,2.2716604316671147,0.2134813075166444,0.9962442300647846,0.29676100857832355,0.2956464425043609,5.395338517323944,1000000.0,2.006539239910324,2.2815872568346105,0.024673951357067327,0.6589808200263627,5588539864.334183,1.3901030119706668,0.007217121586554409,0.011840338741910393,10.905000000000001,1.0,2.0,0.16491977790879253,0.2134813075166444,0.9471417937308513,4.300134098843159,2.2644433100805603,2.1649197779087928,0.09952353217176757,1.2630106942211148,5.497325930326418,21.34813075176444,1.7200536395376638,1.0,2549531.364186582,41297.735444123304,687.0466622627093,688.5648668254353,-610.9648668254353,31.900331511049224
22.85,78.9,45.51346174485083,11.0,UGC05750,36.96,26.56,0.0,272.43807439824946,UGC05750,UGC5750,Bizyaev_2014,,False,unique_to_2014,PGC91032,,EON_158.937_20.706,PGC91032,PGC91032,158.936539,20.705694,r,7.64,0.06,2.64,0.26,0.3455497382198953,2.8939393939393936,21.68,0.12,0.105,15.26,0.1,SC,16460.0,PGC091032,NED,thick_like,PGC91032,PGC91032,PGC91032,158.936539,20.705694,PGC091032,PGC91032,NED,,True,coord_review,UGC05750,123.0,0.2845034918360085,Bizyaev_2014,0.35,2,2.2716604316671147,0.2134813075166444,0.9962442300647846,0.29676100857832355,0.2956464425043609,5.395338517323944,1000000.0,2.006539239910324,2.2815872568346105,0.024673951357067327,0.6589808200263627,5588539864.334183,1.3901030119706668,0.007217121586554409,0.011840338741910393,10.905000000000001,1.0,2.0,0.16491977790879253,0.2134813075166444,0.9471417937308513,4.300134098843159,2.2644433100805603,2.1649197779087928,0.09952353217176757,1.2630106942211148,5.497325930326418,21.34813075176444,1.7200536395376638,1.0,2549531.364186582,10333.47254202595,485.9216475783858,488.04848405183367,-409.14848405183363,33.386538255149176
