seed_name,seed_catalog_norm
,UGC10020
,UGC10055
,UGC10076
,UGC10104
,UGC10149
,UGC102
,UGC10269
,UGC10316
,UGC10436
,UGC10443
,UGC10458
,UGC10500
,UGC10537
,UGC10586
1069.0,UGC1069
1081.0,UGC1081
1087.0,UGC1087
,UGC10897
,UGC11014
,UGC1126
,UGC11318
1167.0,UGC1167
1212.0,UGC1212
,UGC12158
,UGC12193
,UGC12213
,UGC12224
,UGC12270
,UGC12303
,UGC12359
,UGC12391
,UGC12418
,UGC12438
,UGC12586
,UGC12702
,UGC12753
,UGC12760
,UGC12784
,UGC12808
,UGC12852
,UGC12893
,UGC1322
1497.0,UGC1497
1529.0,UGC1529
1559.0,UGC1559
1579.0,UGC1579
16.0,UGC16
1635.0,UGC1635
1721.0,UGC1721
1727.0,UGC1727
