galaxy,r_kpc,v_obs_kms,v_vis_kms,v_err_kms,h_kpc,source_path,segment_index,Dw_i,sigma_i,beta_i,S_i,I_int_i,eta_obs_i,I_ext_i,DeltaD_i,eta_radius_term_i,eta_sigma_term_i,eta_dw_term_i,segment_density_eff_msun_per_kpc3,segment_wedge_volume_eff_kpc3,v_bar_kms,delta_v_i,C_i
NGC3769,1.74,87.5,126.78499674646051,9.4,2.86,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC3769_structure_enriched.csv,1,2.269765139114363,0.14127171552114604,0.19598233249898994,6906804.727605959,7113663.4092095895,0.7037677572196415,5006366.943114862,0.2962322427803585,0.6871414269514239,0.5363279915831025,0.15348990725709122,249462365.65015715,65.340704,126.78499674646051,0.4489713913881201,0.13299980221512095
NGC3769,3.5,106.0,137.9797380052593,7.1,2.86,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC3769_structure_enriched.csv,1,2.269765139114363,0.14127171552114604,0.19598233249898994,6906804.727605959,7113663.4092095895,0.7037677572196415,5006366.943114862,0.2962322427803585,0.6871414269514239,0.5363279915831025,0.15348990725709122,249462365.65015715,65.340704,137.9797380052593,0.30169564155904993,0.08937197653609649
NGC3769,5.24,116.0,127.15870477478134,5.3,2.86,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC3769_structure_enriched.csv,1,2.269765139114363,0.14127171552114604,0.19598233249898994,6906804.727605959,7113663.4092095895,0.7037677572196415,5006366.943114862,0.2962322427803585,0.6871414269514239,0.5363279915831025,0.15348990725709122,249462365.65015715,65.340704,127.15870477478134,0.09619573081708054,0.028496277085839412
NGC3769,8.72,126.0,105.31830800008136,4.4,2.86,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC3769_structure_enriched.csv,2,2.128493423593217,0.12213373364093894,0.04774879164909735,722093.0697352255,2698677.501660292,0.5964872499703014,1609726.7215220712,0.40351275002969855,0.36787944117144233,0.5,0.24767105093785524,123821242.45870626,192.75255999999996,105.31830800008136,0.164140412697767,0.06623274931868561
NGC3769,10.47,123.0,97.0566401643906,4.4,2.86,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC3769_structure_enriched.csv,2,2.128493423593217,0.12213373364093894,0.04774879164909735,722093.0697352255,2698677.501660292,0.5964872499703014,1609726.7215220712,0.40351275002969855,0.36787944117144233,0.5,0.24767105093785524,123821242.45870626,192.75255999999996,97.0566401643906,0.2109216246797512,0.08510956481525835
NGC3769,12.31,118.0,90.09078532236246,4.6,2.86,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC3769_structure_enriched.csv,2,2.128493423593217,0.12213373364093894,0.04774879164909735,722093.0697352255,2698677.501660292,0.5964872499703014,1609726.7215220712,0.40351275002969855,0.36787944117144233,0.5,0.24767105093785524,123821242.45870626,192.75255999999996,90.09078532236246,0.23651876845455538,0.09543833869273516
NGC3769,17.07,122.0,78.40565285743114,15.2,2.86,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC3769_structure_enriched.csv,3,2.0254976718324853,0.10299575176073184,0.009981631387472692,16784.872765914864,203304.2705593285,0.5135664057733549,104410.24350952802,0.4864335942266451,0.09695806008847135,0.4574956122560722,0.3163348854450098,16326654.93307838,1557.9574009999997,78.40565285743114,0.35733071428335134,0.17381766367642498
NGC3769,31.82,121.0,60.845069644137965,10.2,2.86,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC3769_structure_enriched.csv,3,2.0254976718324853,0.10299575176073184,0.009981631387472692,16784.872765914864,203304.2705593285,0.5135664057733549,104410.24350952802,0.4864335942266451,0.09695806008847135,0.4574956122560722,0.3163348854450098,16326654.93307838,1557.9574009999997,60.845069644137965,0.49714818475919037,0.2418295783756652
NGC3769,34.61,118.0,58.41294120312724,10.4,2.86,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC3769_structure_enriched.csv,3,2.0254976718324853,0.10299575176073184,0.009981631387472692,16784.872765914864,203304.2705593285,0.5135664057733549,104410.24350952802,0.4864335942266451,0.09695806008847135,0.4574956122560722,0.3163348854450098,16326654.93307838,1557.9574009999997,58.41294120312724,0.5049750745497692,0.2456368405081123
NGC3769,37.16,113.0,56.41123469664531,10.5,2.86,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC3769_structure_enriched.csv,3,2.0254976718324853,0.10299575176073184,0.009981631387472692,16784.872765914864,203304.2705593285,0.5135664057733549,104410.24350952802,0.4864335942266451,0.09695806008847135,0.4574956122560722,0.3163348854450098,16326654.93307838,1557.9574009999997,56.41123469664531,0.5007855336580062,0.2435989070739725
