galaxy,r_kpc,v_obs_kms,v_vis_kms,v_err_kms,h_kpc,source_path,segment_index,Dw_i,sigma_i,beta_i,S_i,I_int_i,eta_obs_i,I_ext_i,DeltaD_i,eta_radius_term_i,eta_sigma_term_i,eta_dw_term_i,segment_density_eff_msun_per_kpc3,segment_wedge_volume_eff_kpc3,v_bar_kms,delta_v_i,C_i
UGC01281,0.08,1.41,6.0392466417592185,4.0,11.31,data\derived\crossmatch\sparc_structure_test32\per_galaxy\UGC01281_structure_enriched.csv,1,2.847579265974044,0.08368643491270866,0.015711654335529516,2504.455436735594,824584.5620617756,0.7280254674333717,600318.5612333663,0.2719745325666283,0.8178761281524097,0.38939529835553144,0.2317195106493628,1904742.733845722,2.6561534999999994,6.0392466417592185,3.283153646637744,0.8929341783887215
UGC01281,0.23,4.46,6.842879510849215,4.0,11.31,data\derived\crossmatch\sparc_structure_test32\per_galaxy\UGC01281_structure_enriched.csv,1,2.847579265974044,0.08368643491270866,0.015711654335529516,2504.455436735594,824584.5620617756,0.7280254674333717,600318.5612333663,0.2719745325666283,0.8178761281524097,0.38939529835553144,0.2317195106493628,1904742.733845722,2.6561534999999994,6.842879510849215,0.5342779172307658,0.14530998679950924
UGC01281,0.38,7.71,5.399675916200897,4.0,11.31,data\derived\crossmatch\sparc_structure_test32\per_galaxy\UGC01281_structure_enriched.csv,1,2.847579265974044,0.08368643491270866,0.015711654335529516,2504.455436735594,824584.5620617756,0.7280254674333717,600318.5612333663,0.2719745325666283,0.8178761281524097,0.38939529835553144,0.2317195106493628,1904742.733845722,2.6561534999999994,5.399675916200897,0.29965292915682273,0.08149796533964784
UGC01281,0.54,11.0,8.514505270419416,4.0,11.31,data\derived\crossmatch\sparc_structure_test32\per_galaxy\UGC01281_structure_enriched.csv,1,2.847579265974044,0.08368643491270866,0.015711654335529516,2504.455436735594,824584.5620617756,0.7280254674333717,600318.5612333663,0.2719745325666283,0.8178761281524097,0.38939529835553144,0.2317195106493628,1904742.733845722,2.6561534999999994,8.514505270419416,0.2259540663255076,0.06145375157040885
UGC01281,0.84,17.2,12.857285872220466,5.78,11.31,data\derived\crossmatch\sparc_structure_test32\per_galaxy\UGC01281_structure_enriched.csv,2,2.931265700886753,0.11197104237345967,0.021246089106140006,19700.068249672233,1206832.5426392453,0.6542553937276263,789576.7003477518,0.34574460627237363,0.5485251251968059,0.46041020489638385,0.28751046725783524,8281004.315412598,8.064029999999999,12.857285872220466,0.2524833795220659,0.08729476664317495
UGC01281,1.0,20.2,14.832754295814382,4.74,11.31,data\derived\crossmatch\sparc_structure_test32\per_galaxy\UGC01281_structure_enriched.csv,2,2.931265700886753,0.11197104237345967,0.021246089106140006,19700.068249672233,1206832.5426392453,0.6542553937276263,789576.7003477518,0.34574460627237363,0.5485251251968059,0.46041020489638385,0.28751046725783524,8281004.315412598,8.064029999999999,14.832754295814382,0.2657052328804761,0.09186615112676955
UGC01281,1.15,23.2,16.483039768198097,4.0,11.31,data\derived\crossmatch\sparc_structure_test32\per_galaxy\UGC01281_structure_enriched.csv,2,2.931265700886753,0.11197104237345967,0.021246089106140006,19700.068249672233,1206832.5426392453,0.6542553937276263,789576.7003477518,0.34574460627237363,0.5485251251968059,0.46041020489638385,0.28751046725783524,8281004.315412598,8.064029999999999,16.483039768198097,0.2895241479224958,0.10010141252980778
UGC01281,1.3,26.4,16.832266632869143,7.13,11.31,data\derived\crossmatch\sparc_structure_test32\per_galaxy\UGC01281_structure_enriched.csv,2,2.931265700886753,0.11197104237345967,0.021246089106140006,19700.068249672233,1206832.5426392453,0.6542553937276263,789576.7003477518,0.34574460627237363,0.5485251251968059,0.46041020489638385,0.28751046725783524,8281004.315412598,8.064029999999999,16.832266632869143,0.3624141426943506,0.1253027350733981
UGC01281,1.61,31.6,19.54800501329995,4.94,11.31,data\derived\crossmatch\sparc_structure_test32\per_galaxy\UGC01281_structure_enriched.csv,3,2.791010051052542,0.13122739498233038,0.10886993444760118,225525.31262789402,1752370.1968804153,0.5916731469460054,1036830.3890026263,0.40832685305399463,0.36787944117144233,0.5,0.1940067007016948,15785662.905427815,13.211776500000003,19.54800501329995,0.3813922464145586,0.1557326957576504
UGC01281,1.76,34.6,20.62334841872192,4.0,11.31,data\derived\crossmatch\sparc_structure_test32\per_galaxy\UGC01281_structure_enriched.csv,3,2.791010051052542,0.13122739498233038,0.10886993444760118,225525.31262789402,1752370.1968804153,0.5916731469460054,1036830.3890026263,0.40832685305399463,0.36787944117144233,0.5,0.1940067007016948,15785662.905427815,13.211776500000003,20.62334841872192,0.4039494676669965,0.16494341492530104
UGC01281,1.92,37.4,21.837456353705665,7.09,11.31,data\derived\crossmatch\sparc_structure_test32\per_galaxy\UGC01281_structure_enriched.csv,3,2.791010051052542,0.13122739498233038,0.10886993444760118,225525.31262789402,1752370.1968804153,0.5916731469460054,1036830.3890026263,0.40832685305399463,0.36787944117144233,0.5,0.1940067007016948,15785662.905427815,13.211776500000003,21.837456353705665,0.4161107926816667,0.16990921049750812
