galaxy,r_kpc,v_obs_kms,v_vis_kms,v_err_kms,h_kpc,source_path,Dw_i,sigma_i,beta_i,S_i,I_int_i,eta_obs_i,I_ext_i,DeltaD_i,eta_sigma_term_i,eta_dw_term_i,eta_density_term_i,eta_flow_term_i,eta_transition_term_i,segment_density_eff_msun_per_kpc3,segment_wedge_volume_eff_kpc3,segment_index,v_bar_kms,delta_v_i,C_i
NGC2841,3.44,285.0,289.9312589218348,14.4,2.04,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC2841_structure_enriched.csv,2.360842532920203,0.05949324800127709,0.09641954085914786,17054522.264138997,85323855.35561012,0.590685433696547,50399558.50539001,0.409314566303453,0.5,0.25742402839295453,0.5188847395026175,0.5056874639980321,0.5233345088895944,2973081534.858096,31.15743,1,289.9312589218348,0.017302662883630866,0.007082231954108221
NGC2841,3.77,297.0,286.07929722368937,13.6,2.04,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC2841_structure_enriched.csv,2.360842532920203,0.05949324800127709,0.09641954085914786,17054522.264138997,85323855.35561012,0.590685433696547,50399558.50539001,0.409314566303453,0.5,0.25742402839295453,0.5188847395026175,0.5056874639980321,0.5233345088895944,2973081534.858096,31.15743,1,286.07929722368937,0.03677004301788092,0.015050514210823238
NGC2841,4.13,303.0,284.22515177232293,8.47,2.04,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC2841_structure_enriched.csv,2.360842532920203,0.05949324800127709,0.09641954085914786,17054522.264138997,85323855.35561012,0.590685433696547,50399558.50539001,0.409314566303453,0.5,0.25742402839295453,0.5188847395026175,0.5056874639980321,0.5233345088895944,2973081534.858096,31.15743,1,284.22515177232293,0.061963195470881416,0.025362438480939907
NGC2841,4.47,306.0,282.78312361242496,5.93,2.04,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC2841_structure_enriched.csv,2.360842532920203,0.05949324800127709,0.09641954085914786,17054522.264138997,85323855.35561012,0.590685433696547,50399558.50539001,0.409314566303453,0.5,0.25742402839295453,0.5188847395026175,0.5056874639980321,0.5233345088895944,2973081534.858096,31.15743,1,282.78312361242496,0.07587214505743478,0.031055574148696592
NGC2841,4.8,307.0,281.6261658653187,5.93,2.04,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC2841_structure_enriched.csv,2.360842532920203,0.05949324800127709,0.09641954085914786,17054522.264138997,85323855.35561012,0.590685433696547,50399558.50539001,0.409314566303453,0.5,0.25742402839295453,0.5188847395026175,0.5056874639980321,0.5233345088895944,2973081534.858096,31.15743,1,281.6261658653187,0.08265092552013459,0.033830227733852886
NGC2841,5.13,304.0,281.0518416591501,8.47,2.04,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC2841_structure_enriched.csv,2.3581462015049404,0.06273998602554028,0.10201267932559091,20279537.84176455,86132816.23115416,0.5921663819633268,51030194.06145866,0.40783361803667323,0.5085160699236587,0.2607606901762148,0.5188996995581192,0.5058046873208799,0.5201309648394118,2977027134.6093874,32.128164000000005,1,281.0518416591501,0.075487362963322,0.030786284353379174
NGC2841,5.48,308.0,281.0117926351134,8.47,2.04,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC2841_structure_enriched.csv,2.352057711212412,0.07007132995129585,0.11464234683046229,27561831.081564184,87959502.07915682,0.5955104586947649,52454209.833226584,0.404489541305235,0.5277459052351461,0.2682950877513186,0.518933480328607,0.5060693851466653,0.5128971556938381,2985936553.4026256,34.320144000000006,1,281.0117926351134,0.08762404988599543,0.03544301174569332
NGC2841,5.83,313.0,280.55263213878425,12.7,2.04,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC2841_structure_enriched.csv,2.3459692209198835,0.07740267387705141,0.12727201433533364,34844124.32136381,89786187.92715947,0.5988545354262031,53878225.6049945,0.40114546457379685,0.5469757405466333,0.2758294853264224,0.5189672610990946,0.5063340829724507,0.5056633465482645,2994845972.1958637,36.512124,1,280.55263213878425,0.10366571201666375,0.041585030207298014
NGC2841,6.16,314.0,280.233626461922,9.32,2.04,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC2841_structure_enriched.csv,2.340228644358357,0.08431508386419238,0.13917998655421238,41710286.51888916,91508491.72670485,0.602007522058702,55220869.04694711,0.397992477941298,0.5651067281260358,0.2829333458972345,0.5189991115398402,0.5065836552081913,0.498842897925295,3003246281.343774,38.57884800000001,1,280.233626461922,0.10753622145884723,0.04279860724685079
NGC2841,6.51,315.0,282.3840592172299,6.78,2.04,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC2841_structure_enriched.csv,2.3341401540658286,0.09164642778994794,0.15180965405908373,48992579.75868878,93335177.57470751,0.6053515987901402,56644884.81871502,0.39464840120985983,0.584336563437523,0.2904677434723383,0.519032892310328,0.5068483530339767,0.49160908877972137,3012155700.137012,40.770828,1,282.3840592172299,0.10354266915165114,0.0408629488377006
