galaxy,r_kpc,v_obs_kms,v_vis_kms,v_err_kms,h_kpc,source_path,Dw_i,sigma_i,propagation_source_i,propagation_term_i,delta_struct_i,DeltaD_i,segment_density_eff_msun_per_kpc3,segment_wedge_volume_eff_kpc3,segment_index,v_bar_kms,delta_v_i,C_i
NGC4013,5.49,198.0,215.85462932260685,10.0,1.63,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC4013_structure_enriched.csv,2.221887871903171,0.07033727651671962,0.693097275873249,0.10693013674516126,0.4782971910998652,0.4782971910998652,1600046992.1374807,54.99155449999999,1,215.85462932260685,0.09017489556872149,0.04313039925824317
NGC4013,6.17,195.0,222.74844466348134,5.0,1.63,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC4013_structure_enriched.csv,2.221887871903171,0.07033727651671962,0.693097275873249,0.10693013674516126,0.4782971910998652,0.4782971910998652,1600046992.1374807,54.99155449999999,1,222.74844466348134,0.1422997162229812,0.06806155456375983
NGC4013,6.92,194.0,226.13797160140976,4.0,1.63,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC4013_structure_enriched.csv,2.221887871903171,0.07033727651671962,0.693097275873249,0.10693013674516126,0.4782971910998652,0.4782971910998652,1600046992.1374807,54.99155449999999,1,226.13797160140976,0.1656596474299472,0.07923454404433775
NGC4013,7.69,195.0,227.14213831871882,3.0,1.63,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC4013_structure_enriched.csv,2.221818710372673,0.07032992219103694,0.6930732653858208,0.10696040262702003,0.47835927142099327,0.47835927142099327,1599507545.016825,55.02794701474925,1,227.14213831871882,0.1648314785575324,0.07884866599002628
NGC4013,8.36,195.0,225.69941005682756,3.0,1.63,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC4013_structure_enriched.csv,2.2125510652859077,0.0693444425495591,0.689855860070453,0.1110160307960956,0.48667803445215796,0.48667803445215796,1527221630.8489482,59.904543991150426,1,225.69941005682756,0.15743287208629517,0.07661912074511613
NGC4013,9.12,195.0,221.78880832900472,3.0,1.63,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC4013_structure_enriched.csv,2.202038512650174,0.06822658504579317,0.6862062659813788,0.11561644483862908,0.4961142432636284,0.4961142432636284,1445225668.5092673,65.43620623303832,1,221.78880832900472,0.13737850425130627,0.06815543267732596
NGC4013,9.88,192.0,213.98334327699433,7.0,1.63,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC4013_structure_enriched.csv,2.19152596001444,0.06710872754202724,0.6825566718923047,0.12021685888116257,0.5055504520750989,0.5055504520750989,1363229706.169586,70.96786847492623,1,213.98334327699433,0.11449657956767882,0.057883797561492555
NGC4013,10.56,188.0,203.82179324105653,8.0,1.63,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC4013_structure_enriched.csv,2.182119991866678,0.06610853924918404,0.6792912456020805,0.12433301881395568,0.5139933757485198,0.5139933757485198,1289864897.7603977,75.91725048082594,2,203.82179324105653,0.08415847468647088,0.043256898501945515
NGC4013,11.31,186.0,193.8722992074938,7.0,1.63,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC4013_structure_enriched.csv,2.1717457622919403,0.06500539039678346,0.6756896724878627,0.12887290109277164,0.5233054239177339,0.5233054239177339,1208947829.6620283,81.37612769321532,2,193.8722992074938,0.04232418928760105,0.02214847781712248
NGC4013,12.08,186.0,185.08774702826764,6.0,1.63,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC4013_structure_enriched.csv,2.16109488659521,0.06387282424165219,0.6719920574239324,0.13353384689902265,0.5328657933714606,0.5328657933714606,1125872973.0810356,86.98057496460174,2,185.08774702826764,0.004904585869528803,0.00261348604052492
NGC4013,12.77,186.0,178.37381814604964,5.0,1.63,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC4013_structure_enriched.csv,2.1515505953864515,0.06285792729744366,0.668678610158852,0.1377105385955333,0.5414328776871377,0.5414328776871377,1051429270.4305358,92.00274199999997,2,178.37381814604964,0.04100097770941052,0.02219927734919232
NGC4013,13.47,185.0,172.65772760001215,6.0,1.63,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC4013_structure_enriched.csv,2.144457273400227,0.05849589103205213,0.6445705142558881,0.13624596732485247,0.5386680559529096,0.5386680559529096,991596446.2628438,99.67290310704482,2,172.65772760001215,0.06671498594588027,0.035937231782393005
NGC4013,14.17,180.0,167.52490949109625,10.0,1.63,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC4013_structure_enriched.csv,2.1373639514140024,0.05413385476666062,0.6204624183529241,0.13478139605417164,0.5359032342186814,0.5359032342186814,931763622.0951521,107.34306421408964,2,167.52490949109625,0.0693060583827986,0.03714134083829052
NGC4013,14.98,163.0,162.15571066108035,8.0,1.63,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC4013_structure_enriched.csv,2.1291559645442284,0.04908635565956472,0.5925659073794944,0.1330866778695267,0.5327039404976459,0.5327039404976459,862528496.986823,116.21853635224151,2,162.15571066108035,0.005179689195826081,0.002759240845169636
NGC4013,15.68,162.0,157.76867908428466,6.0,1.63,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC4013_structure_enriched.csv,2.122062642558004,0.044724319394173206,0.5684578114765306,0.13162210659884585,0.5299391187634178,0.5299391187634178,802695672.8191313,123.88869745928633,3,157.76867908428466,0.02611926491182311,0.013841620230119799
NGC4013,16.37,164.0,153.6407127033717,5.0,1.63,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC4013_structure_enriched.csv,2.1150706537430106,0.040424597932572984,0.544694116943609,0.13017845777488904,0.5272137944825358,0.5272137944825358,743717603.2824063,131.44928483623053,3,153.6407127033717,0.06316638595505067,0.03330219002311062
NGC4013,17.19,166.0,149.16853455068866,5.0,1.63,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC4013_structure_enriched.csv,2.106761333702005,0.03531478402168578,0.516453204600137,0.12846281714352006,0.5239750033081542,0.5239750033081542,673627723.5431101,140.43433070448305,3,149.16853455068866,0.10139437017657432,0.05312811544869874
NGC4013,17.88,166.0,145.65736335661165,5.0,1.63,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC4013_structure_enriched.csv,2.099769344887012,0.031015062560085578,0.4926895100672155,0.12701916831956325,0.5212496790272722,0.5212496790272722,614649654.0063856,147.99491808142722,3,145.65736335661165,0.1225460038758334,0.06387706518635301
NGC4013,18.58,166.0,142.38798615051763,5.0,1.63,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC4013_structure_enriched.csv,2.0960215016157036,0.027984033813127206,0.4715690327070632,0.12351341509612275,0.5132807198282142,0.5132807198282142,586057830.6443285,151.1846239490695,3,142.38798615051763,0.14224104728603834,0.07300958714009681
NGC4013,19.39,166.0,138.98471390768123,5.0,1.63,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC4013_structure_enriched.csv,2.095668116946167,0.026061508879743903,0.4506869304863214,0.11702635667456374,0.4978630164071434,0.4978630164071434,590171142.2100984,149.54076639471103,3,138.98471390768123,0.16274268730312516,0.08102356519893841
NGC4013,20.09,168.0,136.22694337024524,5.0,1.63,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC4013_structure_enriched.csv,2.095362722787308,0.024400067579289204,0.4326406693079027,0.11142025680408067,0.4845390751790576,0.4845390751790576,593725855.908912,148.12014875514197,3,136.22694337024524,0.1891253370818736,0.09163861592257856
NGC4013,20.79,172.0,133.59454554733887,5.0,1.63,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC4013_structure_enriched.csv,2.095057328628449,0.02273862627883451,0.41459440812948395,0.10581415693359761,0.47121513395097175,0.47121513395097175,597280569.6077254,146.69953111557294,4,133.59454554733887,0.22328752588756473,0.10521646142068988
NGC4013,21.48,173.0,131.21915180338576,5.0,1.63,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC4013_structure_enriched.csv,2.094756297243288,0.021100919854100585,0.3968059506821854,0.10028814420412142,0.45808153474042995,0.45808153474042995,600784501.6822702,145.299208013712,4,131.21915180338576,0.24150779304401296,0.11063026048937559
NGC4013,22.3,171.0,128.69347341648682,5.0,1.63,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC4013_structure_enriched.csv,2.0943985498000535,0.01915466004499651,0.37566604473032345,0.09372099864155553,0.44247348930181507,0.44247348930181507,604948594.8723087,143.6350559216454,4,128.69347341648682,0.24740658820767938,0.1094708563605092
NGC4013,22.99,170.0,126.74445471104445,5.0,1.63,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC4013_structure_enriched.csv,2.0940975184148924,0.017516953620262593,0.357877587283025,0.08819498591207939,0.4293398900912734,0.4293398900912734,608452526.9468535,142.23473281978448,4,126.74445471104445,0.25444438405267966,0.10924312388351924
NGC4013,23.69,172.0,124.9560086590477,5.0,1.63,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC4013_structure_enriched.csv,2.091813668942787,0.01767560989066577,0.35919677148505014,0.08752971707069046,0.4279687754269801,0.4279687754269801,593458929.3571402,148.05815471847507,4,124.9560086590477,0.27351157756367617,0.11705441491502797
NGC4013,24.39,173.0,123.50005060727707,5.0,1.63,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC4013_structure_enriched.csv,2.0875513641574353,0.019654363731926812,0.37988140106751916,0.09180527925839571,0.43855048732647933,0.43855048732647933,559917020.4789001,161.12561615542523,4,123.50005060727707,0.28612687510244467,0.1254810805133798
NGC4013,25.2,176.0,121.79545393814993,5.0,1.63,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC4013_structure_enriched.csv,2.0826192686200997,0.021944064605386015,0.403816472441519,0.0967527155041689,0.4507950396673285,0.4507950396673285,521104240.2055081,176.24653581818183,4,121.79545393814993,0.3079803753514208,0.13883602552330246
NGC4013,25.9,178.0,120.09645207082514,5.0,1.63,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC4013_structure_enriched.csv,2.078356963834748,0.023922818446647058,0.42450110202398805,0.10102827769187414,0.4613767515668277,0.4613767515668277,487562331.32726806,189.313997255132,5,120.09645207082514,0.3253008310627801,0.1500862407177349
NGC4013,26.59,180.0,118.45436674095218,6.0,1.63,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC4013_structure_enriched.csv,2.074155549117758,0.02587330437589009,0.4448902368981361,0.10524276041975503,0.471807296153477,0.471807296153477,454499592.57585996,202.19478067155433,5,118.45436674095218,0.34192018477248787,0.16132043787780476
NGC4013,27.41,180.0,116.55454731583835,8.0,1.63,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC4013_structure_enriched.csv,2.06916256351206,0.028191273161367315,0.469120802980457,0.1102512761253526,0.4842030158071761,0.4842030158071761,415207642.1756359,217.5023783548388,5,116.55454731583835,0.3524747371342314,0.1706693307162365
NGC4013,28.1,180.0,114.97151038409471,5.0,1.63,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC4013_structure_enriched.csv,2.0649611487950703,0.030141759090610346,0.48950993785460506,0.1144657588532335,0.49463356039382544,0.49463356039382544,382144903.4242278,230.38316177126114,5,114.97151038409471,0.36126938675502934,0.17869596303193408
NGC4013,28.8,180.0,113.47812167990797,5.0,1.63,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC4013_structure_enriched.csv,2.0627995513682134,0.031145269967249867,0.5,0.11663407967699828,0.5,0.5,365134363.9216919,237.01023150000012,5,113.47812167990797,0.36956599066717793,0.18478299533358897
NGC4013,29.61,178.0,111.83732382348927,5.0,1.63,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC4013_structure_enriched.csv,2.0627995513682134,0.031145269967249867,0.5,0.11663407967699828,0.5,0.5,365134363.9216919,237.01023150000012,5,111.83732382348927,0.37170042795792546,0.18585021397896273
