galaxy,r_kpc,v_obs_kms,v_vis_kms,v_err_kms,h_kpc,source_path,Dw_i,Dw_smooth_i,dDw_dr_i,propagation_source_i,propagation_term_i,delta_struct_i,DeltaD_i,causal_horizon_kpc,ell_info_kpc,segment_density_eff_msun_per_kpc3,segment_wedge_volume_eff_kpc3,segment_index,v_bar_kms,delta_v_i,C_i
NGC4013,5.49,198.0,215.85462932260685,10.0,1.63,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC4013_structure_enriched.csv,2.221887871903171,2.186719233644811,-0.005935576292135517,0.5,0.07713934282199966,0.5,0.5,4.42,4.42,1600046992.1374807,54.99155449999999,1,215.85462932260685,0.09017489556872149,0.045087447784360746
NGC4013,6.17,195.0,222.74844466348134,5.0,1.63,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC4013_structure_enriched.csv,2.221887871903171,2.186719233644811,-0.005935576292135517,0.5,0.07713934282199966,0.5,0.5,4.42,4.42,1600046992.1374807,54.99155449999999,1,222.74844466348134,0.1422997162229812,0.0711498581114906
NGC4013,6.92,194.0,226.13797160140976,4.0,1.63,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC4013_structure_enriched.csv,2.221887871903171,2.186719233644811,-0.005935576292135517,0.5,0.07713934282199966,0.5,0.5,4.42,4.42,1600046992.1374807,54.99155449999999,1,226.13797160140976,0.1656596474299472,0.0828298237149736
NGC4013,7.69,195.0,227.14213831871882,3.0,1.63,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC4013_structure_enriched.csv,2.221818710372673,2.1866895557633503,-0.005936461698975775,0.5000346630827008,0.07716427602885181,0.5000693993424995,0.5000693993424995,4.42,4.42,1599507545.016825,55.02794701474925,1,227.14213831871882,0.1648314785575324,0.08242717847500132
NGC4013,8.36,195.0,225.69941005682756,3.0,1.63,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC4013_structure_enriched.csv,2.2125510652859077,2.1827127196476197,-0.00605510621557044,0.5046795161646105,0.08050532574704047,0.5093689112374324,0.5093689112374324,4.42,4.42,1527221630.8489482,59.904543991150426,1,225.69941005682756,0.15743287208629517,0.08019141064757813
NGC4013,9.12,195.0,221.78880832900472,3.0,1.63,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC4013_structure_enriched.csv,2.202038512650174,2.1782016816655965,-0.006189688055289761,0.5099483047351347,0.0842951731885679,0.5199176112973564,0.5199176112973564,4.42,4.42,1445225668.5092673,65.43620623303832,1,221.78880832900472,0.13737850425130627,0.07142550377394287
NGC4013,9.88,192.0,213.98334327699433,7.0,1.63,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC4013_structure_enriched.csv,2.19152596001444,2.1736906436835737,-0.006324269895009083,0.5152170933056591,0.08808502063009534,0.5304663113572803,0.5304663113572803,4.42,4.42,1363229706.169586,70.96786847492623,1,213.98334327699433,0.11449657956767882,0.06073657822629193
NGC4013,10.56,188.0,203.82179324105653,8.0,1.63,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC4013_structure_enriched.csv,2.182119991866678,2.1696544518049214,-0.006444685225284265,0.5199312725529703,0.0914759367619883,0.5399046219372122,0.5399046219372122,4.42,4.42,1289864897.7603977,75.91725048082594,2,203.82179324105653,0.08415847468647088,0.045437549458411504
NGC4013,11.31,186.0,193.8722992074938,7.0,1.63,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC4013_structure_enriched.csv,2.1717457622919403,2.16520276958582,-0.006577496251323069,0.5251307349580931,0.09521591778981142,0.5503145233121371,0.5503145233121371,4.42,4.42,1208947829.6620283,81.37612769321532,2,193.8722992074938,0.04232418928760105,0.023291616052378835
NGC4013,12.08,186.0,185.08774702826764,6.0,1.63,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC4013_structure_enriched.csv,2.16109488659521,2.1606323758408754,-0.006713848904722907,0.5304688496940191,0.09905563164504316,0.5610020220570601,0.5610020220570601,4.42,4.42,1125872973.0810356,86.98057496460174,2,185.08774702826764,0.004904585869528803,0.0027514825901581424
NGC4013,12.77,186.0,178.37381814604964,5.0,1.63,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC4013_structure_enriched.csv,2.1515505953864515,2.156536828199302,-0.006836035048678607,0.535252355106732,0.10249641419064043,0.570579131321991,0.570579131321991,4.42,4.42,1051429270.4305358,92.00274199999997,2,178.37381814604964,0.04100097770941052,0.02339430224478777
NGC4013,13.47,185.0,172.65772760001215,6.0,1.63,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC4013_structure_enriched.csv,2.144457273400227,2.151074178891745,-0.006826962582076438,0.5349203749404882,0.10329841529780924,0.5724317477577217,0.5724317477577217,4.42,4.42,991596446.2628438,99.67290310704482,2,172.65772760001215,0.06671498594588027,0.03818977600663208
NGC4013,14.17,180.0,167.52490949109625,10.0,1.63,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC4013_structure_enriched.csv,2.1373639514140024,2.145611529584188,-0.006817890115474269,0.5345883947742445,0.10410041640497805,0.5742843641934522,0.5742843641934522,4.42,4.42,931763622.0951521,107.34306421408964,2,167.52490949109625,0.0693060583827986,0.03980138567311977
NGC4013,14.98,163.0,162.15571066108035,8.0,1.63,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC4013_structure_enriched.csv,2.1291559645442284,2.1392904639568724,-0.006807391975548902,0.5342042462961624,0.10502844625755911,0.5764281060690833,0.5764281060690833,4.42,4.42,862528496.986823,116.21853635224151,2,162.15571066108035,0.005179689195826081,0.0029857184331765216
NGC4013,15.68,162.0,157.76867908428466,6.0,1.63,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC4013_structure_enriched.csv,2.122062642558004,2.1338278146493153,-0.006798319508946734,0.5338722661299186,0.10583044736472792,0.5782807225048139,0.5782807225048139,4.42,4.42,802695672.8191313,123.88869745928633,3,157.76867908428466,0.02611926491182311,0.015104267384503703
NGC4013,16.37,164.0,153.6407127033717,5.0,1.63,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC4013_structure_enriched.csv,2.1150706537430106,2.1284432031890095,-0.0067893766490103105,0.5335450285374783,0.10662099131322289,0.5801068729914627,0.5801068729914627,4.42,4.42,743717603.2824063,131.44928483623053,3,153.6407127033717,0.06316638595505067,0.03664325463455629
NGC4013,17.19,166.0,149.16853455068866,5.0,1.63,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC4013_structure_enriched.csv,2.106761333702005,2.1220440997144427,-0.006778748902419199,0.5331561374855927,0.10756047832447779,0.5822770808161757,0.5822770808161757,4.42,4.42,673627723.5431101,140.43433070448305,3,149.16853455068866,0.10139437017657432,0.059039617877610404
NGC4013,17.88,166.0,145.65736335661165,5.0,1.63,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC4013_structure_enriched.csv,2.099769344887012,2.1166594882541365,-0.006769806042482775,0.5328288998931524,0.10835102227297276,0.5841032313028244,0.5841032313028244,4.42,4.42,614649654.0063856,147.99491808142722,3,145.65736335661165,0.1225460038758334,0.07157951684712273
NGC4013,18.58,166.0,142.38798615051763,5.0,1.63,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC4013_structure_enriched.csv,2.0960215016157036,2.1118898557321497,-0.006543173063418405,0.5216397835822509,0.10626400967092517,0.5780976894404534,0.5780976894404534,4.42,4.42,586057830.6443285,151.1846239490695,3,142.38798615051763,0.14224104728603834,0.08222922077964903
NGC4013,19.39,166.0,138.98471390768123,5.0,1.63,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC4013_structure_enriched.csv,2.095668116946167,2.107195872992693,-0.006021880676842652,0.4957649676341029,0.10040913777143291,0.5617918422683674,0.5617918422683674,4.42,4.42,590171142.2100984,149.54076639471103,3,138.98471390768123,0.16274268730312516,0.09142751411572753
NGC4013,20.09,168.0,136.22694337024524,5.0,1.63,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC4013_structure_enriched.csv,2.095362722787308,2.103139344699336,-0.005571381083505582,0.47340401558014783,0.09534937193236556,0.5477003694036019,0.5477003694036019,4.42,4.42,593725855.908912,148.12014875514197,3,136.22694337024524,0.1891253370818736,0.1035840169833229
NGC4013,20.79,172.0,133.59454554733887,5.0,1.63,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC4013_structure_enriched.csv,2.095057328628449,2.099082816405979,-0.005120881490168512,0.4510430635261928,0.0902896060932982,0.5336088965388364,0.5336088965388364,4.42,4.42,597280569.6077254,146.69953111557294,4,133.59454554733887,0.22328752588756473,0.11914821029975027
NGC4013,21.48,173.0,131.21915180338576,5.0,1.63,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC4013_structure_enriched.csv,2.094756297243288,2.0950842385168125,-0.004676817605307686,0.42900155364443704,0.08530212262336036,0.5197187304292818,0.5197187304292818,4.42,4.42,600784501.6822702,145.299208013712,4,131.21915180338576,0.24150779304401296,0.12551612358961217
NGC4013,22.3,171.0,128.69347341648682,5.0,1.63,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC4013_structure_enriched.csv,2.0943985498000535,2.090332305373165,-0.004149089510255688,0.40280729552408967,0.07937496835473858,0.503211576501985,0.503211576501985,4.42,4.42,604948594.8723087,143.6350559216454,4,128.69347341648682,0.24740658820767938,0.12449785928896376
NGC4013,22.99,170.0,126.74445471104445,5.0,1.63,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC4013_structure_enriched.csv,2.0940975184148924,2.0863337274839986,-0.0037050256253948637,0.38076578564233404,0.07438748488480076,0.4893214103924305,0.4893214103924305,4.42,4.42,608452526.9468535,142.23473281978448,4,126.74445471104445,0.25444438405267966,0.12450508487109047
NGC4013,23.69,172.0,124.9560086590477,5.0,1.63,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC4013_structure_enriched.csv,2.091813668942787,2.083899471754736,-0.0033210407441769778,0.35548225945645223,0.0697551644705866,0.4730724029424813,0.4730724029424813,4.42,4.42,593458929.3571402,148.05815471847507,4,124.9560086590477,0.27351157756367617,0.12939077923063713
NGC4013,24.39,173.0,123.50005060727707,5.0,1.63,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC4013_structure_enriched.csv,2.0875513641574353,2.0830874885895674,-0.0030035705750782785,0.32727615913864394,0.06555028948122571,0.4546658609073487,0.4546658609073487,4.42,4.42,559917020.4789001,161.12561615542523,4,123.50005060727707,0.28612687510244467,0.13009212199718242
NGC4013,25.2,176.0,121.79545393814993,5.0,1.63,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC4013_structure_enriched.csv,2.0826192686200997,2.082147908069872,-0.002636212236549784,0.2946376716280372,0.06068464842210809,0.43336686226669524,0.43336686226669524,4.42,4.42,521104240.2055081,176.24653581818183,4,121.79545393814993,0.3079803753514208,0.1334684889057643
NGC4013,25.9,178.0,120.09645207082514,5.0,1.63,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC4013_structure_enriched.csv,2.078356963834748,2.0813359249047036,-0.0023187420674510846,0.26643157131022893,0.05647977343274719,0.4149603202315626,0.4149603202315626,4.42,4.42,487562331.32726806,189.313997255132,5,120.09645207082514,0.3253008310627801,0.13498693702940467
NGC4013,26.59,180.0,118.45436674095218,6.0,1.63,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC4013_structure_enriched.csv,2.074155549117758,2.0805355414990374,-0.0020058071864823656,0.23862841528267495,0.05233496808609143,0.3968167287969318,0.3968167287969318,4.42,4.42,454499592.57585996,202.19478067155433,5,118.45436674095218,0.34192018477248787,0.13567964923106113
