galaxy,n_points,n_segments,mean_Dw_i,mean_state_term_i,mean_Dw_smooth_i,mean_abs_dDw_dr_i,mean_DeltaD_i,std_DeltaD_i,mean_delta_v_i,M_gal,R_gal,propagation_term_mean,propagation_source_mean,history_term_mean,causal_horizon_kpc,ell_info_kpc,density_ref_gal_msun_per_kpc3
DDO168,10,2,2.2841906530715903,0.492105599215388,2.2841906530715903,0.0,0.29528180247664915,0.03134307696452342,0.33066982021725205,0.10233110802776373,0.9333128583995913,0.0,0.0,0.0,2.0,1.9769999999999999,75300744.96280545
ESO563-G021,30,5,2.0898387264367373,0.5037435903549801,2.0908465422355818,0.0011726484029304291,0.4829423826664823,0.04371359625492791,0.3147385952704379,0.14319748153150208,-0.44793175918706035,0.12082908184011501,0.520994047802817,0.45180891767444054,8.5,8.5,4972515764.711152
IC4202,32,5,2.147029425853597,0.5044122180318634,2.147479448252071,0.004247023569929383,0.48976786274136247,0.03775283305454019,0.2156063382860122,0.09677831209879428,-0.43834072087747084,0.10677018742714547,0.49410927010580585,0.46789053003044545,3.9700000000000006,3.9700000000000006,870273012.8993666
NGC0100,21,5,2.405069179446495,0.44165386533115153,2.397999210837412,0.04061879285308861,0.46555084388460033,0.0537915495426734,0.29156956392020095,0.14084077438728088,0.6132531223764616,0.0925445366234997,0.4039630490741752,0.49966517861432636,2.0,2.0,56584745.922046766
NGC2403,73,5,2.1830250312414097,0.4390964307230196,2.182397097171777,0.030048546550086968,0.452292019901376,0.08658779487945045,0.21066590603576663,0.10714553983074883,0.7002658603082561,0.07558171164470393,0.41170804692879454,0.4892260929051244,3.38,3.38,1357749636.4929445
NGC2683,11,2,2.2029389564334108,0.4875802491611379,2.2029389564334108,0.0,0.2925468922330946,0.03848687357585493,0.16949354890544696,0.052850147554128334,0.7879595616666825,0.0,0.0,0.0,14.424999999999999,14.424999999999999,24312998.44047567
NGC2841,50,5,2.1636952457552936,0.43366689911857276,2.1621302431913985,0.011624141113325668,0.4453575991696358,0.08673054760790025,0.25255408391929535,0.1219958884567277,0.6365290993394154,0.06862960090879544,0.44246570174541133,0.47924868873015103,12.240000000000002,12.240000000000002,607651636.969469
NGC2998,13,3,2.226069473156314,0.3527422239089095,2.209081770126826,0.008302788012965981,0.3486149300095124,0.20318548307212278,0.17477439758625726,0.055898626683686205,-0.18725246551921856,0.1684866449580437,0.4816005497089136,0.37270706160155215,13.850000000000001,13.850000000000001,222861850.65588945
NGC3198,43,5,2.1754597816309404,0.4681554916656981,2.174368168683393,0.014072809343037793,0.4852457333380689,0.08643766860704995,0.2543189814811753,0.12207715805534769,-0.05356289844771688,0.06300585312716685,0.3844139949131125,0.5216331519533441,5.259999999999999,5.259999999999999,284176339.1599391
NGC3769,12,3,2.1412520781800217,0.4811619410732854,2.1391256357488877,0.006290212543212745,0.5055448385754658,0.0745572973991309,0.30586435108052396,0.16224135373654605,0.6828641023045575,0.1637676516074253,0.4783918190270296,0.546400571681721,5.799999999999999,5.799999999999999,123821242.45870626
NGC3917,17,4,2.225375092504513,0.4973411406275968,2.2258564452124436,0.008025985166432449,0.49465453486049105,0.03922167987811939,0.21411745063476587,0.10601924711665733,0.030576006368168436,0.10832077574636974,0.48636289547030614,0.4855926660136442,2.6250000000000004,2.6250000000000004,168121561.79605794
NGC4010,12,3,2.334579553007335,0.43424827064875354,2.3307892408563062,0.014007749814811529,0.45857394811663243,0.0852500364241837,0.1602889067540161,0.07323205872283982,-0.04857843023874565,0.14891845367538856,0.498832788818407,0.49508838467848154,2.620000000000001,2.620000000000001,91188656.95228384
NGC4013,36,5,2.1252709714603166,0.47844657072037516,2.1239645712420008,0.0048353136251260195,0.4858513613554432,0.02974125770719572,0.18814133608173686,0.08968051659156517,-0.4943833564293657,0.08005236431154632,0.4181096864206538,0.49609275229190886,4.42,4.42,610229883.7962602
NGC4088,12,3,2.12109938500992,0.5025532759432196,2.122037353622292,0.0031696209911703035,0.5012016915310092,0.014867940058681244,0.2845006411780338,0.14011653569428373,-0.92970406734419,0.1502220212043208,0.49930870500855157,0.49950009889229113,5.24,5.24,1338497201.579239
NGC4157,17,4,2.2268638059964565,0.4676506557578137,2.224060256157073,0.0073289171070476606,0.48287005184813847,0.060136530474459854,0.20689145811463103,0.09442610970750766,-0.6948148255666929,0.10522987275086283,0.4751921089534175,0.49730870188263715,5.2299999999999995,5.2299999999999995,119491006.83341289
NGC4183,23,5,2.2514120650391183,0.46081826200400416,2.2511894110308788,0.010297933262693485,0.47333259640726905,0.05468688303888338,0.30366475554203115,0.14588929866352718,0.5244993359033655,0.10006037752231482,0.48441815090024853,0.4933563572927532,3.5,3.5,41664180.60558628
NGC5907,19,4,2.16086671598128,0.4946314771280602,2.160374619489102,0.0028169510120898337,0.49990164036871915,0.029080973059583293,0.16779597136578384,0.08642932006707717,0.8057901699174107,0.11944371584538276,0.4898902834288724,0.5064195225366169,10.07,10.07,56853720.71159631
NGC5985,33,5,2.1409455579805514,0.5010218170997499,2.143363874547954,0.0037753120702927042,0.4892128809591332,0.03963502534913984,0.27895294167349766,0.13600620910329073,-0.27120100922148144,0.10939684074953189,0.548975927716887,0.4746802463222948,4.4799999999999995,4.4799999999999995,480240442.70134723
UGC01281,25,5,2.7305281114276942,0.4473341797825857,2.741812202012086,0.0919759491602518,0.450370472520005,0.04834755102986314,0.5286287579286911,0.23253572520078516,-0.20084074861406978,0.15999446433062312,0.5691374094819779,0.44940821446959506,2.0,2.0,9546723.325059151
UGC04278,25,5,2.51498757826277,0.5097457206041454,2.5044471746398145,0.051923934998416486,0.5086499862907062,0.06781142270104465,0.36461303264705647,0.1822491532625888,-0.39140030549434257,0.1058430525733404,0.40488846775754433,0.5068998521301683,2.0,2.0,31383623.388630666
UGC05721,23,5,2.3963527282698665,0.4214050504680567,2.3874876875358417,0.14168483924844227,0.44530039572360813,0.05866598874449216,0.4341673197665485,0.19711189513008257,0.35456942013997234,0.09114380403280854,0.3968039585694855,0.4850894132173866,2.0,2.0,338250959.87158346
UGC05750,11,2,2.2002487898092395,0.48666682179537774,2.2002487898092395,0.0,0.2765968115269604,0.03244167051020337,0.3282843652183315,0.09285091591204013,0.6563002438792118,0.0,0.0,0.0,10.905000000000001,10.905000000000001,8696545.294549238
UGC05986,15,3,2.188879812817919,0.5032502799478095,2.1900642061708697,0.008566486533004982,0.5001404308324033,0.022397649107541245,0.3340296284544621,0.16974048775130376,0.9762965781501999,0.16847039058362817,0.49968823204745516,0.4954785492821169,2.51,2.51,280998407.210728
UGC06667,9,2,2.3504146211299335,0.48522582835607175,2.3504146211299335,0.0,0.2943720331886237,0.04276236980896155,0.6643232861368441,0.19325611975235532,-0.9665669339205499,0.0,0.0,0.0,3.0549999999999997,3.0549999999999997,5283780.848382281
UGC06917,11,2,2.1740266272968984,0.4984404015440461,2.1740266272968984,0.0,0.29976980746069154,0.013696973815124249,0.287385999000979,0.08712364612948376,0.7739347276398183,0.0,0.0,0.0,3.93,3.93,130149362.79198126
UGC07089,12,3,2.3338375871639054,0.45852880541288377,2.3313177461817083,0.013503483377047293,0.48210189381511875,0.06463885032227529,0.17362566698812187,0.0903040416693896,0.9632190420158467,0.15059987930922744,0.4937511378495369,0.5130091308271676,2.1799999999999997,2.1799999999999997,33142347.834162552
UGC08490,30,5,2.222434101871907,0.43573984033113283,2.217294884534707,0.025159442831601497,0.4615959330451911,0.07891412169239483,0.47742093590852785,0.22833175145067808,0.8755981650349572,0.10847171564853549,0.45008543691906705,0.5003552600433655,2.0,2.0,141319636.07975358
UGC08837,8,2,2.241079153589413,0.499876491475378,2.241079153589413,0.0,0.29992589488522675,0.00382097343881145,0.22134213727346225,0.0663646698026366,-0.0321807473662155,0.0,0.0,0.0,2.0,2.0,115412041.66949572
UGC12506,31,5,2.092870371169788,0.4986722313524747,2.094398771470325,0.0009009188259631908,0.501042080037881,0.015669207530157353,0.3496857426105141,0.17497240215721652,-0.18400198045149602,0.10013604627863554,0.46445046080910496,0.5042550353678658,8.200000000000001,8.200000000000001,399782756.29640204
