r_kpc,v_obs_kms,v_bar_internal_kms,v_err_kms,galaxy,v_gas_kmps,v_disk_kmps,v_bul_kmps,a_obs_kmps2_per_kpc,matched_sparc_name,matched_sparc_name_norm,included_source_catalog,secondary_source_catalog,duplicate_flag,duplicate_status,source_object_name_primary,source_object_name_secondary,structure_2014_Name,structure_2014_preferred_name,structure_2014_catalog_name_normalized,structure_2014_RAJ2000,structure_2014_DEJ2000,structure_2014_Band,structure_2014_h,structure_2014_e_h,structure_2014_z0,structure_2014_e_z0,structure_2014_z0_over_h,structure_2014_h_over_z0,structure_2014_S0,structure_2014_e_S0,structure_2014_gradz0,structure_2014_mag,structure_2014_B/T,structure_2014_Type,structure_2014_RV,structure_2014_AName,structure_2014_NED,structure_2014_thickness_flag,structure_2014_biz_name,structure_2014_biz_name_norm,structure_2014_biz_catalog_token,structure_2014_RA_match_deg,structure_2014_DE_match_deg,structure_2014_biz_aname_norm,structure_2014_biz_aname_token,structure_2014_biz_ned_norm,structure_2014_biz_ned_token,structure_2014_matched,structure_2014_match_reason,structure_2014_matched_sparc_name,structure_2014_matched_sparc_index,structure_2014_matched_sep_deg,structure_2014___source_catalog__,segment_index,h_i_kpc,d_i,d_gal_mean,sigma_i,sigma_norm,sigma_desc_i,beta_i,omega_i,density_ratio_i,thickness_visibility_i,radial_visibility_i,a_i,psi_i,g_scale_i,g_trans_km2s2_per_kpc,g_bar_internal_km2s2_per_kpc,g_desc_km2s2_per_kpc,v_desc_kms,rotation_residual_desc_kms,rotation_residual_bar_only_kms
0.32,24.4,63.28,35.9,NGC3198,0.0,63.28,0.0,1860.4999999999995,NGC3198,NGC3198,Bizyaev_2014,,False,unique_to_2014,PGC2269711,,EON_154.800_45.738,PGC2269711,PGC2269711,154.799942,45.737778,r,4.92,0.03,2.1,0.12,0.426829268292683,2.3428571428571425,20.77,0.12,0.036,15.34,0.19,SB,13211.0,PGC2269711,NED,thick_like,PGC2269711,PGC2269711,PGC2269711,154.799942,45.737778,PGC2269711,PGC2269711,NED,,True,coord_review,NGC3198,53.0,0.2259867764128791,Bizyaev_2014,1,0.35,3.225316538994158,3.142116359454708,0.08320017953945014,0.6172485906307925,0.1159563069290259,1.0,1.0808156138396623,0.8470490236506675,0.5,0.03641107078039928,0.03641107078039928,0.27457674900985884,4110.67062686276,18.75824119686399,12513.62,12532.378241196864,63.327411420197784,-38.927411420197785,-38.88
0.64,43.3,73.66,16.3,NGC3198,0.0,73.66,0.0,2929.5156249999995,NGC3198,NGC3198,Bizyaev_2014,,False,unique_to_2014,PGC2269711,,EON_154.800_45.738,PGC2269711,PGC2269711,154.799942,45.737778,r,4.92,0.03,2.1,0.12,0.426829268292683,2.3428571428571425,20.77,0.12,0.036,15.34,0.19,SB,13211.0,PGC2269711,NED,thick_like,PGC2269711,PGC2269711,PGC2269711,154.799942,45.737778,PGC2269711,PGC2269711,NED,,True,coord_review,NGC3198,53.0,0.2259867764128791,Bizyaev_2014,1,0.35,3.225316538994158,3.142116359454708,0.08320017953945014,0.6172485906307925,0.1159563069290259,1.0,1.0808156138396623,0.8470490236506675,0.5,0.03641107078039928,0.03641107078039928,0.27457674900985884,4110.67062686276,18.75824119686399,8477.805624999999,8496.563866196862,73.74144610980986,-30.44144610980986,-30.36
0.96,45.5,78.98,16.1,NGC3198,0.0,78.98,0.0,2156.510416666667,NGC3198,NGC3198,Bizyaev_2014,,False,unique_to_2014,PGC2269711,,EON_154.800_45.738,PGC2269711,PGC2269711,154.799942,45.737778,r,4.92,0.03,2.1,0.12,0.426829268292683,2.3428571428571425,20.77,0.12,0.036,15.34,0.19,SB,13211.0,PGC2269711,NED,thick_like,PGC2269711,PGC2269711,PGC2269711,154.799942,45.737778,PGC2269711,PGC2269711,NED,,True,coord_review,NGC3198,53.0,0.2259867764128791,Bizyaev_2014,1,0.35,3.225316538994158,3.142116359454708,0.08320017953945014,0.6172485906307925,0.1159563069290259,1.0,1.0808156138396623,0.8470490236506675,0.5,0.03641107078039928,0.03641107078039928,0.27457674900985884,4110.67062686276,18.75824119686399,6497.750416666668,6516.508657863532,79.0939208254907,-33.5939208254907,-33.480000000000004
1.28,58.5,82.70074062546236,15.4,NGC3198,0.35,82.7,0.0,2673.6328125,NGC3198,NGC3198,Bizyaev_2014,,False,unique_to_2014,PGC2269711,,EON_154.800_45.738,PGC2269711,PGC2269711,154.799942,45.737778,r,4.92,0.03,2.1,0.12,0.426829268292683,2.3428571428571425,20.77,0.12,0.036,15.34,0.19,SB,13211.0,PGC2269711,NED,thick_like,PGC2269711,PGC2269711,PGC2269711,154.799942,45.737778,PGC2269711,PGC2269711,NED,,True,coord_review,NGC3198,53.0,0.2259867764128791,Bizyaev_2014,1,0.35,3.225316538994158,3.142116359454708,0.08320017953945014,0.6172485906307925,0.1159563069290259,1.0,1.0808156138396623,0.8470490236506675,0.5,0.03641107078039928,0.03641107078039928,0.27457674900985884,4110.67062686276,18.75824119686399,5343.291015625,5362.049256821864,82.84577870194707,-24.34577870194707,-24.20074062546236
1.61,68.8,84.22013357861645,7.61,NGC3198,0.15,84.22,0.0,2940.0248447204963,NGC3198,NGC3198,Bizyaev_2014,,False,unique_to_2014,PGC2269711,,EON_154.800_45.738,PGC2269711,PGC2269711,154.799942,45.737778,r,4.92,0.03,2.1,0.12,0.426829268292683,2.3428571428571425,20.77,0.12,0.036,15.34,0.19,SB,13211.0,PGC2269711,NED,thick_like,PGC2269711,PGC2269711,PGC2269711,154.799942,45.737778,PGC2269711,PGC2269711,NED,,True,coord_review,NGC3198,53.0,0.2259867764128791,Bizyaev_2014,1,0.35,3.225316538994158,3.142116359454708,0.08320017953945014,0.6172485906307925,0.1159563069290259,1.0,1.0808156138396623,0.8470490236506675,0.5,0.03641107078039928,0.03641107078039928,0.27457674900985884,4110.67062686276,18.75824119686399,4405.609254658384,4424.367495855248,84.39923973784924,-15.599239737849246,-15.420133578616458
1.93,76.9,83.17001502945638,10.3,NGC3198,-0.05,83.17,0.0,3064.0466321243525,NGC3198,NGC3198,Bizyaev_2014,,False,unique_to_2014,PGC2269711,,EON_154.800_45.738,PGC2269711,PGC2269711,154.799942,45.737778,r,4.92,0.03,2.1,0.12,0.426829268292683,2.3428571428571425,20.77,0.12,0.036,15.34,0.19,SB,13211.0,PGC2269711,NED,thick_like,PGC2269711,PGC2269711,PGC2269711,154.799942,45.737778,PGC2269711,PGC2269711,NED,,True,coord_review,NGC3198,53.0,0.2259867764128791,Bizyaev_2014,1,0.35,3.225316538994158,3.142116359454708,0.08320017953945014,0.6172485906307925,0.1159563069290259,1.0,1.0808156138396623,0.8470490236506675,0.5,0.03641107078039928,0.03641107078039928,0.27457674900985884,4110.67062686276,18.75824119686399,3584.0680829015546,3602.826324098419,83.38737797478674,-6.487377974786739,-6.270015029456374
2.24,82.0,87.04126894755154,8.09,NGC3198,-0.47,87.04,0.0,3001.785714285714,NGC3198,NGC3198,Bizyaev_2014,,False,unique_to_2014,PGC2269711,,EON_154.800_45.738,PGC2269711,PGC2269711,154.799942,45.737778,r,4.92,0.03,2.1,0.12,0.426829268292683,2.3428571428571425,20.77,0.12,0.036,15.34,0.19,SB,13211.0,PGC2269711,NED,thick_like,PGC2269711,PGC2269711,PGC2269711,154.799942,45.737778,PGC2269711,PGC2269711,NED,,True,coord_review,NGC3198,53.0,0.2259867764128791,Bizyaev_2014,1,0.35,3.225316538994158,3.142116359454708,0.08320017953945014,0.6172485906307925,0.1159563069290259,1.0,1.0808156138396623,0.8470490236506675,0.5,0.03641107078039928,0.03641107078039928,0.27457674900985884,4110.67062686276,18.75824119686399,3382.224330357143,3400.9825715540073,87.28230611229849,-5.282306112298485,-5.0412689475515435
2.57,86.9,88.91507521224958,7.6,NGC3198,-0.95,88.91,0.0,2938.369649805448,NGC3198,NGC3198,Bizyaev_2014,,False,unique_to_2014,PGC2269711,,EON_154.800_45.738,PGC2269711,PGC2269711,154.799942,45.737778,r,4.92,0.03,2.1,0.12,0.426829268292683,2.3428571428571425,20.77,0.12,0.036,15.34,0.19,SB,13211.0,PGC2269711,NED,thick_like,PGC2269711,PGC2269711,PGC2269711,154.799942,45.737778,PGC2269711,PGC2269711,NED,,True,coord_review,NGC3198,53.0,0.2259867764128791,Bizyaev_2014,1,0.35,3.225316538994158,3.142116359454708,0.08320017953945014,0.6172485906307925,0.1159563069290259,1.0,1.0808156138396623,0.8470490236506675,0.5,0.03641107078039928,0.03641107078039928,0.27457674900985884,4110.67062686276,18.75824119686399,3076.222023346303,3094.9802645431673,89.18575715816927,-2.285757158169261,-2.0150752122495703
3.21,100.0,93.81692651115789,5.31,NGC3198,-1.14,93.81,0.0,3115.264797507788,NGC3198,NGC3198,Bizyaev_2014,,False,unique_to_2014,PGC2269711,,EON_154.800_45.738,PGC2269711,PGC2269711,154.799942,45.737778,r,4.92,0.03,2.1,0.12,0.426829268292683,2.3428571428571425,20.77,0.12,0.036,15.34,0.19,SB,13211.0,PGC2269711,NED,thick_like,PGC2269711,PGC2269711,PGC2269711,154.799942,45.737778,PGC2269711,PGC2269711,NED,,True,coord_review,NGC3198,53.0,0.2259867764128791,Bizyaev_2014,2,0.35,3.2562511248951744,3.142116359454708,0.11413476544046652,0.8467472486246228,0.15844248800772973,1.0,1.1382664146742592,0.8818057759126221,0.5,0.09834392014519057,0.09834392014519057,0.5797897089359497,3105.1610415258906,55.074076061478614,2741.936355140187,2797.0104312016656,94.75443780719374,5.245562192806261,6.183073488842112
3.54,107.0,101.22075133094003,7.51,NGC3198,-0.39,101.22,0.0,3234.180790960452,NGC3198,NGC3198,Bizyaev_2014,,False,unique_to_2014,PGC2269711,,EON_154.800_45.738,PGC2269711,PGC2269711,154.799942,45.737778,r,4.92,0.03,2.1,0.12,0.426829268292683,2.3428571428571425,20.77,0.12,0.036,15.34,0.19,SB,13211.0,PGC2269711,NED,thick_like,PGC2269711,PGC2269711,PGC2269711,154.799942,45.737778,PGC2269711,PGC2269711,NED,,True,coord_review,NGC3198,53.0,0.2259867764128791,Bizyaev_2014,2,0.35,3.2562511248951744,3.142116359454708,0.11413476544046652,0.8467472486246228,0.15844248800772973,1.0,1.1382664146742592,0.8818057759126221,0.5,0.09834392014519057,0.09834392014519057,0.5797897089359497,3105.1610415258906,55.074076061478614,2894.2487288135585,2949.322804875037,102.1792676097144,4.820732390285599,5.779248669059967
