r_kpc,v_obs_kms,v_bar_internal_kms,v_err_kms,galaxy,v_gas_kmps,v_disk_kmps,v_bul_kmps,a_obs_kmps2_per_kpc,matched_sparc_name,matched_sparc_name_norm,included_source_catalog,secondary_source_catalog,duplicate_flag,duplicate_status,source_object_name_primary,source_object_name_secondary,structure_2014_Name,structure_2014_preferred_name,structure_2014_catalog_name_normalized,structure_2014_RAJ2000,structure_2014_DEJ2000,structure_2014_Band,structure_2014_h,structure_2014_e_h,structure_2014_z0,structure_2014_e_z0,structure_2014_z0_over_h,structure_2014_h_over_z0,structure_2014_S0,structure_2014_e_S0,structure_2014_gradz0,structure_2014_mag,structure_2014_B/T,structure_2014_Type,structure_2014_RV,structure_2014_AName,structure_2014_NED,structure_2014_thickness_flag,structure_2014_biz_name,structure_2014_biz_name_norm,structure_2014_biz_catalog_token,structure_2014_RA_match_deg,structure_2014_DE_match_deg,structure_2014_biz_aname_norm,structure_2014_biz_aname_token,structure_2014_biz_ned_norm,structure_2014_biz_ned_token,structure_2014_matched,structure_2014_match_reason,structure_2014_matched_sparc_name,structure_2014_matched_sparc_index,structure_2014_matched_sep_deg,structure_2014___source_catalog__,segment_index,h_i_kpc,alpha_i,d_i,d_gal_mean,sigma0_i,sigma1_i,delta_d_eff_i,beta_i,density_ratio_i,thickness_visibility_i,radial_visibility_i,omega_i,a_i,g_scale_i,delta_mag_i,g_trans_raw_km2s2_per_kpc,g_cap_i,g_trans_km2s2_per_kpc,g_bar_internal_km2s2_per_kpc,g_desc_km2s2_per_kpc,v_desc_kms,rotation_residual_desc_kms,rotation_residual_bar_only_kms
0.87,47.1,39.23971967280092,8.2,NGC4183,2.5,39.16,0.0,2549.896551724138,NGC4183,NGC4183,Bizyaev_2014,,False,unique_to_2014,NGC04183,,EON_183.320_43.699,NGC04183,NGC04183,183.320328,43.698582,r,30.24,0.48,9.99,0.87,0.3303571428571429,3.0270270270270268,21.24,0.1,-0.066,12.16,0.08,SD,920.0,NGC4183,NED,thick_like,NGC04183,NGC04183,NGC4183,183.320328,43.698582,NGC4183,NGC4183,NED,,True,name_exact,NGC4183,74.0,0.0,Bizyaev_2014,1,0.35,-0.22363796376459924,2.9217267126823905,2.7072768484367566,0.21444986424563384,0.0,0.21444986424563384,1.223184680032936,0.6838629762830415,0.5,0.1246431969552807,1.1207183765231332,0.1246431969552807,208.520339947899,0.6136984644329754,21.86555809526825,983.4292225333032,21.86195572492723,1769.8340229885055,1791.6959787134326,39.481331050012564,7.618668949987438,7.860280327199078
1.74,65.9,49.12124591253768,6.6,NGC4183,5.78,48.78,0.0,2495.8678160919544,NGC4183,NGC4183,Bizyaev_2014,,False,unique_to_2014,NGC04183,,EON_183.320_43.699,NGC04183,NGC04183,183.320328,43.698582,r,30.24,0.48,9.99,0.87,0.3303571428571429,3.0270270270270268,21.24,0.1,-0.066,12.16,0.08,SD,920.0,NGC4183,NED,thick_like,NGC04183,NGC04183,NGC4183,183.320328,43.698582,NGC4183,NGC4183,NED,,True,name_exact,NGC4183,74.0,0.0,Bizyaev_2014,1,0.35,-0.22363796376459924,2.9217267126823905,2.7072768484367566,0.21444986424563384,0.0,0.21444986424563384,1.223184680032936,0.6838629762830415,0.5,0.1246431969552807,1.1207183765231332,0.1246431969552807,208.520339947899,0.6136984644329754,21.86555809526825,983.4292225333032,21.86195572492723,1386.7222988505748,1408.584254575502,49.506934897662305,16.3930651023377,16.778754087462325
2.61,76.1,58.009813824903794,5.6,NGC4183,11.64,56.83,0.0,2218.854406130268,NGC4183,NGC4183,Bizyaev_2014,,False,unique_to_2014,NGC04183,,EON_183.320_43.699,NGC04183,NGC04183,183.320328,43.698582,r,30.24,0.48,9.99,0.87,0.3303571428571429,3.0270270270270268,21.24,0.1,-0.066,12.16,0.08,SD,920.0,NGC4183,NED,thick_like,NGC04183,NGC04183,NGC4183,183.320328,43.698582,NGC4183,NGC4183,NED,,True,name_exact,NGC4183,74.0,0.0,Bizyaev_2014,1,0.35,-0.22363796376459924,2.9217267126823905,2.7072768484367566,0.21444986424563384,0.0,0.21444986424563384,1.223184680032936,0.6838629762830415,0.5,0.1246431969552807,1.1207183765231332,0.1246431969552807,208.520339947899,0.6136984644329754,21.86555809526825,983.4292225333032,21.86195572492723,1289.3250957854405,1311.1870515103676,58.49955730124852,17.600442698751472,18.0901861750962
3.5,85.7,61.092308026461076,5.6,NGC4183,13.9,59.49,0.0,2098.4257142857145,NGC4183,NGC4183,Bizyaev_2014,,False,unique_to_2014,NGC04183,,EON_183.320_43.699,NGC04183,NGC04183,183.320328,43.698582,r,30.24,0.48,9.99,0.87,0.3303571428571429,3.0270270270270268,21.24,0.1,-0.066,12.16,0.08,SD,920.0,NGC4183,NED,thick_like,NGC04183,NGC04183,NGC4183,183.320328,43.698582,NGC4183,NGC4183,NED,,True,name_exact,NGC4183,74.0,0.0,Bizyaev_2014,1,0.35,-0.22363796376459924,2.9217267126823905,2.7072768484367566,0.21444986424563384,0.0,0.21444986424563384,1.223184680032936,0.6838629762830415,0.5,0.1246431969552807,1.1207183765231332,0.1246431969552807,208.520339947899,0.6136984644329754,21.86555809526825,983.4292225333032,21.86195572492723,1066.362885714286,1088.2248414392132,61.715370411569644,23.98462958843036,24.607691973538927
5.24,99.3,72.29271747555214,5.2,NGC4183,23.49,68.37,0.0,1881.7729007633584,NGC4183,NGC4183,Bizyaev_2014,,False,unique_to_2014,NGC04183,,EON_183.320_43.699,NGC04183,NGC04183,183.320328,43.698582,r,30.24,0.48,9.99,0.87,0.3303571428571429,3.0270270270270268,21.24,0.1,-0.066,12.16,0.08,SD,920.0,NGC4183,NED,thick_like,NGC04183,NGC04183,NGC4183,183.320328,43.698582,NGC4183,NGC4183,NED,,True,name_exact,NGC4183,74.0,0.0,Bizyaev_2014,2,0.35,-0.22363796376459924,2.9217267126823905,2.7072768484367566,0.21444986424563384,0.0,0.21444986424563384,1.223184680032936,0.6380325982748616,0.5,0.3113701236917222,1.1780128454096048,0.3113701236917222,169.4172927636466,0.6136984644329754,46.64786511016084,798.8975941512057,46.59492315553334,997.3734732824431,1043.9683964379765,73.96211460832497,25.33788539167503,27.00728252444786
6.11,103.0,76.5028267451602,5.2,NGC4183,25.97,71.96,0.0,1736.3338788870703,NGC4183,NGC4183,Bizyaev_2014,,False,unique_to_2014,NGC04183,,EON_183.320_43.699,NGC04183,NGC04183,183.320328,43.698582,r,30.24,0.48,9.99,0.87,0.3303571428571429,3.0270270270270268,21.24,0.1,-0.066,12.16,0.08,SD,920.0,NGC4183,NED,thick_like,NGC04183,NGC04183,NGC4183,183.320328,43.698582,NGC4183,NGC4183,NED,,True,name_exact,NGC4183,74.0,0.0,Bizyaev_2014,2,0.35,-0.22363796376459924,2.9217267126823905,2.7072768484367566,0.21444986424563384,0.0,0.21444986424563384,1.223184680032936,0.6380325982748616,0.5,0.3113701236917222,1.1780128454096048,0.3113701236917222,169.4172927636466,0.6136984644329754,46.64786511016084,798.8975941512057,46.59492315553334,957.8858428805237,1004.480766036057,78.34141612506318,24.658583874936824,26.497173254839794
6.98,107.0,80.57107421401305,5.2,NGC4183,27.48,75.74,0.0,1640.2578796561604,NGC4183,NGC4183,Bizyaev_2014,,False,unique_to_2014,NGC04183,,EON_183.320_43.699,NGC04183,NGC04183,183.320328,43.698582,r,30.24,0.48,9.99,0.87,0.3303571428571429,3.0270270270270268,21.24,0.1,-0.066,12.16,0.08,SD,920.0,NGC4183,NED,thick_like,NGC04183,NGC04183,NGC4183,183.320328,43.698582,NGC4183,NGC4183,NED,,True,name_exact,NGC4183,74.0,0.0,Bizyaev_2014,2,0.35,-0.22363796376459924,2.9217267126823905,2.7072768484367566,0.21444986424563384,0.0,0.21444986424563384,1.223184680032936,0.6380325982748616,0.5,0.3113701236917222,1.1780128454096048,0.3113701236917222,169.4172927636466,0.6136984644329754,46.64786511016084,798.8975941512057,46.59492315553334,930.0426934097419,976.6376165652753,82.5647053142299,24.435294685770103,26.428925785986948
8.72,114.0,87.84098929315404,6.1,NGC4183,35.45,80.37,0.0,1490.366972477064,NGC4183,NGC4183,Bizyaev_2014,,False,unique_to_2014,NGC04183,,EON_183.320_43.699,NGC04183,NGC04183,183.320328,43.698582,r,30.24,0.48,9.99,0.87,0.3303571428571429,3.0270270270270268,21.24,0.1,-0.066,12.16,0.08,SD,920.0,NGC4183,NED,thick_like,NGC04183,NGC04183,NGC4183,183.320328,43.698582,NGC4183,NGC4183,NED,,True,name_exact,NGC4183,74.0,0.0,Bizyaev_2014,3,0.35,-3.0,1.9500000000000002,2.7072768484367566,-0.7572768484367565,-0.9717267126823903,1.7290035611191468,0.00785147024901855,0.1852304169022548,0.5,0.5002378686964796,1.0655044178299748,0.5002378686964796,120.24031933460549,0.9999802736073444,0.5031811499315764,567.3962256345146,0.5031810180212444,884.8669036697249,885.3700846877462,87.86596120499193,26.134038795008067,26.15901070684596
9.6,115.0,86.74577396046449,6.1,NGC4183,36.42,78.73,0.0,1377.6041666666667,NGC4183,NGC4183,Bizyaev_2014,,False,unique_to_2014,NGC04183,,EON_183.320_43.699,NGC04183,NGC04183,183.320328,43.698582,r,30.24,0.48,9.99,0.87,0.3303571428571429,3.0270270270270268,21.24,0.1,-0.066,12.16,0.08,SD,920.0,NGC4183,NED,thick_like,NGC04183,NGC04183,NGC4183,183.320328,43.698582,NGC4183,NGC4183,NED,,True,name_exact,NGC4183,74.0,0.0,Bizyaev_2014,3,0.35,-3.0,1.9500000000000002,2.7072768484367566,-0.7572768484367565,-0.9717267126823903,1.7290035611191468,0.00785147024901855,0.1852304169022548,0.5,0.5002378686964796,1.0655044178299748,0.5002378686964796,120.24031933460549,0.9999802736073444,0.5031811499315764,567.3962256345146,0.5031810180212444,783.8363854166666,784.3395664346879,86.77361256610793,28.22638743389207,28.25422603953551
10.47,111.0,83.76407344440693,5.6,NGC4183,37.82,74.74,0.0,1176.7908309455586,NGC4183,NGC4183,Bizyaev_2014,,False,unique_to_2014,NGC04183,,EON_183.320_43.699,NGC04183,NGC04183,183.320328,43.698582,r,30.24,0.48,9.99,0.87,0.3303571428571429,3.0270270270270268,21.24,0.1,-0.066,12.16,0.08,SD,920.0,NGC4183,NED,thick_like,NGC04183,NGC04183,NGC4183,183.320328,43.698582,NGC4183,NGC4183,NED,,True,name_exact,NGC4183,74.0,0.0,Bizyaev_2014,3,0.35,-3.0,1.9500000000000002,2.7072768484367566,-0.7572768484367565,-0.9717267126823903,1.7290035611191468,0.00785147024901855,0.1852304169022548,0.5,0.5002378686964796,1.0655044178299748,0.5002378686964796,120.24031933460549,0.9999802736073444,0.5031811499315764,567.3962256345146,0.5031810180212444,670.1451766953197,670.6483577133409,83.7955148278157,27.204485172184306,27.235926555593068
