r_kpc,v_obs_kms,v_vis_kms,v_err_kms,galaxy,v_gas_kmps,v_disk_kmps,v_bul_kmps,a_obs_kmps2_per_kpc,matched_sparc_name,matched_sparc_name_norm,included_source_catalog,secondary_source_catalog,duplicate_flag,duplicate_status,source_object_name_primary,source_object_name_secondary,structure_2014_Name,structure_2014_preferred_name,structure_2014_catalog_name_normalized,structure_2014_RAJ2000,structure_2014_DEJ2000,structure_2014_Band,structure_2014_h,structure_2014_e_h,structure_2014_z0,structure_2014_e_z0,structure_2014_z0_over_h,structure_2014_h_over_z0,structure_2014_S0,structure_2014_e_S0,structure_2014_gradz0,structure_2014_mag,structure_2014_B/T,structure_2014_Type,structure_2014_RV,structure_2014_AName,structure_2014_NED,structure_2014_thickness_flag,structure_2014_biz_name,structure_2014_biz_name_norm,structure_2014_biz_catalog_token,structure_2014_RA_match_deg,structure_2014_DE_match_deg,structure_2014_biz_aname_norm,structure_2014_biz_aname_token,structure_2014_biz_ned_norm,structure_2014_biz_ned_token,structure_2014_matched,structure_2014_match_reason,structure_2014_matched_sparc_name,structure_2014_matched_sparc_index,structure_2014_matched_sep_deg,structure_2014___source_catalog__,h_kpc,segment_index,Dw_i,sigma_i,beta_i,source_core_i,info_source_i,I_struct_i,gamma_topo,alpha_geom_i,alpha_density_i,weight_geom_i,weight_density_i,mass_bar_segment_msun,mass_norm_i,alpha_relax_i,neighbor_gradient_i,ell_info_kpc,c_info_gal,tau_struct_gal,mean_dw_pert,mean_sigma,mean_beta,r_scale,dw_internal,dw_external,observer_gap,observer_factor,factor_dw,factor_sigma,factor_rscale,factor_beta,gamma_raw,g_topo_km2s2_per_kpc,v_struct_kms,v_topo_total_kms,rotation_residual_topo_kms,rotation_residual_vis_only_kms,source_file,structure_2002_preferred_name,structure_2002_catalog_name_normalized,structure_2002_RFGC_int,structure_2002_Dist,structure_2002_Re,structure_2002_Z0,structure_2002_z0_over_re,structure_2002_S0,structure_2002_RAJ2000_deg,structure_2002_DEJ2000_deg,structure_2002_Note,structure_2002_has_ned_link_flag,structure_2002_has_simbad_link_flag,structure_2002_source_catalog,structure_2002__Glon,structure_2002__Glat,structure_2002__RAJ2000,structure_2002__DEJ2000,structure_2002__RAB1950,structure_2002__DEB1950,structure_2002__Elon2000,structure_2002__Elat2000,structure_2002_RFGC,structure_2002__RA,structure_2002__DE,structure_2002_NED,structure_2002_Simbad,structure_2002_biz_name,structure_2002_biz_name_norm,structure_2002_biz_catalog_token,structure_2002_RA_match_deg,structure_2002_DE_match_deg,structure_2002_biz_aname_norm,structure_2002_biz_aname_token,structure_2002_biz_ned_norm,structure_2002_biz_ned_token,structure_2002_matched,structure_2002_match_reason,structure_2002_matched_sparc_name,structure_2002_matched_sparc_index,structure_2002_matched_sep_deg,structure_2002___source_catalog__
0.41,15.0,13.301372109673498,4.1,DDO168,10.41,8.28,0.0,548.7804878048781,DDO168,DDO168,Bizyaev_2014,,False,unique_to_2014,PGC2275350,,EON_198.280_46.098,PGC2275350,PGC2275350,198.279648,46.098438,r,8.07,1.36,1.24,0.12,0.1536555142503098,6.508064516129033,22.76,0.33,-0.121,16.84,0.05,SD,8896.0,PGC2275350,NED,intermediate,PGC2275350,PGC2275350,PGC2275350,198.279648,46.098438,PGC2275350,PGC2275350,NED,,True,coord_review,DDO168,7.0,0.2944694149658889,Bizyaev_2014,0.35,1,2.336769500481895,0.03266377699279133,0.9758402699456329,0.02039003158759306,0.019897413928636795,0.05710317933181856,331109.07101626246,2.1578330418109193,2.416906618983465,0.19690600903263947,0.4396672179652319,149296598.71170092,0.6242398603227362,0.026299641757683734,0.01979622848047959,2.0,1.0,2.0,0.32043761198549925,0.03266377699279133,0.9849698294340112,2.3074512826452187,2.310469858724211,2.3204376119854992,0.00996775326128807,1.0282291533605405,10.681253732883308,3.2663776993791327,0.9229805130584875,1.0,331109.07101626246,112476.98191929498,214.74534357445552,215.15689411894508,-200.15689411894508,1.6986278903265024,DDO168_pointwise_topostructure_v8_5.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.82,23.4,22.071746645881923,1.3,DDO168,18.08,12.66,0.0,667.7560975609756,DDO168,DDO168,Bizyaev_2014,,False,unique_to_2014,PGC2275350,,EON_198.280_46.098,PGC2275350,PGC2275350,198.279648,46.098438,r,8.07,1.36,1.24,0.12,0.1536555142503098,6.508064516129033,22.76,0.33,-0.121,16.84,0.05,SD,8896.0,PGC2275350,NED,intermediate,PGC2275350,PGC2275350,PGC2275350,198.279648,46.098438,PGC2275350,PGC2275350,NED,,True,coord_review,DDO168,7.0,0.2944694149658889,Bizyaev_2014,0.35,1,2.336769500481895,0.03266377699279133,0.9758402699456329,0.02039003158759306,0.019897413928636795,0.05710317933181856,331109.07101626246,2.1578330418109193,2.416906618983465,0.19690600903263947,0.4396672179652319,149296598.71170092,0.6242398603227362,0.026299641757683734,0.01979622848047959,2.0,1.0,2.0,0.32043761198549925,0.03266377699279133,0.9849698294340112,2.3074512826452187,2.310469858724211,2.3204376119854992,0.00996775326128807,1.0282291533605405,10.681253732883308,3.2663776993791327,0.9229805130584875,1.0,331109.07101626246,28119.245479823745,151.8478886697325,153.44361600749468,-130.04361600749468,1.3282533541180754,DDO168_pointwise_topostructure_v8_5.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.24,29.2,25.138022993067693,1.5,DDO168,20.09,15.11,0.0,687.6129032258065,DDO168,DDO168,Bizyaev_2014,,False,unique_to_2014,PGC2275350,,EON_198.280_46.098,PGC2275350,PGC2275350,198.279648,46.098438,r,8.07,1.36,1.24,0.12,0.1536555142503098,6.508064516129033,22.76,0.33,-0.121,16.84,0.05,SD,8896.0,PGC2275350,NED,intermediate,PGC2275350,PGC2275350,PGC2275350,198.279648,46.098438,PGC2275350,PGC2275350,NED,,True,coord_review,DDO168,7.0,0.2944694149658889,Bizyaev_2014,0.35,1,2.336769500481895,0.03266377699279133,0.9758402699456329,0.02039003158759306,0.019897413928636795,0.05710317933181856,331109.07101626246,2.1578330418109193,2.416906618983465,0.19690600903263947,0.4396672179652319,149296598.71170092,0.6242398603227362,0.026299641757683734,0.01979622848047959,2.0,1.0,2.0,0.32043761198549925,0.03266377699279133,0.9849698294340112,2.3074512826452187,2.310469858724211,2.3204376119854992,0.00996775326128807,1.0282291533605405,10.681253732883308,3.2663776993791327,0.9229805130584875,1.0,331109.07101626246,12296.683572212203,123.4823373181085,126.01510952875108,-96.81510952875108,4.061977006932306,DDO168_pointwise_topostructure_v8_5.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.64,36.2,25.762765767673315,1.1,DDO168,20.2,15.99,0.0,799.0487804878051,DDO168,DDO168,Bizyaev_2014,,False,unique_to_2014,PGC2275350,,EON_198.280_46.098,PGC2275350,PGC2275350,198.279648,46.098438,r,8.07,1.36,1.24,0.12,0.1536555142503098,6.508064516129033,22.76,0.33,-0.121,16.84,0.05,SD,8896.0,PGC2275350,NED,intermediate,PGC2275350,PGC2275350,PGC2275350,198.279648,46.098438,PGC2275350,PGC2275350,NED,,True,coord_review,DDO168,7.0,0.2944694149658889,Bizyaev_2014,0.35,1,2.336769500481895,0.03266377699279133,0.9758402699456329,0.02039003158759306,0.019897413928636795,0.05710317933181856,331109.07101626246,2.1578330418109193,2.416906618983465,0.19690600903263947,0.4396672179652319,149296598.71170092,0.6242398603227362,0.026299641757683734,0.01979622848047959,2.0,1.0,2.0,0.32043761198549925,0.03266377699279133,0.9849698294340112,2.3074512826452187,2.310469858724211,2.3204376119854992,0.00996775326128807,1.0282291533605405,10.681253732883308,3.2663776993791327,0.9229805130584875,1.0,331109.07101626246,7029.811369955936,107.37267178722776,110.42015552754731,-74.2201555275473,10.437234232326688,DDO168_pointwise_topostructure_v8_5.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.47,52.1,28.32203735609428,1.2,DDO168,22.63,17.03,0.0,1098.9514170040486,DDO168,DDO168,Bizyaev_2014,,False,unique_to_2014,PGC2275350,,EON_198.280_46.098,PGC2275350,PGC2275350,198.279648,46.098438,r,8.07,1.36,1.24,0.12,0.1536555142503098,6.508064516129033,22.76,0.33,-0.121,16.84,0.05,SD,8896.0,PGC2275350,NED,intermediate,PGC2275350,PGC2275350,PGC2275350,198.279648,46.098438,PGC2275350,PGC2275350,NED,,True,coord_review,DDO168,7.0,0.2944694149658889,Bizyaev_2014,0.35,2,2.3041057234891036,0.03266377699279133,0.9940993889223897,0.04144986449587701,0.04120528496626719,0.07970952038959145,331109.07101626246,2.0635330888641175,2.3613389548146833,0.130515007629706,0.5486032942114448,616964743.3162987,1.2689856566503228,0.006364135235107593,0.019796228480479593,2.0,1.0,2.0,0.32043761198549925,0.03266377699279133,0.9849698294340112,2.3074512826452187,2.310469858724211,2.3204376119854992,0.00996775326128807,1.0282291533605405,10.681253732883308,3.2663776993791327,0.9229805130584875,1.0,331109.07101626246,4326.008498311635,103.36943934659672,107.17919010157587,-55.07919010157587,23.77796264390572,DDO168_pointwise_topostructure_v8_5.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.89,52.9,28.554554803043242,1.7,DDO168,22.95,16.99,0.0,968.3079584775086,DDO168,DDO168,Bizyaev_2014,,False,unique_to_2014,PGC2275350,,EON_198.280_46.098,PGC2275350,PGC2275350,198.279648,46.098438,r,8.07,1.36,1.24,0.12,0.1536555142503098,6.508064516129033,22.76,0.33,-0.121,16.84,0.05,SD,8896.0,PGC2275350,NED,intermediate,PGC2275350,PGC2275350,PGC2275350,198.279648,46.098438,PGC2275350,PGC2275350,NED,,True,coord_review,DDO168,7.0,0.2944694149658889,Bizyaev_2014,0.35,2,2.3041057234891036,0.03266377699279133,0.9940993889223897,0.04144986449587701,0.04120528496626719,0.07970952038959145,331109.07101626246,2.0635330888641175,2.3613389548146833,0.130515007629706,0.5486032942114448,616964743.3162987,1.2689856566503228,0.006364135235107593,0.019796228480479593,2.0,1.0,2.0,0.32043761198549925,0.03266377699279133,0.9849698294340112,2.3074512826452187,2.310469858724211,2.3204376119854992,0.00996775326128807,1.0282291533605405,10.681253732883308,3.2663776993791327,0.9229805130584875,1.0,331109.07101626246,3159.9891341518246,95.56342709268422,99.73831358960695,-46.83831358960695,24.345445196956756,DDO168_pointwise_topostructure_v8_5.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.3,54.8,28.506204587773517,2.2,DDO168,22.74,17.19,0.0,910.0121212121212,DDO168,DDO168,Bizyaev_2014,,False,unique_to_2014,PGC2275350,,EON_198.280_46.098,PGC2275350,PGC2275350,198.279648,46.098438,r,8.07,1.36,1.24,0.12,0.1536555142503098,6.508064516129033,22.76,0.33,-0.121,16.84,0.05,SD,8896.0,PGC2275350,NED,intermediate,PGC2275350,PGC2275350,PGC2275350,198.279648,46.098438,PGC2275350,PGC2275350,NED,,True,coord_review,DDO168,7.0,0.2944694149658889,Bizyaev_2014,0.35,2,2.3041057234891036,0.03266377699279133,0.9940993889223897,0.04144986449587701,0.04120528496626719,0.07970952038959145,331109.07101626246,2.0635330888641175,2.3613389548146833,0.130515007629706,0.5486032942114448,616964743.3162987,1.2689856566503228,0.006364135235107593,0.019796228480479593,2.0,1.0,2.0,0.32043761198549925,0.03266377699279133,0.9849698294340112,2.3074512826452187,2.310469858724211,2.3204376119854992,0.00996775326128807,1.0282291533605405,10.681253732883308,3.2663776993791327,0.9229805130584875,1.0,331109.07101626246,2423.5578739531184,89.43008992528907,93.8634363532749,-39.06343635327491,26.29379541222648,DDO168_pointwise_topostructure_v8_5.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.71,55.0,28.488123841348344,2.5,DDO168,22.74,17.16,0.0,815.3638814016173,DDO168,DDO168,Bizyaev_2014,,False,unique_to_2014,PGC2275350,,EON_198.280_46.098,PGC2275350,PGC2275350,198.279648,46.098438,r,8.07,1.36,1.24,0.12,0.1536555142503098,6.508064516129033,22.76,0.33,-0.121,16.84,0.05,SD,8896.0,PGC2275350,NED,intermediate,PGC2275350,PGC2275350,PGC2275350,198.279648,46.098438,PGC2275350,PGC2275350,NED,,True,coord_review,DDO168,7.0,0.2944694149658889,Bizyaev_2014,0.35,2,2.3041057234891036,0.03266377699279133,0.9940993889223897,0.04144986449587701,0.04120528496626719,0.07970952038959145,331109.07101626246,2.0635330888641175,2.3613389548146833,0.130515007629706,0.5486032942114448,616964743.3162987,1.2689856566503228,0.006364135235107593,0.019796228480479593,2.0,1.0,2.0,0.32043761198549925,0.03266377699279133,0.9849698294340112,2.3074512826452187,2.310469858724211,2.3204376119854992,0.00996775326128807,1.0282291533605405,10.681253732883308,3.2663776993791327,0.9229805130584875,1.0,331109.07101626246,1917.4915357596542,84.34390077337137,89.02509083212617,-34.02509083212617,26.511876158651656,DDO168_pointwise_topostructure_v8_5.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.12,52.0,28.01935937882949,2.7,DDO168,22.74,16.37,0.0,656.3106796116505,DDO168,DDO168,Bizyaev_2014,,False,unique_to_2014,PGC2275350,,EON_198.280_46.098,PGC2275350,PGC2275350,198.279648,46.098438,r,8.07,1.36,1.24,0.12,0.1536555142503098,6.508064516129033,22.76,0.33,-0.121,16.84,0.05,SD,8896.0,PGC2275350,NED,intermediate,PGC2275350,PGC2275350,PGC2275350,198.279648,46.098438,PGC2275350,PGC2275350,NED,,True,coord_review,DDO168,7.0,0.2944694149658889,Bizyaev_2014,0.35,2,2.3041057234891036,0.03266377699279133,0.9940993889223897,0.04144986449587701,0.04120528496626719,0.07970952038959145,331109.07101626246,2.0635330888641175,2.3613389548146833,0.130515007629706,0.5486032942114448,616964743.3162987,1.2689856566503228,0.006364135235107593,0.019796228480479593,2.0,1.0,2.0,0.32043761198549925,0.03266377699279133,0.9849698294340112,2.3074512826452187,2.310469858724211,2.3204376119854992,0.00996775326128807,1.0282291533605405,10.681253732883308,3.2663776993791327,0.9229805130584875,1.0,331109.07101626246,1554.8440738611944,80.03722624071952,84.80001228955172,-32.80001228955172,23.98064062117051,DDO168_pointwise_topostructure_v8_5.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.45,18.9,65.19,9.78,ESO563-G021,0.0,65.19,0.0,793.7999999999998,ESO563-G021,ESO563G021,Bizyaev_2002,,False,unique_to_2002,RFGC1431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35,1,2.186015068932963,0.05500655985145597,0.9832363860518377,0.010276919292787037,0.010104640985186333,0.20821062208105057,551034.7699081653,2.0498580456173694,2.2218950323292916,0.09210087249930783,0.3495037189909159,11131020785.313784,0.1868307947368393,0.0211330528149678,0.012361024685720442,8.5,1.0,2.0,0.18121344789491375,0.04681552919023404,0.9685584807666012,4.545891879704271,2.1648820161179954,2.1812134478949137,0.016331431776918315,1.0716199843795293,6.040448263197126,4.681552919123404,1.8183567518821087,1.0,551034.7699081653,566574.2826215687,504.93408201438126,509.1248994890212,-490.2248994890212,-46.29,ESO563-G021_pointwise_topostructure_v8_5.csv,RFGC1431,RFGC1431,1431.0,58.34,5.42,1.38,0.2546125461254612,17.51,131.82,-20.036111,x,True,True,Bizyaev 2002,244.867038,14.396511,131.82,-20.036111,131.254991,-19.851531,141.066163,-36.358796,1431.0,131.82,-20.0361,NED,Simbad,RFGC1431,RFGC1431,,131.82,-20.036111,,,NED,,True,coord_strict,ESO563-G021,12.0,0.000839320724025,Bizyaev_2002
