r_kpc,v_obs_kms,v_vis_kms,v_err_kms,galaxy,v_gas_kmps,v_disk_kmps,v_bul_kmps,a_obs_kmps2_per_kpc,matched_sparc_name,matched_sparc_name_norm,included_source_catalog,secondary_source_catalog,duplicate_flag,duplicate_status,source_object_name_primary,source_object_name_secondary,structure_2014_Name,structure_2014_preferred_name,structure_2014_catalog_name_normalized,structure_2014_RAJ2000,structure_2014_DEJ2000,structure_2014_Band,structure_2014_h,structure_2014_e_h,structure_2014_z0,structure_2014_e_z0,structure_2014_z0_over_h,structure_2014_h_over_z0,structure_2014_S0,structure_2014_e_S0,structure_2014_gradz0,structure_2014_mag,structure_2014_B/T,structure_2014_Type,structure_2014_RV,structure_2014_AName,structure_2014_NED,structure_2014_thickness_flag,structure_2014_biz_name,structure_2014_biz_name_norm,structure_2014_biz_catalog_token,structure_2014_RA_match_deg,structure_2014_DE_match_deg,structure_2014_biz_aname_norm,structure_2014_biz_aname_token,structure_2014_biz_ned_norm,structure_2014_biz_ned_token,structure_2014_matched,structure_2014_match_reason,structure_2014_matched_sparc_name,structure_2014_matched_sparc_index,structure_2014_matched_sep_deg,structure_2014___source_catalog__,h_kpc,segment_index,Dw_i,sigma_i,beta_i,source_core_i,info_source_i,I_struct_i,gamma_topo,alpha_geom_i,alpha_density_i,weight_geom_i,weight_density_i,mass_bar_segment_msun,mass_norm_i,alpha_relax_i,neighbor_gradient_i,ell_info_kpc,c_info_gal,tau_struct_gal,mean_dw_pert,mean_sigma,mean_beta,r_scale,dw_internal,dw_external,observer_gap,observer_factor,factor_dw,factor_sigma,factor_rscale,factor_beta,gamma_raw,g_topo_km2s2_per_kpc,v_struct_kms,v_topo_total_kms,rotation_residual_topo_kms,rotation_residual_vis_only_kms
0.33,90.0,44.56,20.0,NGC2998,0.0,44.56,0.0,24545.454545454544,NGC2998,NGC2998,Bizyaev_2014,,False,unique_to_2014,NGC03005,,EON_147.312_44.131,NGC03005,NGC03005,147.312408,44.13089,r,5.9,0.23,3.31,0.55,0.5610169491525423,1.782477341389728,20.48,0.25,0.243,14.64,0.14,SC,4635.0,NGC3005,NED,thick_like,NGC03005,NGC03005,NGC3005,147.312408,44.13089,NGC3005,NGC3005,NED,,True,coord_review,NGC2998,51.0,0.1060989322735624,Bizyaev_2014,0.35,1,2.4538713428944883,0.26573211660963025,0.8635718729985827,0.0504781913569458,0.043591546255698554,1.7408492765069796,1000000.0,2.1015338100073886,2.5462874529987722,0.15893772155889335,0.6059519777835939,3891268650.0421133,0.18995894060897434,0.3358330892650252,0.11503554831585724,13.850000000000001,1.0,2.0,0.23875261919825874,0.18981202723952917,0.9333105732915167,4.852976785523648,2.118038253629463,2.2387526191982587,0.12071436556879567,1.281671310436287,7.958420639975292,18.981202724052917,1.9411907142098592,1.0,3758334.975942893,15985760.114848297,2296.802307100012,2297.2345181761348,-2207.2345181761348,45.44
0.99,125.0,93.2323361286201,15.0,NGC2998,0.66,93.23,0.0,15782.828282828285,NGC2998,NGC2998,Bizyaev_2014,,False,unique_to_2014,NGC03005,,EON_147.312_44.131,NGC03005,NGC03005,147.312408,44.13089,r,5.9,0.23,3.31,0.55,0.5610169491525423,1.782477341389728,20.48,0.25,0.243,14.64,0.14,SC,4635.0,NGC3005,NED,thick_like,NGC03005,NGC03005,NGC3005,147.312408,44.13089,NGC3005,NGC3005,NED,,True,coord_review,NGC2998,51.0,0.1060989322735624,Bizyaev_2014,0.35,1,2.4538713428944883,0.26573211660963025,0.8635718729985827,0.0504781913569458,0.043591546255698554,1.7408492765069796,1000000.0,2.1015338100073886,2.5462874529987722,0.15893772155889335,0.6059519777835939,3891268650.0421133,0.18995894060897434,0.3358330892650252,0.11503554831585724,13.850000000000001,1.0,2.0,0.23875261919825874,0.18981202723952917,0.9333105732915167,4.852976785523648,2.118038253629463,2.2387526191982587,0.12071436556879567,1.281671310436287,7.958420639975292,18.981202724052917,1.9411907142098592,1.0,3758334.975942893,1776195.5683164776,1326.0594302795455,1329.3328707036899,-1204.3328707036899,31.767663871379895
1.98,148.0,132.156772433349,15.0,NGC2998,2.66,132.13,0.0,11062.626262626263,NGC2998,NGC2998,Bizyaev_2014,,False,unique_to_2014,NGC03005,,EON_147.312_44.131,NGC03005,NGC03005,147.312408,44.13089,r,5.9,0.23,3.31,0.55,0.5610169491525423,1.782477341389728,20.48,0.25,0.243,14.64,0.14,SC,4635.0,NGC3005,NED,thick_like,NGC03005,NGC03005,NGC3005,147.312408,44.13089,NGC3005,NGC3005,NED,,True,coord_review,NGC2998,51.0,0.1060989322735624,Bizyaev_2014,0.35,1,2.4538713428944883,0.26573211660963025,0.8635718729985827,0.0504781913569458,0.043591546255698554,1.7408492765069796,1000000.0,2.1015338100073886,2.5462874529987722,0.15893772155889335,0.6059519777835939,3891268650.0421133,0.18995894060897434,0.3358330892650252,0.11503554831585724,13.850000000000001,1.0,2.0,0.23875261919825874,0.18981202723952917,0.9333105732915167,4.852976785523648,2.118038253629463,2.2387526191982587,0.12071436556879567,1.281671310436287,7.958420639975292,18.981202724052917,1.9411907142098592,1.0,3758334.975942893,444048.8920791194,937.6656154070365,946.9330593112992,-798.9330593112992,15.843227566650995
3.63,201.0,196.78832409469825,15.0,NGC2998,6.22,196.69,0.0,11129.752066115703,NGC2998,NGC2998,Bizyaev_2014,,False,unique_to_2014,NGC03005,,EON_147.312_44.131,NGC03005,NGC03005,147.312408,44.13089,r,5.9,0.23,3.31,0.55,0.5610169491525423,1.782477341389728,20.48,0.25,0.243,14.64,0.14,SC,4635.0,NGC3005,NED,thick_like,NGC03005,NGC03005,NGC3005,147.312408,44.13089,NGC3005,NGC3005,NED,,True,coord_review,NGC2998,51.0,0.1060989322735624,Bizyaev_2014,0.35,2,2.188139226284858,0.18981202723952917,0.964168695861194,0.18981202723952917,0.18301081476230627,3.209441551333404,1000000.0,2.008162538195658,2.198265904035602,0.02813330398025076,0.5,107837978329.4842,1.0,0.07010097265539494,0.013704839511879362,13.850000000000001,1.0,2.0,0.23875261919825874,0.18981202723952917,0.9333105732915167,4.852976785523648,2.118038253629463,2.2387526191982587,0.12071436556879567,1.281671310436287,7.958420639975292,18.981202724052917,1.9411907142098592,1.0,3758334.975942893,243565.751529829,940.2891459829148,960.660878017461,-759.660878017461,4.211675905301746
7.59,206.0,222.21899558768598,10.0,NGC2998,16.84,221.58,0.0,5591.040843214756,NGC2998,NGC2998,Bizyaev_2014,,False,unique_to_2014,NGC03005,,EON_147.312_44.131,NGC03005,NGC03005,147.312408,44.13089,r,5.9,0.23,3.31,0.55,0.5610169491525423,1.782477341389728,20.48,0.25,0.243,14.64,0.14,SC,4635.0,NGC3005,NED,thick_like,NGC03005,NGC03005,NGC3005,147.312408,44.13089,NGC3005,NGC3005,NED,,True,coord_review,NGC2998,51.0,0.1060989322735624,Bizyaev_2014,0.35,2,2.188139226284858,0.18981202723952917,0.964168695861194,0.18981202723952917,0.18301081476230627,3.209441551333404,1000000.0,2.008162538195658,2.198265904035602,0.02813330398025076,0.5,107837978329.4842,1.0,0.07010097265539494,0.013704839511879362,13.850000000000001,1.0,2.0,0.23875261919825874,0.18981202723952917,0.9333105732915167,4.852976785523648,2.118038253629463,2.2387526191982587,0.12071436556879567,1.281671310436287,7.958420639975292,18.981202724052917,1.9411907142098592,1.0,3758334.975942893,55711.63692837298,650.2701932937961,687.1918264111928,-481.1918264111928,-16.21899558768598
12.5,214.0,215.5871510549736,5.0,NGC2998,32.06,213.19,0.0,3663.68,NGC2998,NGC2998,Bizyaev_2014,,False,unique_to_2014,NGC03005,,EON_147.312_44.131,NGC03005,NGC03005,147.312408,44.13089,r,5.9,0.23,3.31,0.55,0.5610169491525423,1.782477341389728,20.48,0.25,0.243,14.64,0.14,SC,4635.0,NGC3005,NED,thick_like,NGC03005,NGC03005,NGC3005,147.312408,44.13089,NGC3005,NGC3005,NED,,True,coord_review,NGC2998,51.0,0.1060989322735624,Bizyaev_2014,0.35,2,2.188139226284858,0.18981202723952917,0.964168695861194,0.18981202723952917,0.18301081476230627,3.209441551333404,1000000.0,2.008162538195658,2.198265904035602,0.02813330398025076,0.5,107837978329.4842,1.0,0.07010097265539494,0.013704839511879362,13.850000000000001,1.0,2.0,0.23875261919825874,0.18981202723952917,0.9333105732915167,4.852976785523648,2.118038253629463,2.2387526191982587,0.12071436556879567,1.281671310436287,7.958420639975292,18.981202724052917,1.9411907142098592,1.0,3758334.975942893,20540.425928533783,506.7102960338109,550.6660910267422,-336.66609102674215,-1.5871510549735888
22.46,213.0,183.43258516414144,2.0,NGC2998,52.43,175.78,0.0,2019.9910952804985,NGC2998,NGC2998,Bizyaev_2014,,False,unique_to_2014,NGC03005,,EON_147.312_44.131,NGC03005,NGC03005,147.312408,44.13089,r,5.9,0.23,3.31,0.55,0.5610169491525423,1.782477341389728,20.48,0.25,0.243,14.64,0.14,SC,4635.0,NGC3005,NED,thick_like,NGC03005,NGC03005,NGC3005,147.312408,44.13089,NGC3005,NGC3005,NED,,True,coord_review,NGC2998,51.0,0.1060989322735624,Bizyaev_2014,0.35,3,2.07424728841543,0.11389193786942808,0.9721911510147732,0.15605857319624045,0.15171876390137623,3.5425486704864704,1000000.0,2.0029859180372473,2.0774888816211057,0.013629655417231136,0.29962671476288577,202470164762.45087,1.3702337155344084,0.04379096521403314,0.005746313716923718,13.850000000000001,1.0,2.0,0.23875261919825874,0.18981202723952917,0.9333105732915167,4.852976785523648,2.118038253629463,2.2387526191982587,0.12071436556879567,1.281671310436287,7.958420639975292,18.981202724052917,1.9411907142098592,1.0,3758334.975942893,7022.573960487924,397.1486008442668,437.4637407289418,-224.4637407289418,29.567414835858557
27.44,214.0,172.84412920316385,2.0,NGC2998,58.37,162.69,0.0,1668.9504373177842,NGC2998,NGC2998,Bizyaev_2014,,False,unique_to_2014,NGC03005,,EON_147.312_44.131,NGC03005,NGC03005,147.312408,44.13089,r,5.9,0.23,3.31,0.55,0.5610169491525423,1.782477341389728,20.48,0.25,0.243,14.64,0.14,SC,4635.0,NGC3005,NED,thick_like,NGC03005,NGC03005,NGC3005,147.312408,44.13089,NGC3005,NGC3005,NED,,True,coord_review,NGC2998,51.0,0.1060989322735624,Bizyaev_2014,0.35,3,2.07424728841543,0.11389193786942808,0.9721911510147732,0.15605857319624045,0.15171876390137623,3.5425486704864704,1000000.0,2.0029859180372473,2.0774888816211057,0.013629655417231136,0.29962671476288577,202470164762.45087,1.3702337155344084,0.04379096521403314,0.005746313716923718,13.850000000000001,1.0,2.0,0.23875261919825874,0.18981202723952917,0.9333105732915167,4.852976785523648,2.118038253629463,2.2387526191982587,0.12071436556879567,1.281671310436287,7.958420639975292,18.981202724052917,1.9411907142098592,1.0,3758334.975942893,4704.869822637769,359.3071498497913,398.718849483167,-184.718849483167,41.155870796836155
32.32,213.0,164.13762152535293,2.0,NGC2998,63.92,151.18,0.0,1403.743811881188,NGC2998,NGC2998,Bizyaev_2014,,False,unique_to_2014,NGC03005,,EON_147.312_44.131,NGC03005,NGC03005,147.312408,44.13089,r,5.9,0.23,3.31,0.55,0.5610169491525423,1.782477341389728,20.48,0.25,0.243,14.64,0.14,SC,4635.0,NGC3005,NED,thick_like,NGC03005,NGC03005,NGC3005,147.312408,44.13089,NGC3005,NGC3005,NED,,True,coord_review,NGC2998,51.0,0.1060989322735624,Bizyaev_2014,0.35,3,2.07424728841543,0.11389193786942808,0.9721911510147732,0.15605857319624045,0.15171876390137623,3.5425486704864704,1000000.0,2.0029859180372473,2.0774888816211057,0.013629655417231136,0.29962671476288577,202470164762.45087,1.3702337155344084,0.04379096521403314,0.005746313716923718,13.850000000000001,1.0,2.0,0.23875261919825874,0.18981202723952917,0.9333105732915167,4.852976785523648,2.118038253629463,2.2387526191982587,0.12071436556879567,1.281671310436287,7.958420639975292,18.981202724052917,1.9411907142098592,1.0,3758334.975942893,3391.3539712008073,331.0718356327069,369.52634432366267,-156.52634432366267,48.86237847464707
37.3,213.0,154.5049643215389,3.0,NGC2998,66.04,139.68,0.0,1216.3270777479893,NGC2998,NGC2998,Bizyaev_2014,,False,unique_to_2014,NGC03005,,EON_147.312_44.131,NGC03005,NGC03005,147.312408,44.13089,r,5.9,0.23,3.31,0.55,0.5610169491525423,1.782477341389728,20.48,0.25,0.243,14.64,0.14,SC,4635.0,NGC3005,NED,thick_like,NGC03005,NGC03005,NGC3005,147.312408,44.13089,NGC3005,NGC3005,NED,,True,coord_review,NGC2998,51.0,0.1060989322735624,Bizyaev_2014,0.35,3,2.07424728841543,0.11389193786942808,0.9721911510147732,0.15605857319624045,0.15171876390137623,3.5425486704864704,1000000.0,2.0029859180372473,2.0774888816211057,0.013629655417231136,0.29962671476288577,202470164762.45087,1.3702337155344084,0.04379096521403314,0.005746313716923718,13.850000000000001,1.0,2.0,0.23875261919825874,0.18981202723952917,0.9333105732915167,4.852976785523648,2.118038253629463,2.2387526191982587,0.12071436556879567,1.281671310436287,7.958420639975292,18.981202724052917,1.9411907142098592,1.0,3758334.975942893,2546.233114941149,308.1793231015099,344.7408870257557,-131.74088702575568,58.49503567846111
