galaxy,gamma_topo,mean_dw_pert,mean_sigma,mean_beta,r_scale,dw_internal,dw_external,observer_gap,observer_factor,factor_dw,factor_sigma,factor_rscale,factor_beta,gamma_raw,n_points,n_segments,mean_Dw_i,mean_sigma_i,mean_beta_i,mean_info_source_i,mean_v_struct_kms,rmse_vis_only_kms,rmse_topo_kms,mae_vis_only_kms,mae_topo_kms,reduced_chi2_vis_only,reduced_chi2_topo,rmse_improvement_kms,mae_improvement_kms
NGC5985,1000000.0,0.34372643559115656,0.11463475153485439,0.9109829609000553,2.283189162646466,2.2986962061861425,2.3437264355911567,0.04503022940501422,1.098241802905172,11.457547853071885,11.463475153585438,0.9132756650589865,1.0,1317370.1842190379,29,5,2.3437264355911567,0.11463475153485439,0.9109829609000553,0.10598744753022574,232.71515826091263,80.13422110229563,56.69165169971721,79.36502297396683,40.1445002376319,253.88130843550564,156.64447262704704,23.442569402578414,39.22052273633493
NGC4068,1.0010527404065852e-05,0.3119819483268409,0.0,1.0,2.4065160158422776,2.311981948326841,2.311981948326841,0.0,1.0,10.399398277594695,9.999999999999999e-11,0.9626064063373111,1.0,1.0010527404065852e-05,6,1,2.311981948326841,0.0,1.0,0.0,0.0,6.0332781675934655,6.0332781675934655,4.801296271137378,4.801296271137378,5.445130931015962,5.445130931015962,0.0,0.0
UGCA281,8.619799174072519e-06,0.44181278063747165,0.0,1.0,1.463255402256019,2.4418127806374716,2.4418127806374716,0.0,1.0,14.727092687949055,9.999999999999999e-11,0.5853021609028076,1.0,8.619799174072519e-06,6,1,2.4418127806374716,0.0,1.0,0.0,0.0,7.177529777039661,7.177529777039661,6.688468146271515,6.688468146271515,21.399920300642766,21.399920300642766,0.0,0.0
NGC4389,9.621947850433724e-06,0.3985375778607012,0.0,1.0,1.8107353706870606,2.398537577860701,2.398537577860701,0.0,1.0,13.284585928723374,9.999999999999999e-11,0.7242941482752243,1.0,9.621947850433724e-06,6,1,2.398537577860701,0.0,1.0,0.0,0.0,57.39781645079807,57.39781645079807,56.31212209049402,56.31212209049402,95.84293762891839,95.84293762891839,0.0,0.0
IC4202,527771.7192375588,0.2179823630375571,0.04906422213661612,0.9587406904611034,3.5156077328398996,2.2038986056885745,2.2179823630375575,0.014083757348982928,1.0527389531672806,7.266078767951904,4.906422213761612,1.4062430931363599,1.0,527771.7192375588,28,5,2.2179823630375575,0.04906422213661612,0.9587406904611034,0.04762082578761502,113.5230467139526,37.32068988815855,59.18956920122749,25.941003196887227,32.10854713439191,68.3607217596409,211.7587890844841,-21.868879313068945,-6.167543937504686
UGC12506,744828.302851506,0.19725107369235806,0.06676424770588137,0.9756379362317646,4.110273924149317,2.1888003024656717,2.197251073692358,0.00845077122668636,1.0320086394302066,6.575035789778602,6.676424770688137,1.644109569660127,1.0,744828.302851506,27,5,2.197251073692358,0.06676424770588137,0.9756379362317646,0.051612437729327644,168.46059729605548,78.6664731901264,113.43037983923277,77.98599478458165,61.74365969535664,36.1241909455634,27.41681360816756,-34.763906649106374,16.24233508922501
ESO563-G021,551034.7699081653,0.18121344789491375,0.04681552919023404,0.9685584807666012,4.545891879704271,2.1648820161179954,2.1812134478949137,0.016331431776918315,1.0716199843795293,6.040448263197126,4.681552919123404,1.8183567518821087,1.0,551034.7699081653,26,5,2.1812134478949137,0.04681552919023404,0.9685584807666012,0.035470427543826406,139.85933873098602,64.78208319473143,127.41315842296424,57.10482145811693,75.84879991288729,67.4922502885804,258.57581256987845,-62.63107522823282,-18.743978454770357
NGC4010,468794.4994479837,0.26800648768825797,0.052269730040814366,0.9788550288124548,2.4877760922159533,2.270848608904096,2.268006487688258,0.002842121215838045,1.0088739689633848,8.933549589641931,5.226973004181437,0.9951104368867814,1.0,468794.4994479837,10,3,2.268006487688258,0.052269730040814366,0.9788550288124548,0.045073449521563856,125.99761910096932,17.55139775692406,89.14971103747234,15.401422451744116,68.09522181448949,14.345191584623803,228.72767322722862,-71.59831328054828,-52.693799362745374
UGC04278,470123.6519365459,0.2354182784001007,0.03490557351462744,0.9583365631427746,3.86672673051297,2.2650654421191176,2.2354182784001004,0.02964716371901721,1.1096727629065053,7.847275946703357,3.4905573515627437,1.546690692205588,1.0,470123.6519365459,21,5,2.2354182784001004,0.03490557351462744,0.9583365631427746,0.051694124725557414,123.53630320254436,27.733839595268694,99.87419920288423,23.36036661759344,82.69237651365607,30.149033019702177,416.8728940911716,-72.14035960761554,-59.33200989606263
DDO168,331109.07101626246,0.32043761198549925,0.03266377699279133,0.9849698294340112,2.3074512826452187,2.310469858724211,2.3204376119854992,0.00996775326128807,1.0282291533605405,10.681253732883308,3.2663776993791327,0.9229805130584875,1.0,331109.07101626246,9,2,2.3204376119854992,0.03266377699279133,0.9849698294340112,0.030551349447451994,106.61498307688112,19.024813323289894,94.77632482233814,15.826201390734967,78.78242426098596,128.81094172142923,3077.7961746242268,-75.75151149904825,-62.956222870251
