galaxy_id,source,radius_kpc,v_obs_kms,v_err_kms,v_gas_kms,v_disk_kms,v_bulge_kms,v_bar_kms
F568-3,SPARC,0.64,12.4,8.6,1.18,13.56,0,13.61124535
F568-3,SPARC,1.18,21.9,6.2,1.55,21.17,0,21.22666719
F568-3,SPARC,1.8,32.3,1.88,1.6,27.72,0,27.76613765
F568-3,SPARC,2.03,37.9,6.2,1.54,29.76,0,29.79981879
F568-3,SPARC,2.78,53.1,9.5,1.46,36.4,0,36.42926845
F568-3,SPARC,3,62.4,11,1.62,38.08,0,38.11444346
F568-3,SPARC,3.64,68,6.2,2.96,42.4,0,42.50319517
F568-3,SPARC,4.19,78,7.98,5.28,45.43,0,45.73579889
F568-3,SPARC,4.6,82.3,6.2,6.86,46.43,0,46.93404415
F568-3,SPARC,5.14,85.7,6.3,8.92,47.19,0,48.02564419
F568-3,SPARC,5.39,85.5,6.51,9.95,47.91,0,48.9323063
F568-3,SPARC,6.31,89.5,15.6,14.48,50.48,0,52.51571955
F568-3,SPARC,9.1,95.2,15.5,26.69,51.31,0,57.83659914
F568-3,SPARC,10.17,97.5,6.2,29.9,52.01,0,59.99208364
F568-3,SPARC,11.99,101,10.2,33.72,51.6,0,61.64088254
F568-3,SPARC,14.02,107,10.7,36.41,50.13,0,61.95728367
F568-3,SPARC,15.94,117,11.7,38.69,49.27,0,62.64542282
F568-3,SPARC,17.98,120,12,39,48.97,0,62.60240331
