galaxy_id,source,radius_kpc,v_obs_kms,v_err_kms,v_gas_kms,v_disk_kms,v_bulge_kms,v_bar_kms
NGC7814,SPARC,0.63,265,15,-0.69,39.69,345.22,347.4940928
NGC7814,SPARC,1.72,250,15,-2.33,81.63,298.99,309.9330202
NGC7814,SPARC,2.79,233,7.29,-3.94,104.82,255.24,275.9251529
NGC7814,SPARC,3.91,230,6.45,-5.06,118.95,225.3,254.7728253
NGC7814,SPARC,5.03,228,5.37,-3.48,122.96,203.41,237.6863263
NGC7814,SPARC,6.14,228,5.16,1.4,120.03,186.27,221.5980004
NGC7814,SPARC,7.26,227,5.94,-1.38,115.88,172.25,207.6011486
NGC7814,SPARC,8.37,226,3,5.96,113.5,160.83,196.9366916
NGC7814,SPARC,9.5,223,3.92,11.22,109.97,151.12,187.2339277
NGC7814,SPARC,10.65,219,2.9,16.09,105.99,142.79,178.5546199
NGC7814,SPARC,11.74,216,2.55,18.57,102.02,136.04,171.0549821
NGC7814,SPARC,12.82,214,2.55,19.07,97.84,130.19,163.9687976
NGC7814,SPARC,14.01,214,3.07,17.78,93.27,124.54,156.6066183
NGC7814,SPARC,15.09,214,3.61,20.16,89.43,120.01,151.0183784
NGC7814,SPARC,16.18,214,4.46,23.24,85.93,115.89,146.1319767
NGC7814,SPARC,17.36,214,5.07,23.44,82.48,111.88,140.9592792
NGC7814,SPARC,18.44,214,4.78,23.34,79.67,108.55,136.6571147
NGC7814,SPARC,19.53,214,4.87,22.64,77.35,105.49,132.7544056
