galaxy_id,source,radius_kpc,v_obs_kms,v_err_kms,v_gas_kms,v_disk_kms,v_bulge_kms,v_bar_kms
UGC02953,SPARC,0.09,231,52.9,-0.75,12.18,80.49,81.40634189
UGC02953,SPARC,0.17,231,27.9,-0.9,23.29,154.33,156.0774583
UGC02953,SPARC,0.26,231,16.4,-0.97,35.2,203.79,206.80765
UGC02953,SPARC,0.34,231,11.9,-1,45.31,224.63,229.1541686
UGC02953,SPARC,0.43,232,8.04,-1.04,56.16,236.57,243.1446288
UGC02953,SPARC,0.51,232,6.53,-1.11,65.37,243.18,251.8129252
UGC02953,SPARC,0.6,232,4.75,-1.21,75.35,248.89,260.0458702
UGC02953,SPARC,0.69,232,4,-1.34,84.97,252.61,266.5177536
UGC02953,SPARC,0.77,233,5.69,-1.48,93.17,255.01,271.4972357
UGC02953,SPARC,0.86,233,4.83,-1.64,102.03,256.4,275.954853
UGC02953,SPARC,0.95,234,10.8,-1.82,110.51,257.17,279.9086798
UGC02953,SPARC,1.03,235,10.3,-2,117.74,258.4,283.9599753
UGC02953,SPARC,1.11,235,10.6,-2.17,124.74,258.76,287.2573849
UGC02953,SPARC,1.2,236,10.2,-2.35,132.45,259.47,291.3205853
UGC02953,SPARC,1.29,237,10.6,-2.54,139.94,259.74,295.0391011
UGC02953,SPARC,1.38,238,14.2,-2.73,147.1,259.48,298.2755109
UGC02953,SPARC,1.46,238,14.1,-2.94,153.23,258.65,300.6314278
UGC02953,SPARC,1.55,239,19.6,-3.15,159.87,257.13,302.7775649
UGC02953,SPARC,1.63,240,17.8,-3.37,165.58,255.36,304.3443215
UGC02953,SPARC,1.72,241,7.14,-3.59,171.83,252.89,305.7431945
UGC02953,SPARC,1.8,242,11.9,-3.81,177.21,250.43,306.7874981
UGC02953,SPARC,1.89,243,10.9,-4.02,183.03,247.35,307.7044091
UGC02953,SPARC,1.98,244,17.6,-4.24,188.55,244.09,308.4331866
UGC02953,SPARC,2.07,246,11.4,-4.48,193.82,240.73,309.0584496
UGC02953,SPARC,2.15,247,12.9,-4.72,198.33,237.68,309.5586718
UGC02953,SPARC,2.23,248,15.4,-4.99,202.68,234.62,310.0414921
UGC02953,SPARC,2.32,249,17.6,-5.25,207.44,231.17,310.5976859
UGC02953,SPARC,2.4,251,24,-5.52,211.55,228.14,311.129012
UGC02953,SPARC,2.49,252,10.1,-5.8,216.16,224.74,311.8224065
UGC02953,SPARC,2.58,253,12,-6.06,220.83,221.41,312.7111719
UGC02953,SPARC,2.67,254,6.34,-6.31,225.64,218.17,313.8655102
UGC02953,SPARC,2.75,256,6.22,-6.56,230,215.36,315.0871778
UGC02953,SPARC,2.83,257,5.6,-6.82,234.46,212.6,316.496843
UGC02953,SPARC,2.92,259,8.73,-7.07,239.57,209.57,318.297612
UGC02953,SPARC,3,260,5.19,-7.31,243.97,206.96,319.9278083
UGC02953,SPARC,3.09,262,11,-7.55,248.68,204.14,321.7372872
UGC02953,SPARC,3.18,263,16,-7.78,252.98,201.42,323.371144
UGC02953,SPARC,3.27,264,13.1,-8,256.93,198.78,324.8484467
UGC02953,SPARC,3.35,266,11.8,-8.21,260.17,196.48,326.0257955
UGC02953,SPARC,3.43,267,12.7,-8.4,263.1,194.27,327.0511319
UGC02953,SPARC,4.21,280,5.52,-9.93,282.25,175.61,332.4213209
UGC02953,SPARC,4.29,282,2.35,-10.07,283.7,173.97,332.7931052
UGC02953,SPARC,4.38,283,5.1,-10.2,285.12,172.2,333.0859565
UGC02953,SPARC,4.47,285,4.61,-10.32,286.54,170.45,333.4042203
UGC02953,SPARC,4.8,290,10.8,-10.66,290.98,164.51,334.2647162
UGC02953,SPARC,5.25,296,2.85,-10.87,296.92,157.31,336.0177413
UGC02953,SPARC,5.32,298,1.92,-10.98,297.8,156.27,336.3110954
UGC02953,SPARC,5.41,299,4.29,-10.98,298.79,154.97,336.5875295
UGC02953,SPARC,5.5,300,4.92,-10.87,299.65,153.7,336.7696728
UGC02953,SPARC,5.58,301,2.24,-10.87,300.25,152.59,336.7993031
UGC02953,SPARC,5.67,302,4.59,-10.87,300.59,151.39,336.5609606
UGC02953,SPARC,5.76,303,5.07,-10.77,301.15,150.21,336.5328611
UGC02953,SPARC,6,306,7.89,-10.56,302.48,147.17,336.3824599
UGC02953,SPARC,6.18,307,4.41,-10.25,303.22,145.01,336.1105004
UGC02953,SPARC,6.27,308,3.2,-10.11,303.58,143.96,335.984074
UGC02953,SPARC,6.36,309,6.66,-9.94,303.97,142.94,335.9011826
UGC02953,SPARC,6.45,310,5.83,-9.76,304.41,141.93,335.8713638
UGC02953,SPARC,6.53,310,3.83,-9.58,304.83,141.06,335.885773
UGC02953,SPARC,6.61,311,2.41,-9.37,305.34,140.2,335.9889218
UGC02953,SPARC,6.7,312,1.25,-9.15,306.03,139.26,336.2256809
UGC02953,SPARC,6.79,312,3.61,-8.91,306.85,138.35,336.5971554
UGC02953,SPARC,6.87,313,13.8,-8.64,307.19,137.53,336.5712361
UGC02953,SPARC,6.96,313,4.58,-8.36,307.95,136.63,336.8990344
UGC02953,SPARC,7.05,314,3.05,-8.05,308.63,135.75,337.1654481
UGC02953,SPARC,7.2,315,1.38,-7.43,309.44,134.31,337.3311277
UGC02953,SPARC,7.39,316,0.75,-6.59,309.73,132.58,336.9126434
UGC02953,SPARC,7.47,316,8.57,-6.16,309.53,131.86,336.4459548
UGC02953,SPARC,7.99,318,1.36,-2.38,307.52,127.53,332.9150812
UGC02953,SPARC,8.08,318,16,-0.67,307.34,126.82,332.4773496
UGC02953,SPARC,8.16,318,5.5,2,307.11,126.2,332.0346249
UGC02953,SPARC,8.25,319,2.94,2.92,307.22,125.51,331.8816278
UGC02953,SPARC,8.34,319,1.74,3.49,307.32,124.83,331.723215
UGC02953,SPARC,8.4,319,2.2,3.85,307.36,124.38,331.5951998
