r_kpc,v_obs_kms,v_vis_kms,v_err_kms,galaxy,v_gas_kmps,v_disk_kmps,v_bul_kmps,a_obs_kmps2_per_kpc,matched_sparc_name,matched_sparc_name_norm,included_source_catalog,secondary_source_catalog,duplicate_flag,duplicate_status,source_object_name_primary,source_object_name_secondary,structure_2014_Name,structure_2014_preferred_name,structure_2014_catalog_name_normalized,structure_2014_RAJ2000,structure_2014_DEJ2000,structure_2014_Band,structure_2014_h,structure_2014_e_h,structure_2014_z0,structure_2014_e_z0,structure_2014_z0_over_h,structure_2014_h_over_z0,structure_2014_S0,structure_2014_e_S0,structure_2014_gradz0,structure_2014_mag,structure_2014_B/T,structure_2014_Type,structure_2014_RV,structure_2014_AName,structure_2014_NED,structure_2014_thickness_flag,structure_2014_biz_name,structure_2014_biz_name_norm,structure_2014_biz_catalog_token,structure_2014_RA_match_deg,structure_2014_DE_match_deg,structure_2014_biz_aname_norm,structure_2014_biz_aname_token,structure_2014_biz_ned_norm,structure_2014_biz_ned_token,structure_2014_matched,structure_2014_match_reason,structure_2014_matched_sparc_name,structure_2014_matched_sparc_index,structure_2014_matched_sep_deg,structure_2014___source_catalog__,h_kpc,segment_index,Dw_i,sigma_i,beta_i,source_core_i,info_source_i,I_struct_i,gamma_topo,alpha_geom_i,alpha_mass_i,weight_geom_i,weight_mass_i,mass_bar_segment_msun,mass_norm_i,alpha_relax_i,neighbor_gradient_i,ell_info_kpc,c_info_gal,tau_struct_gal,mean_dw_pert,mean_sigma,mean_beta,r_scale,dw_internal,dw_external,observer_gap,observer_factor,factor_dw,factor_sigma,factor_rscale,factor_beta,gamma_raw,g_topo_km2s2_per_kpc,v_struct_kms,v_topo_total_kms,rotation_residual_topo_kms,rotation_residual_vis_only_kms
1.74,84.9,137.12,11.3,NGC4088,0.0,137.12,0.0,4142.534482758621,NGC4088,NGC4088,Bizyaev_2014,,False,unique_to_2014,PGC2372663,,EON_181.734_50.426,PGC2372663,PGC2372663,181.734207,50.425667,r,4.13,0.11,1.41,0.08,0.3414043583535109,2.9290780141843973,21.06,0.17,0.035,16.43,0.13,SC,19103.0,PGC2372663,NED,thick_like,PGC2372663,PGC2372663,PGC2372663,181.734207,50.425667,PGC2372663,PGC2372663,NED,,True,coord_review,NGC4088,70.0,0.245235705493907,Bizyaev_2014,0.35,1,2.1847091684983093,0.14707716743538723,0.9285099735944953,0.08341193626800722,0.0774488147416731,0.5678710747966311,968310.7678124715,2.0615558238991416,2.222313651164027,0.07430997876857749,0.2433625401470132,43117577877.2855,0.5671304235897192,0.101591877200093,0.02806816172431054,5.24,1.0,2.0,0.26291256924107326,0.10331065003893491,0.9602967218067203,2.513237156414226,2.2863010456984023,2.2629125692410734,0.02338847645732889,1.063863991210908,8.763752308069108,10.331065003993492,1.0052948625660905,1.0,968310.7678124715,181620.97914348636,562.157009837702,578.6384001340269,-493.73840013402696,-52.22
3.5,136.0,180.27,9.9,NGC4088,0.0,180.27,0.0,5284.571428571428,NGC4088,NGC4088,Bizyaev_2014,,False,unique_to_2014,PGC2372663,,EON_181.734_50.426,PGC2372663,PGC2372663,181.734207,50.425667,r,4.13,0.11,1.41,0.08,0.3414043583535109,2.9290780141843973,21.06,0.17,0.035,16.43,0.13,SC,19103.0,PGC2372663,NED,thick_like,PGC2372663,PGC2372663,PGC2372663,181.734207,50.425667,PGC2372663,PGC2372663,NED,,True,coord_review,NGC4088,70.0,0.245235705493907,Bizyaev_2014,0.35,1,2.1847091684983093,0.14707716743538723,0.9285099735944953,0.08341193626800722,0.0774488147416731,0.5678710747966311,968310.7678124715,2.0615558238991416,2.222313651164027,0.07430997876857749,0.2433625401470132,43117577877.2855,0.5671304235897192,0.101591877200093,0.02806816172431054,5.24,1.0,2.0,0.26291256924107326,0.10331065003893491,0.9602967218067203,2.513237156414226,2.2863010456984023,2.2629125692410734,0.02338847645732889,1.063863991210908,8.763752308069108,10.331065003993492,1.0052948625660905,1.0,968310.7678124715,44887.810322842386,396.3676779581659,435.4361136033027,-299.4361136033027,-44.27000000000001
5.24,162.0,241.53337243536348,8.0,NGC4088,16.92,240.94,0.0,5008.396946564885,NGC4088,NGC4088,Bizyaev_2014,,False,unique_to_2014,PGC2372663,,EON_181.734_50.426,PGC2372663,PGC2372663,181.734207,50.425667,r,4.13,0.11,1.41,0.08,0.3414043583535109,2.9290780141843973,21.06,0.17,0.035,16.43,0.13,SC,19103.0,PGC2372663,NED,thick_like,PGC2372663,PGC2372663,PGC2372663,181.734207,50.425667,PGC2372663,PGC2372663,NED,,True,coord_review,NGC4088,70.0,0.245235705493907,Bizyaev_2014,0.35,1,2.1847091684983093,0.14707716743538723,0.9285099735944953,0.08341193626800722,0.0774488147416731,0.5678710747966311,968310.7678124715,2.0615558238991416,2.222313651164027,0.07430997876857749,0.2433625401470132,43117577877.2855,0.5671304235897192,0.101591877200093,0.02806816172431054,5.24,1.0,2.0,0.26291256924107326,0.10331065003893491,0.9602967218067203,2.513237156414226,2.2863010456984023,2.2629125692410734,0.02338847645732889,1.063863991210908,8.763752308069108,10.331065003993492,1.0052948625660905,1.0,968310.7678124715,20026.35614382973,323.9415166255597,404.0748398424081,-242.0748398424081,-79.53337243536348
8.72,182.0,247.18580076533524,6.1,NGC4088,42.24,243.55,0.0,3798.6238532110087,NGC4088,NGC4088,Bizyaev_2014,,False,unique_to_2014,PGC2372663,,EON_181.734_50.426,PGC2372663,PGC2372663,181.734207,50.425667,r,4.13,0.11,1.41,0.08,0.3414043583535109,2.9290780141843973,21.06,0.17,0.035,16.43,0.13,SC,19103.0,PGC2372663,NED,thick_like,PGC2372663,PGC2372663,PGC2372663,181.734207,50.425667,PGC2372663,PGC2372663,NED,,True,coord_review,NGC4088,70.0,0.245235705493907,Bizyaev_2014,0.35,2,2.3317863359336966,0.10331065003893491,0.9645345415302629,0.10471975033005161,0.10100581637375992,0.7200880095158727,968310.7678124715,2.0150879702026274,2.350512868365156,0.029965753424657533,0.5067732198806106,137738539364.0437,1.0136394485039601,0.04548529023529424,0.019791312267995197,5.24,1.0,2.0,0.26291256924107326,0.10331065003893491,0.9602967218067203,2.513237156414226,2.2863010456984023,2.2629125692410734,0.02338847645732889,1.063863991210908,8.763752308069108,10.331065003993492,1.0052948625660905,1.0,968310.7678124715,9169.95851289439,282.7755969535545,375.5833573688258,-193.58335736882577,-65.18580076533524
10.47,179.0,235.3753226232521,7.0,NGC4088,48.71,230.28,0.0,3060.2674307545367,NGC4088,NGC4088,Bizyaev_2014,,False,unique_to_2014,PGC2372663,,EON_181.734_50.426,PGC2372663,PGC2372663,181.734207,50.425667,r,4.13,0.11,1.41,0.08,0.3414043583535109,2.9290780141843973,21.06,0.17,0.035,16.43,0.13,SC,19103.0,PGC2372663,NED,thick_like,PGC2372663,PGC2372663,PGC2372663,181.734207,50.425667,PGC2372663,PGC2372663,NED,,True,coord_review,NGC4088,70.0,0.245235705493907,Bizyaev_2014,0.35,2,2.3317863359336966,0.10331065003893491,0.9645345415302629,0.10471975033005161,0.10100581637375992,0.7200880095158727,968310.7678124715,2.0150879702026274,2.350512868365156,0.029965753424657533,0.5067732198806106,137738539364.0437,1.0136394485039601,0.04548529023529424,0.019791312267995197,5.24,1.0,2.0,0.26291256924107326,0.10331065003893491,0.9602967218067203,2.513237156414226,2.2863010456984023,2.2629125692410734,0.02338847645732889,1.063863991210908,8.763752308069108,10.331065003993492,1.0052948625660905,1.0,968310.7678124715,6360.730238365757,258.06364640469894,349.28267648952976,-170.28267648952976,-56.37532262325209
12.19,174.0,225.54851761871547,6.2,NGC4088,53.67,219.07,0.0,2483.6751435602955,NGC4088,NGC4088,Bizyaev_2014,,False,unique_to_2014,PGC2372663,,EON_181.734_50.426,PGC2372663,PGC2372663,181.734207,50.425667,r,4.13,0.11,1.41,0.08,0.3414043583535109,2.9290780141843973,21.06,0.17,0.035,16.43,0.13,SC,19103.0,PGC2372663,NED,thick_like,PGC2372663,PGC2372663,PGC2372663,181.734207,50.425667,PGC2372663,PGC2372663,NED,,True,coord_review,NGC4088,70.0,0.245235705493907,Bizyaev_2014,0.35,2,2.3317863359336966,0.10331065003893491,0.9645345415302629,0.10471975033005161,0.10100581637375992,0.7200880095158727,968310.7678124715,2.0150879702026274,2.350512868365156,0.029965753424657533,0.5067732198806106,137738539364.0437,1.0136394485039601,0.04548529023529424,0.019791312267995197,5.24,1.0,2.0,0.26291256924107326,0.10331065003893491,0.9602967218067203,2.513237156414226,2.2863010456984023,2.2629125692410734,0.02338847645732889,1.063863991210908,8.763752308069108,10.331065003993492,1.0052948625660905,1.0,968310.7678124715,4692.377346288827,239.16538179941676,328.7433857148472,-154.7433857148472,-51.548517618715465
15.68,168.0,192.1140338444852,6.1,NGC4088,54.64,184.18,0.0,1800.0,NGC4088,NGC4088,Bizyaev_2014,,False,unique_to_2014,PGC2372663,,EON_181.734_50.426,PGC2372663,PGC2372663,181.734207,50.425667,r,4.13,0.11,1.41,0.08,0.3414043583535109,2.9290780141843973,21.06,0.17,0.035,16.43,0.13,SC,19103.0,PGC2372663,NED,thick_like,PGC2372663,PGC2372663,PGC2372663,181.734207,50.425667,PGC2372663,PGC2372663,NED,,True,coord_review,NGC4088,70.0,0.245235705493907,Bizyaev_2014,0.35,3,2.272242203291214,0.059544132642482595,0.9878456502954027,0.059544132642482595,0.05882041243148894,0.500230163674411,968310.7678124715,2.007593309232488,2.2820284804090747,0.018489170628631802,0.5,134056681773.51591,1.0,0.014058842407188354,0.010266229765945274,5.24,1.0,2.0,0.26291256924107326,0.10331065003893491,0.9602967218067203,2.513237156414226,2.2863010456984023,2.2629125692410734,0.02338847645732889,1.063863991210908,8.763752308069108,10.331065003993492,1.0052948625660905,1.0,968310.7678124715,1970.1192775736642,175.75969467530106,260.3829339114894,-92.38293391148937,-24.114033844485192
17.42,165.0,181.09665319933444,5.6,NGC4088,53.77,172.93,0.0,1562.8587830080369,NGC4088,NGC4088,Bizyaev_2014,,False,unique_to_2014,PGC2372663,,EON_181.734_50.426,PGC2372663,PGC2372663,181.734207,50.425667,r,4.13,0.11,1.41,0.08,0.3414043583535109,2.9290780141843973,21.06,0.17,0.035,16.43,0.13,SC,19103.0,PGC2372663,NED,thick_like,PGC2372663,PGC2372663,PGC2372663,181.734207,50.425667,PGC2372663,PGC2372663,NED,,True,coord_review,NGC4088,70.0,0.245235705493907,Bizyaev_2014,0.35,3,2.272242203291214,0.059544132642482595,0.9878456502954027,0.059544132642482595,0.05882041243148894,0.500230163674411,968310.7678124715,2.007593309232488,2.2820284804090747,0.018489170628631802,0.5,134056681773.51591,1.0,0.014058842407188354,0.010266229765945274,5.24,1.0,2.0,0.26291256924107326,0.10331065003893491,0.9602967218067203,2.513237156414226,2.2863010456984023,2.2629125692410734,0.02338847645732889,1.063863991210908,8.763752308069108,10.331065003993492,1.0052948625660905,1.0,968310.7678124715,1596.2037837083913,166.75092177316495,246.17446600368646,-81.17446600368646,-16.09665319933444
19.28,171.0,170.92076205072337,8.6,NGC4088,52.37,162.7,0.0,1516.649377593361,NGC4088,NGC4088,Bizyaev_2014,,False,unique_to_2014,PGC2372663,,EON_181.734_50.426,PGC2372663,PGC2372663,181.734207,50.425667,r,4.13,0.11,1.41,0.08,0.3414043583535109,2.9290780141843973,21.06,0.17,0.035,16.43,0.13,SC,19103.0,PGC2372663,NED,thick_like,PGC2372663,PGC2372663,PGC2372663,181.734207,50.425667,PGC2372663,PGC2372663,NED,,True,coord_review,NGC4088,70.0,0.245235705493907,Bizyaev_2014,0.35,3,2.272242203291214,0.059544132642482595,0.9878456502954027,0.059544132642482595,0.05882041243148894,0.500230163674411,968310.7678124715,2.007593309232488,2.2820284804090747,0.018489170628631802,0.5,134056681773.51591,1.0,0.014058842407188354,0.010266229765945274,5.24,1.0,2.0,0.26291256924107326,0.10331065003893491,0.9602967218067203,2.513237156414226,2.2863010456984023,2.2629125692410734,0.02338847645732889,1.063863991210908,8.763752308069108,10.331065003993492,1.0052948625660905,1.0,968310.7678124715,1303.078496707527,158.5034807709948,233.10353990559886,-62.103539905598865,0.07923794927663153
21.48,174.0,160.49922741247073,7.6,NGC4088,50.22,152.44,0.0,1409.4972067039105,NGC4088,NGC4088,Bizyaev_2014,,False,unique_to_2014,PGC2372663,,EON_181.734_50.426,PGC2372663,PGC2372663,181.734207,50.425667,r,4.13,0.11,1.41,0.08,0.3414043583535109,2.9290780141843973,21.06,0.17,0.035,16.43,0.13,SC,19103.0,PGC2372663,NED,thick_like,PGC2372663,PGC2372663,PGC2372663,181.734207,50.425667,PGC2372663,PGC2372663,NED,,True,coord_review,NGC4088,70.0,0.245235705493907,Bizyaev_2014,0.35,3,2.272242203291214,0.059544132642482595,0.9878456502954027,0.059544132642482595,0.05882041243148894,0.500230163674411,968310.7678124715,2.007593309232488,2.2820284804090747,0.018489170628631802,0.5,134056681773.51591,1.0,0.014058842407188354,0.010266229765945274,5.24,1.0,2.0,0.26291256924107326,0.10331065003893491,0.9602967218067203,2.513237156414226,2.2863010456984023,2.2629125692410734,0.02338847645732889,1.063863991210908,8.763752308069108,10.331065003993492,1.0052948625660905,1.0,968310.7678124715,1049.8229999378557,150.1672335719918,219.79581442480912,-45.79581442480912,13.50077258752927
