galaxy,r_kpc,v_obs_kms,v_vis_kms,v_err_kms,h_kpc,source_path,segment_index,Dw_i,sigma_i,beta_i,S_i,I_int_i,eta_obs_i,I_ext_i,DeltaD_i,eta_radius_term_i,eta_sigma_term_i,eta_dw_term_i,segment_density_eff_msun_per_kpc3,segment_wedge_volume_eff_kpc3,v_bar_kms,delta_v_i,C_i
NGC4010,0.87,39.3,32.75,6.6,9.94,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC4010_structure_enriched.csv,1,2.443643609199384,0.13180592909822142,0.652091112322403,3638815.007097171,3992561.4106442686,0.6977491493644719,2785806.3280624542,0.30225085063552815,0.6804356484701756,0.5743201541185028,0.03757092720041063,42336675.24599494,57.120706999999996,32.75,0.1666666666666666,0.050375141772588006
NGC4010,1.74,54.6,63.957868945111045,5.6,9.94,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC4010_structure_enriched.csv,1,2.443643609199384,0.13180592909822142,0.652091112322403,3638815.007097171,3992561.4106442686,0.6977491493644719,2785806.3280624542,0.30225085063552815,0.6804356484701756,0.5743201541185028,0.03757092720041063,42336675.24599494,57.120706999999996,63.957868945111045,0.17138954111924987,0.051802634593326104
NGC4010,2.61,65.5,84.18683982666175,6.7,9.94,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC4010_structure_enriched.csv,1,2.443643609199384,0.13180592909822142,0.652091112322403,3638815.007097171,3992561.4106442686,0.6977491493644719,2785806.3280624542,0.30225085063552815,0.6804356484701756,0.5743201541185028,0.03757092720041063,42336675.24599494,57.120706999999996,84.18683982666175,0.2852952645291871,0.08623073638623481
NGC4010,4.37,94.3,99.52326813363797,6.3,9.94,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC4010_structure_enriched.csv,2,2.3118376801011626,0.09769311973896277,0.1457219418304691,1311047.1375301213,2300692.416099334,0.5855749074649461,1347227.7486626708,0.4144250925350539,0.36787944117144233,0.5,0.1254415465992249,92093584.7379471,147.22879500000002,99.52326813363797,0.055389905977072884,0.022954966910056364
NGC4010,5.24,104.0,100.64390542899257,5.7,9.94,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC4010_structure_enriched.csv,2,2.3118376801011626,0.09769311973896277,0.1457219418304691,1311047.1375301213,2300692.416099334,0.5855749074649461,1347227.7486626708,0.4144250925350539,0.36787944117144233,0.5,0.1254415465992249,92093584.7379471,147.22879500000002,100.64390542899257,0.03227014010584069,0.013373555799482182
NGC4010,6.11,115.0,101.9057628399886,5.1,9.94,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC4010_structure_enriched.csv,2,2.3118376801011626,0.09769311973896277,0.1457219418304691,1311047.1375301213,2300692.416099334,0.5855749074649461,1347227.7486626708,0.4144250925350539,0.36787944117144233,0.5,0.1254415465992249,92093584.7379471,147.22879500000002,101.9057628399886,0.1138629318261861,0.04718765605837971
NGC4010,7.85,129.0,104.68091755425151,5.1,9.94,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC4010_structure_enriched.csv,3,2.2482573697214585,0.06358031037970413,0.01907373078172612,110585.73568630866,711240.7602381374,0.5208910801818868,370478.9678698298,0.47910891981811315,0.19907036649153892,0.39423921431398207,0.16782842018569433,91188656.95228384,238.5520480000001,104.68091755425151,0.18852001895929063,0.09032162264767594
NGC4010,8.72,127.0,103.32310196659797,5.1,9.94,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC4010_structure_enriched.csv,3,2.2482573697214585,0.06358031037970413,0.01907373078172612,110585.73568630866,711240.7602381374,0.5208910801818868,370478.9678698298,0.47910891981811315,0.19907036649153892,0.39423921431398207,0.16782842018569433,91188656.95228384,238.5520480000001,103.32310196659797,0.18643226797954351,0.0893213625309201
NGC4010,9.6,124.0,99.93100469824168,5.1,9.94,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC4010_structure_enriched.csv,3,2.2482573697214585,0.06358031037970413,0.01907373078172612,110585.73568630866,711240.7602381374,0.5208910801818868,370478.9678698298,0.47910891981811315,0.19907036649153892,0.39423921431398207,0.16782842018569433,91188656.95228384,238.5520480000001,99.93100469824168,0.1941048008206316,0.09299734145268282
NGC4010,10.47,122.0,96.31905989989728,3.9,9.94,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC4010_structure_enriched.csv,3,2.2482573697214585,0.06358031037970413,0.01907373078172612,110585.73568630866,711240.7602381374,0.5208910801818868,370478.9678698298,0.47910891981811315,0.19907036649153892,0.39423921431398207,0.16782842018569433,91188656.95228384,238.5520480000001,96.31905989989728,0.21049950901723538,0.10085219238749081
