galaxy,r_kpc,v_obs_kms,v_vis_kms,v_err_kms,h_kpc,source_path,segment_index,Dw_i,sigma_i,beta_i,S_i,I_int_i,eta_obs_i,I_ext_i,DeltaD_i,eta_sigma_term_i,eta_dw_term_i,eta_density_term_i,eta_flow_term_i,segment_density_eff_msun_per_kpc3,segment_wedge_volume_eff_kpc3,v_bar_kms,delta_v_i,C_i
IC4202,0.77,35.1,135.41353846643253,3.96,3.44,data\derived\crossmatch\sparc_structure_test32\per_galaxy\IC4202_structure_enriched.csv,1,2.2084095623130016,0.0434347636560557,0.0012146536683018835,25931.663276641877,26201.18647808398,0.5337763171232935,13985.572822532304,0.4662236828767065,0.6637542508477157,0.0,0.08633041181958344,1.0,491519152.1122285,51.010212,135.41353846643253,2.8579355688442316,1.3324372463308929
IC4202,1.59,77.9,181.3490504524355,3.95,3.44,data\derived\crossmatch\sparc_structure_test32\per_galaxy\IC4202_structure_enriched.csv,1,2.2084095623130016,0.0434347636560557,0.0012146536683018835,25931.663276641877,26201.18647808398,0.5337763171232935,13985.572822532304,0.4662236828767065,0.6637542508477157,0.0,0.08633041181958344,1.0,491519152.1122285,51.010212,181.3490504524355,1.3279724063213798,0.6191321860337958
IC4202,2.36,115.0,186.30282982284513,6.7,3.44,data\derived\crossmatch\sparc_structure_test32\per_galaxy\IC4202_structure_enriched.csv,1,2.2084095623130016,0.0434347636560557,0.0012146536683018835,25931.663276641877,26201.18647808398,0.5337763171232935,13985.572822532304,0.4662236828767065,0.6637542508477157,0.0,0.08633041181958344,1.0,491519152.1122285,51.010212,186.30282982284513,0.620024607155175,0.28907015582206885
IC4202,3.13,156.0,188.001365154618,3.16,3.44,data\derived\crossmatch\sparc_structure_test32\per_galaxy\IC4202_structure_enriched.csv,1,2.2084095623130016,0.0434347636560557,0.0012146536683018835,25931.663276641877,26201.18647808398,0.5337763171232935,13985.572822532304,0.4662236828767065,0.6637542508477157,0.0,0.08633041181958344,1.0,491519152.1122285,51.010212,188.001365154618,0.20513695611934607,0.09563970717607886
IC4202,3.95,192.0,196.11701252058683,3.14,3.44,data\derived\crossmatch\sparc_structure_test32\per_galaxy\IC4202_structure_enriched.csv,1,2.2084095623130016,0.0434347636560557,0.0012146536683018835,25931.663276641877,26201.18647808398,0.5337763171232935,13985.572822532304,0.4662236828767065,0.6637542508477157,0.0,0.08633041181958344,1.0,491519152.1122285,51.010212,196.11701252058683,0.021442773544723053,0.009997128853111993
IC4202,4.73,204.0,204.51862726900941,2.9,3.44,data\derived\crossmatch\sparc_structure_test32\per_galaxy\IC4202_structure_enriched.csv,1,2.2084095623130016,0.0434347636560557,0.0012146536683018835,25931.663276641877,26201.18647808398,0.5337763171232935,13985.572822532304,0.4662236828767065,0.6637542508477157,0.0,0.08633041181958344,1.0,491519152.1122285,51.010212,204.51862726900941,0.0025422905343598736,0.0011852760558718504
IC4202,6.27,220.0,207.24817610777666,3.25,3.44,data\derived\crossmatch\sparc_structure_test32\per_galaxy\IC4202_structure_enriched.csv,2,2.164974798656946,0.026262016339137828,2.8820027976789913e-06,65.86853155217779,8119.366791578804,0.5104629406859305,4144.635848937004,0.4895370593140696,0.23605233303514594,0.3242884720588336,0.7275107215789249,0.27873486316517043,870273012.8993666,112.736884,207.24817610777666,0.057962835873742465,0.028374956223135947
IC4202,7.08,231.0,213.0514801638327,3.49,3.44,data\derived\crossmatch\sparc_structure_test32\per_galaxy\IC4202_structure_enriched.csv,2,2.164974798656946,0.026262016339137828,2.8820027976789913e-06,65.86853155217779,8119.366791578804,0.5104629406859305,4144.635848937004,0.4895370593140696,0.23605233303514594,0.3242884720588336,0.7275107215789249,0.27873486316517043,870273012.8993666,112.736884,213.0514801638327,0.07769922006998828,0.0380366477040588
IC4202,7.86,235.0,222.65660376463126,4.65,3.44,data\derived\crossmatch\sparc_structure_test32\per_galaxy\IC4202_structure_enriched.csv,2,2.164974798656946,0.026262016339137828,2.8820027976789913e-06,65.86853155217779,8119.366791578804,0.5104629406859305,4144.635848937004,0.4895370593140696,0.23605233303514594,0.3242884720588336,0.7275107215789249,0.27873486316517043,870273012.8993666,112.736884,222.65660376463126,0.05252509036327125,0.025712978276641582
IC4202,8.66,245.0,231.89626344553292,6.0,3.44,data\derived\crossmatch\sparc_structure_test32\per_galaxy\IC4202_structure_enriched.csv,2,2.164974798656946,0.026262016339137828,2.8820027976789913e-06,65.86853155217779,8119.366791578804,0.5104629406859305,4144.635848937004,0.4895370593140696,0.23605233303514594,0.3242884720588336,0.7275107215789249,0.27873486316517043,870273012.8993666,112.736884,231.89626344553292,0.0534846389978248,0.02618271289346976
