galaxy,r_kpc,v_obs_kms,v_vis_kms,v_err_kms,h_kpc,source_path,segment_index,Dw_i,sigma_i,beta_i,S_i,I_int_i,eta_obs_i,I_ext_i,DeltaD_i,eta_sigma_term_i,eta_dw_term_i,eta_density_term_i,eta_flow_term_i,segment_density_eff_msun_per_kpc3,segment_wedge_volume_eff_kpc3,v_bar_kms,delta_v_i,C_i
NGC4088,1.74,84.9,137.12,11.3,1.41,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC4088_structure_enriched.csv,1,2.1632603252983253,0.036533128614173016,9.92986568666727e-05,4855.653719674732,10800.167336803195,0.3870112693757758,4179.786470486996,0.6129887306242242,0.0,0.0,0.6646897988080136,0.0,1338497201.579239,32.213424,137.12,0.6150765606595995,0.3770350001554415
NGC4088,3.5,136.0,180.27,9.9,1.41,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC4088_structure_enriched.csv,1,2.1632603252983253,0.036533128614173016,9.92986568666727e-05,4855.653719674732,10800.167336803195,0.3870112693757758,4179.786470486996,0.6129887306242242,0.0,0.0,0.6646897988080136,0.0,1338497201.579239,32.213424,180.27,0.32551470588235304,0.1995368463583413
NGC4088,5.24,162.0,241.53337243536348,8.0,1.41,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC4088_structure_enriched.csv,1,2.1632603252983253,0.036533128614173016,9.92986568666727e-05,4855.653719674732,10800.167336803195,0.3870112693757758,4179.786470486996,0.6129887306242242,0.0,0.0,0.6646897988080136,0.0,1338497201.579239,32.213424,241.53337243536348,0.4909467434281696,0.30094482105813036
NGC4088,8.72,182.0,247.18580076533524,6.1,1.41,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC4088_structure_enriched.csv,2,2.1267271966841523,0.04497484612552172,0.00024861862844916113,18468.82644305053,23763.909637495104,0.7629791145931105,18131.3667344867,0.23702088540688954,0.5,0.40615067933986426,1.0,1.0,1651718175.2304704,83.39106599999998,247.18580076533524,0.35816374046887495,0.08489228688657613
NGC4088,10.47,179.0,235.3753226232521,7.0,1.41,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC4088_structure_enriched.csv,2,2.1267271966841523,0.04497484612552172,0.00024861862844916113,18468.82644305053,23763.909637495104,0.7629791145931105,18131.3667344867,0.23702088540688954,0.5,0.40615067933986426,1.0,1.0,1651718175.2304704,83.39106599999998,235.3753226232521,0.3149459364427491,0.07464876471096235
NGC4088,12.19,174.0,225.54851761871547,6.2,1.41,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC4088_structure_enriched.csv,2,2.1267271966841523,0.04497484612552172,0.00024861862844916113,18468.82644305053,23763.909637495104,0.7629791145931105,18131.3667344867,0.23702088540688954,0.5,0.40615067933986426,1.0,1.0,1651718175.2304704,83.39106599999998,225.54851761871547,0.2962558483834222,0.07021882349080796
NGC4088,15.68,168.0,192.1140338444852,6.1,1.41,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC4088_structure_enriched.csv,3,2.073310633047282,0.05341656363687042,0.00033952605310768637,16000.910654748272,20952.504492186366,0.7750044263517515,16238.28372459939,0.22499557364824854,1.0,1.0,0.0,0.8403357356809545,882258090.199703,151.94724,192.1140338444852,0.1435359157409833,0.0322949457012692
NGC4088,17.42,165.0,181.09665319933444,5.6,1.41,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC4088_structure_enriched.csv,3,2.073310633047282,0.05341656363687042,0.00033952605310768637,16000.910654748272,20952.504492186366,0.7750044263517515,16238.28372459939,0.22499557364824854,1.0,1.0,0.0,0.8403357356809545,882258090.199703,151.94724,181.09665319933444,0.09755547393536025,0.02194954982061314
NGC4088,19.28,171.0,170.92076205072337,8.6,1.41,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC4088_structure_enriched.csv,3,2.073310633047282,0.05341656363687042,0.00033952605310768637,16000.910654748272,20952.504492186366,0.7750044263517515,16238.28372459939,0.22499557364824854,1.0,1.0,0.0,0.8403357356809545,882258090.199703,151.94724,170.92076205072337,0.0004633798203311785,0.00010425840849243586
NGC4088,21.48,174.0,160.49922741247073,7.6,1.41,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC4088_structure_enriched.csv,3,2.073310633047282,0.05341656363687042,0.00033952605310768637,16000.910654748272,20952.504492186366,0.7750044263517515,16238.28372459939,0.22499557364824854,1.0,1.0,0.0,0.8403357356809545,882258090.199703,151.94724,160.49922741247073,0.07759064705476591,0.01745755214382584
