galaxy,r_kpc,v_obs_kms,v_vis_kms,v_err_kms,h_kpc,source_path,Dw_i,sigma_i,beta_i,S_i,I_int_i,eta_obs_i,I_ext_i,DeltaD_i,eta_sigma_term_i,eta_dw_term_i,eta_density_term_i,eta_flow_term_i,eta_transition_term_i,segment_density_eff_msun_per_kpc3,segment_wedge_volume_eff_kpc3,segment_index,v_bar_kms,delta_v_i,C_i
NGC3198,0.32,24.4,63.28,35.9,2.1,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC3198_structure_enriched.csv,2.3500548619065658,0.05489475818329126,0.06512140818386014,1015880.3846187086,6134781.542037063,0.5807675970871632,3562882.334823547,0.4192324029128368,0.44451104110184103,0.30695053348086526,0.5,0.5,0.501656704837559,284176339.1599391,8.662185000000001,1,63.28,1.5934426229508198,0.6680227797234056
NGC3198,0.64,43.3,73.66,16.3,2.1,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC3198_structure_enriched.csv,2.3500548619065658,0.05489475818329126,0.06512140818386014,1015880.3846187086,6134781.542037063,0.5807675970871632,3562882.334823547,0.4192324029128368,0.44451104110184103,0.30695053348086526,0.5,0.5,0.501656704837559,284176339.1599391,8.662185000000001,1,73.66,0.7011547344110854,0.2939467841208713
NGC3198,0.96,45.5,78.98,16.1,2.1,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC3198_structure_enriched.csv,2.3500548619065658,0.05489475818329126,0.06512140818386014,1015880.3846187086,6134781.542037063,0.5807675970871632,3562882.334823547,0.4192324029128368,0.44451104110184103,0.30695053348086526,0.5,0.5,0.501656704837559,284176339.1599391,8.662185000000001,1,78.98,0.7358241758241759,0.308481337352127
NGC3198,1.28,58.5,82.70074062546236,15.4,2.1,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC3198_structure_enriched.csv,2.3500548619065658,0.05489475818329126,0.06512140818386014,1015880.3846187086,6134781.542037063,0.5807675970871632,3562882.334823547,0.4192324029128368,0.44451104110184103,0.30695053348086526,0.5,0.5,0.501656704837559,284176339.1599391,8.662185000000001,1,82.70074062546236,0.4136878739395275,0.17343136144757085
NGC3198,1.61,68.8,84.22013357861645,7.61,2.1,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC3198_structure_enriched.csv,2.3499543220564134,0.054966937271186324,0.06521081381319196,1027050.9142107139,6140406.822547387,0.5808284317916559,3566709.37099424,0.41917156820834406,0.44475716499980583,0.30707876285918356,0.5000194758705384,0.5000117386928333,0.5016075690994379,284868657.1180034,8.683834615384617,1,84.22013357861645,0.224129848526402,0.09394886008911053
NGC3198,1.93,76.9,83.17001502945638,10.3,2.1,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC3198_structure_enriched.csv,2.3435197716466503,0.05958639889647028,0.07093277409042867,1741964.8080990342,6500424.775208111,0.5847218528791915,3811639.6859186,0.4152781471208085,0.46050909446955285,0.3152854430715555,0.5012659315849964,0.500763015034169,0.4984628818596892,329177006.4341186,10.069410000000001,1,83.17001502945638,0.08153465577966676,0.03385956077831293
NGC3198,2.24,82.0,87.04126894755154,8.09,2.1,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC3198_structure_enriched.csv,2.3372863009371923,0.06406150234596411,0.07647592310900173,2434537.642803346,6849192.166848187,0.5884936045577416,4048915.9285015734,0.4115063954422584,0.47576877614337026,0.32323566452729074,0.5024734355583775,0.5014908139898377,0.49541646609618256,372100719.83410525,11.411686153846155,1,87.04126894755154,0.061478889604287115,0.025298956256852724
NGC3198,2.57,86.9,88.91507521224958,7.6,2.1,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC3198_structure_enriched.csv,2.330650670827124,0.0688253221470382,0.08237669464490208,3171792.595875676,7220460.680529559,0.5925086950542626,4301500.315767319,0.4074913049457373,0.4920129534090469,0.33169880349629927,0.5037588430139124,0.5022655677168401,0.49217350738019167,417793705.066349,12.84056076923077,1,88.91507521224958,0.023188437425196436,0.009449086626045869
NGC3198,2.89,97.6,88.99149004258778,3.03,2.1,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC3198_structure_enriched.csv,2.324216120417361,0.07344478377232216,0.08809865492213878,3886706.4897639975,7580478.633190284,0.5964021161417983,4546430.630691679,0.4035978838582018,0.507764882878794,0.33990548370867113,0.5050052987283704,0.5030168440581756,0.4890288201404429,462102054.3824643,14.226136153846156,1,88.99149004258778,0.08820194628496117,0.03559811887278511
NGC3198,3.21,100.0,93.81692651115789,5.31,2.1,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC3198_structure_enriched.csv,2.3177815700075977,0.07806424539760612,0.09382061519937548,4601620.383652317,7940496.585851007,0.6002955372293338,4791360.9456160385,0.3997044627706662,0.523516812348541,0.34811216392104305,0.5062517544428283,0.5037681203995112,0.48588413290069415,506410403.69857943,15.611711538461538,2,93.81692651115789,0.06183073488842112,0.024714020671291848
