galaxy,r_kpc,v_obs_kms,v_vis_kms,v_err_kms,h_kpc,source_path,Dw_i,sigma_i,beta_i,S_i,I_int_i,eta_obs_i,I_ext_i,DeltaD_i,eta_sigma_term_i,eta_dw_term_i,eta_density_term_i,eta_flow_term_i,eta_transition_term_i,propagation_source_i,propagation_term_i,segment_density_eff_msun_per_kpc3,segment_wedge_volume_eff_kpc3,segment_index,v_bar_kms,delta_v_i,C_i
NGC2403,0.16,24.5,23.21,2.83,0.53,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC2403_structure_enriched.csv,2.3714096120591295,0.03857399025529418,0.03566435763417429,1964357.590820983,72375589.14841884,0.4893039058819742,35413658.46083037,0.5106960941180257,0.41504850744269467,0.26115571792714976,0.5005980004960523,0.5015236704739235,0.5661545370083028,0.05434363994054583,0.20592135408154805,1427879560.290768,0.6464145000000002,1,23.21,0.05265306122448976,0.026889712710704197
NGC2403,0.26,35.3,35.33,2.46,0.53,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC2403_structure_enriched.csv,2.3714096120591295,0.03857399025529418,0.03566435763417429,1964357.590820983,72375589.14841884,0.4893039058819742,35413658.46083037,0.5106960941180257,0.41504850744269467,0.26115571792714976,0.5005980004960523,0.5015236704739235,0.5661545370083028,0.05434363994054583,0.20592135408154805,1427879560.290768,0.6464145000000002,1,35.33,0.0008498583569405422,0.00043401934344309786
NGC2403,0.36,43.2,47.00922569028339,1.12,0.53,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC2403_structure_enriched.csv,2.3714096120591295,0.03857399025529418,0.03566435763417429,1964357.590820983,72375589.14841884,0.4893039058819742,35413658.46083037,0.5106960941180257,0.41504850744269467,0.26115571792714976,0.5005980004960523,0.5015236704739235,0.5661545370083028,0.05434363994054583,0.20592135408154805,1427879560.290768,0.6464145000000002,1,47.00922569028339,0.08817652060841166,0.04503140466763344
NGC2403,0.46,52.0,56.726241722856976,1.25,0.53,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC2403_structure_enriched.csv,2.3714096120591295,0.03857399025529418,0.03566435763417429,1964357.590820983,72375589.14841884,0.4893039058819742,35413658.46083037,0.5106960941180257,0.41504850744269467,0.26115571792714976,0.5005980004960523,0.5015236704739235,0.5661545370083028,0.05434363994054583,0.20592135408154805,1427879560.290768,0.6464145000000002,1,56.726241722856976,0.0908892639010957,0.04641679207155205
NGC2403,0.56,60.9,63.8246229914443,2.93,0.53,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC2403_structure_enriched.csv,2.3714096120591295,0.03857399025529418,0.03566435763417429,1964357.590820983,72375589.14841884,0.4893039058819742,35413658.46083037,0.5106960941180257,0.41504850744269467,0.26115571792714976,0.5005980004960523,0.5015236704739235,0.5661545370083028,0.05434363994054583,0.20592135408154805,1427879560.290768,0.6464145000000002,1,63.8246229914443,0.04802336603356818,0.024525345459743535
NGC2403,0.66,65.8,67.62657465819188,1.25,0.53,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC2403_structure_enriched.csv,2.3714096120591295,0.03857399025529418,0.03566435763417429,1964357.590820983,72375589.14841884,0.4893039058819742,35413658.46083037,0.5106960941180257,0.41504850744269467,0.26115571792714976,0.5005980004960523,0.5015236704739235,0.5661545370083028,0.05434363994054583,0.20592135408154805,1427879560.290768,0.6464145000000002,1,67.62657465819188,0.027759493285591,0.014176664795646884
NGC2403,0.76,71.7,70.9087053893949,1.25,0.53,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC2403_structure_enriched.csv,2.3714096120591295,0.03857399025529418,0.03566435763417429,1964357.590820983,72375589.14841884,0.4893039058819742,35413658.46083037,0.5106960941180257,0.41504850744269467,0.26115571792714976,0.5005980004960523,0.5015236704739235,0.5661545370083028,0.05434363994054583,0.20592135408154805,1427879560.290768,0.6464145000000002,1,70.9087053893949,0.011036187037728126,0.005636137614123738
NGC2403,0.86,74.6,72.89295164829038,1.6,0.53,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC2403_structure_enriched.csv,2.3714096120591295,0.03857399025529418,0.03566435763417429,1964357.590820983,72375589.14841884,0.4893039058819742,35413658.46083037,0.5106960941180257,0.41504850744269467,0.26115571792714976,0.5005980004960523,0.5015236704739235,0.5661545370083028,0.05434363994054583,0.20592135408154805,1427879560.290768,0.6464145000000002,1,72.89295164829038,0.022882685679753573,0.01168609819958063
NGC2403,0.96,74.6,74.9778453944897,1.03,0.53,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC2403_structure_enriched.csv,2.3688996606384083,0.04371638425975052,0.04904950916872255,8414114.972859517,74805995.56413414,0.49755619569312953,37508365.62801587,0.5024438043068704,0.4325403302220734,0.26464835453913443,0.5012882610442453,0.5018934455353347,0.5622036471311713,0.06146530824881908,0.22324533617398284,1566684142.2240365,0.709389934931507,1,74.9778453944897,0.005064951668762881,0.0025448535850836535
NGC2403,1.06,76.6,77.24371366007722,1.12,0.53,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC2403_structure_enriched.csv,2.366257606511333,0.04912943058023088,0.06313914236298389,15203333.269742193,77364318.10699233,0.5062428165469772,39713320.54084271,0.49375718345302266,0.45095277525299843,0.2683248141306973,0.5020148510949748,0.5022826824420831,0.5580448156815594,0.0689618012048962,0.24148110679759846,1712794228.4695823,0.7756798664383564,1,77.24371366007722,0.008403572585864555,0.0041493243309395165
