galaxy,r_kpc,v_obs_kms,v_vis_kms,v_err_kms,h_kpc,source_path,Dw_i,sigma_i,beta_i,S_i,I_int_i,eta_obs_i,I_ext_i,DeltaD_i,eta_sigma_term_i,eta_dw_term_i,eta_density_term_i,eta_flow_term_i,eta_transition_term_i,propagation_source_i,propagation_term_i,segment_density_eff_msun_per_kpc3,segment_wedge_volume_eff_kpc3,segment_index,v_bar_kms,delta_v_i,C_i
UGC05750,0.31,3.1,4.17163037672323,4.5,2.64,data\derived\crossmatch\sparc_structure_test32\per_galaxy\UGC05750_structure_enriched.csv,2.2968668058112294,0.1932360320039792,0.3495117860300859,601547.7084815778,674092.8057488628,0.5102981117593027,343988.2859241751,0.4897018882406973,0.5,0.4039361579315639,0.5003780094417328,0.5044949610347143,0.5,0.11130976429087476,0.23678038293261264,8906768.007300826,21.95424,1,4.17163037672323,0.34568721829781607,0.16928368354111467
UGC05750,1.47,15.7,17.317187993435887,8.5,2.64,data\derived\crossmatch\sparc_structure_test32\per_galaxy\UGC05750_structure_enriched.csv,2.2968668058112294,0.1932360320039792,0.3495117860300859,601547.7084815778,674092.8057488628,0.5102981117593027,343988.2859241751,0.4897018882406973,0.5,0.4039361579315639,0.5003780094417328,0.5044949610347143,0.5,0.11130976429087476,0.23678038293261264,8906768.007300826,21.95424,1,17.317187993435887,0.10300560467744509,0.050442039109919665
UGC05750,2.52,28.0,22.73033655712119,10.0,2.64,data\derived\crossmatch\sparc_structure_test32\per_galaxy\UGC05750_structure_enriched.csv,2.2915521921248287,0.1932360320039792,0.3434354003523204,590802.2807618325,667044.4404568733,0.5150418830691826,342373.5545443543,0.4849581169308174,0.5,0.40848687773155024,0.5003572007420906,0.5042454457314162,0.5,0.11152332671843249,0.24754622786054212,8895204.40298961,39.462260751181795,1,22.73033655712119,0.1882022658171003,0.09127021643277411
UGC05750,3.35,36.0,26.325022317179524,11.0,2.64,data\derived\crossmatch\sparc_structure_test32\per_galaxy\UGC05750_structure_enriched.csv,2.2777674128757264,0.1932360320039792,0.32767477500061615,562931.3276137431,648762.7429807755,0.5273460399041837,338185.34502794425,0.47265396009581634,0.5,0.4202903072127647,0.5003032281773936,0.5035982654134868,0.5,0.11207725426491032,0.27547013814235916,8865211.304307388,84.87368957455953,1,26.325022317179524,0.26874938007834653,0.12702545876732618
UGC05750,4.09,43.6,27.21512998315459,4.5,2.64,data\derived\crossmatch\sparc_structure_test32\per_galaxy\UGC05750_structure_enriched.csv,2.2654773687259246,0.1932360320039792,0.3136231331207834,538082.5260118322,632463.3982430497,0.5383160110582811,334451.27871210873,0.461683988941719,0.5,0.4308138467502331,0.5002551080594709,0.50302126127461,0.5,0.11257111737863754,0.30036615453819604,8838470.469337698,125.36098756166739,1,27.21512998315459,0.3757997710285645,0.1735007373318523
UGC05750,4.82,49.8,29.831568849123578,4.5,2.64,data\derived\crossmatch\sparc_structure_test32\per_galaxy\UGC05750_structure_enriched.csv,2.2533534062538227,0.1932360320039792,0.29976137829338084,513569.51902616315,616384.3149206986,0.5491377393589446,330767.6727518926,0.4508622606410554,0.5,0.4411951762939519,0.5002076382134122,0.5024520544889614,0.5,0.11305830666650359,0.3249257382800351,8812090.997002732,165.30115990030086,1,29.831568849123578,0.40097251306980763,0.1807833736975786
UGC05750,6.6,61.5,38.68858875689316,4.5,2.64,data\derived\crossmatch\sparc_structure_test32\per_galaxy\UGC05750_structure_enriched.csv,2.2237908676232183,0.1932360320039792,0.26596148296081024,453798.07733508,577177.782984007,0.5755249672701518,321785.7294516396,0.4244750327298483,0.5,0.4665085551813758,0.5000918898216523,0.5010641256143659,0.5,0.1142462476697934,0.3848107506916427,8747768.448021585,262.6895253287495,1,38.68858875689316,0.37091725598547703,0.1574451143745009
UGC05750,7.86,68.1,42.880412777863974,12.2,2.64,data\derived\crossmatch\sparc_structure_test32\per_galaxy\UGC05750_structure_enriched.csv,2.202864576233015,0.1932360320039792,0.24203571435460852,411487.95568858285,549424.8446467983,0.594203566802804,315427.72464359534,0.4057964331971961,0.5,0.48442701439382196,0.500009955566811,0.5000816591076297,0.5,0.1150871497283019,0.42720126509536493,8702236.756046167,331.62735703652777,1,42.880412777863974,0.37033167727071986,0.15027927373639327
UGC05750,9.43,73.4,47.473245096580456,12.2,2.64,data\derived\crossmatch\sparc_structure_test32\per_galaxy\UGC05750_structure_enriched.csv,2.1767897528341114,0.1932360320039792,0.21222344712307153,358768.20093858254,514843.8024329748,0.6174776947919024,307505.4488113497,0.3825223052080977,0.5,0.5067539834125049,0.4999078628841915,0.49885747465082353,0.5,0.11613494038850697,0.4800211917730189,8645502.822394256,417.5260838470134,2,47.473245096580456,0.3532255436433181,0.13511664921282557
UGC05750,11.43,77.6,45.69966848895077,11.0,2.64,data\derived\crossmatch\sparc_structure_test32\per_galaxy\UGC05750_structure_enriched.csv,2.1435734172941063,0.1932360320039792,0.1742460366370371,291609.2776901744,470791.51935804036,0.6471262654786519,297413.37768746994,0.3528737345213481,0.5,0.5351959821624194,0.4997778085114276,0.4972980040052106,0.5,0.11746970556074271,0.547307722572578,8573230.295449145,526.9512135418995,2,45.69966848895077,0.41108674627640757,0.14506171537078583
UGC05750,22.85,78.9,45.51346174485083,11.0,2.64,data\derived\crossmatch\sparc_structure_test32\per_galaxy\UGC05750_structure_enriched.csv,2.10363077380725,0.1932360320039792,0.12857820052758073,210850.67248396366,417818.6489604317,0.6827786717294683,285277.6621610045,0.3172213282705318,0.5,0.5693974856591916,0.49962141812817906,0.4954227405538611,0.5,0.11907476068035619,0.6282197758590479,8486322.581797652,658.5349320000001,2,45.51346174485083,0.4231500412566435,0.13423221814516278
