galaxy,segment_index,r_left_kpc,r_right_kpc,r_mid_kpc,dr_kpc,h_i_kpc,v_obs_segment_kms,v_vis_segment_kms,v_err_segment_kms,mass_bar_segment_msun,n_points,density_ref_gal_msun_per_kpc3,segment_wedge_volume_eff_kpc3,segment_density_eff_msun_per_kpc3,alpha_geom_i,alpha_dens_i,Dw_i,sigma_i,ell_info_kpc,c_info_gal,tau_struct_gal,propagation_source_i,propagation_term_i,delta_struct_i,DeltaD_i
DDO168,1,0.41,2.06,1.235,1.6500000000000001,1.24,29.560000000000002,22.801932483717632,1.8199999999999998,149296598.71170092,5,75300744.96280545,2.52681,59085011.817944735,2.3509089911554155,2.3250948245526186,2.338001907854017,0.10762250956485397,1.9769999999999999,1.0,2.0,0.5,0.2503793626707132,0.45947915947468254,0.45947915947468254
DDO168,2,2.47,4.12,3.295,1.65,1.24,53.36,28.378055993417775,2.06,616964743.3162987,5,75300744.96280545,6.7415699999999985,91516478.10766615,2.1608119839267066,2.2999468126516196,2.230379398289163,0.10762250956485397,1.9769999999999999,1.0,2.0,0.5,0.3387018209707581,0.5348691340456403,0.5348691340456403
ESO563-G021,1,0.45,4.9,2.6750000000000003,4.45,0.35000000000000003,101.05,133.77833333333334,6.423333333333333,11131020785.313784,6,4972515764.711152,4.166312500000001,2671672080.6021585,2.0392838014105603,2.1748339766646794,2.10705888903762,0.008663310458691509,8.5,1.0,2.0,0.30227060945009593,0.03524906216071612,0.19948339483493294,0.19948339483493294
ESO563-G021,2,5.79,12.06,8.925,6.2700000000000005,0.35000000000000003,270.8333333333333,237.24166715144466,5.251666666666668,116796493543.85747,6,4972515764.711152,19.585912500000003,5963290887.971518,2.0126918725852097,2.218752526407413,2.1157221994963114,0.013928168292118626,8.5,1.0,2.0,0.4105499708069207,0.08435386415115213,0.3735669698503517,0.3735669698503517
ESO563-G021,3,13.44,21.94,17.69,8.500000000000002,0.35000000000000003,314.6666666666667,278.4423539022395,13.983333333333334,318887922616.5412,6,4972515764.711152,52.62775000000003,6059311344.6146,2.0065857164233027,2.1864726303182285,2.0965291733707656,0.019997466301749034,8.5,1.0,2.0,0.5,0.14145267379020732,0.5,0.5
ESO563-G021,4,23.68,32.18,27.93,8.5,0.35000000000000003,313.1666666666667,252.23871582961138,9.881666666666666,413175036792.438,6,4972515764.711152,83.09175000000002,4972515764.711152,2.0047538262405844,2.146700707545042,2.0757272668928133,0.021186534992294392,8.5,1.0,2.0,0.5144360510536082,0.15699344781093183,0.5260361467211394,0.5260361467211394
ESO563-G021,5,33.91,42.41,38.16,8.5,0.35000000000000003,316.8333333333333,209.86750819634457,9.916666666666666,390785484287.7604,6,4972515764.711152,113.52600000000001,3442255380.1575,2.003822981426408,2.104489225345945,2.054156103386177,0.02157116350663646,8.5,1.0,2.0,0.5189289039853073,0.16270843142721686,0.5349416103380727,0.5349416103380727
IC4202,1,0.77,5.5,3.135,4.73,3.4400000000000004,141.28571428571428,185.46424308097198,3.8814285714285712,25072496151.305027,7,870273012.8993666,51.010212,491519152.1122285,2.244980924181924,2.1718382004440793,2.2084095623130016,0.0434347636560557,3.9700000000000006,1.0,2.0,0.516207405831753,0.10727860411178347,0.5,0.5
IC4202,2,6.27,10.24,8.254999999999999,3.9700000000000006,3.44,236.0,226.0905499053524,4.985,98111867703.5664,6,870273012.8993666,112.736884,870273012.8993666,2.133420738594158,2.1965288587197342,2.164974798656946,0.026262016339137828,3.9700000000000006,1.0,2.0,0.39214990182711673,0.09794258255469523,0.4772537579848884,0.4772537579848884
IC4202,3,11.02,14.59,12.805,3.5700000000000003,3.44,243.16666666666666,242.07131385357616,6.103333333333333,174464023029.3473,6,870273012.8993666,157.255644,1109429325.3433073,2.103983936699942,2.2077871225695094,2.155885529634726,0.01678423076007496,3.9700000000000006,1.0,2.0,0.2919425945906274,0.07692594176601183,0.41761152744322566,0.41761152744322566
IC4202,4,14.98,18.65,16.814999999999998,3.669999999999998,3.44,245.83333333333334,229.03959164474358,9.143333333333334,205096211569.96982,6,870273012.8993666,212.28601199999986,966131539.4156538,2.085995093868017,2.1768175804055745,2.131406337136796,0.04070731405410477,3.9700000000000006,1.0,2.0,0.5,0.10863967245355469,0.5031518136477885,0.5031518136477885
IC4202,5,19.62,25.9,22.759999999999998,6.279999999999998,3.4400000000000004,241.71428571428572,205.63923030792338,12.457142857142857,223781325725.8618,7,870273012.8993666,491.68883199999993,455127941.0101831,2.055920449539374,2.093021353513658,2.0744709015265164,0.05693543561027958,3.9700000000000006,1.0,2.0,0.5830994703239809,0.18519228791393194,0.633199039505268,0.633199039505268
NGC0100,1,0.23,1.59,0.91,1.36,6.87,25.6275,27.599172151429467,5.07,161165896.55079004,4,56584745.922046766,8.502312,18955537.805574536,3.284057484401865,2.18826084997771,2.7361591671897876,0.27465116065773865,2.0,1.0,2.0,0.7593032695009988,0.11734686892288163,0.4959257278225952,0.4959257278225952
NGC0100,2,2.05,3.42,2.735,1.37,6.87,58.800000000000004,51.73566053421866,4.0,1702068257.98356,4,56584745.922046766,25.7415465,66121445.26683974,2.61088439273119,2.312131620332907,2.461508006532049,0.2103450818445718,2.0,1.0,2.0,0.7072595108953769,0.1572244640314564,0.5686248570406619,0.5686248570406619
NGC0100,3,3.88,5.7,4.79,1.8200000000000003,6.87,76.9,55.162498029489754,4.388,3388933201.254637,5,56584745.922046766,59.891286,56584745.922046766,2.4001735903536785,2.2307644166476095,2.315469003500644,0.08706354766721658,2.0,1.0,2.0,0.5,0.15967982006337833,0.5724218145082752,0.5724218145082752
NGC0100,4,6.16,7.52,6.84,1.3599999999999994,6.87,82.6,50.06994501779251,5.423333333333333,3987034338.207448,3,56584745.922046766,63.907487999999994,62387592.79988361,2.3525925889619885,2.2221692334332435,2.2873809111976158,0.04532009734413123,2.0,1.0,2.0,0.34233909589244527,0.11019950621877637,0.4802255011276645,0.4802255011276645
NGC0100,5,7.98,9.62,8.8,1.6399999999999988,6.87,88.84,46.49011326914392,8.472,4422252397.665824,5,56584745.922046766,99.14783999999992,44602609.57440755,2.287711452374378,2.1619461652503853,2.2248288088123815,0.06255210238523423,2.0,1.0,2.0,0.4180852896291619,0.11927499265728524,0.5,0.5
NGC2403,1,0.16,1.57,0.865,1.4100000000000001,0.5300000000000001,67.01333333333334,67.7444087710755,1.6440000000000003,923002052.025577,15,1357749636.4929445,0.6464145000000002,1427879560.290768,2.2621679756103483,2.48065124850791,2.3714096120591295,0.03857399025529418,3.38,1.0,2.0,0.41504850744269467,0.03365258168454281,0.20207554568054098,0.20207554568054098
NGC2403,2,1.67,2.98,2.325,1.31,0.5300000000000001,97.4,103.12050731849263,1.6521428571428576,5748475495.621661,14,1357749636.4929445,1.6142475000000005,3561086819.4757366,2.1137141528506986,2.5519570907569715,2.3328356218038353,0.11760446653430745,3.38,1.0,2.0,0.6838702048941996,0.07336499272099248,0.355714112329135,0.355714112329135
NGC2403,3,3.08,6.46,4.77,3.38,0.5300000000000001,113.33333333333333,102.2789615368371,3.049333333333334,11601940773.34021,15,1357749636.4929445,8.544978000000002,1357749636.4929445,2.0413310620354737,2.2310702959455555,2.1362006789905146,0.14281400802194932,3.38,1.0,2.0,0.7242878266145674,0.17636623194405257,0.5703062161171356,0.5703062161171356
NGC2403,4,6.96,13.42,10.19,6.46,0.5300000000000001,128.64285714285714,81.8632729073081,1.542142857142857,15877862509.71826,14,1357749636.4929445,34.88852200000001,455102755.84956723,2.0169560498412564,2.077459161678617,2.0472076057599367,0.054364520698440666,3.38,1.0,2.0,0.5,0.2212204647167198,0.6247356054189721,0.6247356054189721
