galaxy,r_kpc,v_obs_kms,v_vis_kms,v_err_kms,h_kpc,source_path,Dw_i,sigma_i,propagation_source_i,propagation_term_i,delta_struct_i,DeltaD_i,segment_density_eff_msun_per_kpc3,segment_wedge_volume_eff_kpc3,segment_index,v_bar_kms,delta_v_i,C_i
NGC5907,5.03,214.0,178.85,6.0,15.51,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC5907_structure_enriched.csv,2.2316217519333916,0.038958955188728606,0.4716584957522108,0.10485927921900348,0.44939066722504356,0.44939066722504356,68519807.195703,1572.0090704999998,1,178.85,0.16425233644859816,0.07381346706990786
NGC5907,7.55,220.0,207.41,6.0,15.51,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC5907_structure_enriched.csv,2.2316217519333916,0.038958955188728606,0.4716584957522108,0.10485927921900348,0.44939066722504356,0.44939066722504356,68519807.195703,1572.0090704999998,1,207.41,0.057227272727272745,0.025717402274378638
NGC5907,10.07,235.0,227.06,4.0,15.51,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC5907_structure_enriched.csv,2.2316045439143153,0.038965699527121755,0.47169490472832315,0.10486880722317687,0.4494112480169414,0.4494112480169414,68527506.42228734,1572.420813045053,1,227.06,0.03378723404255318,0.015184363018104313
NGC5907,12.58,235.0,233.42476518141774,4.0,15.51,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC5907_structure_enriched.csv,2.222966118338016,0.04235135740048178,0.4899722107367198,0.1096518653182191,0.45974280554965463,0.45974280554965463,72392518.16763124,1779.1155706616607,1,233.42476518141774,0.006703126887584085,0.0030817143612532315
NGC5907,15.1,230.0,225.95672019216423,2.0,15.51,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC5907_structure_enriched.csv,2.214293276723564,0.045750503950628095,0.5083223346973411,0.1144539794216081,0.4701155246661635,0.4701155246661635,76272928.36614384,1986.6338133683748,1,225.95672019216423,0.017579477425372927,0.00826438525318617
NGC5907,17.61,231.0,219.46474090386363,2.0,15.51,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC5907_structure_enriched.csv,2.2056548511472647,0.04913616182398811,0.5265996407057377,0.11923703751665032,0.4804470821988767,0.4804470821988767,80137940.11148773,2193.3285709849824,2,219.46474090386363,0.049936186563360914,0.023991695130505503
NGC5907,20.13,232.0,213.16109518390076,2.0,15.51,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC5907_structure_enriched.csv,2.1969820095328125,0.05253530837413443,0.544949764666359,0.12403915162003934,0.4908198013153856,0.4908198013153856,84018350.31000033,2400.8468136916963,2,213.16109518390076,0.08120217593146226,0.039855635857057294
NGC5907,22.65,225.0,205.51178384705827,7.0,15.51,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC5907_structure_enriched.csv,2.1849033872934167,0.053568823564013074,0.5508915601341754,0.12993982726350817,0.5021624137124336,0.5021624137124336,81399622.66340432,2795.090710019418,2,205.51178384705827,0.08661429401307437,0.043494442943603814
NGC5907,25.16,224.0,194.09483274935477,7.0,15.51,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC5907_structure_enriched.csv,2.169507246801221,0.052260620003166086,0.5445483882635677,0.1369026398768116,0.51441842352511,0.51441842352511,72369111.88604257,3372.2845906310686,2,194.09483274935477,0.1335052109403805,0.06867754014433781
NGC5907,27.68,229.0,186.069371203323,2.0,15.51,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC5907_structure_enriched.csv,2.154049767103877,0.05094720447594123,0.5381799447918819,0.14389319277941104,0.5267232620621396,0.5267232620621396,63302622.97809374,3951.778048456311,3,186.069371203323,0.18746999474531448,0.09874480717102421
NGC5907,30.2,218.0,181.25520378736718,2.0,15.51,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC5907_structure_enriched.csv,2.138592287406533,0.04963378894871637,0.5318115013201961,0.1508837456820105,0.5390281005991693,0.5390281005991693,54236134.07014491,4531.271506281553,3,181.25520378736718,0.16855411106712304,0.09085540233669274
NGC5907,32.71,214.0,173.52426141609132,2.0,15.51,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC5907_structure_enriched.csv,2.123196146914337,0.04832558538786939,0.5254683294495884,0.1578465582953139,0.5512841104118456,0.5512841104118456,45205623.29278317,5108.465386893204,3,173.52426141609132,0.18913896534536767,0.1042693062546379
NGC5907,35.23,213.0,168.5508306120145,2.0,15.51,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC5907_structure_enriched.csv,2.117737907515912,0.0440897945739195,0.4970781696935401,0.15239529802660046,0.5418407796111678,0.5418407796111678,42677493.02540231,5502.422210999999,3,168.5508306120145,0.20868154642246717,0.11307217180401372
NGC5907,37.75,211.0,161.72561516346136,2.0,15.51,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC5907_structure_enriched.csv,2.1122995473228534,0.0398481938687435,0.46864422918941145,0.14691930254283467,0.5323542118933178,0.5323542118933178,40162361.48295298,5896.010174999999,3,161.72561516346136,0.2335278902205623,0.12431955595347668
NGC5907,40.26,217.0,157.09772913699294,2.0,15.51,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC5907_structure_enriched.csv,2.1068827679242115,0.035623424912397575,0.4403231217825215,0.1414650371998775,0.5229052892854591,0.5229052892854591,37657210.621227674,6288.036281999999,4,157.09772913699294,0.27604733116593116,0.14434660955980017
NGC5907,42.78,216.0,151.50150527305001,3.0,15.51,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC5907_structure_enriched.csv,2.1014444077311527,0.031381824207221576,0.4118891812783928,0.1359890417161117,0.5134187215676089,0.5134187215676089,35142079.07877836,6681.624245999999,4,151.50150527305001,0.2986041422543981,0.1533089569710455
NGC5907,45.29,215.0,147.28132060787615,3.0,15.51,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC5907_structure_enriched.csv,2.0960276283325108,0.02715705525087565,0.3835680738715028,0.13053477637315453,0.5039697989597502,0.5039697989597502,32636928.21705305,7073.650352999999,4,147.28132060787615,0.31497060182383185,0.15873567087938809
NGC5907,47.81,217.0,143.35281824924127,5.0,15.51,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC5907_structure_enriched.csv,2.096016837935302,0.027148639376460615,0.3835116573228835,0.1305239113027502,0.5039509764047545,0.5039509764047545,32631937.876691043,7074.431281499999,4,143.35281824924127,0.3393879343352937,0.17103488088826396
NGC5907,50.33,214.0,141.04020455175183,5.0,15.51,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC5907_structure_enriched.csv,2.096016837935302,0.027148639376460615,0.3835116573228835,0.1305239113027502,0.5039509764047545,0.5039509764047545,32631937.876691043,7074.431281499999,4,141.04020455175183,0.3409336235899447,0.17181383249736368
