r_kpc,v_obs_kms,v_bar_internal_kms,v_err_kms,galaxy,v_gas_kmps,v_disk_kmps,v_bul_kmps,a_obs_kmps2_per_kpc,matched_sparc_name,matched_sparc_name_norm,included_source_catalog,secondary_source_catalog,duplicate_flag,duplicate_status,source_object_name_primary,source_object_name_secondary,structure_2014_Name,structure_2014_preferred_name,structure_2014_catalog_name_normalized,structure_2014_RAJ2000,structure_2014_DEJ2000,structure_2014_Band,structure_2014_h,structure_2014_e_h,structure_2014_z0,structure_2014_e_z0,structure_2014_z0_over_h,structure_2014_h_over_z0,structure_2014_S0,structure_2014_e_S0,structure_2014_gradz0,structure_2014_mag,structure_2014_B/T,structure_2014_Type,structure_2014_RV,structure_2014_AName,structure_2014_NED,structure_2014_thickness_flag,structure_2014_biz_name,structure_2014_biz_name_norm,structure_2014_biz_catalog_token,structure_2014_RA_match_deg,structure_2014_DE_match_deg,structure_2014_biz_aname_norm,structure_2014_biz_aname_token,structure_2014_biz_ned_norm,structure_2014_biz_ned_token,structure_2014_matched,structure_2014_match_reason,structure_2014_matched_sparc_name,structure_2014_matched_sparc_index,structure_2014_matched_sep_deg,structure_2014___source_catalog__,segment_index,h_i_kpc,alpha_i,d_i,d_gal_mean,sigma0_i,sigma1_i,density_ratio_i,thickness_visibility_i,radial_visibility_i,omega_i,a_i,vdgrad_i,dyn_persist_i,e_struct_i,p_stat_i,beta_i,g_scale_i,delta_mag_i,g_trans_raw_km2s2_per_kpc,g_cap_i,g_trans_km2s2_per_kpc,g_bar_internal_km2s2_per_kpc,g_desc_km2s2_per_kpc,v_desc_kms,rotation_residual_desc_kms,rotation_residual_bar_only_kms
0.16,24.5,23.21,2.83,NGC2403,0.0,23.21,0.0,3751.5625,NGC2403,NGC2403,Bizyaev_2014,,False,unique_to_2014,NED,,EON_113.582_65.473,NED,,113.582474,65.472786,r,3.2,0.45,0.53,0.16,0.165625,6.037735849056604,21.82,0.45,-0.004,17.87,0.09,SD,,,NED,intermediate,NED,NED,,113.582474,65.472786,,,NED,,True,coord_review,NGC2403,44.0,0.291989405019979,Bizyaev_2014,1,0.35,-0.6450775751248072,2.7742228487063176,2.478888403399558,0.29533444530675945,0.0,0.9179483297675093,0.5,0.04144705318639195,1.0934404818872578,0.04144705318639195,0.0,0.0,0.08722243458465129,0.5590687101276265,0.0,955.6019251078557,0.0,0.0,4509.7215974348965,0.0,3366.900625,3366.900625,23.21,1.2899999999999991,1.2899999999999991
0.26,35.3,35.33,2.46,NGC2403,0.0,35.33,0.0,4792.653846153845,NGC2403,NGC2403,Bizyaev_2014,,False,unique_to_2014,NED,,EON_113.582_65.473,NED,,113.582474,65.472786,r,3.2,0.45,0.53,0.16,0.165625,6.037735849056604,21.82,0.45,-0.004,17.87,0.09,SD,,,NED,intermediate,NED,NED,,113.582474,65.472786,,,NED,,True,coord_review,NGC2403,44.0,0.291989405019979,Bizyaev_2014,1,0.35,-0.6450775751248072,2.7742228487063176,2.478888403399558,0.29533444530675945,0.0,0.9179483297675093,0.5,0.04144705318639195,1.0934404818872578,0.04144705318639195,0.0,0.0,0.08722243458465129,0.5590687101276265,0.0,955.6019251078557,0.0,0.0,4509.7215974348965,0.0,4800.80346153846,4800.80346153846,35.33,-0.030000000000001137,-0.030000000000001137
0.36,43.2,47.00922569028339,1.12,NGC2403,1.92,46.97,0.0,5184.000000000001,NGC2403,NGC2403,Bizyaev_2014,,False,unique_to_2014,NED,,EON_113.582_65.473,NED,,113.582474,65.472786,r,3.2,0.45,0.53,0.16,0.165625,6.037735849056604,21.82,0.45,-0.004,17.87,0.09,SD,,,NED,intermediate,NED,NED,,113.582474,65.472786,,,NED,,True,coord_review,NGC2403,44.0,0.291989405019979,Bizyaev_2014,1,0.35,-0.6450775751248072,2.7742228487063176,2.478888403399558,0.29533444530675945,0.0,0.9179483297675093,0.5,0.04144705318639195,1.0934404818872578,0.04144705318639195,0.0,0.0,0.08722243458465129,0.5590687101276265,0.0,955.6019251078557,0.0,0.0,4509.7215974348965,0.0,6138.520277777777,6138.520277777777,47.00922569028339,-3.809225690283384,-3.809225690283384
0.46,52.0,56.726241722856976,1.25,NGC2403,2.29,56.68,0.0,5878.260869565217,NGC2403,NGC2403,Bizyaev_2014,,False,unique_to_2014,NED,,EON_113.582_65.473,NED,,113.582474,65.472786,r,3.2,0.45,0.53,0.16,0.165625,6.037735849056604,21.82,0.45,-0.004,17.87,0.09,SD,,,NED,intermediate,NED,NED,,113.582474,65.472786,,,NED,,True,coord_review,NGC2403,44.0,0.291989405019979,Bizyaev_2014,1,0.35,-0.6450775751248072,2.7742228487063176,2.478888403399558,0.29533444530675945,0.0,0.9179483297675093,0.5,0.04144705318639195,1.0934404818872578,0.04144705318639195,0.0,0.0,0.08722243458465129,0.5590687101276265,0.0,955.6019251078557,0.0,0.0,4509.7215974348965,0.0,6995.361956521738,6995.361956521738,56.726241722856976,-4.726241722856976,-4.726241722856976
0.56,60.9,63.8246229914443,2.93,NGC2403,2.64,63.77,0.0,6622.874999999999,NGC2403,NGC2403,Bizyaev_2014,,False,unique_to_2014,NED,,EON_113.582_65.473,NED,,113.582474,65.472786,r,3.2,0.45,0.53,0.16,0.165625,6.037735849056604,21.82,0.45,-0.004,17.87,0.09,SD,,,NED,intermediate,NED,NED,,113.582474,65.472786,,,NED,,True,coord_review,NGC2403,44.0,0.291989405019979,Bizyaev_2014,1,0.35,-0.6450775751248072,2.7742228487063176,2.478888403399558,0.29533444530675945,0.0,0.9179483297675093,0.5,0.04144705318639195,1.0934404818872578,0.04144705318639195,0.0,0.0,0.08722243458465129,0.5590687101276265,0.0,955.6019251078557,0.0,0.0,4509.7215974348965,0.0,7274.254464285715,7274.254464285715,63.8246229914443,-2.924622991444302,-2.924622991444302
0.66,65.8,67.62657465819188,1.25,NGC2403,3.0,67.56,0.0,6560.060606060605,NGC2403,NGC2403,Bizyaev_2014,,False,unique_to_2014,NED,,EON_113.582_65.473,NED,,113.582474,65.472786,r,3.2,0.45,0.53,0.16,0.165625,6.037735849056604,21.82,0.45,-0.004,17.87,0.09,SD,,,NED,intermediate,NED,NED,,113.582474,65.472786,,,NED,,True,coord_review,NGC2403,44.0,0.291989405019979,Bizyaev_2014,1,0.35,-0.6450775751248072,2.7742228487063176,2.478888403399558,0.29533444530675945,0.0,0.9179483297675093,0.5,0.04144705318639195,1.0934404818872578,0.04144705318639195,0.0,0.0,0.08722243458465129,0.5590687101276265,0.0,955.6019251078557,0.0,0.0,4509.7215974348965,0.0,6929.323636363638,6929.323636363638,67.62657465819188,-1.8265746581918876,-1.8265746581918876
0.76,71.7,70.9087053893949,1.25,NGC2403,3.34,70.83,0.0,6764.328947368422,NGC2403,NGC2403,Bizyaev_2014,,False,unique_to_2014,NED,,EON_113.582_65.473,NED,,113.582474,65.472786,r,3.2,0.45,0.53,0.16,0.165625,6.037735849056604,21.82,0.45,-0.004,17.87,0.09,SD,,,NED,intermediate,NED,NED,,113.582474,65.472786,,,NED,,True,coord_review,NGC2403,44.0,0.291989405019979,Bizyaev_2014,1,0.35,-0.6450775751248072,2.7742228487063176,2.478888403399558,0.29533444530675945,0.0,0.9179483297675093,0.5,0.04144705318639195,1.0934404818872578,0.04144705318639195,0.0,0.0,0.08722243458465129,0.5590687101276265,0.0,955.6019251078557,0.0,0.0,4509.7215974348965,0.0,6615.848026315791,6615.848026315791,70.9087053893949,0.7912946106051066,0.7912946106051066
0.86,74.6,72.89295164829038,1.6,NGC2403,3.68,72.8,0.0,6471.116279069766,NGC2403,NGC2403,Bizyaev_2014,,False,unique_to_2014,NED,,EON_113.582_65.473,NED,,113.582474,65.472786,r,3.2,0.45,0.53,0.16,0.165625,6.037735849056604,21.82,0.45,-0.004,17.87,0.09,SD,,,NED,intermediate,NED,NED,,113.582474,65.472786,,,NED,,True,coord_review,NGC2403,44.0,0.291989405019979,Bizyaev_2014,1,0.35,-0.6450775751248072,2.7742228487063176,2.478888403399558,0.29533444530675945,0.0,0.9179483297675093,0.5,0.04144705318639195,1.0934404818872578,0.04144705318639195,0.0,0.0,0.08722243458465129,0.5590687101276265,0.0,955.6019251078557,0.0,0.0,4509.7215974348965,0.0,6178.351627906975,6178.351627906975,72.89295164829038,1.7070483517096164,1.7070483517096164
0.96,74.6,74.9778453944897,1.03,NGC2403,4.02,74.87,0.0,5797.041666666666,NGC2403,NGC2403,Bizyaev_2014,,False,unique_to_2014,NED,,EON_113.582_65.473,NED,,113.582474,65.472786,r,3.2,0.45,0.53,0.16,0.165625,6.037735849056604,21.82,0.45,-0.004,17.87,0.09,SD,,,NED,intermediate,NED,NED,,113.582474,65.472786,,,NED,,True,coord_review,NGC2403,44.0,0.291989405019979,Bizyaev_2014,1,0.35,-0.6450775751248072,2.7742228487063176,2.478888403399558,0.29533444530675945,0.0,0.9179483297675093,0.5,0.04144705318639195,1.0934404818872578,0.04144705318639195,0.0,0.0,0.08722243458465129,0.5590687101276265,0.0,955.6019251078557,0.0,0.0,4509.7215974348965,0.0,5855.913854166668,5855.913854166668,74.9778453944897,-0.3778453944897109,-0.3778453944897109
1.06,76.6,77.24371366007722,1.12,NGC2403,4.37,77.12,0.0,5535.43396226415,NGC2403,NGC2403,Bizyaev_2014,,False,unique_to_2014,NED,,EON_113.582_65.473,NED,,113.582474,65.472786,r,3.2,0.45,0.53,0.16,0.165625,6.037735849056604,21.82,0.45,-0.004,17.87,0.09,SD,,,NED,intermediate,NED,NED,,113.582474,65.472786,,,NED,,True,coord_review,NGC2403,44.0,0.291989405019979,Bizyaev_2014,1,0.35,-0.6450775751248072,2.7742228487063176,2.478888403399558,0.29533444530675945,0.0,0.9179483297675093,0.5,0.04144705318639195,1.0934404818872578,0.04144705318639195,0.0,0.0,0.08722243458465129,0.5590687101276265,0.0,955.6019251078557,0.0,0.0,4509.7215974348965,0.0,5628.859716981132,5628.859716981132,77.24371366007722,-0.6437136600772249,-0.6437136600772249
