r_kpc,v_obs_kms,v_bar_internal_kms,v_err_kms,galaxy,v_gas_kmps,v_disk_kmps,v_bul_kmps,a_obs_kmps2_per_kpc,matched_sparc_name,matched_sparc_name_norm,included_source_catalog,secondary_source_catalog,duplicate_flag,duplicate_status,source_object_name_primary,source_object_name_secondary,structure_2014_Name,structure_2014_preferred_name,structure_2014_catalog_name_normalized,structure_2014_RAJ2000,structure_2014_DEJ2000,structure_2014_Band,structure_2014_h,structure_2014_e_h,structure_2014_z0,structure_2014_e_z0,structure_2014_z0_over_h,structure_2014_h_over_z0,structure_2014_S0,structure_2014_e_S0,structure_2014_gradz0,structure_2014_mag,structure_2014_B/T,structure_2014_Type,structure_2014_RV,structure_2014_AName,structure_2014_NED,structure_2014_thickness_flag,structure_2014_biz_name,structure_2014_biz_name_norm,structure_2014_biz_catalog_token,structure_2014_RA_match_deg,structure_2014_DE_match_deg,structure_2014_biz_aname_norm,structure_2014_biz_aname_token,structure_2014_biz_ned_norm,structure_2014_biz_ned_token,structure_2014_matched,structure_2014_match_reason,structure_2014_matched_sparc_name,structure_2014_matched_sparc_index,structure_2014_matched_sep_deg,structure_2014___source_catalog__,segment_index,h_i_kpc,alpha_i,d_i,d_gal_mean,sigma0_i,sigma1_i,delta_d_eff_i,beta_i,density_ratio_i,thickness_visibility_i,radial_visibility_i,omega_i,a_i,g_scale_i,delta_mag_i,g_trans_raw_km2s2_per_kpc,g_cap_i,g_trans_km2s2_per_kpc,g_bar_internal_km2s2_per_kpc,g_desc_km2s2_per_kpc,v_desc_kms,rotation_residual_desc_kms,rotation_residual_bar_only_kms
0.14,5.23,4.427561405559499,5.31,UGC04278,-0.97,4.32,0.0,195.37785714285715,UGC04278,UGC4278,Bizyaev_2014,,False,unique_to_2014,IC02233,,EON_123.495_45.742,IC02233,IC02233,123.495461,45.742138,r,51.12,0.52,7.78,0.73,0.1521909233176838,6.570694087403599,22.9,0.11,0.183,12.43,0.06,IR,585.0,IC2233,NED,intermediate,IC02233,IC02233,IC2233,123.495461,45.742138,IC2233,IC2233,NED,,True,coord_strict,UGC04278,113.0,1.289169934879393e-05,Bizyaev_2014,1,0.35,-0.8254679419715758,2.7110862203099484,3.497948312726774,-0.7868620924168255,0.0,0.7868620924168255,0.1814848845402458,0.5800925096269416,0.5,0.1038863976083707,1.093486005924828,0.1038863976083707,77.30436035189196,0.9895154878817529,1.577026397365593,364.0493102319172,1.577016532936643,140.02357142857144,141.6005879615081,4.452424318796574,0.7775756812034267,0.8024385944405017
0.42,15.4,11.342332211674986,7.78,UGC04278,0.23,11.34,0.0,564.6666666666667,UGC04278,UGC4278,Bizyaev_2014,,False,unique_to_2014,IC02233,,EON_123.495_45.742,IC02233,IC02233,123.495461,45.742138,r,51.12,0.52,7.78,0.73,0.1521909233176838,6.570694087403599,22.9,0.11,0.183,12.43,0.06,IR,585.0,IC2233,NED,intermediate,IC02233,IC02233,IC2233,123.495461,45.742138,IC2233,IC2233,NED,,True,coord_strict,UGC04278,113.0,1.289169934879393e-05,Bizyaev_2014,1,0.35,-0.8254679419715758,2.7110862203099484,3.497948312726774,-0.7868620924168255,0.0,0.7868620924168255,0.1814848845402458,0.5800925096269416,0.5,0.1038863976083707,1.093486005924828,0.1038863976083707,77.30436035189196,0.9895154878817529,1.577026397365593,364.0493102319172,1.577016532936643,306.30595238095236,307.882968913889,11.371492731556108,4.028507268443892,4.0576677883250145
0.69,24.4,17.989469141695093,4.0,UGC04278,3.77,17.59,0.0,862.8405797101449,UGC04278,UGC4278,Bizyaev_2014,,False,unique_to_2014,IC02233,,EON_123.495_45.742,IC02233,IC02233,123.495461,45.742138,r,51.12,0.52,7.78,0.73,0.1521909233176838,6.570694087403599,22.9,0.11,0.183,12.43,0.06,IR,585.0,IC2233,NED,intermediate,IC02233,IC02233,IC2233,123.495461,45.742138,IC2233,IC2233,NED,,True,coord_strict,UGC04278,113.0,1.289169934879393e-05,Bizyaev_2014,1,0.35,-0.8254679419715758,2.7110862203099484,3.497948312726774,-0.7868620924168255,0.0,0.7868620924168255,0.1814848845402458,0.5800925096269416,0.5,0.1038863976083707,1.093486005924828,0.1038863976083707,77.30436035189196,0.9895154878817529,1.577026397365593,364.0493102319172,1.577016532936643,469.01594202898553,470.59295856192216,18.019687605719646,6.380312394280352,6.410530858304906
0.97,32.1,24.06953676330311,4.0,UGC04278,5.25,23.49,0.0,1062.278350515464,UGC04278,UGC4278,Bizyaev_2014,,False,unique_to_2014,IC02233,,EON_123.495_45.742,IC02233,IC02233,123.495461,45.742138,r,51.12,0.52,7.78,0.73,0.1521909233176838,6.570694087403599,22.9,0.11,0.183,12.43,0.06,IR,585.0,IC2233,NED,intermediate,IC02233,IC02233,IC2233,123.495461,45.742138,IC2233,IC2233,NED,,True,coord_strict,UGC04278,113.0,1.289169934879393e-05,Bizyaev_2014,1,0.35,-0.8254679419715758,2.7110862203099484,3.497948312726774,-0.7868620924168255,0.0,0.7868620924168255,0.1814848845402458,0.5800925096269416,0.5,0.1038863976083707,1.093486005924828,0.1038863976083707,77.30436035189196,0.9895154878817529,1.577026397365593,364.0493102319172,1.577016532936643,597.260412371134,598.8374289040706,24.101292621702857,7.998707378297144,8.030463236696892
1.52,37.9,30.751463379813327,4.0,UGC04278,-5.25,30.3,0.0,945.0065789473684,UGC04278,UGC4278,Bizyaev_2014,,False,unique_to_2014,IC02233,,EON_123.495_45.742,IC02233,IC02233,123.495461,45.742138,r,51.12,0.52,7.78,0.73,0.1521909233176838,6.570694087403599,22.9,0.11,0.183,12.43,0.06,IR,585.0,IC2233,NED,intermediate,IC02233,IC02233,IC2233,123.495461,45.742138,IC2233,IC2233,NED,,True,coord_strict,UGC04278,113.0,1.289169934879393e-05,Bizyaev_2014,2,0.35,-0.8254679419715758,2.7110862203099484,3.497948312726774,-0.7868620924168255,0.0,0.7868620924168255,0.1814848845402458,0.358990705817739,0.5,0.3101644245142003,1.0999652832565863,0.3101644245142003,87.67200096151191,0.9895154878817529,5.371492033156349,413.37056685799917,5.371189721341558,622.139802631579,627.5109923529205,30.88392313771745,7.016076862282549,7.148536620186672
1.8,40.5,32.047341543410425,4.0,UGC04278,-9.36,30.65,0.0,911.25,UGC04278,UGC4278,Bizyaev_2014,,False,unique_to_2014,IC02233,,EON_123.495_45.742,IC02233,IC02233,123.495461,45.742138,r,51.12,0.52,7.78,0.73,0.1521909233176838,6.570694087403599,22.9,0.11,0.183,12.43,0.06,IR,585.0,IC2233,NED,intermediate,IC02233,IC02233,IC2233,123.495461,45.742138,IC2233,IC2233,NED,,True,coord_strict,UGC04278,113.0,1.289169934879393e-05,Bizyaev_2014,2,0.35,-0.8254679419715758,2.7110862203099484,3.497948312726774,-0.7868620924168255,0.0,0.7868620924168255,0.1814848845402458,0.358990705817739,0.5,0.3101644245142003,1.0999652832565863,0.3101644245142003,87.67200096151191,0.9895154878817529,5.371492033156349,413.37056685799917,5.371189721341558,570.5733888888886,575.9445786102302,32.19782976379642,8.30217023620358,8.452658456589575
2.07,43.0,32.20996740141163,4.0,UGC04278,-9.36,30.82,0.0,893.2367149758455,UGC04278,UGC4278,Bizyaev_2014,,False,unique_to_2014,IC02233,,EON_123.495_45.742,IC02233,IC02233,123.495461,45.742138,r,51.12,0.52,7.78,0.73,0.1521909233176838,6.570694087403599,22.9,0.11,0.183,12.43,0.06,IR,585.0,IC2233,NED,intermediate,IC02233,IC02233,IC2233,123.495461,45.742138,IC2233,IC2233,NED,,True,coord_strict,UGC04278,113.0,1.289169934879393e-05,Bizyaev_2014,2,0.35,-0.8254679419715758,2.7110862203099484,3.497948312726774,-0.7868620924168255,0.0,0.7868620924168255,0.1814848845402458,0.358990705817739,0.5,0.3101644245142003,1.0999652832565863,0.3101644245142003,87.67200096151191,0.9895154878817529,5.371492033156349,413.37056685799917,5.371189721341558,501.1990338164251,506.5702235377667,32.382099418091734,10.617900581908266,10.790032598588368
2.35,45.1,32.03655724324947,4.0,UGC04278,-7.81,31.07,0.0,865.536170212766,UGC04278,UGC4278,Bizyaev_2014,,False,unique_to_2014,IC02233,,EON_123.495_45.742,IC02233,IC02233,123.495461,45.742138,r,51.12,0.52,7.78,0.73,0.1521909233176838,6.570694087403599,22.9,0.11,0.183,12.43,0.06,IR,585.0,IC2233,NED,intermediate,IC02233,IC02233,IC2233,123.495461,45.742138,IC2233,IC2233,NED,,True,coord_strict,UGC04278,113.0,1.289169934879393e-05,Bizyaev_2014,2,0.35,-0.8254679419715758,2.7110862203099484,3.497948312726774,-0.7868620924168255,0.0,0.7868620924168255,0.1814848845402458,0.358990705817739,0.5,0.3101644245142003,1.0999652832565863,0.3101644245142003,87.67200096151191,0.9895154878817529,5.371492033156349,413.37056685799917,5.371189721341558,436.7408510638297,442.1120407851713,32.23295356999033,12.867046430009673,13.063442756750533
2.91,49.2,32.33041911265612,13.0,UGC04278,-4.88,31.96,0.0,831.8350515463918,UGC04278,UGC4278,Bizyaev_2014,,False,unique_to_2014,IC02233,,EON_123.495_45.742,IC02233,IC02233,123.495461,45.742138,r,51.12,0.52,7.78,0.73,0.1521909233176838,6.570694087403599,22.9,0.11,0.183,12.43,0.06,IR,585.0,IC2233,NED,intermediate,IC02233,IC02233,IC2233,123.495461,45.742138,IC2233,IC2233,NED,,True,coord_strict,UGC04278,113.0,1.289169934879393e-05,Bizyaev_2014,3,0.35,-0.07696971301467687,2.973060600444863,3.497948312726774,-0.5248877122819109,0.2619743801349146,0.7868620924168255,0.1814848845402458,0.3499855685811925,0.5,0.5171898355754858,1.1258476562331674,0.5171898355754858,60.226220009570326,0.9895154878817529,6.2976463827220615,283.7778847947425,6.296612738889132,359.194501718213,365.4911144571021,32.61256112405414,16.587438875945864,16.869580887343886
3.19,50.3,33.2174532437392,4.0,UGC04278,-6.06,32.66,0.0,793.1316614420061,UGC04278,UGC4278,Bizyaev_2014,,False,unique_to_2014,IC02233,,EON_123.495_45.742,IC02233,IC02233,123.495461,45.742138,r,51.12,0.52,7.78,0.73,0.1521909233176838,6.570694087403599,22.9,0.11,0.183,12.43,0.06,IR,585.0,IC2233,NED,intermediate,IC02233,IC02233,IC2233,123.495461,45.742138,IC2233,IC2233,NED,,True,coord_strict,UGC04278,113.0,1.289169934879393e-05,Bizyaev_2014,3,0.35,-0.07696971301467687,2.973060600444863,3.497948312726774,-0.5248877122819109,0.2619743801349146,0.7868620924168255,0.1814848845402458,0.3499855685811925,0.5,0.5171898355754858,1.1258476562331674,0.5171898355754858,60.226220009570326,0.9895154878817529,6.2976463827220615,283.7778847947425,6.296612738889132,345.89316614420056,352.1897788830897,33.518433654290234,16.781566345709763,17.082546756260797
