galaxy,segment_index,r_left_kpc,r_right_kpc,r_mid_kpc,h_i_kpc,Dw_i,v_vis_segment_kms,v_obs_segment_kms,v_err_segment_kms,n_points,r_max_gal_kpc,r_min_gal_kpc,r_scale,L_static,delta_sigma_i,beta_i,rho_struct_i,M_struct_i,g_topo_km2s2_per_kpc,v_struct_kms,v_topo_total_segment_kms,source_file
DDO168,1,0.41,2.06,1.235,0.35,2.0992631573247813,22.801932483717632,29.560000000000002,1.8199999999999998,5,4.12,0.41,2.3074512826452187,0.43337859720861316,0.0,1.0,4.40690580370121,4.40690580370121,1.2426825707811349e-05,0.003917541288760977,22.80193282024897,DDO168_segment_structure_v8.csv
DDO168,2,2.47,4.12,3.295,0.35,2.028884248906177,28.378055993417775,53.36,2.06,5,4.12,0.41,2.3074512826452187,0.43337859720861316,0.07037890841860417,0.8501045793795935,3.4993460886969006,7.90625189239811,3.1319885352142005e-06,0.0032124604625630476,28.37805617524669,DDO168_segment_structure_v8.csv
ESO563-G021,1,0.45,4.9,2.6750000000000003,0.35000000000000003,2.0374137901586646,133.77833333333334,101.05,6.423333333333333,6,42.41,0.45,4.545891879704271,0.21997883505866708,0.0,1.0,4.151054952328695,4.151054952328695,2.4950041058635694e-06,0.002583434919479306,133.7783333582781,ESO563-G021_segment_structure_v8.csv
ESO563-G021,2,5.79,12.06,8.925,0.35000000000000003,2.008564351001186,237.24166715144466,270.8333333333333,5.251666666666668,6,42.41,0.45,4.545891879704271,0.21997883505866708,0.028849439157478507,0.8770893317439097,3.5384684634045347,7.68952341573323,4.1518660049382826e-07,0.0019249780282921199,237.2416671592543,ESO563-G021_segment_structure_v8.csv
ESO563-G021,3,13.44,21.94,17.69,0.35000000000000003,2.003785467338003,278.4423539022395,314.6666666666667,13.983333333333334,6,42.41,0.45,4.545891879704271,0.21997883505866708,0.00477888366318302,0.9785099843787187,3.9288704296741144,11.618393845407345,1.5968009530907712e-07,0.0016806965478686432,278.44235390731194,ESO563-G021_segment_structure_v8.csv
ESO563-G021,4,23.68,32.18,27.93,0.35000000000000003,2.0022110844558587,252.23871582961138,313.1666666666667,9.881666666666666,6,42.41,0.45,4.545891879704271,0.21997883505866708,0.0015743828821443984,0.9928685757912445,3.980260422293239,15.598654267700585,8.60014187257004e-08,0.0015498450325786809,252.23871583437278,ESO563-G021_segment_structure_v8.csv
ESO563-G021,5,33.91,42.41,38.16,0.35000000000000003,2.0015359233580297,209.86750819634457,316.8333333333333,9.916666666666666,6,42.41,0.45,4.545891879704271,0.21997883505866708,0.0006751610978290579,0.9969354958559231,3.9938692013130397,19.592523469013624,5.786740379324957e-08,0.001486008118669075,209.86750820160555,ESO563-G021_segment_structure_v8.csv
IC4202,1,0.77,5.5,3.135,0.35000000000000003,2.030720547960966,185.46424308097198,141.28571428571428,3.8814285714285712,7,25.9,0.77,3.5156077328398996,0.2844458415137807,0.0,1.0,4.123825943910886,4.123825943910886,1.8046192715801451e-06,0.0023785460719531488,185.46424309622418,IC4202_segment_structure_v8.csv
IC4202,2,6.27,10.24,8.254999999999999,0.35000000000000003,2.009408690137701,226.0905499053524,236.0,4.985,6,25.9,0.77,3.5156077328398996,0.2844458415137807,0.021311857823265168,0.9278138748886957,3.7462556858571943,7.87008162976808,4.967128969764973e-07,0.002024935792695903,226.09054991442036,IC4202_segment_structure_v8.csv
IC4202,3,11.02,14.59,12.805,0.35000000000000003,2.0055572663381733,242.07131385357616,243.16666666666666,6.103333333333333,6,25.9,0.77,3.5156077328398996,0.2844458415137807,0.0038514237995275202,0.9865511594678427,3.9681652159347554,11.838246845702836,3.1051928716682283e-07,0.001994040990594518,242.07131386178904,IC4202_segment_structure_v8.csv
