galaxy_id,source,radius_kpc,v_obs_kms,v_err_kms,v_gas_kms,v_disk_kms,v_bulge_kms,v_bar_kms
F563-V2,SPARC,0.28,11.9,7.89,0.95,6.22,0,6.292130005
F563-V2,SPARC,0.87,34.8,7.89,2.93,17.64,0,17.88168057
F563-V2,SPARC,1.46,58.5,8.68,4.98,27.33,0,27.7800162
F563-V2,SPARC,2.05,81.5,14.2,7.2,35.16,0,35.88963081
F563-V2,SPARC,2.35,91.8,17.5,8.24,37.71,0,38.59976295
F563-V2,SPARC,4.76,114,8.68,16.62,45.06,0,48.0273672
F563-V2,SPARC,7.86,116,8.68,34.33,41.16,0,53.59752326
F563-V2,SPARC,8.7,117,16.6,39.57,40.09,0,56.32932629
F563-V2,SPARC,10.18,118,51.9,39.57,38.11,0,54.93775569
F563-V2,SPARC,10.47,118,40.3,39.57,37.78,0,54.70935295
