galaxy_id,source,radius_kpc,v_obs_kms,v_err_kms,v_gas_kms,v_disk_kms,v_bulge_kms,v_bar_kms
NGC3726,SPARC,3.5,102,7,0,138.23,0,138.23
NGC3726,SPARC,5.24,125,6.1,0,163.99,0,163.99
NGC3726,SPARC,6.98,145,4.9,8.76,177.95,0,178.1654852
NGC3726,SPARC,8.72,164,3.9,23.82,182.72,0,184.266087
NGC3726,SPARC,10.47,162,4.8,31.14,173.68,0,176.4495452
NGC3726,SPARC,12.19,160,4.8,37.29,166.41,0,170.536894
NGC3726,SPARC,13.94,156,4.8,46.45,159.41,0,166.0396055
NGC3726,SPARC,16.03,146,4.85,53.13,148.01,0,157.2569776
NGC3726,SPARC,22.3,158,4.9,48.17,124.21,0,133.2233951
NGC3726,SPARC,27.52,168,10.6,42.67,109.5,0,117.5201213
NGC3726,SPARC,30.08,169,10.6,40.52,103.96,0,111.5775605
NGC3726,SPARC,32.52,167,15.2,39.01,99.53,0,106.9018288
