galaxy_id,source,radius_kpc,v_obs_kms,v_err_kms,v_gas_kms,v_disk_kms,v_bulge_kms,v_bar_kms
UGC05721,SPARC,0.09,16.5,4.57,1.23,16.63,0,16.67542503
UGC05721,SPARC,0.27,38.5,6.88,3.67,32.22,0,32.428341
UGC05721,SPARC,0.45,47.4,4.57,5.99,40.27,0,40.71305687
UGC05721,SPARC,0.63,55.5,4.57,8.14,43.48,0,44.23539307
UGC05721,SPARC,0.81,56.4,5.45,10.08,44.07,0,45.20808888
UGC05721,SPARC,0.99,59.8,4.57,11.72,43.71,0,45.25397773
UGC05721,SPARC,1.17,67.8,4.57,13.25,44.14,0,46.08581235
UGC05721,SPARC,1.35,76.4,4.57,15.37,42.83,0,45.50434924
UGC05721,SPARC,1.53,81.2,4.57,18.44,40.98,0,44.93766794
UGC05721,SPARC,1.71,82.2,19.2,21.32,38.82,0,44.28921765
UGC05721,SPARC,1.89,82.6,4.57,22.09,36.95,0,43.0496295
UGC05721,SPARC,2.07,82.3,4.57,20.36,35.17,0,40.63814095
UGC05721,SPARC,2.25,82.1,4.57,17.96,33.75,0,38.23119276
UGC05721,SPARC,2.67,81.4,4.57,18.44,30.81,0,35.90668044
UGC05721,SPARC,3.15,79.3,4.57,20.36,27.99,0,34.61169889
UGC05721,SPARC,3.61,78.5,4.57,20.55,25.88,0,33.04658681
UGC05721,SPARC,4.04,78.2,4.57,20.74,24.31,0,31.95502621
UGC05721,SPARC,4.49,78.1,4.57,21.71,22.96,0,31.59882435
UGC05721,SPARC,4.93,78.2,4.57,23.34,21.83,0,31.95785506
UGC05721,SPARC,5.38,78.3,4.57,24.59,20.85,0,32.23958126
UGC05721,SPARC,5.86,78.6,4.57,24.78,19.94,0,31.80647733
UGC05721,SPARC,6.28,78.9,4.57,24.59,19.24,0,31.22251912
UGC05721,SPARC,6.74,79.5,4.57,24.59,18.55,0,30.80212006
