TrackName,Imp,On,Name,TrackRefs,TrackRefsLatex,Notes,from-Members,width_phi2,width_phi2_Ref,width_pm_phi1_cosphi2,width_pm_phi1_cosphi2_Ref,width_pm_phi2,width_pm_phi2_Ref,total_v_sigma,total_v_sigma_Ref,Lv_stream,L_Ref,width_comment,length,ra_o,dec_o,distance_o,ra_f,dec_f,distance_f,ra_mid,dec_mid,distance_mid,ra_pole,dec_pole,InfoFlags,has_empirical_track,has_D,has_pm,has_vrad,DiscoveryRefs,ID,InfoFlags_raw,InfoFlags_str,has_empirical_track_from_flag,has_D_from_flag,has_pm_from_flag,has_vrad_from_flag
20.0-1-M18,po,True,20.0-1,mateu2018,Mateu2018,-,0,1.8,Riley2020,-9.0,-----------,-9.0,------------,-9.0,-----------,0.0,--------,apparent,36.6197564151311,280.22587880281264,-41.03140510411615,27.65255864361741,311.5228167599443,-16.281973327905295,25.12672508215169,298.18216814851223,-29.913159157392855,26.83994786642687,235.75857510639696,38.82188065837841,0,0,0,0,0,Mateu2018,1,0,0000,0,0,0,0
300S-F18,st,True,300S,fu2018,Fu2018,-,0,0.4,Fu2018,-9.0,-----------,-9.0,------------,-9.0,-----------,0.0,--------,apparent,11.084050035883632,151.80000501357952,16.046962361139933,17.963332941831744,163.17000930877413,14.448968680194918,14.350059975054725,157.51043124647902,15.343948560876,15.929408526687904,308.0564701505804,72.50938813171143,1101,1,1,0,1,"NiedersteOstholt2009,Simon2011",2,1101,1101,1,1,0,1
AAU-ATLAS-L21,st,True,AAU-ATLAS,li2021,Li2021,-,1,0.3,Li2021,0.14,Li2021,0.13,Li2021,-1.0,Li2021,0.0,--------,apparent,23.561679820019336,8.928510296135647,-20.20628716831248,18.995105354992702,30.745903146539856,-33.545163510556115,25.557784325161418,19.83735580474365,-26.863125248564497,21.478243775239648,74.25906739590538,47.93312434806639,1111,1,1,1,1,Koposov2014,3,1111,1111,1,1,1,1
AAU-AliqaUma-L21,st,True,AAU-AliqaUma,li2021,Li2021,-,1,0.26,Li2021,0.16,Li2021,0.09,Li2021,-1.0,Li2021,0.0,--------,apparent,9.677187191198756,31.157871414867984,-32.879052435292685,25.60982328595285,40.87617046477374,-38.48681074855997,30.84590462749396,20.29300371880518,-26.23355186572417,21.981943139079156,74.25906739590538,47.93312434806639,1111,1,1,1,1,Shipp2018,4,1111,1111,1,1,1,1
ACS-R21,st,True,ACS,ramos2021,Ramos2021,-,0,2.1,Riley2020,-9.0,-----------,-9.0,------------,-9.0,-----------,0.0,--------,apparent,57.66413634261946,154.39841805705242,80.03816201409792,11.699999999999523,125.52507630167663,23.95004456548837,11.699999999999068,128.51898202124207,52.59559991950584,11.699999999999994,212.30163850594295,-4.733141452813517,1110,1,1,1,0,Grillmair2006_acs,5,1110,1110,1,1,1,0
ATLAS-I21,st,False,AAU-ATLAS,ibata2021,Ibata2021,-,1,0.35,from-Members,0.31,from-Members,0.27,from-Members,-1.0,from-Members,0.0,--------,apparent,18.11524327341305,17.350232192485915,-25.24873522701077,24.83901518211964,35.12020797434247,-34.861328881123505,20.39427870350686,25.81911715971101,-30.33120453253332,24.642129541727822,80.54484247050658,44.6260765453759,1111,1,1,1,1,Koposov2014,,1111,1111,1,1,1,1
ATLAS-I24,st,False,AAU-ATLAS,ibata2024,Ibata2024,-,1,0.41,from-Members,0.23,from-Members,0.25,from-Members,-1.0,from-Members,0.0,--------,apparent,40.7916732528738,2.4254387319781867,-16.012923522343247,1.0000000000000029,41.31992970607222,-38.23093289847924,0.9999999999999996,20.68949141366402,-27.386696721481457,1.0,76.34323165442085,47.43968531038728,1111,1,1,1,1,Koposov2014,,1111,1111,1,1,1,1
Acheron-G09,ep,True,Acheron,grillmair2009,Grillmair2009,-,0,0.4,Riley2020,-9.0,-----------,-9.0,------------,-9.0,-----------,0.0,--------,apparent,36.53209164130622,230.0,-2.0,3.5,259.0,21.0,3.8,244.604605842248,10.300418553972731,3.656381685929916,142.33942832888778,49.453184084738695,0,0,0,0,0,Grillmair2009,6,0,0000,0,0,0,0
Alpheus-G13,st,True,Alpheus,grillmair2013,Grillmair2013,-,0,1.4,Riley2020,-9.0,-----------,-9.0,------------,-9.0,-----------,0.0,--------,apparent,24.216057808776853,21.580100101512134,-68.9999800837423,1.6000089280546443,27.67477137381197,-44.99998721590151,2.0000082972012883,24.95547707814855,-56.984491954755576,1.8002637451402963,301.5714070423531,4.28071854481944,1100,1,1,0,0,Grillmair2013,7,1100,1100,1,1,0,0
Aquarius-W11,st,True,Aquarius,williams2011,Williams2011,-,1,3.78,from-Members,14.31,from-Members,32.75,from-Members,-1.0,from-Members,0.0,--------,apparent,12.37414457982118,338.7831993505229,-7.539445802209777,4.835233745338127,351.0692596864032,-9.924148342400178,3.342025418794275,344.9064233935819,-8.78238980891426,4.0886295820662015,47.762970869740776,70.95362916309949,1111,1,1,1,1,Williams2011,8,1111,1111,1,1,1,1
