r_kpc,v_obs_kms,v_vis_kms,v_err_kms,galaxy,v_gas_kmps,v_disk_kmps,v_bul_kmps,a_obs_kmps2_per_kpc,matched_sparc_name,matched_sparc_name_norm,included_source_catalog,secondary_source_catalog,duplicate_flag,duplicate_status,source_object_name_primary,source_object_name_secondary,structure_2014_Name,structure_2014_preferred_name,structure_2014_catalog_name_normalized,structure_2014_RAJ2000,structure_2014_DEJ2000,structure_2014_Band,structure_2014_h,structure_2014_e_h,structure_2014_z0,structure_2014_e_z0,structure_2014_z0_over_h,structure_2014_h_over_z0,structure_2014_S0,structure_2014_e_S0,structure_2014_gradz0,structure_2014_mag,structure_2014_B/T,structure_2014_Type,structure_2014_RV,structure_2014_AName,structure_2014_NED,structure_2014_thickness_flag,structure_2014_biz_name,structure_2014_biz_name_norm,structure_2014_biz_catalog_token,structure_2014_RA_match_deg,structure_2014_DE_match_deg,structure_2014_biz_aname_norm,structure_2014_biz_aname_token,structure_2014_biz_ned_norm,structure_2014_biz_ned_token,structure_2014_matched,structure_2014_match_reason,structure_2014_matched_sparc_name,structure_2014_matched_sparc_index,structure_2014_matched_sep_deg,structure_2014___source_catalog__,h_kpc,segment_index,Dw_i,sigma_i,beta_i,source_core_i,info_source_i,I_struct_i,gamma_topo,alpha_geom_i,alpha_mass_i,weight_geom_i,weight_mass_i,mass_bar_segment_msun,mass_norm_i,alpha_relax_i,neighbor_gradient_i,ell_info_kpc,c_info_gal,tau_struct_gal,mean_dw_pert,mean_sigma,mean_beta,r_scale,dw_internal,dw_external,observer_gap,observer_factor,factor_dw,factor_sigma,factor_rscale,factor_beta,gamma_raw,g_topo_km2s2_per_kpc,v_struct_kms,v_topo_total_kms,rotation_residual_topo_kms,rotation_residual_vis_only_kms
1.74,96.4,148.01974530446944,12.1,NGC4157,5.73,129.95,70.64,5340.781609195403,NGC4157,NGC4157,Bizyaev_2014,,False,unique_to_2014,NGC04157,,EON_182.770_50.485,NGC04157,NGC04157,182.766998,50.485317,r,46.54,1.29,14.28,1.39,0.3068328319724968,3.2591036414565826,20.93,0.12,0.171,10.98,0.11,SC,778.0,NGC4157,NED,thick_like,NGC04157,NGC04157,NGC4157,182.766998,50.485317,NGC4157,NGC4157,NED,,True,name_exact,NGC4157,73.0,0.0,Bizyaev_2014,0.35,1,2.2113437738959276,0.13076017966771314,0.9513556561386882,0.07979649510920722,0.07591484696218746,0.5532442200441554,822364.6711497551,2.0615558238991416,2.252363238949121,0.07430997876857749,0.271352621727655,47238816982.59291,0.610250730092185,0.06834832965411186,0.024954232761013957,5.2299999999999995,1.0,2.0,0.26775301838493226,0.07856643272768743,0.9665958413539872,2.8342270288870623,2.2796921035500395,2.267753018384932,0.011939085165107333,1.034474197527025,8.925100612864409,7.856643272868744,1.1336908115552249,1.0,822364.6711497551,150273.6494524094,511.34738685867194,532.3401121906861,-435.94011219068614,-51.61974530446943
3.5,157.0,223.45501605468607,10.5,NGC4157,16.49,217.21,49.8,7042.571428571428,NGC4157,NGC4157,Bizyaev_2014,,False,unique_to_2014,NGC04157,,EON_182.770_50.485,NGC04157,NGC04157,182.766998,50.485317,r,46.54,1.29,14.28,1.39,0.3068328319724968,3.2591036414565826,20.93,0.12,0.171,10.98,0.11,SC,778.0,NGC4157,NED,thick_like,NGC04157,NGC04157,NGC4157,182.766998,50.485317,NGC4157,NGC4157,NED,,True,name_exact,NGC4157,73.0,0.0,Bizyaev_2014,0.35,1,2.2113437738959276,0.13076017966771314,0.9513556561386882,0.07979649510920722,0.07591484696218746,0.5532442200441554,822364.6711497551,2.0615558238991416,2.252363238949121,0.07430997876857749,0.271352621727655,47238816982.59291,0.610250730092185,0.06834832965411186,0.024954232761013957,5.2299999999999995,1.0,2.0,0.26775301838493226,0.07856643272768743,0.9665958413539872,2.8342270288870623,2.2796921035500395,2.267753018384932,0.011939085165107333,1.034474197527025,8.925100612864409,7.856643272868744,1.1336908115552249,1.0,822364.6711497551,37140.285802621605,360.5426470047276,424.1734839769874,-267.1734839769874,-66.45501605468607
5.24,192.0,242.04169165662347,8.4,NGC4157,21.44,237.63,40.7,7035.114503816793,NGC4157,NGC4157,Bizyaev_2014,,False,unique_to_2014,NGC04157,,EON_182.770_50.485,NGC04157,NGC04157,182.766998,50.485317,r,46.54,1.29,14.28,1.39,0.3068328319724968,3.2591036414565826,20.93,0.12,0.171,10.98,0.11,SC,778.0,NGC4157,NED,thick_like,NGC04157,NGC04157,NGC4157,182.766998,50.485317,NGC4157,NGC4157,NED,,True,name_exact,NGC4157,73.0,0.0,Bizyaev_2014,0.35,1,2.2113437738959276,0.13076017966771314,0.9513556561386882,0.07979649510920722,0.07591484696218746,0.5532442200441554,822364.6711497551,2.0615558238991416,2.252363238949121,0.07430997876857749,0.271352621727655,47238816982.59291,0.610250730092185,0.06834832965411186,0.024954232761013957,5.2299999999999995,1.0,2.0,0.26775301838493226,0.07856643272768743,0.9665958413539872,2.8342270288870623,2.2796921035500395,2.267753018384932,0.011939085165107333,1.034474197527025,8.925100612864409,7.856643272868744,1.1336908115552249,1.0,822364.6711497551,16569.856836799816,294.6626033700765,381.326933647272,-189.32693364727203,-50.04169165662347
8.72,201.0,254.82678999665637,7.3,NGC4157,30.5,251.02,31.55,4633.142201834862,NGC4157,NGC4157,Bizyaev_2014,,False,unique_to_2014,NGC04157,,EON_182.770_50.485,NGC04157,NGC04157,182.766998,50.485317,r,46.54,1.29,14.28,1.39,0.3068328319724968,3.2591036414565826,20.93,0.12,0.171,10.98,0.11,SC,778.0,NGC4157,NED,thick_like,NGC04157,NGC04157,NGC4157,182.766998,50.485317,NGC4157,NGC4157,NED,,True,name_exact,NGC4157,73.0,0.0,Bizyaev_2014,0.35,2,2.3421039535636408,0.09834005987423189,0.9523638325996685,0.10177202168057017,0.09692399261912436,0.694275691591825,822364.6711497551,2.0150879702026274,2.3610527539689183,0.029965753424657533,0.5171451550351877,135855825077.28787,1.0348989192270928,0.06241185001360128,0.018839091929929486,5.2299999999999995,1.0,2.0,0.26775301838493226,0.07856643272768743,0.9665958413539872,2.8342270288870623,2.2796921035500395,2.267753018384932,0.011939085165107333,1.034474197527025,8.925100612864409,7.856643272868744,1.1336908115552249,1.0,822364.6711497551,7508.677205243402,255.88213151707654,361.1265126375,-160.1265126375,-53.82678999665637
10.47,194.0,236.26904007931296,6.4,NGC4157,41.92,230.73,28.8,3594.6513849092644,NGC4157,NGC4157,Bizyaev_2014,,False,unique_to_2014,NGC04157,,EON_182.770_50.485,NGC04157,NGC04157,182.766998,50.485317,r,46.54,1.29,14.28,1.39,0.3068328319724968,3.2591036414565826,20.93,0.12,0.171,10.98,0.11,SC,778.0,NGC4157,NED,thick_like,NGC04157,NGC04157,NGC4157,182.766998,50.485317,NGC4157,NGC4157,NED,,True,name_exact,NGC4157,73.0,0.0,Bizyaev_2014,0.35,2,2.3421039535636408,0.09834005987423189,0.9523638325996685,0.10177202168057017,0.09692399261912436,0.694275691591825,822364.6711497551,2.0150879702026274,2.3610527539689183,0.029965753424657533,0.5171451550351877,135855825077.28787,1.0348989192270928,0.06241185001360128,0.018839091929929486,5.2299999999999995,1.0,2.0,0.26775301838493226,0.07856643272768743,0.9665958413539872,2.8342270288870623,2.2796921035500395,2.267753018384932,0.011939085165107333,1.034474197527025,8.925100612864409,7.856643272868744,1.1336908115552249,1.0,822364.6711497551,5208.384539838478,233.520419090299,332.1969979275985,-138.1969979275985,-42.26904007931296
12.19,190.0,216.51426142404569,6.0,NGC4157,51.62,208.57,26.69,2961.443806398688,NGC4157,NGC4157,Bizyaev_2014,,False,unique_to_2014,NGC04157,,EON_182.770_50.485,NGC04157,NGC04157,182.766998,50.485317,r,46.54,1.29,14.28,1.39,0.3068328319724968,3.2591036414565826,20.93,0.12,0.171,10.98,0.11,SC,778.0,NGC4157,NED,thick_like,NGC04157,NGC04157,NGC4157,182.766998,50.485317,NGC4157,NGC4157,NED,,True,name_exact,NGC4157,73.0,0.0,Bizyaev_2014,0.35,2,2.3421039535636408,0.09834005987423189,0.9523638325996685,0.10177202168057017,0.09692399261912436,0.694275691591825,822364.6711497551,2.0150879702026274,2.3610527539689183,0.029965753424657533,0.5171451550351877,135855825077.28787,1.0348989192270928,0.06241185001360128,0.018839091929929486,5.2299999999999995,1.0,2.0,0.26775301838493226,0.07856643272768743,0.9665958413539872,2.8342270288870623,2.2796921035500395,2.267753018384932,0.011939085165107333,1.034474197527025,8.925100612864409,7.856643272868744,1.1336908115552249,1.0,822364.6711497551,3842.2798498963302,216.4194801080445,306.130391778138,-116.130391778138,-26.514261424045685
15.68,184.0,187.18058499748312,6.4,NGC4157,48.39,179.28,23.53,2159.183673469388,NGC4157,NGC4157,Bizyaev_2014,,False,unique_to_2014,NGC04157,,EON_182.770_50.485,NGC04157,NGC04157,182.766998,50.485317,r,46.54,1.29,14.28,1.39,0.3068328319724968,3.2591036414565826,20.93,0.12,0.171,10.98,0.11,SC,778.0,NGC4157,NED,thick_like,NGC04157,NGC04157,NGC4157,182.766998,50.485317,NGC4157,NGC4157,NED,,True,name_exact,NGC4157,73.0,0.0,Bizyaev_2014,0.35,3,2.27618401348289,0.05036181048318511,0.996934805273706,0.050671325984674026,0.05051600850349148,0.47705162982795135,822364.6711497551,2.0077579461000954,2.286203005664087,0.01877682403433476,0.5030634760783906,128411602923.09045,1.006145837461349,0.003508090067149361,0.00964785641440328,5.2299999999999995,1.0,2.0,0.26775301838493226,0.07856643272768743,0.9665958413539872,2.8342270288870623,2.2796921035500395,2.267753018384932,0.011939085165107333,1.034474197527025,8.925100612864409,7.856643272868744,1.1336908115552249,1.0,822364.6711497551,1595.6502770855484,158.17647215910904,245.06400744438463,-61.06400744438463,-3.1805849974831233
17.42,182.0,178.4644572456936,7.3,NGC4157,52.05,169.24,22.32,1901.4925373134329,NGC4157,NGC4157,Bizyaev_2014,,False,unique_to_2014,NGC04157,,EON_182.770_50.485,NGC04157,NGC04157,182.766998,50.485317,r,46.54,1.29,14.28,1.39,0.3068328319724968,3.2591036414565826,20.93,0.12,0.171,10.98,0.11,SC,778.0,NGC4157,NED,thick_like,NGC04157,NGC04157,NGC4157,182.766998,50.485317,NGC4157,NGC4157,NED,,True,name_exact,NGC4157,73.0,0.0,Bizyaev_2014,0.35,3,2.27618401348289,0.05036181048318511,0.996934805273706,0.050671325984674026,0.05051600850349148,0.47705162982795135,822364.6711497551,2.0077579461000954,2.286203005664087,0.01877682403433476,0.5030634760783906,128411602923.09045,1.006145837461349,0.003508090067149361,0.00964785641440328,5.2299999999999995,1.0,2.0,0.26775301838493226,0.07856643272768743,0.9665958413539872,2.8342270288870623,2.2796921035500395,2.267753018384932,0.011939085165107333,1.034474197527025,8.925100612864409,7.856643272868744,1.1336908115552249,1.0,822364.6711497551,1292.8065009830664,150.06894831085148,233.17429478209002,-51.174294782090016,3.535542754306391
19.16,181.0,169.2039024372665,6.6,NGC4157,50.54,160.07,21.29,1709.8643006263048,NGC4157,NGC4157,Bizyaev_2014,,False,unique_to_2014,NGC04157,,EON_182.770_50.485,NGC04157,NGC04157,182.766998,50.485317,r,46.54,1.29,14.28,1.39,0.3068328319724968,3.2591036414565826,20.93,0.12,0.171,10.98,0.11,SC,778.0,NGC4157,NED,thick_like,NGC04157,NGC04157,NGC4157,182.766998,50.485317,NGC4157,NGC4157,NED,,True,name_exact,NGC4157,73.0,0.0,Bizyaev_2014,0.35,3,2.27618401348289,0.05036181048318511,0.996934805273706,0.050671325984674026,0.05051600850349148,0.47705162982795135,822364.6711497551,2.0077579461000954,2.286203005664087,0.01877682403433476,0.5030634760783906,128411602923.09045,1.006145837461349,0.003508090067149361,0.00964785641440328,5.2299999999999995,1.0,2.0,0.26775301838493226,0.07856643272768743,0.9665958413539872,2.8342270288870623,2.2796921035500395,2.267753018384932,0.011939085165107333,1.034474197527025,8.925100612864409,7.856643272868744,1.1336908115552249,1.0,822364.6711497551,1068.6581917707547,143.09259573551546,221.5974989803081,-40.5974989803081,11.796097562733507
22.65,185.0,155.37222821341015,6.5,NGC4157,52.27,145.0,19.58,1511.037527593819,NGC4157,NGC4157,Bizyaev_2014,,False,unique_to_2014,NGC04157,,EON_182.770_50.485,NGC04157,NGC04157,182.766998,50.485317,r,46.54,1.29,14.28,1.39,0.3068328319724968,3.2591036414565826,20.93,0.12,0.171,10.98,0.11,SC,778.0,NGC4157,NED,thick_like,NGC04157,NGC04157,NGC4157,182.766998,50.485317,NGC4157,NGC4157,NED,,True,name_exact,NGC4157,73.0,0.0,Bizyaev_2014,0.35,4,2.2413803325972705,0.03480368088561958,0.9657290714038862,0.034588460384485896,0.03340308172839967,0.32743494594157924,822364.6711497551,2.004797135934833,2.2476734561326888,0.013217522658610271,0.4968985186661136,125283680563.79454,0.9938161569219935,0.03831177095276894,0.005000528862876376,5.2299999999999995,1.0,2.0,0.26775301838493226,0.07856643272768743,0.9665958413539872,2.8342270288870623,2.2796921035500395,2.267753018384932,0.011939085165107333,1.034474197527025,8.925100612864409,7.856643272868744,1.1336908115552249,1.0,822364.6711497551,524.8715829075425,109.03367072998981,189.81272521318436,-4.812725213184365,29.627771786589847
