r_kpc,v_obs_kms,v_vis_kms,v_err_kms,galaxy,v_gas_kmps,v_disk_kmps,v_bul_kmps,a_obs_kmps2_per_kpc,matched_sparc_name,matched_sparc_name_norm,included_source_catalog,secondary_source_catalog,duplicate_flag,duplicate_status,source_object_name_primary,source_object_name_secondary,structure_2014_Name,structure_2014_preferred_name,structure_2014_catalog_name_normalized,structure_2014_RAJ2000,structure_2014_DEJ2000,structure_2014_Band,structure_2014_h,structure_2014_e_h,structure_2014_z0,structure_2014_e_z0,structure_2014_z0_over_h,structure_2014_h_over_z0,structure_2014_S0,structure_2014_e_S0,structure_2014_gradz0,structure_2014_mag,structure_2014_B/T,structure_2014_Type,structure_2014_RV,structure_2014_AName,structure_2014_NED,structure_2014_thickness_flag,structure_2014_biz_name,structure_2014_biz_name_norm,structure_2014_biz_catalog_token,structure_2014_RA_match_deg,structure_2014_DE_match_deg,structure_2014_biz_aname_norm,structure_2014_biz_aname_token,structure_2014_biz_ned_norm,structure_2014_biz_ned_token,structure_2014_matched,structure_2014_match_reason,structure_2014_matched_sparc_name,structure_2014_matched_sparc_index,structure_2014_matched_sep_deg,structure_2014___source_catalog__,h_kpc,segment_index,Dw_i,sigma_i,beta_i,source_core_i,info_source_i,I_struct_i,gamma_topo,alpha_geom_i,alpha_mass_i,weight_geom_i,weight_mass_i,mass_bar_segment_msun,mass_norm_i,alpha_relax_i,neighbor_gradient_i,ell_info_kpc,c_info_gal,tau_struct_gal,mean_dw_pert,mean_sigma,mean_beta,r_scale,dw_internal,dw_external,observer_gap,observer_factor,factor_dw,factor_sigma,factor_rscale,factor_beta,gamma_raw,g_topo_km2s2_per_kpc,v_struct_kms,v_topo_total_kms,rotation_residual_topo_kms,rotation_residual_vis_only_kms
0.82,107.0,33.69309127996421,25.6,UGC12506,8.12,32.7,0.0,13962.19512195122,UGC12506,UGC12506,Bizyaev_2014,Bizyaev_2002,True,confirmed_duplicate_by_sparc_name,PGC1503349,RFGC4106,EON_349.898_16.208,PGC1503349,PGC1503349,349.897522,16.208237,r,3.72,0.12,1.68,0.15,0.4516129032258064,2.2142857142857144,20.63,0.12,0.019,15.84,0.25,SB,,PGC1503349,NED,thick_like,PGC1503349,PGC1503349,PGC1503349,349.897522,16.208237,PGC1503349,PGC1503349,NED,,True,coord_review,UGC12506,169.0,0.1348958198421924,Bizyaev_2014,0.35,1,2.037978225113705,0.12260550567558148,0.9040252072383452,0.03502777845170582,0.0316659946739022,0.42818342869196563,462318.41872647067,2.0353160355746214,2.0403211939988637,0.06641366223908919,0.07546227266824068,13690247488.640131,0.28569498782860997,0.15174481383646388,0.014951890936046524,8.200000000000001,1.0,2.0,0.15877427609954387,0.0461603986475783,0.9714210517933258,4.110273924149317,2.1897230389501687,2.158774276099544,0.030948762850624867,1.1510176981460747,5.292475870018129,4.61603986485783,1.644109569660127,1.0,462318.41872647067,294403.7562131887,491.3360154668236,492.4899029369178,-385.4899029369178,73.30690872003579
2.46,159.0,82.91915641153135,26.5,UGC12506,22.67,79.76,0.0,10276.829268292682,UGC12506,UGC12506,Bizyaev_2014,Bizyaev_2002,True,confirmed_duplicate_by_sparc_name,PGC1503349,RFGC4106,EON_349.898_16.208,PGC1503349,PGC1503349,349.897522,16.208237,r,3.72,0.12,1.68,0.15,0.4516129032258064,2.2142857142857144,20.63,0.12,0.019,15.84,0.25,SB,,PGC1503349,NED,thick_like,PGC1503349,PGC1503349,PGC1503349,349.897522,16.208237,PGC1503349,PGC1503349,NED,,True,coord_review,UGC12506,169.0,0.1348958198421924,Bizyaev_2014,0.35,1,2.037978225113705,0.12260550567558148,0.9040252072383452,0.03502777845170582,0.0316659946739022,0.42818342869196563,462318.41872647067,2.0353160355746214,2.0403211939988637,0.06641366223908919,0.07546227266824068,13690247488.640131,0.28569498782860997,0.15174481383646388,0.014951890936046524,8.200000000000001,1.0,2.0,0.15877427609954387,0.0461603986475783,0.9714210517933258,4.110273924149317,2.1897230389501687,2.158774276099544,0.030948762850624867,1.1510176981460747,5.292475870018129,4.61603986485783,1.644109569660127,1.0,462318.41872647067,32711.528468132074,283.6729807923287,295.5434765505828,-136.5434765505828,76.08084358846865
4.1,194.0,112.13798330628208,13.9,UGC12506,31.68,107.57,0.0,9179.512195121952,UGC12506,UGC12506,Bizyaev_2014,Bizyaev_2002,True,confirmed_duplicate_by_sparc_name,PGC1503349,RFGC4106,EON_349.898_16.208,PGC1503349,PGC1503349,349.897522,16.208237,r,3.72,0.12,1.68,0.15,0.4516129032258064,2.2142857142857144,20.63,0.12,0.019,15.84,0.25,SB,,PGC1503349,NED,thick_like,PGC1503349,PGC1503349,PGC1503349,349.897522,16.208237,PGC1503349,PGC1503349,NED,,True,coord_review,UGC12506,169.0,0.1348958198421924,Bizyaev_2014,0.35,1,2.037978225113705,0.12260550567558148,0.9040252072383452,0.03502777845170582,0.0316659946739022,0.42818342869196563,462318.41872647067,2.0353160355746214,2.0403211939988637,0.06641366223908919,0.07546227266824068,13690247488.640131,0.28569498782860997,0.15174481383646388,0.014951890936046524,8.200000000000001,1.0,2.0,0.15877427609954387,0.0461603986475783,0.9714210517933258,4.110273924149317,2.1897230389501687,2.158774276099544,0.030948762850624867,1.1510176981460747,5.292475870018129,4.61603986485783,1.644109569660127,1.0,462318.41872647067,11776.150248527547,219.7321460755411,246.69240628556634,-52.692406285566335,81.86201669371792
5.74,198.0,128.90390994845734,14.6,UGC12506,34.72,124.14,0.0,6829.965156794425,UGC12506,UGC12506,Bizyaev_2014,Bizyaev_2002,True,confirmed_duplicate_by_sparc_name,PGC1503349,RFGC4106,EON_349.898_16.208,PGC1503349,PGC1503349,349.897522,16.208237,r,3.72,0.12,1.68,0.15,0.4516129032258064,2.2142857142857144,20.63,0.12,0.019,15.84,0.25,SB,,PGC1503349,NED,thick_like,PGC1503349,PGC1503349,PGC1503349,349.897522,16.208237,PGC1503349,PGC1503349,NED,,True,coord_review,UGC12506,169.0,0.1348958198421924,Bizyaev_2014,0.35,1,2.037978225113705,0.12260550567558148,0.9040252072383452,0.03502777845170582,0.0316659946739022,0.42818342869196563,462318.41872647067,2.0353160355746214,2.0403211939988637,0.06641366223908919,0.07546227266824068,13690247488.640131,0.28569498782860997,0.15174481383646388,0.014951890936046524,8.200000000000001,1.0,2.0,0.15877427609954387,0.0461603986475783,0.9714210517933258,4.110273924149317,2.1897230389501687,2.158774276099544,0.030948762850624867,1.1510176981460747,5.292475870018129,4.61603986485783,1.644109569660127,1.0,462318.41872647067,6008.239922718136,185.70755815637148,226.06086604364341,-28.060866043643415,69.09609005154266
7.38,211.0,141.22226594981402,13.2,UGC12506,31.78,137.6,0.0,6032.655826558265,UGC12506,UGC12506,Bizyaev_2014,Bizyaev_2002,True,confirmed_duplicate_by_sparc_name,PGC1503349,RFGC4106,EON_349.898_16.208,PGC1503349,PGC1503349,349.897522,16.208237,r,3.72,0.12,1.68,0.15,0.4516129032258064,2.2142857142857144,20.63,0.12,0.019,15.84,0.25,SB,,PGC1503349,NED,thick_like,PGC1503349,PGC1503349,PGC1503349,349.897522,16.208237,PGC1503349,PGC1503349,NED,,True,coord_review,UGC12506,169.0,0.1348958198421924,Bizyaev_2014,0.35,1,2.037978225113705,0.12260550567558148,0.9040252072383452,0.03502777845170582,0.0316659946739022,0.42818342869196563,462318.41872647067,2.0353160355746214,2.0403211939988637,0.06641366223908919,0.07546227266824068,13690247488.640131,0.28569498782860997,0.15174481383646388,0.014951890936046524,8.200000000000001,1.0,2.0,0.15877427609954387,0.0461603986475783,0.9714210517933258,4.110273924149317,2.1897230389501687,2.158774276099544,0.030948762850624867,1.1510176981460747,5.292475870018129,4.61603986485783,1.644109569660127,1.0,462318.41872647067,3634.614274236897,163.77867182227453,216.2572120042897,-5.257212004289698,69.77773405018598
10.65,230.0,169.21796240352265,11.6,UGC12506,14.68,168.58,0.0,4967.136150234742,UGC12506,UGC12506,Bizyaev_2014,Bizyaev_2002,True,confirmed_duplicate_by_sparc_name,PGC1503349,RFGC4106,EON_349.898_16.208,PGC1503349,PGC1503349,349.897522,16.208237,r,3.72,0.12,1.68,0.15,0.4516129032258064,2.2142857142857144,20.63,0.12,0.019,15.84,0.25,SB,,PGC1503349,NED,thick_like,PGC1503349,PGC1503349,PGC1503349,349.897522,16.208237,PGC1503349,PGC1503349,NED,,True,coord_review,UGC12506,169.0,0.1348958198421924,Bizyaev_2014,0.35,2,2.1605837307892863,0.07843319074063393,0.9782055363730491,0.0631103133679494,0.061734857938766145,0.637135602177601,462318.41872647067,2.0079664669934654,2.1695850051954895,0.02317880794701987,0.3929983785946017,108594283485.8216,0.8046378423726908,0.029139308160882393,0.009565023261052918,8.200000000000001,1.0,2.0,0.15877427609954387,0.0461603986475783,0.9714210517933258,4.110273924149317,2.1897230389501687,2.158774276099544,0.030948762850624867,1.1510176981460747,5.292475870018129,4.61603986485783,1.644109569660127,1.0,462318.41872647067,2597.0113876266714,166.30746007988952,237.26122750720154,-7.261227507201539,60.78203759647735
12.29,239.0,175.92891888487236,11.6,UGC12506,14.98,175.29,0.0,4647.762408462165,UGC12506,UGC12506,Bizyaev_2014,Bizyaev_2002,True,confirmed_duplicate_by_sparc_name,PGC1503349,RFGC4106,EON_349.898_16.208,PGC1503349,PGC1503349,349.897522,16.208237,r,3.72,0.12,1.68,0.15,0.4516129032258064,2.2142857142857144,20.63,0.12,0.019,15.84,0.25,SB,,PGC1503349,NED,thick_like,PGC1503349,PGC1503349,PGC1503349,349.897522,16.208237,PGC1503349,PGC1503349,NED,,True,coord_review,UGC12506,169.0,0.1348958198421924,Bizyaev_2014,0.35,2,2.1605837307892863,0.07843319074063393,0.9782055363730491,0.0631103133679494,0.061734857938766145,0.637135602177601,462318.41872647067,2.0079664669934654,2.1695850051954895,0.02317880794701987,0.3929983785946017,108594283485.8216,0.8046378423726908,0.029139308160882393,0.009565023261052918,8.200000000000001,1.0,2.0,0.15877427609954387,0.0461603986475783,0.9714210517933258,4.110273924149317,2.1897230389501687,2.158774276099544,0.030948762850624867,1.1510176981460747,5.292475870018129,4.61603986485783,1.644109569660127,1.0,462318.41872647067,1950.1557764459928,154.81412885302572,234.3467494814495,4.653250518550493,63.07108111512764
13.93,237.0,177.92775640691926,11.6,UGC12506,26.72,175.91,0.0,4032.232591529074,UGC12506,UGC12506,Bizyaev_2014,Bizyaev_2002,True,confirmed_duplicate_by_sparc_name,PGC1503349,RFGC4106,EON_349.898_16.208,PGC1503349,PGC1503349,349.897522,16.208237,r,3.72,0.12,1.68,0.15,0.4516129032258064,2.2142857142857144,20.63,0.12,0.019,15.84,0.25,SB,,PGC1503349,NED,thick_like,PGC1503349,PGC1503349,PGC1503349,349.897522,16.208237,PGC1503349,PGC1503349,NED,,True,coord_review,UGC12506,169.0,0.1348958198421924,Bizyaev_2014,0.35,2,2.1605837307892863,0.07843319074063393,0.9782055363730491,0.0631103133679494,0.061734857938766145,0.637135602177601,462318.41872647067,2.0079664669934654,2.1695850051954895,0.02317880794701987,0.3929983785946017,108594283485.8216,0.8046378423726908,0.029139308160882393,0.009565023261052918,8.200000000000001,1.0,2.0,0.15877427609954387,0.0461603986475783,0.9714210517933258,4.110273924149317,2.1897230389501687,2.158774276099544,0.030948762850624867,1.1510176981460747,5.292475870018129,4.61603986485783,1.644109569660127,1.0,462318.41872647067,1517.9967322670484,145.41559228803484,229.79116819512444,7.208831804875558,59.07224359308074
15.57,240.0,180.6274710557616,11.6,UGC12506,39.88,176.17,0.0,3699.421965317919,UGC12506,UGC12506,Bizyaev_2014,Bizyaev_2002,True,confirmed_duplicate_by_sparc_name,PGC1503349,RFGC4106,EON_349.898_16.208,PGC1503349,PGC1503349,349.897522,16.208237,r,3.72,0.12,1.68,0.15,0.4516129032258064,2.2142857142857144,20.63,0.12,0.019,15.84,0.25,SB,,PGC1503349,NED,thick_like,PGC1503349,PGC1503349,PGC1503349,349.897522,16.208237,PGC1503349,PGC1503349,NED,,True,coord_review,UGC12506,169.0,0.1348958198421924,Bizyaev_2014,0.35,2,2.1605837307892863,0.07843319074063393,0.9782055363730491,0.0631103133679494,0.061734857938766145,0.637135602177601,462318.41872647067,2.0079664669934654,2.1695850051954895,0.02317880794701987,0.3929983785946017,108594283485.8216,0.8046378423726908,0.029139308160882393,0.009565023261052918,8.200000000000001,1.0,2.0,0.15877427609954387,0.0461603986475783,0.9714210517933258,4.110273924149317,2.1897230389501687,2.158774276099544,0.030948762850624867,1.1510176981460747,5.292475870018129,4.61603986485783,1.644109569660127,1.0,462318.41872647067,1215.0547411304951,137.54418315363907,227.0345471935974,12.965452806402595,59.37252894423841
17.21,245.0,182.46059574604047,11.6,UGC12506,50.51,175.33,0.0,3487.797791981406,UGC12506,UGC12506,Bizyaev_2014,Bizyaev_2002,True,confirmed_duplicate_by_sparc_name,PGC1503349,RFGC4106,EON_349.898_16.208,PGC1503349,PGC1503349,349.897522,16.208237,r,3.72,0.12,1.68,0.15,0.4516129032258064,2.2142857142857144,20.63,0.12,0.019,15.84,0.25,SB,,PGC1503349,NED,thick_like,PGC1503349,PGC1503349,PGC1503349,349.897522,16.208237,PGC1503349,PGC1503349,NED,,True,coord_review,UGC12506,169.0,0.1348958198421924,Bizyaev_2014,0.35,2,2.1605837307892863,0.07843319074063393,0.9782055363730491,0.0631103133679494,0.061734857938766145,0.637135602177601,462318.41872647067,2.0079664669934654,2.1695850051954895,0.02317880794701987,0.3929983785946017,108594283485.8216,0.8046378423726908,0.029139308160882393,0.009565023261052918,8.200000000000001,1.0,2.0,0.15877427609954387,0.0461603986475783,0.9714210517933258,4.110273924149317,2.1897230389501687,2.158774276099544,0.030948762850624867,1.1510176981460747,5.292475870018129,4.61603986485783,1.644109569660127,1.0,462318.41872647067,994.5149794100565,130.82661348382857,224.516083601258,20.483916398741997,62.53940425395953
