r_kpc,v_obs_kms,v_bar_internal_kms,v_err_kms,galaxy,v_gas_kmps,v_disk_kmps,v_bul_kmps,a_obs_kmps2_per_kpc,matched_sparc_name,matched_sparc_name_norm,included_source_catalog,secondary_source_catalog,duplicate_flag,duplicate_status,source_object_name_primary,source_object_name_secondary,structure_2014_Name,structure_2014_preferred_name,structure_2014_catalog_name_normalized,structure_2014_RAJ2000,structure_2014_DEJ2000,structure_2014_Band,structure_2014_h,structure_2014_e_h,structure_2014_z0,structure_2014_e_z0,structure_2014_z0_over_h,structure_2014_h_over_z0,structure_2014_S0,structure_2014_e_S0,structure_2014_gradz0,structure_2014_mag,structure_2014_B/T,structure_2014_Type,structure_2014_RV,structure_2014_AName,structure_2014_NED,structure_2014_thickness_flag,structure_2014_biz_name,structure_2014_biz_name_norm,structure_2014_biz_catalog_token,structure_2014_RA_match_deg,structure_2014_DE_match_deg,structure_2014_biz_aname_norm,structure_2014_biz_aname_token,structure_2014_biz_ned_norm,structure_2014_biz_ned_token,structure_2014_matched,structure_2014_match_reason,structure_2014_matched_sparc_name,structure_2014_matched_sparc_index,structure_2014_matched_sep_deg,structure_2014___source_catalog__,segment_index,h_i_kpc,d_i,d_gal_mean,sigma_i,sigma_norm,sigma_desc_i,beta_i,omega_i,density_ratio_i,thickness_visibility_i,radial_visibility_i,a_i,psi_i,g_scale_i,g_trans_km2s2_per_kpc,g_bar_internal_km2s2_per_kpc,g_desc_km2s2_per_kpc,v_desc_kms,rotation_residual_desc_kms,rotation_residual_bar_only_kms
3.54,223.0,162.22523046678035,8.0,NGC5985,-9.23,117.85,111.1,14047.74011299435,NGC5985,NGC5985,Bizyaev_2014,,False,unique_to_2014,NGC05981,,EON_234.473_59.392,NGC05981,NGC05981,234.472717,59.39175,r,22.43,0.24,5.62,0.25,0.2505572893446277,3.991103202846975,21.35,0.08,0.031,12.53,0.14,SB,2528.0,NGC5981,NED,thick_like,NGC05981,NGC05981,NGC5981,234.472717,59.39175,NGC5981,NGC5981,NED,,True,coord_review,NGC5985,85.0,0.2280439303552131,Bizyaev_2014,1,0.35,3.262551130263535,3.186784812874047,0.0757663173894878,0.6094345416070343,0.10567680229350747,1.0,1.1811273807415945,0.8878509047679934,0.5,0.16647465437788017,0.16647465437788017,0.6852573631572181,5060.366838590896,105.14933338292693,7434.187966101695,7539.337299484621,163.36846097143587,59.631539028564134,60.774769533219654
4.23,230.0,161.37946244798314,6.13,NGC5985,-10.88,124.82,101.71,12505.910165484633,NGC5985,NGC5985,Bizyaev_2014,,False,unique_to_2014,NGC05981,,EON_234.473_59.392,NGC05981,NGC05981,234.472717,59.39175,r,22.43,0.24,5.62,0.25,0.2505572893446277,3.991103202846975,21.35,0.08,0.031,12.53,0.14,SB,2528.0,NGC5981,NED,thick_like,NGC05981,NGC05981,NGC5981,234.472717,59.39175,NGC5981,NGC5981,NED,,True,coord_review,NGC5985,85.0,0.2280439303552131,Bizyaev_2014,1,0.35,3.262551130263535,3.186784812874047,0.0757663173894878,0.6094345416070343,0.10567680229350747,1.0,1.1811273807415945,0.8878509047679934,0.5,0.16647465437788017,0.16647465437788017,0.6852573631572181,5060.366838590896,105.14933338292693,6156.815815602837,6261.965148985763,162.7516899457876,67.2483100542124,68.62053755201686
4.97,248.0,161.98045067229563,5.1,NGC5985,-12.52,131.42,93.86,12375.050301810868,NGC5985,NGC5985,Bizyaev_2014,,False,unique_to_2014,NGC05981,,EON_234.473_59.392,NGC05981,NGC05981,234.472717,59.39175,r,22.43,0.24,5.62,0.25,0.2505572893446277,3.991103202846975,21.35,0.08,0.031,12.53,0.14,SB,2528.0,NGC5981,NED,thick_like,NGC05981,NGC05981,NGC5981,234.472717,59.39175,NGC5981,NGC5981,NED,,True,coord_review,NGC5985,85.0,0.2280439303552131,Bizyaev_2014,1,0.35,3.262551130263535,3.186784812874047,0.0757663173894878,0.6094345416070343,0.10567680229350747,1.0,1.1811273807415945,0.8878509047679934,0.5,0.16647465437788017,0.16647465437788017,0.6852573631572181,5060.366838590896,105.14933338292693,5279.208531187122,5384.357864570049,163.585630747059,84.41436925294099,86.01954932770437
5.74,258.0,167.12465377675431,6.6,NGC5985,-13.93,141.81,87.33,11596.515679442507,NGC5985,NGC5985,Bizyaev_2014,,False,unique_to_2014,NGC05981,,EON_234.473_59.392,NGC05981,NGC05981,234.472717,59.39175,r,22.43,0.24,5.62,0.25,0.2505572893446277,3.991103202846975,21.35,0.08,0.031,12.53,0.14,SB,2528.0,NGC5981,NED,thick_like,NGC05981,NGC05981,NGC5981,234.472717,59.39175,NGC5981,NGC5981,NED,,True,coord_review,NGC5985,85.0,0.2280439303552131,Bizyaev_2014,1,0.35,3.262551130263535,3.186784812874047,0.0757663173894878,0.6094345416070343,0.10567680229350747,1.0,1.1811273807415945,0.8878509047679934,0.5,0.16647465437788017,0.16647465437788017,0.6852573631572181,5060.366838590896,105.14933338292693,4865.966881533101,4971.116214916027,168.9207123878478,89.0792876121522,90.87534622324569
6.47,263.0,173.3291951749618,7.0,NGC5985,-14.91,151.83,82.27,10690.726429675426,NGC5985,NGC5985,Bizyaev_2014,,False,unique_to_2014,NGC05981,,EON_234.473_59.392,NGC05981,NGC05981,234.472717,59.39175,r,22.43,0.24,5.62,0.25,0.2505572893446277,3.991103202846975,21.35,0.08,0.031,12.53,0.14,SB,2528.0,NGC5981,NED,thick_like,NGC05981,NGC05981,NGC5981,234.472717,59.39175,NGC5981,NGC5981,NED,,True,coord_review,NGC5985,85.0,0.2280439303552131,Bizyaev_2014,1,0.35,3.262551130263535,3.186784812874047,0.0757663173894878,0.6094345416070343,0.10567680229350747,1.0,1.1811273807415945,0.8878509047679934,0.5,0.16647465437788017,0.16647465437788017,0.6852573631572181,5060.366838590896,105.14933338292693,4643.432751159196,4748.582084542123,175.2807065452086,87.7192934547914,89.6708048250382
7.22,272.0,181.81829775905393,6.25,NGC5985,-15.46,163.57,77.87,10247.091412742382,NGC5985,NGC5985,Bizyaev_2014,,False,unique_to_2014,NGC05981,,EON_234.473_59.392,NGC05981,NGC05981,234.472717,59.39175,r,22.43,0.24,5.62,0.25,0.2505572893446277,3.991103202846975,21.35,0.08,0.031,12.53,0.14,SB,2528.0,NGC5981,NED,thick_like,NGC05981,NGC05981,NGC5981,234.472717,59.39175,NGC5981,NGC5981,NED,,True,coord_review,NGC5985,85.0,0.2280439303552131,Bizyaev_2014,1,0.35,3.262551130263535,3.186784812874047,0.0757663173894878,0.6094345416070343,0.10567680229350747,1.0,1.1811273807415945,0.8878509047679934,0.5,0.16647465437788017,0.16647465437788017,0.6852573631572181,5060.366838590896,105.14933338292693,4578.655595567866,4683.804928950793,183.89418584344835,88.10581415655165,90.18170224094607
8.79,289.0,195.74528423438457,7.25,NGC5985,-16.33,181.85,70.57,9501.820250284414,NGC5985,NGC5985,Bizyaev_2014,,False,unique_to_2014,NGC05981,,EON_234.473_59.392,NGC05981,NGC05981,234.472717,59.39175,r,22.43,0.24,5.62,0.25,0.2505572893446277,3.991103202846975,21.35,0.08,0.031,12.53,0.14,SB,2528.0,NGC5981,NED,thick_like,NGC05981,NGC05981,NGC5981,234.472717,59.39175,NGC5981,NGC5981,NED,,True,coord_review,NGC5985,85.0,0.2280439303552131,Bizyaev_2014,2,0.35,3.2623566750072137,3.186784812874047,0.07557186213316669,0.6078704197903446,0.10540759743077222,1.0,1.2461020056737468,0.8876690242672166,0.5,0.30745967741935487,0.30745967741935487,0.8817554096233646,4243.684365607602,171.37866342590226,4359.068976109216,4530.4476395351185,199.55609424799255,89.44390575200745,93.25471576561543
9.5,292.0,202.5096306351873,6.93,NGC5985,-16.22,190.1,67.89,8975.157894736842,NGC5985,NGC5985,Bizyaev_2014,,False,unique_to_2014,NGC05981,,EON_234.473_59.392,NGC05981,NGC05981,234.472717,59.39175,r,22.43,0.24,5.62,0.25,0.2505572893446277,3.991103202846975,21.35,0.08,0.031,12.53,0.14,SB,2528.0,NGC5981,NED,thick_like,NGC05981,NGC05981,NGC5981,234.472717,59.39175,NGC5981,NGC5981,NED,,True,coord_review,NGC5985,85.0,0.2280439303552131,Bizyaev_2014,2,0.35,3.2623566750072137,3.186784812874047,0.07557186213316669,0.6078704197903446,0.10540759743077222,1.0,1.2461020056737468,0.8876690242672166,0.5,0.30745967741935487,0.30745967741935487,0.8817554096233646,4243.684365607602,171.37866342590226,4316.85794736842,4488.236610794323,206.49030922187623,85.50969077812377,89.4903693648127
10.27,302.0,211.36220239200762,10.4,NGC5985,-15.46,200.43,65.29,8880.62317429406,NGC5985,NGC5985,Bizyaev_2014,,False,unique_to_2014,NGC05981,,EON_234.473_59.392,NGC05981,NGC05981,234.472717,59.39175,r,22.43,0.24,5.62,0.25,0.2505572893446277,3.991103202846975,21.35,0.08,0.031,12.53,0.14,SB,2528.0,NGC5981,NED,thick_like,NGC05981,NGC05981,NGC5981,234.472717,59.39175,NGC5981,NGC5981,NED,,True,coord_review,NGC5985,85.0,0.2280439303552131,Bizyaev_2014,2,0.35,3.2623566750072137,3.186784812874047,0.07557186213316669,0.6078704197903446,0.10540759743077222,1.0,1.2461020056737468,0.8876690242672166,0.5,0.30745967741935487,0.30745967741935487,0.8817554096233646,4243.684365607602,171.37866342590226,4349.949425511197,4521.328088937099,215.48558994369904,86.51441005630096,90.63779760799238
11.08,302.0,219.162633676455,10.3,NGC5985,-13.5,209.52,62.86,8231.407942238267,NGC5985,NGC5985,Bizyaev_2014,,False,unique_to_2014,NGC05981,,EON_234.473_59.392,NGC05981,NGC05981,234.472717,59.39175,r,22.43,0.24,5.62,0.25,0.2505572893446277,3.991103202846975,21.35,0.08,0.031,12.53,0.14,SB,2528.0,NGC5981,NED,thick_like,NGC05981,NGC05981,NGC5981,234.472717,59.39175,NGC5981,NGC5981,NED,,True,coord_review,NGC5985,85.0,0.2280439303552131,Bizyaev_2014,2,0.35,3.2623566750072137,3.186784812874047,0.07557186213316669,0.6078704197903446,0.10540759743077222,1.0,1.2461020056737468,0.8876690242672166,0.5,0.30745967741935487,0.30745967741935487,0.8817554096233646,4243.684365607602,171.37866342590226,4335.041516245487,4506.42017967139,223.4527591925394,78.54724080746061,82.83736632354501
