r_kpc,v_obs_kms,v_bar_internal_kms,v_err_kms,galaxy,v_gas_kmps,v_disk_kmps,v_bul_kmps,a_obs_kmps2_per_kpc,matched_sparc_name,matched_sparc_name_norm,included_source_catalog,secondary_source_catalog,duplicate_flag,duplicate_status,source_object_name_primary,source_object_name_secondary,structure_2014_Name,structure_2014_preferred_name,structure_2014_catalog_name_normalized,structure_2014_RAJ2000,structure_2014_DEJ2000,structure_2014_Band,structure_2014_h,structure_2014_e_h,structure_2014_z0,structure_2014_e_z0,structure_2014_z0_over_h,structure_2014_h_over_z0,structure_2014_S0,structure_2014_e_S0,structure_2014_gradz0,structure_2014_mag,structure_2014_B/T,structure_2014_Type,structure_2014_RV,structure_2014_AName,structure_2014_NED,structure_2014_thickness_flag,structure_2014_biz_name,structure_2014_biz_name_norm,structure_2014_biz_catalog_token,structure_2014_RA_match_deg,structure_2014_DE_match_deg,structure_2014_biz_aname_norm,structure_2014_biz_aname_token,structure_2014_biz_ned_norm,structure_2014_biz_ned_token,structure_2014_matched,structure_2014_match_reason,structure_2014_matched_sparc_name,structure_2014_matched_sparc_index,structure_2014_matched_sep_deg,structure_2014___source_catalog__,segment_index,h_i_kpc,alpha_i,d_i,d_gal_mean,sigma0_i,sigma1_i,delta_d_eff_i,beta_i,density_ratio_i,thickness_visibility_i,radial_visibility_i,omega_i,a_i,g_scale_i,delta_mag_i,g_trans_raw_km2s2_per_kpc,g_cap_i,g_trans_km2s2_per_kpc,g_bar_internal_km2s2_per_kpc,g_desc_km2s2_per_kpc,v_desc_kms,rotation_residual_desc_kms,rotation_residual_bar_only_kms
0.23,6.81,9.708166665236027,8.19,NGC0100,-0.86,9.67,0.0,201.6352173913043,NGC0100,NGC100,Bizyaev_2014,Bizyaev_2002,True,confirmed_duplicate_by_sparc_name,NED,RFGC0095,EON_6.012_16.487,NED,,6.012434,16.487118,r,29.05,0.13,6.87,0.39,0.2364888123924268,4.228529839883552,22.03,0.07,0.063,12.76,0.06,IR,,,NED,thick_like,NED,NED,,6.012434,16.487118,,,NED,,True,coord_strict,NGC0100,34.0,0.0009366523394287,Bizyaev_2014,1,0.35,-0.27284164154938956,2.904505425457714,2.6735715984191133,0.23093382703860055,0.0,0.23093382703860055,1.1577880234885831,0.7034504565076578,0.5,0.0945945945945946,1.1081774351584106,0.0945945945945946,150.9459935791726,0.6468011707890802,11.849419192281422,711.4913823380261,11.848323767739084,409.7760869565217,421.62441072426077,9.847518188182237,-3.0375181881822373,-2.898166665236027
0.69,20.0,23.848224252551802,4.09,NGC0100,-1.93,23.77,0.0,579.7101449275362,NGC0100,NGC100,Bizyaev_2014,Bizyaev_2002,True,confirmed_duplicate_by_sparc_name,NED,RFGC0095,EON_6.012_16.487,NED,,6.012434,16.487118,r,29.05,0.13,6.87,0.39,0.2364888123924268,4.228529839883552,22.03,0.07,0.063,12.76,0.06,IR,,,NED,thick_like,NED,NED,,6.012434,16.487118,,,NED,,True,coord_strict,NGC0100,34.0,0.0009366523394287,Bizyaev_2014,1,0.35,-0.27284164154938956,2.904505425457714,2.6735715984191133,0.23093382703860055,0.0,0.23093382703860055,1.1577880234885831,0.7034504565076578,0.5,0.0945945945945946,1.1081774351584106,0.0945945945945946,150.9459935791726,0.6468011707890802,11.849419192281422,711.4913823380261,11.848323767739084,824.2576811594204,836.1060049271595,24.019016287095106,-4.019016287095106,-3.848224252551802
1.15,33.0,34.888313229504234,4.0,NGC0100,-3.62,34.7,0.0,946.9565217391304,NGC0100,NGC100,Bizyaev_2014,Bizyaev_2002,True,confirmed_duplicate_by_sparc_name,NED,RFGC0095,EON_6.012_16.487,NED,,6.012434,16.487118,r,29.05,0.13,6.87,0.39,0.2364888123924268,4.228529839883552,22.03,0.07,0.063,12.76,0.06,IR,,,NED,thick_like,NED,NED,,6.012434,16.487118,,,NED,,True,coord_strict,NGC0100,34.0,0.0009366523394287,Bizyaev_2014,1,0.35,-0.27284164154938956,2.904505425457714,2.6735715984191133,0.23093382703860055,0.0,0.23093382703860055,1.1577880234885831,0.7034504565076578,0.5,0.0945945945945946,1.1081774351584106,0.0945945945945946,150.9459935791726,0.6468011707890802,11.849419192281422,711.4913823380261,11.848323767739084,1058.4299130434783,1070.2782368112173,35.08304394337669,-2.083043943376687,-1.8883132295042344
2.05,49.9,46.864233696925,4.0,NGC0100,-3.92,46.7,0.0,1214.639024390244,NGC0100,NGC100,Bizyaev_2014,Bizyaev_2002,True,confirmed_duplicate_by_sparc_name,NED,RFGC0095,EON_6.012_16.487,NED,,6.012434,16.487118,r,29.05,0.13,6.87,0.39,0.2364888123924268,4.228529839883552,22.03,0.07,0.063,12.76,0.06,IR,,,NED,thick_like,NED,NED,,6.012434,16.487118,,,NED,,True,coord_strict,NGC0100,34.0,0.0009366523394287,Bizyaev_2014,2,0.35,-0.27284164154938956,2.904505425457714,2.6735715984191133,0.23093382703860055,0.0,0.23093382703860055,1.1577880234885831,0.6372704729337906,0.5,0.28430353430353433,1.1698966948154346,0.28430353430353433,176.3936645183765,0.6468011707890802,43.93519976789525,831.843431544835,43.894391416369515,1071.344585365854,1115.2389767822235,47.814641088306395,2.0853589116936035,3.0357663030750004
2.51,55.5,50.432261499956546,4.0,NGC0100,3.21,50.33,0.0,1227.191235059761,NGC0100,NGC100,Bizyaev_2014,Bizyaev_2002,True,confirmed_duplicate_by_sparc_name,NED,RFGC0095,EON_6.012_16.487,NED,,6.012434,16.487118,r,29.05,0.13,6.87,0.39,0.2364888123924268,4.228529839883552,22.03,0.07,0.063,12.76,0.06,IR,,,NED,thick_like,NED,NED,,6.012434,16.487118,,,NED,,True,coord_strict,NGC0100,34.0,0.0009366523394287,Bizyaev_2014,2,0.35,-0.27284164154938956,2.904505425457714,2.6735715984191133,0.23093382703860055,0.0,0.23093382703860055,1.1577880234885831,0.6372704729337906,0.5,0.28430353430353433,1.1698966948154346,0.28430353430353433,176.3936645183765,0.6468011707890802,43.93519976789525,831.843431544835,43.894391416369515,1013.3119521912348,1057.2063436076044,51.51298790067498,3.987012099325021,5.067738500043454
2.97,61.9,53.637107490989855,4.0,NGC0100,7.43,53.12,0.0,1290.104377104377,NGC0100,NGC100,Bizyaev_2014,Bizyaev_2002,True,confirmed_duplicate_by_sparc_name,NED,RFGC0095,EON_6.012_16.487,NED,,6.012434,16.487118,r,29.05,0.13,6.87,0.39,0.2364888123924268,4.228529839883552,22.03,0.07,0.063,12.76,0.06,IR,,,NED,thick_like,NED,NED,,6.012434,16.487118,,,NED,,True,coord_strict,NGC0100,34.0,0.0009366523394287,Bizyaev_2014,2,0.35,-0.27284164154938956,2.904505425457714,2.6735715984191133,0.23093382703860055,0.0,0.23093382703860055,1.1577880234885831,0.6372704729337906,0.5,0.28430353430353433,1.1698966948154346,0.28430353430353433,176.3936645183765,0.6468011707890802,43.93519976789525,831.843431544835,43.894391416369515,968.6664309764309,1012.5608223928004,54.83890628474111,7.061093715258892,8.262892509010143
3.88,73.1,56.365657097207695,4.0,NGC0100,11.97,55.08,0.0,1377.219072164948,NGC0100,NGC100,Bizyaev_2014,Bizyaev_2002,True,confirmed_duplicate_by_sparc_name,NED,RFGC0095,EON_6.012_16.487,NED,,6.012434,16.487118,r,29.05,0.13,6.87,0.39,0.2364888123924268,4.228529839883552,22.03,0.07,0.063,12.76,0.06,IR,,,NED,thick_like,NED,NED,,6.012434,16.487118,,,NED,,True,coord_strict,NGC0100,34.0,0.0009366523394287,Bizyaev_2014,3,0.35,-2.3063732127560623,2.192769375535378,2.6735715984191133,-0.4808022228837352,-0.7117360499223357,1.192538272806071,0.04694226464738244,0.3254246431947749,0.5,0.497920997920998,1.114815537262585,0.497920997920998,114.47203839689523,0.9992951041394078,2.9807164736131533,539.9720272495704,2.9806861980011514,818.8369329896908,821.817619187692,56.46815352433834,16.631846475661654,16.7343429027923
4.34,76.1,55.843868956224725,3.0,NGC0100,13.61,54.16,0.0,1334.3801843317972,NGC0100,NGC100,Bizyaev_2014,Bizyaev_2002,True,confirmed_duplicate_by_sparc_name,NED,RFGC0095,EON_6.012_16.487,NED,,6.012434,16.487118,r,29.05,0.13,6.87,0.39,0.2364888123924268,4.228529839883552,22.03,0.07,0.063,12.76,0.06,IR,,,NED,thick_like,NED,NED,,6.012434,16.487118,,,NED,,True,coord_strict,NGC0100,34.0,0.0009366523394287,Bizyaev_2014,3,0.35,-2.3063732127560623,2.192769375535378,2.6735715984191133,-0.4808022228837352,-0.7117360499223357,1.192538272806071,0.04694226464738244,0.3254246431947749,0.5,0.497920997920998,1.114815537262585,0.497920997920998,114.47203839689523,0.9992951041394078,2.9807164736131533,539.9720272495704,2.9806861980011514,718.5570737327188,721.53775993072,55.95957360541023,20.140426394589767,20.25613104377527
4.79,77.8,55.34125766550666,5.34,NGC0100,14.82,53.32,0.0,1263.6409185803757,NGC0100,NGC100,Bizyaev_2014,Bizyaev_2002,True,confirmed_duplicate_by_sparc_name,NED,RFGC0095,EON_6.012_16.487,NED,,6.012434,16.487118,r,29.05,0.13,6.87,0.39,0.2364888123924268,4.228529839883552,22.03,0.07,0.063,12.76,0.06,IR,,,NED,thick_like,NED,NED,,6.012434,16.487118,,,NED,,True,coord_strict,NGC0100,34.0,0.0009366523394287,Bizyaev_2014,3,0.35,-2.3063732127560623,2.192769375535378,2.6735715984191133,-0.4808022228837352,-0.7117360499223357,1.192538272806071,0.04694226464738244,0.3254246431947749,0.5,0.497920997920998,1.114815537262585,0.497920997920998,114.47203839689523,0.9992951041394078,2.9807164736131533,539.9720272495704,2.9806861980011514,639.3851356993737,642.3658218973749,55.47010263996656,22.329897360033435,22.458742334493337
5.24,79.0,54.778101463997444,4.0,NGC0100,15.7,52.48,0.0,1191.030534351145,NGC0100,NGC100,Bizyaev_2014,Bizyaev_2002,True,confirmed_duplicate_by_sparc_name,NED,RFGC0095,EON_6.012_16.487,NED,,6.012434,16.487118,r,29.05,0.13,6.87,0.39,0.2364888123924268,4.228529839883552,22.03,0.07,0.063,12.76,0.06,IR,,,NED,thick_like,NED,NED,,6.012434,16.487118,,,NED,,True,coord_strict,NGC0100,34.0,0.0009366523394287,Bizyaev_2014,3,0.35,-2.3063732127560623,2.192769375535378,2.6735715984191133,-0.4808022228837352,-0.7117360499223357,1.192538272806071,0.04694226464738244,0.3254246431947749,0.5,0.497920997920998,1.114815537262585,0.497920997920998,114.47203839689523,0.9992951041394078,2.9807164736131533,539.9720272495704,2.9806861980011514,572.6412977099234,575.6219839079246,54.92048065774302,24.07951934225698,24.221898536002556
