galaxy,matched_sparc_name,h_kpc_source,r_kpc,v_obs_kms,v_vis_kms,h_kpc,r_min_kpc,r_max_kpc,delta_r_kpc,Dw,sigma,sigma_scale,beta,rho_struct,M_struct,g_topo_kms2_per_kpc,v_struct_kms,v_topo_kms,residual_kms,abs_residual_kms,sq_error
NGC2841,NGC2841,structure_2014_z0,3.44,285.0,289.9312589218348,2.04,3.44,63.64,0.33000000000000007,2.2022221159128392,0.0,0.3427274079501306,1.0,4.8497822478156225,1.6004281417791557,5.815509236116119e-07,0.001414402763439023,289.9312589252848,-4.931258925284794,4.931258925284794,24.317314588200944
NGC2841,NGC2841,structure_2014_z0,3.77,297.0,286.07929722368937,2.04,3.44,63.64,0.33000000000000007,2.1806480764450185,0.02157403946782077,0.3427274079501306,0.9389922052448364,4.465120179449177,3.0739178009973847,9.299894141441054e-07,0.0018724476204485072,286.07929722981714,10.920702770182857,10.920702770182857,119.26174899467952
NGC2841,NGC2841,structure_2014_z0,4.13,303.0,284.22515177232293,2.04,3.44,63.64,0.3599999999999999,2.1615123843001203,0.019135692144898186,0.3427274079501306,0.9456965221777278,4.418422565364575,4.6645499245286315,1.1759208692947205e-06,0.0022037588775061564,284.22515178086644,18.77484821913356,18.77484821913356,352.4949256515026
NGC2841,NGC2841,structure_2014_z0,4.47,306.0,282.78312361242496,2.04,3.44,63.64,0.33999999999999986,2.1465980697861506,0.014914314513969629,0.3427274079501306,0.957416708351452,4.4116644359040755,6.164515832736017,1.3266378431784792e-06,0.0024351737430844235,282.7831236229101,23.216876377089875,23.216876377089875,539.0233487090738
NGC2841,NGC2841,structure_2014_z0,4.8,307.0,281.6261658653187,2.04,3.44,63.64,0.33000000000000007,2.134373352200911,0.012224717585239464,0.3427274079501306,0.9649597163995065,4.395921856414487,7.615170045352798,1.421233992839281e-06,0.002611881154575864,281.62616587743037,25.373834122569633,25.373834122569633,643.831458079679
NGC2841,NGC2841,structure_2014_z0,5.13,304.0,281.0518416591501,2.04,3.44,63.64,0.33000000000000007,2.123898159490149,0.010475192710762027,0.3427274079501306,0.9698981522241612,4.375155660577676,9.058971413343432,1.4801734656200677e-06,0.0027555924732497994,281.05184167265884,22.94815832734116,22.94815832734116,526.6179706167175
NGC2841,NGC2841,structure_2014_z0,5.48,308.0,281.0117926351134,2.04,3.44,63.64,0.35000000000000053,2.1143193760022605,0.009578783487888654,0.3427274079501306,0.9724382573317238,4.347135885969457,10.580468973432744,1.514998687522004e-06,0.0028813526003633404,281.01179264988536,26.988207350114635,26.988207350114635,728.3633359727817
NGC2841,NGC2841,structure_2014_z0,5.83,313.0,280.55263213878425,2.04,3.44,63.64,0.34999999999999964,2.1060166833776517,0.00830269262460881,0.3427274079501306,0.9760657251076215,4.329150431151017,12.095671624335598,1.5302462858357603e-06,0.0029868605334736472,280.55263215468386,32.44736784531614,32.44736784531614,1052.8316800892555
NGC2841,NGC2841,structure_2014_z0,6.16,314.0,280.233626461922,2.04,3.44,63.64,0.33000000000000007,2.099146793504041,0.006869889873610813,0.3427274079501306,0.9801547970617119,4.3189710159093595,13.520932059585686,1.5321936629337382e-06,0.003072183745102468,280.23362647876206,33.76637352123794,33.76637352123794,1140.1679807757585
NGC2841,NGC2841,structure_2014_z0,6.51,315.0,282.3840592172299,2.04,3.44,63.64,0.34999999999999964,2.0927040219697814,0.006442771534259428,0.3427274079501306,0.9813770601512263,4.297852632264172,15.025180480878145,1.5244956021287356e-06,0.003150312106737691,282.3840592348025,32.61594076519748,32.61594076519748,1063.7995919988707
