galaxy,matched_sparc_name,h_kpc_source,v_vis_source,r_kpc,v_obs_kms,v_vis_kms,h_kpc,r_min_kpc,r_max_kpc,delta_r_kpc,Dw,sigma,sigma_scale,beta,rho_struct,M_struct,g_topo_kms2_per_kpc,v_struct_kms,v_topo_kms,residual_kms,abs_residual_kms,sq_error
UGC05721,UGC05721,structure_2014_z0,sqrt(v_gas^2 + v_disk^2 + v_bul^2),0.09,16.5,16.6754250320644,1.17,0.09,6.74,0.18000000000000002,3.1461280356782377,0.0,0.23169571776972114,1.0,9.898121616880607,1.7816618910385094,0.0009458205100574804,0.00922625849980225,16.675427584438303,-0.17542758443830309,0.17542758443830309,0.030774837381857958
UGC05721,UGC05721,structure_2014_z0,sqrt(v_gas^2 + v_disk^2 + v_bul^2),0.27,38.5,32.42834099981064,1.17,0.09,6.74,0.18000000000000002,2.4921726808908704,0.6539553547873673,0.23169571776972114,0.05945860457568939,0.36929291408490494,1.8481346155737923,0.00010901205551395482,0.00542524238986313,32.42834145363057,6.071658546369427,6.071658546369427,36.865037503700904
UGC05721,UGC05721,structure_2014_z0,sqrt(v_gas^2 + v_disk^2 + v_bul^2),0.45,47.4,40.713056873686114,1.17,0.09,6.74,0.18,2.3274351515020997,0.16473752938877073,0.23169571776972114,0.49114882636491725,2.660530788393732,2.327030157484664,4.941347988732867e-05,0.004715513328291831,40.71305714676885,6.686942853231152,6.686942853231152,44.71520472237918
UGC05721,UGC05721,structure_2014_z0,sqrt(v_gas^2 + v_disk^2 + v_bul^2),0.63,55.5,44.23539306935115,1.17,0.09,6.74,0.18,2.2471044604470998,0.0803306910549999,0.23169571776972114,0.707011952626204,3.570041623034516,2.969637649630877,3.217294505772933e-05,0.004502105661395507,44.23539329845452,11.264606701545482,11.264606701545482,126.89136414050338
UGC05721,UGC05721,structure_2014_z0,sqrt(v_gas^2 + v_disk^2 + v_bul^2),0.81,56.4,45.20808887798731,1.17,0.09,6.74,0.18000000000000005,2.1986345960175897,0.04846986442951007,0.23169571776972114,0.8112360530079877,3.921510283243989,3.6755095006147953,2.408884446371531e-05,0.004417234883454739,45.208089093789,11.191910906211,11.191910906211,125.25886973256472
UGC05721,UGC05721,structure_2014_z0,sqrt(v_gas^2 + v_disk^2 + v_bul^2),0.99,59.8,45.253977725720425,1.17,0.09,6.74,0.17999999999999994,2.1659742189813516,0.03266037703623814,0.23169571776972114,0.8685219952875777,4.074622579234908,4.408941564877079,1.9343382031396227e-05,0.00437606538011971,45.25397793730346,14.546022062696537,14.546022062696537,211.5867578484544
UGC05721,UGC05721,structure_2014_z0,sqrt(v_gas^2 + v_disk^2 + v_bul^2),1.17,67.8,46.08581235044035,1.17,0.09,6.74,0.17999999999999994,2.142402110886975,0.02357210809437671,0.23169571776972114,0.9032667644584152,4.1458922033415195,5.155202161478552,1.6193563660134256e-05,0.004352754240978587,46.085812555996775,21.714187444003223,21.714187444003223,471.5059363533072
UGC05721,UGC05721,structure_2014_z0,sqrt(v_gas^2 + v_disk^2 + v_bul^2),1.35,76.4,45.50434924268228,1.17,0.09,6.74,0.18000000000000016,2.1245659028124435,0.017836208074531346,0.23169571776972114,0.9259072857324778,4.179342043182163,5.907483729251342,1.393809604158067e-05,0.004337790872798492,45.50434944943647,30.895650550563538,30.895650550563538,954.541222942537
UGC05721,UGC05721,structure_2014_z0,sqrt(v_gas^2 + v_disk^2 + v_bul^2),1.53,81.2,44.93766794127172,1.17,0.09,6.74,0.17999999999999994,2.110593132609807,0.013972770202636653,0.23169571776972114,0.9414758766038155,4.193901614029653,6.6623860197766795,1.2238139128130088e-05,0.004327164529578121,44.93766814960866,36.26233185039134,36.26233185039134,1314.9567112279062
UGC05721,UGC05721,structure_2014_z0,sqrt(v_gas^2 + v_disk^2 + v_bul^2),1.71,82.2,44.28921764944601,1.17,0.09,6.74,0.17999999999999994,2.09935096856124,0.011242164048566927,0.23169571776972114,0.9526371029420856,4.198533201261111,7.418121996003679,1.0908629863142787e-05,0.004318999544567488,44.28921786003628,37.91078213996372,37.91078213996372,1437.2274024637923
UGC05721,UGC05721,structure_2014_z0,sqrt(v_gas^2 + v_disk^2 + v_bul^2),1.89,82.6,43.049629498986405,1.17,0.09,6.74,0.17999999999999994,2.090111912678907,0.00923905588233298,0.23169571776972114,0.9609087609359027,4.197795078990707,8.173725110222005,9.839315241441904e-06,0.0043123434239778725,43.049629714973236,39.55037028502676,39.55037028502676,1564.2317896827276
UGC05721,UGC05721,structure_2014_z0,sqrt(v_gas^2 + v_disk^2 + v_bul^2),2.07,82.3,40.63814095157405,1.17,0.09,6.74,0.17999999999999994,2.082386573839004,0.0077253388399030065,0.23169571776972114,0.9672071326424895,4.19413302237668,8.928669054249808,8.96013370983551e-06,0.004306678160643015,40.63814117977687,41.661858820223124,41.661858820223124,1735.7104803562033
UGC05721,UGC05721,structure_2014_z0,sqrt(v_gas^2 + v_disk^2 + v_bul^2),2.25,82.1,38.23119276193198,1.17,0.09,6.74,0.18000000000000016,2.075833251577247,0.0065533222617570885,0.23169571776972114,0.9721120774552071,4.188912296213925,9.682673267568315,8.224295318625929e-06,0.004301704832610943,38.23119300394201,43.868806996057984,43.868806996057984,1924.4722272573858
UGC05721,UGC05721,structure_2014_z0,sqrt(v_gas^2 + v_disk^2 + v_bul^2),2.67,81.4,35.906680436932625,1.17,0.09,6.74,0.41999999999999993,2.063836086946476,0.011997164630770829,0.23169571776972114,0.9495379046030269,4.04448016599777,11.381354937287378,6.864989862438207e-06,0.004281299210836591,35.90668069217096,45.49331930782905,45.49331930782905,2069.6421016440913
UGC05721,UGC05721,structure_2014_z0,sqrt(v_gas^2 + v_disk^2 + v_bul^2),3.15,79.3,34.611698889248416,1.17,0.09,6.74,0.48,2.053918838110458,0.009917248836018189,0.23169571776972114,0.9581002121915839,4.041824878023199,13.321430878738514,5.772955684411753e-06,0.004264365182051957,34.61169915194587,44.688300848054126,44.688300848054126,1997.044232686195
UGC05721,UGC05721,structure_2014_z0,sqrt(v_gas^2 + v_disk^2 + v_bul^2),3.61,78.5,33.04658681316423,1.17,0.09,6.74,0.45999999999999996,2.0468337680218576,0.007085070088600265,0.23169571776972114,0.9698836125862876,4.063355011313366,15.190574183942662,5.012198263591705e-06,0.004253708468097697,33.04658708692981,45.45341291307019,45.45341291307019,2066.0127454460558
UGC05721,UGC05721,structure_2014_z0,sqrt(v_gas^2 + v_disk^2 + v_bul^2),4.04,78.2,31.955026208720277,1.17,0.09,6.74,0.43000000000000016,2.0416480298355126,0.005185738186344935,0.23169571776972114,0.977866936738994,4.076068839680467,16.943283785005264,4.4637854300756445e-06,0.004246609605026768,31.955026490893303,46.2449735091067,46.2449735091067,2138.5975748579804
