galaxy,n_points,n_segments,mean_Dw_i,mean_sigma_i,mean_beta_i,mean_info_source_i,mean_v_struct_kms,rmse_vis_only_kms,rmse_topo_kms,mae_vis_only_kms,mae_topo_kms,reduced_chi2_vis_only,reduced_chi2_topo,rmse_improvement_kms,mae_improvement_kms
NGC4068,6,1,2.0593355510021163,0.0,1.0,0.0,0.0,6.0332781675934655,6.0332781675934655,4.801296271137378,4.801296271137378,5.445130931015962,5.445130931015962,0.0,0.0
UGCA281,6,1,2.1288839663765535,0.0,1.0,0.0,0.0,7.177529777039661,7.177529777039661,6.688468146271515,6.688468146271515,21.399920300642766,21.399920300642766,0.0,0.0
UGC08837,7,2,2.0485210361879664,0.025204998369271037,0.9500240658916554,0.00114358665249918,3.3624372681934814e-05,8.490305533776496,8.490305533730432,6.9506867492881765,6.950686749247292,9.31837127870333,9.318371278603752,4.6064485559327295e-11,4.0884629015636165e-11
UGC07089,10,3,2.0234916984677884,0.012240115071102084,0.9720856412825526,0.0003097714248598978,2.4042256150193783e-05,15.229946408036618,15.229946408027866,12.303559329756132,12.303559329747495,7.696393487154574,7.696393487143458,8.752110147725034e-12,8.636646953164018e-12
NGC4010,10,3,2.022823205228913,0.012680058510548578,0.969509334450728,0.0003237497250224215,2.5816957557951942e-05,17.55139775692406,17.551397756920295,15.401422451744116,15.401422451741107,14.345191584623803,14.345191584617185,3.765876499528531e-12,3.0091484859440243e-12
DDO168,9,2,2.048143220556609,0.025129852138522812,0.9452501590223938,0.0011247187651022483,3.480177642638238e-05,19.024813323289894,19.024813323225892,15.826201390734967,15.826201390686045,128.81094172142923,128.81094172050237,6.400213692359102e-11,4.89226437139223e-11
UGC01281,20,5,2.0591358256631267,0.028936401246990772,0.9203867682550848,0.00163563886202381,7.670768157282568e-05,19.039841709046208,19.039841708900042,16.21440390457922,16.214403904384632,18.972876049072816,18.972876048809976,1.461657461732102e-10,1.9458923361526104e-10
UGC05750,10,2,2.019366620021896,0.015271622619737357,0.9384597634489551,0.0004090346540799333,3.385739287154186e-05,21.177236001939548,21.177236001871528,17.68465137815956,17.684651378099467,8.104833924877713,8.104833924786565,6.802025609431439e-11,6.009415187691047e-11
NGC3917,14,4,2.0184313512342076,0.010209204109438819,0.9720603122482884,0.00024215196365353345,2.6468402517731804e-05,26.275307983859516,26.27530798385475,23.910904002915338,23.910904002910375,39.657952050238954,39.657952050221596,4.767741756950272e-12,4.9631410092843e-12
NGC0100,17,5,2.028442125867639,0.016384200503421553,0.9442275882253212,0.0006646739516188283,4.959919301144784e-05,27.477769360087667,27.477769360063462,22.47593038297263,22.47593038293933,22.75170568590904,22.75170568585298,2.4204638293667813e-11,3.3299585311397095e-11
UGC04278,21,5,2.034817528493467,0.01908242718480029,0.9338662429972254,0.0008520174087973266,5.896042383435452e-05,27.733839595268694,27.733839595218683,23.36036661759344,23.360366617525564,30.149033019702177,30.149033019570986,5.001155045647465e-11,6.787459483348357e-11
UGC06917,10,2,2.021287223407773,0.010584508631839906,0.9813610287142799,0.00021571101422872944,1.5619506898900273e-05,30.596331189780688,30.59633118977557,28.244821977626014,28.24482197762161,57.79119508699503,57.791195086973715,5.119460411151522e-12,4.405364961712621e-12
NGC4183,19,5,2.012747364075024,0.006686461283944123,0.9793454926773684,0.00012001554345226349,1.944949477781464e-05,33.32695447458726,33.32695447458409,31.374016102312698,31.374016102309486,35.62939113587394,35.62939113586655,3.169020601490047e-12,3.211653165635653e-12
NGC2683,10,2,2.007314821317814,0.00433807407008957,0.9893430140790791,3.6835562835390445e-05,7.266967284783915e-06,34.69083060476303,34.69083060476241,30.871646941735946,30.871646941735413,15.1749967952912,15.174996795290753,6.181721801112872e-13,5.329070518200751e-13
IC4202,28,5,2.009843504928134,0.005174358578746841,0.9822966617105612,7.54734657712872e-05,1.7187260738889667e-05,37.32068988815855,37.32068988815821,25.941003196887227,25.94100319688663,68.3607217596409,68.36072175963996,3.339550858072471e-13,5.968558980384842e-13
NGC2998,11,3,2.020937188184565,0.018011111299414722,0.9217018089580761,0.0006578611811394608,5.515631321233262e-05,37.33173037461076,37.33173037460496,31.907527665370004,31.90752766536245,200.42843511566008,200.42843511556157,5.7980287238024175e-12,7.553069281129865e-12
UGC05721,18,5,2.0511428544091124,0.025886691372072425,0.9244146331695466,0.001255340916415292,5.815670369512004e-05,37.70865004362226,37.70865004356428,34.50147014985871,34.501470149803424,71.9269365503235,71.92693655010183,5.7973181810666574e-11,5.5287330269493395e-11
UGC08490,26,5,2.0247536146944776,0.013259005270981117,0.9578486181939863,0.0004474707260819466,4.2755761988020946e-05,38.11435670120881,38.11435670117593,36.39149888289967,36.39149888286803,110.95778925072966,110.95778925053821,3.2883917810977437e-11,3.164046802339726e-11
NGC2403,69,5,2.0267651575145913,0.016460408497649757,0.9275698047405566,0.0005490819096234518,4.2561574217577365e-05,38.14020035207019,38.140200352064376,26.9481844126792,26.94818441267959,2117.2026111001674,2117.2026110990228,5.8122395785176195e-12,-3.907985046680551e-13
NGC3198,39,5,2.015547747826916,0.009802708952509231,0.9546847746568521,0.00021977359842098327,2.5687647705762593e-05,38.233093369686515,38.2330933696847,28.66609111276689,28.66609111276347,308.0344533964537,308.03445339642366,1.8118839761882555e-12,3.417710559006082e-12
UGC05986,13,3,2.0247641736230424,0.013878155028829239,0.963969460768185,0.00038427569455948756,2.9286599641746265e-05,39.21030770006691,39.210307700055125,35.005928290617334,35.00592829060696,159.98877964927615,159.98877964918088,1.1787903986260062e-11,1.0373923942097463e-11
NGC4013,32,5,2.007592545569904,0.0027560495833138356,0.9952525637310936,1.609893369253592e-05,6.9268105592335865e-06,39.77498515690112,39.77498515690095,33.98487619687046,33.984876196870275,63.22861127015683,63.22861127015632,1.7053025658242404e-13,1.8474111129762605e-13
NGC3769,10,3,2.011191633752832,0.007143687318633092,0.9786014324927018,9.721275351238753e-05,1.395382053982667e-05,41.03929160632841,41.039291606326564,37.68828076383251,37.68828076383055,26.748521752640777,26.748521752637103,1.8474111129762605e-12,1.9610979506978765e-12
NGC4157,14,4,2.0094958417150472,0.005329119830844942,0.9851836305202313,6.944981364940877e-05,1.4201779233167214e-05,41.47400894099612,41.47400894099606,36.94523856803081,36.94523856803072,22.518587028159978,22.518587028160198,6.394884621840902e-14,9.237055564881302e-14
NGC5907,16,4,2.004999310219954,0.0024245695336931883,0.9944513939378957,1.32914955098095e-05,5.547290678670843e-06,44.87186077341752,44.87186077341741,38.15277312787822,38.152773127878106,278.20567368565906,278.2056736856574,1.0658141036401503e-13,1.1368683772161603e-13
UGC06667,8,2,2.029596809230444,0.016495796457404177,0.9649984151731847,0.0005061252944240964,2.489792862269599e-05,45.17688884804951,45.1768888480192,43.819180397494996,43.819180397468294,214.57156548510218,214.5715654848203,3.030464768016827e-11,2.6702196009864565e-11
NGC4088,10,3,2.0117506746973826,0.0066586098581457405,0.983565750571478,9.257568801257629e-05,1.3786514898518836e-05,47.03169137242292,47.031691372423445,40.29237110232917,40.29237110232957,46.15742119320178,46.15742119320319,-5.258016244624741e-13,-3.979039320256561e-13
NGC4389,6,1,2.0299963451851553,0.0,1.0,0.0,0.0,57.39781645079807,57.39781645079807,56.31212209049402,56.31212209049402,95.84293762891839,95.84293762891839,0.0,0.0
ESO563-G021,26,5,2.008788424053411,0.005749287926006286,0.9749421862207205,9.75133539774567e-05,2.110860114688539e-05,64.78208319473143,64.78208319473042,57.10482145811693,57.10482145811554,67.4922502885804,67.49225028857666,1.0089706847793423e-12,1.3926637620897964e-12
UGC12506,27,5,2.005308510329653,0.0031117287185067786,0.9874688759128565,2.9667143903601206e-05,1.1173479060805634e-05,78.6664731901264,78.6664731901259,77.98599478458165,77.98599478458111,36.1241909455634,36.12419094556289,4.973799150320701e-13,5.400124791776761e-13
NGC5985,29,5,2.008646014756976,0.0036649277357728494,0.9917109594657451,2.9705627864878247e-05,9.308001064466796e-06,80.13422110229563,80.13422110229537,79.36502297396683,79.36502297396656,253.88130843550564,253.88130843550417,2.5579538487363607e-13,2.7000623958883807e-13
NGC2841,46,5,2.009442405082594,0.0048364383287650805,0.9860781336480215,4.364155417258281e-05,1.1164155879896503e-05,88.77406175651149,88.77406175651113,74.28523701151788,74.28523701151747,412.3645809600969,412.3645809600936,3.552713678800501e-13,4.121147867408581e-13
