galaxy,gamma_topo,n_points,n_segments,mean_Dw_i,mean_sigma_i,mean_beta_i,mean_info_source_i,mean_v_struct_kms,rmse_vis_only_kms,rmse_topo_kms,mae_vis_only_kms,mae_topo_kms,reduced_chi2_vis_only,reduced_chi2_topo,rmse_improvement_kms,mae_improvement_kms,best_gamma_topo
NGC5985,1000000.0,29,5,2.008646014756976,0.0036649277357728494,0.9917109594657451,0.012178262769171635,115.466165790053,80.13422110229563,49.517955504395715,79.36502297396683,47.23202831774766,253.88130843550564,108.20496062790026,30.61626559789991,32.13299465621917,1000000.0
NGC2841,1000000.0,46,5,2.009442405082594,0.0048364383287650805,0.9860781336480215,0.014028681366889614,119.53622718018603,88.77406175651149,66.25448965597946,74.28523701151788,47.62131865309918,412.3645809600969,230.6174878415047,22.51957210053203,26.663918358418698,1000000.0
NGC5907,1000000.0,16,4,2.004999310219954,0.0024245695336931883,0.9944513939378957,0.007372093334298645,91.66592631484889,44.87186077341752,31.025027722097093,38.15277312787822,26.10513675630443,278.20567368565906,110.91685034513343,13.846833051320424,12.047636371573791,1000000.0
NGC4013,1000000.0,32,5,2.007592545569904,0.0027560495833138356,0.9952525637310936,0.010287200192293018,98.70758002717,39.77498515690112,31.617827337324876,33.98487619687046,27.746484296603484,63.22861127015683,51.892558293926136,8.157157819576241,6.238391900266976,1000000.0
UGC06667,10000.0,8,2,2.029596809230444,0.016495796457404177,0.9649984151731847,0.044479291439975956,22.295503176520928,45.17688884804951,37.43010618821549,43.819180397494996,35.022140062811374,214.57156548510218,146.44547056950327,7.746782659834018,8.797040334683622,10000.0
UGC05721,10000.0,18,5,2.0511428544091124,0.025886691372072425,0.9244146331695466,0.06914342276741321,29.854722161501513,37.70865004362226,31.12456527368708,34.50147014985871,28.355600462027148,71.9269365503235,47.626617318902696,6.584084769935178,6.1458696878315635,10000.0
UGC08490,10000.0,26,5,2.0247536146944776,0.013259005270981117,0.9578486181939863,0.03553155812699986,23.815342676933646,38.11435670120881,32.99699904111332,36.39149888289967,31.089510538252075,110.95778925072966,83.16287509257441,5.117357660095493,5.301988344647594,10000.0
NGC2998,10000.0,11,3,2.020937188184565,0.018011111299414722,0.9217018089580761,0.0349228565879832,23.96277677154941,37.33173037461076,33.9556164514002,31.907527665370004,27.797984915760573,200.42843511566008,192.82532572802793,3.3761139232105535,4.109542749609432,10000.0
UGC12506,1000000.0,27,5,2.005308510329653,0.0031117287185067786,0.9874688759128565,0.008245266405948031,119.39014360998958,78.6664731901264,76.02133118894226,77.98599478458165,53.21381164922388,36.1241909455634,17.97606891128157,2.6451420011841407,24.77218313535777,1000000.0
UGC05986,10000.0,13,3,2.0247641736230424,0.013878155028829239,0.963969460768185,0.037040810632000785,22.0704669452663,39.21030770006691,37.14465992352093,35.005928290617334,33.64371137418951,159.98877964927615,145.58475649629082,2.0656477765459798,1.3622169164278262,10000.0
UGC06917,10000.0,10,2,2.021287223407773,0.010584508631839906,0.9813610287142799,0.03127767574130018,17.54051469338185,30.596331189780688,28.58528528492233,28.244821977626014,26.088549442111123,57.79119508699503,49.945195087527935,2.01104590485836,2.1562725355148906,10000.0
NGC4183,10000.0,19,5,2.012747364075024,0.006686461283944123,0.9793454926773684,0.018822239906857413,16.51136358296152,33.32695447458726,31.726841422789338,31.374016102312698,29.407660221214456,35.62939113587394,32.13821267186049,1.6001130517979227,1.9663558810982416,10000.0
UGCA281,100.0,6,1,2.1288839663765535,0.0,1.0,0.12888396637655353,4.0107691890209685,7.177529777039661,6.777129545959848,6.688468146271515,6.058662486535101,21.399920300642766,18.452172090091032,0.4004002310798125,0.6298056597364141,100.0
NGC3917,10000.0,14,4,2.0184313512342076,0.010209204109438819,0.9720603122482884,0.027568038440821768,18.968101015101364,26.275307983859516,25.884086451857684,23.910904002915338,23.781764656553126,39.657952050238954,38.58019316836358,0.39122153200183263,0.12913934636221214,10000.0
