r_kpc,v_obs_kms,v_vis_kms,v_err_kms,galaxy,v_gas_kmps,v_disk_kmps,v_bul_kmps,a_obs_kmps2_per_kpc,matched_sparc_name,matched_sparc_name_norm,included_source_catalog,secondary_source_catalog,duplicate_flag,duplicate_status,source_object_name_primary,source_object_name_secondary,structure_2002_preferred_name,structure_2002_catalog_name_normalized,structure_2002_RFGC_int,structure_2002_Dist,structure_2002_Re,structure_2002_Z0,structure_2002_z0_over_re,structure_2002_S0,structure_2002_RAJ2000_deg,structure_2002_DEJ2000_deg,structure_2002_Note,structure_2002_has_ned_link_flag,structure_2002_has_simbad_link_flag,structure_2002_source_catalog,structure_2002__Glon,structure_2002__Glat,structure_2002__RAJ2000,structure_2002__DEJ2000,structure_2002__RAB1950,structure_2002__DEB1950,structure_2002__Elon2000,structure_2002__Elat2000,structure_2002_RFGC,structure_2002__RA,structure_2002__DE,structure_2002_NED,structure_2002_Simbad,structure_2002_biz_name,structure_2002_biz_name_norm,structure_2002_biz_catalog_token,structure_2002_RA_match_deg,structure_2002_DE_match_deg,structure_2002_biz_aname_norm,structure_2002_biz_aname_token,structure_2002_biz_ned_norm,structure_2002_biz_ned_token,structure_2002_matched,structure_2002_match_reason,structure_2002_matched_sparc_name,structure_2002_matched_sparc_index,structure_2002_matched_sep_deg,structure_2002___source_catalog__,h_kpc,segment_index,Dw_i,sigma_i,beta_i,source_core_i,info_source_i,I_struct_i,gamma_topo,alpha_geom_i,alpha_mass_i,weight_geom_i,weight_mass_i,mass_bar_segment_msun,mass_norm_i,alpha_relax_i,neighbor_gradient_i,mean_dw_pert,mean_sigma,mean_beta,r_scale,dw_internal,dw_external,observer_gap,observer_factor,factor_dw,factor_sigma,factor_rscale,factor_beta,gamma_raw,g_topo_km2s2_per_kpc,v_struct_kms,v_topo_total_kms,rotation_residual_topo_kms,rotation_residual_vis_only_kms
0.45,18.9,65.19,9.78,ESO563-G021,0.0,65.19,0.0,793.7999999999998,ESO563-G021,ESO563G021,Bizyaev_2002,,False,unique_to_2002,RFGC1431,,RFGC1431,RFGC1431,1431,58.34,5.42,1.38,0.2546125461254612,17.51,131.82,-20.036111,x,True,True,Bizyaev 2002,244.867038,14.396511,131.82,-20.036111,131.254991,-19.851531,141.066163,-36.358796,1431,131.82,-20.0361,NED,Simbad,RFGC1431,RFGC1431,,131.82,-20.036111,,,NED,,True,coord_strict,ESO563-G021,12.0,0.000839320724025,Bizyaev_2002,0.35,1,2.0531243916273874,0.03853077998641341,0.9013469581805319,0.030002868416687853,0.02704299418407235,0.12034132411912196,389277.85801701597,2.0634496349434133,2.0177045319906908,0.11570247933884298,0.033728429860948456,11131020785.313784,0.1868307947368393,0.12205767364056186,0.008658602244137845,0.1397145687625513,0.03833253165232357,0.9626705549075606,4.545891879704271,2.175182065267949,2.1397145687625514,0.03546749650539782,1.1992028874536769,4.6571522921183774,3.833253165332357,1.8183567518821087,1.0,389277.85801701597,231339.32288406548,322.64949294525394,329.16930506629785,-310.2693050662979,-46.29
1.34,58.3,120.17,10.5,ESO563-G021,0.0,120.17,0.0,2536.4850746268653,ESO563-G021,ESO563G021,Bizyaev_2002,,False,unique_to_2002,RFGC1431,,RFGC1431,RFGC1431,1431,58.34,5.42,1.38,0.2546125461254612,17.51,131.82,-20.036111,x,True,True,Bizyaev 2002,244.867038,14.396511,131.82,-20.036111,131.254991,-19.851531,141.066163,-36.358796,1431,131.82,-20.0361,NED,Simbad,RFGC1431,RFGC1431,,131.82,-20.036111,,,NED,,True,coord_strict,ESO563-G021,12.0,0.000839320724025,Bizyaev_2002,0.35,1,2.0531243916273874,0.03853077998641341,0.9013469581805319,0.030002868416687853,0.02704299418407235,0.12034132411912196,389277.85801701597,2.0634496349434133,2.0177045319906908,0.11570247933884298,0.033728429860948456,11131020785.313784,0.1868307947368393,0.12205767364056186,0.008658602244137845,0.1397145687625513,0.03833253165232357,0.9626705549075606,4.545891879704271,2.175182065267949,2.1397145687625514,0.03546749650539782,1.1992028874536769,4.6571522921183774,3.833253165332357,1.8183567518821087,1.0,389277.85801701597,26089.448030754764,186.97556086615006,222.26265826992034,-163.96265826992033,-61.870000000000005
2.23,74.1,137.48,5.69,ESO563-G021,0.0,137.48,0.0,2462.2466367713,ESO563-G021,ESO563G021,Bizyaev_2002,,False,unique_to_2002,RFGC1431,,RFGC1431,RFGC1431,1431,58.34,5.42,1.38,0.2546125461254612,17.51,131.82,-20.036111,x,True,True,Bizyaev 2002,244.867038,14.396511,131.82,-20.036111,131.254991,-19.851531,141.066163,-36.358796,1431,131.82,-20.0361,NED,Simbad,RFGC1431,RFGC1431,,131.82,-20.036111,,,NED,,True,coord_strict,ESO563-G021,12.0,0.000839320724025,Bizyaev_2002,0.35,1,2.0531243916273874,0.03853077998641341,0.9013469581805319,0.030002868416687853,0.02704299418407235,0.12034132411912196,389277.85801701597,2.0634496349434133,2.0177045319906908,0.11570247933884298,0.033728429860948456,11131020785.313784,0.1868307947368393,0.12205767364056186,0.008658602244137845,0.1397145687625513,0.03833253165232357,0.9626705549075606,4.545891879704271,2.175182065267949,2.1397145687625514,0.03546749650539782,1.1992028874536769,4.6571522921183774,3.833253165332357,1.8183567518821087,1.0,389277.85801701597,9420.300606089659,144.93885038725793,199.76991953640052,-125.66991953640053,-63.379999999999995
3.12,119.0,146.18,4.27,ESO563-G021,0.0,146.18,0.0,4538.782051282051,ESO563-G021,ESO563G021,Bizyaev_2002,,False,unique_to_2002,RFGC1431,,RFGC1431,RFGC1431,1431,58.34,5.42,1.38,0.2546125461254612,17.51,131.82,-20.036111,x,True,True,Bizyaev 2002,244.867038,14.396511,131.82,-20.036111,131.254991,-19.851531,141.066163,-36.358796,1431,131.82,-20.0361,NED,Simbad,RFGC1431,RFGC1431,,131.82,-20.036111,,,NED,,True,coord_strict,ESO563-G021,12.0,0.000839320724025,Bizyaev_2002,0.35,1,2.0531243916273874,0.03853077998641341,0.9013469581805319,0.030002868416687853,0.02704299418407235,0.12034132411912196,389277.85801701597,2.0634496349434133,2.0177045319906908,0.11570247933884298,0.033728429860948456,11131020785.313784,0.1868307947368393,0.12205767364056186,0.008658602244137845,0.1397145687625513,0.03833253165232357,0.9626705549075606,4.545891879704271,2.175182065267949,2.1397145687625514,0.03546749650539782,1.1992028874536769,4.6571522921183774,3.833253165332357,1.8183567518821087,1.0,389277.85801701597,4812.439686475104,122.53494122821591,190.7443425682721,-71.74434256827209,-27.180000000000007
4.01,141.0,157.86,3.76,ESO563-G021,0.0,157.86,0.0,4957.85536159601,ESO563-G021,ESO563G021,Bizyaev_2002,,False,unique_to_2002,RFGC1431,,RFGC1431,RFGC1431,1431,58.34,5.42,1.38,0.2546125461254612,17.51,131.82,-20.036111,x,True,True,Bizyaev 2002,244.867038,14.396511,131.82,-20.036111,131.254991,-19.851531,141.066163,-36.358796,1431,131.82,-20.0361,NED,Simbad,RFGC1431,RFGC1431,,131.82,-20.036111,,,NED,,True,coord_strict,ESO563-G021,12.0,0.000839320724025,Bizyaev_2002,0.35,1,2.0531243916273874,0.03853077998641341,0.9013469581805319,0.030002868416687853,0.02704299418407235,0.12034132411912196,389277.85801701597,2.0634496349434133,2.0177045319906908,0.11570247933884298,0.033728429860948456,11131020785.313784,0.1868307947368393,0.12205767364056186,0.008658602244137845,0.1397145687625513,0.03833253165232357,0.9626705549075606,4.545891879704271,2.175182065267949,2.1397145687625514,0.03546749650539782,1.1992028874536769,4.6571522921183774,3.833253165332357,1.8183567518821087,1.0,389277.85801701597,2913.303579208044,108.08490807057318,191.31682349606442,-50.316823496064416,-16.860000000000014
5.79,227.0,199.19,4.2,ESO563-G021,0.0,199.19,0.0,8899.65457685665,ESO563-G021,ESO563G021,Bizyaev_2002,,False,unique_to_2002,RFGC1431,,RFGC1431,RFGC1431,1431,58.34,5.42,1.38,0.2546125461254612,17.51,131.82,-20.036111,x,True,True,Bizyaev 2002,244.867038,14.396511,131.82,-20.036111,131.254991,-19.851531,141.066163,-36.358796,1431,131.82,-20.0361,NED,Simbad,RFGC1431,RFGC1431,,131.82,-20.036111,,,NED,,True,coord_strict,ESO563-G021,12.0,0.000839320724025,Bizyaev_2002,0.35,2,2.0916551716138008,0.06378877506825309,0.9373011121081822,0.08915481602870469,0.08356490821350529,0.6442932986178003,389277.85801701597,2.0126677402845137,2.1027738799574247,0.03773584905660378,0.2680759035936196,116796493543.85747,0.6051957459915964,0.08352689365414845,0.010173648336244512,0.1397145687625513,0.03833253165232357,0.9626705549075606,4.545891879704271,2.175182065267949,2.1397145687625514,0.03546749650539782,1.1992028874536769,4.6571522921183774,3.833253165332357,1.8183567518821087,1.0,389277.85801701597,7481.457077763607,208.1288939101231,288.0873002758908,-61.08730027589081,27.810000000000002
6.69,246.0,217.87,4.24,ESO563-G021,0.0,217.87,0.0,9045.7399103139,ESO563-G021,ESO563G021,Bizyaev_2002,,False,unique_to_2002,RFGC1431,,RFGC1431,RFGC1431,1431,58.34,5.42,1.38,0.2546125461254612,17.51,131.82,-20.036111,x,True,True,Bizyaev 2002,244.867038,14.396511,131.82,-20.036111,131.254991,-19.851531,141.066163,-36.358796,1431,131.82,-20.0361,NED,Simbad,RFGC1431,RFGC1431,,131.82,-20.036111,,,NED,,True,coord_strict,ESO563-G021,12.0,0.000839320724025,Bizyaev_2002,0.35,2,2.0916551716138008,0.06378877506825309,0.9373011121081822,0.08915481602870469,0.08356490821350529,0.6442932986178003,389277.85801701597,2.0126677402845137,2.1027738799574247,0.03773584905660378,0.2680759035936196,116796493543.85747,0.6051957459915964,0.08352689365414845,0.010173648336244512,0.1397145687625513,0.03833253165232357,0.9626705549075606,4.545891879704271,2.175182065267949,2.1397145687625514,0.03546749650539782,1.1992028874536769,4.6571522921183774,3.833253165332357,1.8183567518821087,1.0,389277.85801701597,5603.909081011413,193.62373757358975,291.47467926385366,-45.47467926385366,28.129999999999995
7.58,268.0,228.65,5.56,ESO563-G021,0.0,228.65,0.0,9475.461741424802,ESO563-G021,ESO563G021,Bizyaev_2002,,False,unique_to_2002,RFGC1431,,RFGC1431,RFGC1431,1431,58.34,5.42,1.38,0.2546125461254612,17.51,131.82,-20.036111,x,True,True,Bizyaev 2002,244.867038,14.396511,131.82,-20.036111,131.254991,-19.851531,141.066163,-36.358796,1431,131.82,-20.0361,NED,Simbad,RFGC1431,RFGC1431,,131.82,-20.036111,,,NED,,True,coord_strict,ESO563-G021,12.0,0.000839320724025,Bizyaev_2002,0.35,2,2.0916551716138008,0.06378877506825309,0.9373011121081822,0.08915481602870469,0.08356490821350529,0.6442932986178003,389277.85801701597,2.0126677402845137,2.1027738799574247,0.03773584905660378,0.2680759035936196,116796493543.85747,0.6051957459915964,0.08352689365414845,0.010173648336244512,0.1397145687625513,0.03833253165232357,0.9626705549075606,4.545891879704271,2.175182065267949,2.1397145687625514,0.03546749650539782,1.1992028874536769,4.6571522921183774,3.833253165332357,1.8183567518821087,1.0,389277.85801701597,4365.207622138785,181.90182455327925,292.17990395612765,-24.179903956127646,39.349999999999994
8.47,283.0,241.76,2.96,ESO563-G021,0.0,241.76,0.0,9455.6080283353,ESO563-G021,ESO563G021,Bizyaev_2002,,False,unique_to_2002,RFGC1431,,RFGC1431,RFGC1431,1431,58.34,5.42,1.38,0.2546125461254612,17.51,131.82,-20.036111,x,True,True,Bizyaev 2002,244.867038,14.396511,131.82,-20.036111,131.254991,-19.851531,141.066163,-36.358796,1431,131.82,-20.0361,NED,Simbad,RFGC1431,RFGC1431,,131.82,-20.036111,,,NED,,True,coord_strict,ESO563-G021,12.0,0.000839320724025,Bizyaev_2002,0.35,2,2.0916551716138008,0.06378877506825309,0.9373011121081822,0.08915481602870469,0.08356490821350529,0.6442932986178003,389277.85801701597,2.0126677402845137,2.1027738799574247,0.03773584905660378,0.2680759035936196,116796493543.85747,0.6051957459915964,0.08352689365414845,0.010173648336244512,0.1397145687625513,0.03833253165232357,0.9626705549075606,4.545891879704271,2.175182065267949,2.1397145687625514,0.03546749650539782,1.1992028874536769,4.6571522921183774,3.833253165332357,1.8183567518821087,1.0,389277.85801701597,3496.04082497787,172.07982388287874,296.7479795846344,-13.747979584634379,41.24000000000001
10.23,291.0,260.94,9.81,ESO563-G021,0.0,260.94,0.0,8277.712609970675,ESO563-G021,ESO563G021,Bizyaev_2002,,False,unique_to_2002,RFGC1431,,RFGC1431,RFGC1431,1431,58.34,5.42,1.38,0.2546125461254612,17.51,131.82,-20.036111,x,True,True,Bizyaev 2002,244.867038,14.396511,131.82,-20.036111,131.254991,-19.851531,141.066163,-36.358796,1431,131.82,-20.0361,NED,Simbad,RFGC1431,RFGC1431,,131.82,-20.036111,,,NED,,True,coord_strict,ESO563-G021,12.0,0.000839320724025,Bizyaev_2002,0.35,2,2.0916551716138008,0.06378877506825309,0.9373011121081822,0.08915481602870469,0.08356490821350529,0.6442932986178003,389277.85801701597,2.0126677402845137,2.1027738799574247,0.03773584905660378,0.2680759035936196,116796493543.85747,0.6051957459915964,0.08352689365414845,0.010173648336244512,0.1397145687625513,0.03833253165232357,0.9626705549075606,4.545891879704271,2.175182065267949,2.1397145687625514,0.03546749650539782,1.1992028874536769,4.6571522921183774,3.833253165332357,1.8183567518821087,1.0,389277.85801701597,2396.5806510918947,156.5791175753334,304.3134956926329,-13.313495692632898,30.060000000000002
