r_kpc,v_obs_kms,v_vis_kms,v_err_kms,galaxy,v_gas_kmps,v_disk_kmps,v_bul_kmps,a_obs_kmps2_per_kpc,matched_sparc_name,matched_sparc_name_norm,included_source_catalog,secondary_source_catalog,duplicate_flag,duplicate_status,source_object_name_primary,source_object_name_secondary,structure_2014_Name,structure_2014_preferred_name,structure_2014_catalog_name_normalized,structure_2014_RAJ2000,structure_2014_DEJ2000,structure_2014_Band,structure_2014_h,structure_2014_e_h,structure_2014_z0,structure_2014_e_z0,structure_2014_z0_over_h,structure_2014_h_over_z0,structure_2014_S0,structure_2014_e_S0,structure_2014_gradz0,structure_2014_mag,structure_2014_B/T,structure_2014_Type,structure_2014_RV,structure_2014_AName,structure_2014_NED,structure_2014_thickness_flag,structure_2014_biz_name,structure_2014_biz_name_norm,structure_2014_biz_catalog_token,structure_2014_RA_match_deg,structure_2014_DE_match_deg,structure_2014_biz_aname_norm,structure_2014_biz_aname_token,structure_2014_biz_ned_norm,structure_2014_biz_ned_token,structure_2014_matched,structure_2014_match_reason,structure_2014_matched_sparc_name,structure_2014_matched_sparc_index,structure_2014_matched_sep_deg,structure_2014___source_catalog__,h_kpc,segment_index,Dw_i,sigma_i,beta_i,source_core_i,info_source_i,I_struct_i,gamma_topo,alpha_geom_i,alpha_mass_i,weight_geom_i,weight_mass_i,mass_bar_segment_msun,mass_norm_i,alpha_relax_i,neighbor_gradient_i,mean_dw_pert,mean_sigma,mean_beta,r_scale,dw_internal,dw_external,observer_gap,observer_factor,factor_dw,factor_sigma,factor_rscale,factor_beta,gamma_raw,g_topo_km2s2_per_kpc,v_struct_kms,v_topo_total_kms,rotation_residual_topo_kms,rotation_residual_vis_only_kms
0.23,6.81,9.708166665236027,8.19,NGC0100,-0.86,9.67,0.0,201.6352173913043,NGC0100,NGC100,Bizyaev_2014,Bizyaev_2002,True,confirmed_duplicate_by_sparc_name,NED,RFGC0095,EON_6.012_16.487,NED,,6.012434,16.487118,r,29.05,0.13,6.87,0.39,0.2364888123924268,4.228529839883552,22.03,0.07,0.063,12.76,0.06,IR,,,NED,thick_like,NED,NED,,6.012434,16.487118,,,NED,,True,coord_strict,NGC0100,34.0,0.0009366523394287,Bizyaev_2014,0.35,1,2.1865074218485394,0.05167897138249522,0.9858915795771759,0.014966325983594929,0.014755174764433334,0.020067037679629335,328230.36168461945,2.212041020527026,2.0302729530802828,0.27777777777777773,0.04539757683114208,161165896.55079004,0.21807459265850426,0.016950417310352517,0.03799924366359942,0.19208118400414032,0.03267320783105907,0.980773414260495,3.733520234736557,2.203457839158892,2.1920811840041403,0.011376655154751614,1.05061816617623,6.402706133504678,3.267320783205907,1.4934080938950227,1.0,328230.36168461945,124510.6055864579,169.22600061717856,169.50424120028774,-162.69424120028773,-2.898166665236027
0.69,20.0,23.848224252551802,4.09,NGC0100,-1.93,23.77,0.0,579.7101449275362,NGC0100,NGC100,Bizyaev_2014,Bizyaev_2002,True,confirmed_duplicate_by_sparc_name,NED,RFGC0095,EON_6.012_16.487,NED,,6.012434,16.487118,r,29.05,0.13,6.87,0.39,0.2364888123924268,4.228529839883552,22.03,0.07,0.063,12.76,0.06,IR,,,NED,thick_like,NED,NED,,6.012434,16.487118,,,NED,,True,coord_strict,NGC0100,34.0,0.0009366523394287,Bizyaev_2014,0.35,1,2.1865074218485394,0.05167897138249522,0.9858915795771759,0.014966325983594929,0.014755174764433334,0.020067037679629335,328230.36168461945,2.212041020527026,2.0302729530802828,0.27777777777777773,0.04539757683114208,161165896.55079004,0.21807459265850426,0.016950417310352517,0.03799924366359942,0.19208118400414032,0.03267320783105907,0.980773414260495,3.733520234736557,2.203457839158892,2.1920811840041403,0.011376655154751614,1.05061816617623,6.402706133504678,3.267320783205907,1.4934080938950227,1.0,328230.36168461945,13834.51173182866,97.70267701021181,100.57112356418105,-80.57112356418105,-3.848224252551802
1.15,33.0,34.888313229504234,4.0,NGC0100,-3.62,34.7,0.0,946.9565217391304,NGC0100,NGC100,Bizyaev_2014,Bizyaev_2002,True,confirmed_duplicate_by_sparc_name,NED,RFGC0095,EON_6.012_16.487,NED,,6.012434,16.487118,r,29.05,0.13,6.87,0.39,0.2364888123924268,4.228529839883552,22.03,0.07,0.063,12.76,0.06,IR,,,NED,thick_like,NED,NED,,6.012434,16.487118,,,NED,,True,coord_strict,NGC0100,34.0,0.0009366523394287,Bizyaev_2014,0.35,1,2.1865074218485394,0.05167897138249522,0.9858915795771759,0.014966325983594929,0.014755174764433334,0.020067037679629335,328230.36168461945,2.212041020527026,2.0302729530802828,0.27777777777777773,0.04539757683114208,161165896.55079004,0.21807459265850426,0.016950417310352517,0.03799924366359942,0.19208118400414032,0.03267320783105907,0.980773414260495,3.733520234736557,2.203457839158892,2.1920811840041403,0.011376655154751614,1.05061816617623,6.402706133504678,3.267320783205907,1.4934080938950227,1.0,328230.36168461945,4980.424223458317,75.68016818808653,83.33476019631343,-50.334760196313425,-1.8883132295042344
2.05,49.9,46.864233696925,4.0,NGC0100,-3.92,46.7,0.0,1214.639024390244,NGC0100,NGC100,Bizyaev_2014,Bizyaev_2002,True,confirmed_duplicate_by_sparc_name,NED,RFGC0095,EON_6.012_16.487,NED,,6.012434,16.487118,r,29.05,0.13,6.87,0.39,0.2364888123924268,4.228529839883552,22.03,0.07,0.063,12.76,0.06,IR,,,NED,thick_like,NED,NED,,6.012434,16.487118,,,NED,,True,coord_strict,NGC0100,34.0,0.0009366523394287,Bizyaev_2014,0.35,2,2.134828450466044,0.061384517178842746,0.9456966210033062,0.09213969865156724,0.08713620167505003,0.13944363397444787,328230.36168461945,2.0485586142959344,2.1641035309823926,0.11345218800648298,0.3343287704023272,1702068257.98356,0.7086911052614561,0.06862938869284774,0.044806216918863315,0.19208118400414032,0.03267320783105907,0.980773414260495,3.733520234736557,2.203457839158892,2.1920811840041403,0.011376655154751614,1.05061816617623,6.402706133504678,3.267320783205907,1.4934080938950227,1.0,328230.36168461945,10891.049235943061,149.42105251162994,156.59791612177753,-106.69791612177752,3.0357663030750004
2.51,55.5,50.432261499956546,4.0,NGC0100,3.21,50.33,0.0,1227.191235059761,NGC0100,NGC100,Bizyaev_2014,Bizyaev_2002,True,confirmed_duplicate_by_sparc_name,NED,RFGC0095,EON_6.012_16.487,NED,,6.012434,16.487118,r,29.05,0.13,6.87,0.39,0.2364888123924268,4.228529839883552,22.03,0.07,0.063,12.76,0.06,IR,,,NED,thick_like,NED,NED,,6.012434,16.487118,,,NED,,True,coord_strict,NGC0100,34.0,0.0009366523394287,Bizyaev_2014,0.35,2,2.134828450466044,0.061384517178842746,0.9456966210033062,0.09213969865156724,0.08713620167505003,0.13944363397444787,328230.36168461945,2.0485586142959344,2.1641035309823926,0.11345218800648298,0.3343287704023272,1702068257.98356,0.7086911052614561,0.06862938869284774,0.044806216918863315,0.19208118400414032,0.03267320783105907,0.980773414260495,3.733520234736557,2.203457839158892,2.1920811840041403,0.011376655154751614,1.05061816617623,6.402706133504678,3.267320783205907,1.4934080938950227,1.0,328230.36168461945,7264.9060195950415,135.03671393063277,144.1468942058189,-88.64689420581891,5.067738500043454
2.97,61.9,53.637107490989855,4.0,NGC0100,7.43,53.12,0.0,1290.104377104377,NGC0100,NGC100,Bizyaev_2014,Bizyaev_2002,True,confirmed_duplicate_by_sparc_name,NED,RFGC0095,EON_6.012_16.487,NED,,6.012434,16.487118,r,29.05,0.13,6.87,0.39,0.2364888123924268,4.228529839883552,22.03,0.07,0.063,12.76,0.06,IR,,,NED,thick_like,NED,NED,,6.012434,16.487118,,,NED,,True,coord_strict,NGC0100,34.0,0.0009366523394287,Bizyaev_2014,0.35,2,2.134828450466044,0.061384517178842746,0.9456966210033062,0.09213969865156724,0.08713620167505003,0.13944363397444787,328230.36168461945,2.0485586142959344,2.1641035309823926,0.11345218800648298,0.3343287704023272,1702068257.98356,0.7086911052614561,0.06862938869284774,0.044806216918863315,0.19208118400414032,0.03267320783105907,0.980773414260495,3.733520234736557,2.203457839158892,2.1920811840041403,0.011376655154751614,1.05061816617623,6.402706133504678,3.267320783205907,1.4934080938950227,1.0,328230.36168461945,5188.771487495687,124.13964442458418,135.23161841027488,-73.33161841027487,8.262892509010143
3.88,73.1,56.365657097207695,4.0,NGC0100,11.97,55.08,0.0,1377.219072164948,NGC0100,NGC100,Bizyaev_2014,Bizyaev_2002,True,confirmed_duplicate_by_sparc_name,NED,RFGC0095,EON_6.012_16.487,NED,,6.012434,16.487118,r,29.05,0.13,6.87,0.39,0.2364888123924268,4.228529839883552,22.03,0.07,0.063,12.76,0.06,IR,,,NED,thick_like,NED,NED,,6.012434,16.487118,,,NED,,True,coord_strict,NGC0100,34.0,0.0009366523394287,Bizyaev_2014,0.35,3,2.2059185134412345,0.03984859197941004,0.997860294956193,0.042309266261752576,0.04221873691133253,0.21628173515307308,328230.36168461945,2.023478595611566,2.2307644166476095,0.06809338521400778,0.5,3388933201.254637,1.0,0.0024606742823425343,0.0218948307579176,0.19208118400414032,0.03267320783105907,0.980773414260495,3.733520234736557,2.203457839158892,2.1920811840041403,0.011376655154751614,1.05061816617623,6.402706133504678,3.267320783205907,1.4934080938950227,1.0,328230.36168461945,4715.580305762452,135.2643766346421,146.5385235573169,-73.4385235573169,16.7343429027923
4.34,76.1,55.843868956224725,3.0,NGC0100,13.61,54.16,0.0,1334.3801843317972,NGC0100,NGC100,Bizyaev_2014,Bizyaev_2002,True,confirmed_duplicate_by_sparc_name,NED,RFGC0095,EON_6.012_16.487,NED,,6.012434,16.487118,r,29.05,0.13,6.87,0.39,0.2364888123924268,4.228529839883552,22.03,0.07,0.063,12.76,0.06,IR,,,NED,thick_like,NED,NED,,6.012434,16.487118,,,NED,,True,coord_strict,NGC0100,34.0,0.0009366523394287,Bizyaev_2014,0.35,3,2.2059185134412345,0.03984859197941004,0.997860294956193,0.042309266261752576,0.04221873691133253,0.21628173515307308,328230.36168461945,2.023478595611566,2.2307644166476095,0.06809338521400778,0.5,3388933201.254637,1.0,0.0024606742823425343,0.0218948307579176,0.19208118400414032,0.03267320783105907,0.980773414260495,3.733520234736557,2.203457839158892,2.1920811840041403,0.011376655154751614,1.05061816617623,6.402706133504678,3.267320783205907,1.4934080938950227,1.0,328230.36168461945,3768.9392509434397,127.8952553814821,139.55548734856157,-63.455487348561576,20.25613104377527
4.79,77.8,55.34125766550666,5.34,NGC0100,14.82,53.32,0.0,1263.6409185803757,NGC0100,NGC100,Bizyaev_2014,Bizyaev_2002,True,confirmed_duplicate_by_sparc_name,NED,RFGC0095,EON_6.012_16.487,NED,,6.012434,16.487118,r,29.05,0.13,6.87,0.39,0.2364888123924268,4.228529839883552,22.03,0.07,0.063,12.76,0.06,IR,,,NED,thick_like,NED,NED,,6.012434,16.487118,,,NED,,True,coord_strict,NGC0100,34.0,0.0009366523394287,Bizyaev_2014,0.35,3,2.2059185134412345,0.03984859197941004,0.997860294956193,0.042309266261752576,0.04221873691133253,0.21628173515307308,328230.36168461945,2.023478595611566,2.2307644166476095,0.06809338521400778,0.5,3388933201.254637,1.0,0.0024606742823425343,0.0218948307579176,0.19208118400414032,0.03267320783105907,0.980773414260495,3.733520234736557,2.203457839158892,2.1920811840041403,0.011376655154751614,1.05061816617623,6.402706133504678,3.267320783205907,1.4934080938950227,1.0,328230.36168461945,3094.0517237577524,121.73950778937639,133.72794231872274,-55.92794231872274,22.458742334493337
5.24,79.0,54.778101463997444,4.0,NGC0100,15.7,52.48,0.0,1191.030534351145,NGC0100,NGC100,Bizyaev_2014,Bizyaev_2002,True,confirmed_duplicate_by_sparc_name,NED,RFGC0095,EON_6.012_16.487,NED,,6.012434,16.487118,r,29.05,0.13,6.87,0.39,0.2364888123924268,4.228529839883552,22.03,0.07,0.063,12.76,0.06,IR,,,NED,thick_like,NED,NED,,6.012434,16.487118,,,NED,,True,coord_strict,NGC0100,34.0,0.0009366523394287,Bizyaev_2014,0.35,3,2.2059185134412345,0.03984859197941004,0.997860294956193,0.042309266261752576,0.04221873691133253,0.21628173515307308,328230.36168461945,2.023478595611566,2.2307644166476095,0.06809338521400778,0.5,3388933201.254637,1.0,0.0024606742823425343,0.0218948307579176,0.19208118400414032,0.03267320783105907,0.980773414260495,3.733520234736557,2.203457839158892,2.1920811840041403,0.011376655154751614,1.05061816617623,6.402706133504678,3.267320783205907,1.4934080938950227,1.0,328230.36168461945,2585.4492801654274,116.39482045205808,128.64056369616404,-49.64056369616404,24.221898536002556
