galaxy,segment_index,r_left_kpc,r_right_kpc,r_mid_kpc,dr_kpc,h_i_kpc,v_obs_segment_kms,v_vis_segment_kms,v_err_segment_kms,mass_bar_segment_msun,n_points,density_ref_gal_msun_per_kpc3,segment_wedge_volume_eff_kpc3,segment_density_eff_msun_per_kpc3,alpha_geom_i,alpha_dens_i,Dw_i,sigma_i,beta_i,ell_info_kpc,c_info_gal,tau_struct_gal,S_i,I_int_i,eta_radius_term_i,eta_sigma_term_i,eta_dw_term_i,eta_obs_i,I_ext_i,DeltaD_i
DDO168,1,0.41,2.06,1.235,1.6500000000000001,1.24,29.560000000000002,22.801932483717632,1.8199999999999998,149296598.71170092,5,75300744.96280545,2.52681,59085011.817944735,2.3509089911554155,2.3250948245526186,2.338001907854017,0.10762250956485397,0.2219632202903082,1.9769999999999999,1.0,2.0,1411436.8717334084,1695138.329382244,0.5796946015699254,0.5,0.10799872809732196,0.6555728752246982,1111286.7084967091,0.34442712477530185
DDO168,2,2.47,4.12,3.295,1.65,1.24,53.36,28.378055993417775,2.06,616964743.3162987,5,75300744.96280545,6.7415699999999985,91516478.10766615,2.1608119839267066,2.2999468126516196,2.230379398289163,0.10762250956485397,0.0816557054410123,1.9769999999999999,1.0,2.0,804246.0719736515,1302136.844268526,0.2334596231707153,0.5,0.1797470678072246,0.5482197399704849,713857.122170879,0.45178026002951516
ESO563-G021,1,0.45,4.9,2.6750000000000003,4.45,0.35000000000000003,101.05,133.77833333333334,6.423333333333333,11131020785.313784,6,4972515764.711152,4.166312500000001,2671672080.6021585,2.0392838014105603,2.1748339766646794,2.10705888903762,0.008663310458691509,2.0032647362399478e-20,8.5,1.0,2.0,4.636661338935868e-13,0.047892032377770975,0.8596625281126064,0.30227060945009593,0.26196074064158675,0.728860384579668,0.034906605137164065,0.271139615420332
ESO563-G021,2,5.79,12.06,8.925,6.2700000000000005,0.35000000000000003,270.8333333333333,237.24166715144466,5.251666666666668,116796493543.85747,6,4972515764.711152,19.585912500000003,5963290887.971518,2.0126918725852097,2.218752526407413,2.1157221994963114,0.013928168292118626,1.0419012351871175e-12,8.5,1.0,2.0,8.65379400830692e-05,0.09990735130182454,0.6037939214008737,0.4105499708069207,0.25618520033579245,0.661018251769873,0.06604058269649062,0.3389817482301269
ESO563-G021,3,13.44,21.94,17.69,8.500000000000002,0.35000000000000003,314.6666666666667,278.4423539022395,13.983333333333334,318887922616.5412,6,4972515764.711152,52.62775000000003,6059311344.6146,2.0065857164233027,2.1864726303182285,2.0965291733707656,0.019997466301749034,1.72835225064044e-09,8.5,1.0,2.0,0.20942595352579113,0.27996466846501017,0.36787944117144233,0.5,0.26898055108615626,0.598408379246799,0.16753320350251416,0.401591620753201
ESO563-G021,4,23.68,32.18,27.93,8.5,0.35000000000000003,313.1666666666667,252.23871582961138,9.881666666666666,413175036792.438,6,4972515764.711152,83.09175000000002,4972515764.711152,2.0047538262405844,2.146700707545042,2.0757272668928133,0.021186534992294392,2.009090196220961e-09,8.5,1.0,2.0,0.2116584141169008,0.29798954040557485,0.20621043305018144,0.5144360510536082,0.28284848873812446,0.5508422636980045,0.16414523299533482,0.4491577363019955
ESO563-G021,5,33.91,42.41,38.16,8.5,0.35000000000000003,316.8333333333333,209.86750819634457,9.916666666666666,390785484287.7604,6,4972515764.711152,113.52600000000001,3442255380.1575,2.003822981426408,2.104489225345945,2.054156103386177,0.02157116350663646,1.0562783705660053e-09,8.5,1.0,2.0,0.07843231701656393,0.16080365478787534,0.11565415856823719,0.5189289039853073,0.29722926440921543,0.5263940308278264,0.08464608401563602,0.4736059691721735
IC4202,1,0.77,5.5,3.135,4.73,3.4400000000000004,141.28571428571428,185.46424308097198,3.8814285714285712,25072496151.305027,7,870273012.8993666,51.010212,491519152.1122285,2.244980924181924,2.1718382004440793,2.2084095623130016,0.0434347636560557,0.0012146536683018835,3.9700000000000006,1.0,2.0,25931.663276641877,26201.18647808398,0.7828405529946694,0.516207405831753,0.19439362512466563,0.7359499362488411,19282.761518189902,0.2640500637511589
IC4202,2,6.27,10.24,8.254999999999999,3.9700000000000006,3.44,236.0,226.0905499053524,4.985,98111867703.5664,6,870273012.8993666,112.736884,870273012.8993666,2.133420738594158,2.1965288587197342,2.164974798656946,0.026262016339137828,2.8820027976789913e-06,3.9700000000000006,1.0,2.0,65.86853155217779,8119.366791578804,0.5248356826751004,0.39214990182711673,0.22335013422870276,0.6272606228426129,5092.959070773348,0.37273937715738714
IC4202,3,11.02,14.59,12.805,3.5700000000000003,3.44,243.16666666666666,242.07131385357616,6.103333333333333,174464023029.3473,6,870273012.8993666,157.255644,1109429325.3433073,2.103983936699942,2.2077871225695094,2.155885529634726,0.01678423076007496,1.2473450227668306e-09,3.9700000000000006,1.0,2.0,0.023226709147853,5162.726590852484,0.36787944117144233,0.2919425945906274,0.22940964691018273,0.5586663702342622,2884.2417250234644,0.44133362976573776
IC4202,4,14.98,18.65,16.814999999999998,3.669999999999998,3.44,245.83333333333334,229.03959164474358,9.143333333333334,205096211569.96982,6,870273012.8993666,212.28601199999986,966131539.4156538,2.085995093868017,2.1768175804055745,2.131406337136796,0.04070731405410477,0.00011683730347461101,3.9700000000000006,1.0,2.0,4595.049909309406,8720.116882461789,0.2689690606150853,0.5,0.24572910857546937,0.5645484234730804,4922.928238494796,0.4354515765269196
IC4202,5,19.62,25.9,22.759999999999998,6.279999999999998,3.4400000000000004,241.71428571428572,205.63923030792338,12.457142857142857,223781325725.8618,7,870273012.8993666,491.68883199999993,455127941.0101831,2.055920449539374,2.093021353513658,2.0744709015265164,0.05693543561027958,0.0005677164236930717,3.9700000000000006,1.0,2.0,14711.183218707003,15925.68573214737,0.1690719878517017,0.5830994703239809,0.28368606564898907,0.5510056648662778,8775.143055293256,0.4489943351337222
NGC0100,1,0.23,1.59,0.91,1.36,6.87,25.6275,27.599172151429467,5.07,161165896.55079004,4,56584745.922046766,8.502312,18955537.805574536,3.284057484401865,2.18826084997771,2.7361591671897876,0.27465116065773865,0.4232249963251689,2.0,1.0,2.0,2203377.2412100662,6940981.291248361,0.826976398406121,0.7593032695009988,0.15743944479319172,0.7880336538856978,5469726.848494714,0.21196634611430223
NGC0100,2,2.05,3.42,2.735,1.37,6.87,58.800000000000004,51.73566053421866,4.0,1702068257.98356,4,56584745.922046766,25.7415465,66121445.26683974,2.61088439273119,2.312131620332907,2.461508006532049,0.2103450818445718,0.8327727344370564,2.0,1.0,2.0,11582470.357646946,12683895.849880569,0.5649708111475552,0.7072595108953769,0.025661328978634046,0.6818433491046759,8648430.025977466,0.31815665089532413
NGC0100,3,3.88,5.7,4.79,1.8200000000000003,6.87,76.9,55.162498029489754,4.388,3388933201.254637,5,56584745.922046766,59.891286,56584745.922046766,2.4001735903536785,2.2307644166476095,2.315469003500644,0.08706354766721658,0.12009192524658932,2.0,1.0,2.0,591629.1137108267,5067558.675465132,0.36787944117144233,0.5,0.123020664332904,0.5853607178859994,2966349.784199694,0.4146392821140006
NGC0100,4,6.16,7.52,6.84,1.3599999999999994,6.87,82.6,50.06994501779251,5.423333333333333,3987034338.207448,3,56584745.922046766,63.907487999999994,62387592.79988361,2.3525925889619885,2.2221692334332435,2.2873809111976158,0.04532009734413123,0.00917294638978738,2.0,1.0,2.0,25935.696668389006,1852030.1872016676,0.23979402631608024,0.34233909589244527,0.14174605920158947,0.5223473476959476,967403.0561376204,0.4776526523040524
NGC0100,5,7.98,9.62,8.8,1.6399999999999988,6.87,88.84,46.49011326914392,8.472,4422252397.665824,5,56584745.922046766,99.14783999999992,44602609.57440755,2.287711452374378,2.1619461652503853,2.2248288088123815,0.06255210238523423,0.012288740715109438,2.0,1.0,2.0,34285.42685070535,724543.5204285318,0.15926898898156705,0.4180852896291619,0.18344746079174565,0.5147875152290876,372985.95855673956,0.4852124847709124
NGC2403,1,0.16,1.57,0.865,1.4100000000000001,0.5300000000000001,67.01333333333334,67.7444087710755,1.6440000000000003,923002052.025577,15,1357749636.4929445,0.6464145000000002,1427879560.290768,2.2621679756103483,2.48065124850791,2.3714096120591295,0.03857399025529418,0.03566435763417429,3.38,1.0,2.0,1964357.590820983,72375589.14841884,0.8341502649284896,0.41504850744269467,0.08572692529391368,0.7248425016329845,52460903.095501,0.27515749836701553
