galaxy,r_kpc,v_obs_kms,v_vis_kms,v_err_kms,h_kpc,source_path,Dw_i,sigma_i,beta_i,S_i,I_int_i,eta_obs_i,I_ext_i,DeltaD_i,eta_sigma_term_i,eta_dw_term_i,eta_density_term_i,eta_flow_term_i,eta_transition_term_i,segment_density_eff_msun_per_kpc3,segment_wedge_volume_eff_kpc3,segment_index,v_bar_kms,delta_v_i,C_i
NGC2998,0.33,90.0,44.56,20.0,3.31,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC2998_structure_enriched.csv,2.5049029524511432,0.38075969747175353,0.9872057876304251,128820047.14177023,133891558.34585129,0.5700393131559884,76323451.95685402,0.42996068684401156,0.6256011947032522,0.012876763175564222,0.505534842491449,0.5075583934154705,0.5166544421382256,342708430.3528973,11.354458500000002,1,44.56,0.5048888888888888,0.2170823734465765
NGC2998,0.99,125.0,93.2323361286201,15.0,3.31,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC2998_structure_enriched.csv,2.5049029524511432,0.38075969747175353,0.9872057876304251,128820047.14177023,133891558.34585129,0.5700393131559884,76323451.95685402,0.42996068684401156,0.6256011947032522,0.012876763175564222,0.505534842491449,0.5075583934154705,0.5166544421382256,342708430.3528973,11.354458500000002,1,93.2323361286201,0.25414131097103915,0.10927077262054552
NGC2998,1.98,148.0,132.156772433349,15.0,3.31,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC2998_structure_enriched.csv,2.4841227925560476,0.37241568236741324,0.943815691162463,122322202.30678226,130769488.90845521,0.5729304427571322,74765456.3599008,0.42706955724286777,0.6187464437244087,0.03946176893389891,0.5052327755638562,0.5071458901364564,0.5157455172365254,336167740.50173753,37.142686017089304,1,132.156772433349,0.10704883490980402,0.04571729852829485
NGC2998,2.64,180.0,154.6925030504064,17.0,3.31,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC2998_structure_enriched.csv,2.45641591269592,0.36129032889495954,0.8859622292051801,113658409.19346495,126606729.65859379,0.576785282225324,72688128.89729652,0.423214717774676,0.6096067757526175,0.07490844327834517,0.504830019660399,0.5065958857644376,0.5145336173675916,327446820.7001912,71.5269893732084,1,154.6925030504064,0.14059720527552,0.05950280655058739
NGC2998,3.63,201.0,196.78832409469825,15.0,3.31,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC2998_structure_enriched.csv,2.4148555929057287,0.344602298686279,0.7991820362692559,100662719.52348901,120362590.78380165,0.5825675414276117,69572137.7033901,0.41743245857238837,0.5958972737949306,0.12807845479501456,0.5042258858052132,0.5057708792064094,0.512715767564191,314365440.99787176,123.10344440738699,1,196.78832409469825,0.020953611469162917,0.00874671755154327
NGC2998,7.59,206.0,222.21899558768598,10.0,3.31,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC2998_structure_enriched.csv,2.248614313744963,0.27785017785155686,0.45206126452555884,48679960.84358522,95386035.28463306,0.6056965782367623,57108172.927764416,0.3943034217632378,0.5410592659641833,0.3407585008616921,0.5018093503844704,0.5024708529742966,0.5054443683505887,262039922.1885938,329.40926454410146,2,222.21899558768598,0.07873298828973778,0.03104468668828854
NGC2998,12.5,214.0,215.5871510549736,5.0,3.31,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC2998_structure_enriched.csv,2.1174580324939343,0.21423893580200423,0.17524451532888205,8890027.756954385,71264704.61120969,0.6188114055871412,44332139.07238497,0.3811885944128588,0.47749484761735167,0.5040433450438696,0.49899318351395044,0.4979799406147291,0.49840912905812684,211492376.90885475,630.0745432961265,2,215.5871510549736,0.007416593714829854,0.002827120933487235
NGC2998,17.48,212.0,203.8936585575922,5.0,3.31,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC2998_structure_enriched.csv,2.1003411132252623,0.17933685696718304,0.13193655549637787,6666313.41884662,57386122.85400088,0.6080506448172935,35514600.73688202,0.39194935518270646,0.41987240089982536,0.5143959714286873,0.4964153191949136,0.4928077577156808,0.49433584510412776,182381847.72621575,1004.3974615299106,2,203.8936585575922,0.038237459633999035,0.01498714764737069
NGC2998,22.46,213.0,183.43258516414144,2.0,3.31,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC2998_structure_enriched.csv,2.08322419395659,0.14443477813236189,0.08862859566387368,4442599.0807388555,43507541.09679207,0.597289884047446,26697062.401379075,0.40271011595255407,0.3622499541822991,0.524748597813505,0.49383745487587677,0.4876355748166325,0.4902625611501287,153271318.54357675,1378.7203797636946,3,183.43258516414144,0.13881415415896037,0.055901864117210646
NGC2998,27.44,214.0,172.84412920316385,2.0,3.31,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC2998_structure_enriched.csv,2.066107274687918,0.10953269929754068,0.0453206358313695,2218884.74263109,29628959.339583263,0.5865291232775983,17879524.06587613,0.4134708767224017,0.3046275074647728,0.5351012241983227,0.49125959055683993,0.4824633919175842,0.4861892771961296,124160789.36093776,1753.0432979974785,3,172.84412920316385,0.1923171532562437,0.07951754196561557
