galaxy,r_kpc,v_obs_kms,v_vis_kms,v_err_kms,h_kpc,source_path,Dw_i,sigma_i,beta_i,S_i,I_int_i,eta_obs_i,I_ext_i,DeltaD_i,eta_sigma_term_i,eta_dw_term_i,eta_density_term_i,eta_flow_term_i,eta_transition_term_i,propagation_source_i,propagation_term_i,segment_density_eff_msun_per_kpc3,segment_wedge_volume_eff_kpc3,segment_index,v_bar_kms,delta_v_i,C_i
NGC3917,0.87,24.3,35.64,3.9,4.65,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC3917_structure_enriched.csv,2.3003475010683854,0.05615084210249233,0.028562926561802805,90352.52839382977,100288.26490665217,0.5562282507828522,55783.16616307444,0.4437717492171478,0.5145844196078981,0.42354059180169756,0.48524325466496815,0.5105405463814751,0.09718715901605218,0.1250013163473196,0.47184610749542955,56335393.62140859,26.721457500000003,1,35.64,0.4666666666666667,0.2070934829680023
NGC3917,1.74,49.6,47.54,3.9,4.65,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC3917_structure_enriched.csv,2.3003475010683854,0.05615084210249233,0.028562926561802805,90352.52839382977,100288.26490665217,0.5562282507828522,55783.16616307444,0.4437717492171478,0.5145844196078981,0.42354059180169756,0.48524325466496815,0.5105405463814751,0.09718715901605218,0.1250013163473196,0.47184610749542955,56335393.62140859,26.721457500000003,1,47.54,0.04153225806451617,0.018430842810228335
NGC3917,2.61,73.6,60.47,5.2,4.65,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC3917_structure_enriched.csv,2.2935096478037553,0.05467223533861935,0.025448723666990584,82380.48351900492,95559.54588582704,0.5601014803256412,53390.9566521172,0.4398985196743588,0.5071832841471117,0.43101252541407414,0.4872417901749207,0.5092177876575922,0.12764665416728393,0.12133763174992959,0.47239220786407005,72508940.31804904,31.85472440544413,1,60.47,0.17839673913043474,0.078476461458211
NGC3917,3.5,101.0,74.08847953629498,4.4,4.65,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC3917_structure_enriched.csv,2.2791903786142944,0.0515758588213324,0.01892721642844264,65686.08366348938,85657.05193633442,0.5682124786623053,48381.38849975968,0.4317875213376947,0.4916844357704059,0.4466596334494039,0.491426958654586,0.5064477752711082,0.19143242048398104,0.11366544518127758,0.4735358062831054,106378249.87101376,42.604389219197714,1,74.08847953629498,0.2664506976604457,0.11505008630150335
NGC3917,4.37,107.0,86.0731694548307,3.5,4.65,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC3917_structure_enriched.csv,2.2651928907549337,0.048549063798815954,0.012552259914356448,49366.83886090675,75977.08594076298,0.5761412073734263,43484.394912623684,0.4238587926265736,0.4765338761212665,0.46195512107944536,0.49551807840437123,0.5037400103539834,0.25378479879356136,0.10616566729956158,0.47465370586126354,139486451.3441366,53.112488531518636,2,86.0731694548307,0.19557785556232987,0.08289739372314354
NGC3917,5.24,115.0,97.28408400144393,3.5,4.65,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC3917_structure_enriched.csv,2.2511954028955734,0.0455222687762995,0.006177303400270253,33047.59405832413,66297.11994519152,0.5840699360845474,38587.40132548768,0.41593006391545256,0.46138331647212716,0.47725060870948677,0.49960919815415644,0.5010322454368585,0.3161371771031417,0.09866588941784557,0.4757716054394217,172594652.8172594,63.62058784383956,2,97.28408400144393,0.15405144346570496,0.06407462672695839
NGC3917,6.11,123.0,105.04850308309966,3.9,4.65,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC3917_structure_enriched.csv,2.240219011423281,0.04472986441723612,0.0030028481143846105,26290.098646167327,61362.16400931604,0.5950359371607606,36508.0303621326,0.4049640628392393,0.45764053177121256,0.48856096790556897,0.5020045933822901,0.4996430864758489,0.37820387063019856,0.09795713626360125,0.4819838999528464,194807920.72141516,74.2071811119082,2,105.04850308309966,0.14594712940569382,0.05910334248385398
NGC3917,6.98,130.0,109.04986198982556,3.9,4.65,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC3917_structure_enriched.csv,2.232263716338058,0.04617185072162582,0.003028894056699525,29094.35262443635,61172.218133136514,0.6090392106020661,37246.28202255845,0.3909607893979339,0.46530552201852265,0.4958861986676919,0.5027042640887721,0.49957253347095437,0.43998487937473196,0.10403940783682866,0.4932905894015375,206126255.05660382,84.87226833572457,2,109.04986198982556,0.16115490777057262,0.0630052499573343
NGC3917,7.85,134.0,111.3441242275496,3.5,4.65,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC3917_structure_enriched.csv,2.2243084212528346,0.047613837026015515,0.0030549399990144398,31898.606602705368,60982.27225695699,0.6230424840433716,37984.5336829843,0.3769575159566284,0.47297051226583275,0.5032114294298148,0.5034039347952541,0.4995019804660599,0.5017658881192653,0.11012167941005604,0.5045972788502286,217444589.39179248,95.53735555954093,3,111.3441242275496,0.16907369979440598,0.06373360188809599
NGC3917,8.72,136.0,110.78013043863056,3.9,4.65,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC3917_structure_enriched.csv,2.2163531261676113,0.049055823330405215,0.0030809859413293544,34702.86058097439,60792.326380777464,0.637045757484677,38722.78534341015,0.36295424251532293,0.4806355025131429,0.5105366601919377,0.5041036055017362,0.4994314274611654,0.5635468968637988,0.11620395098328345,0.5159039682989198,228762923.72698116,106.2024427833573,3,110.78013043863056,0.18544021736301056,0.06730631362486833
