galaxy,r_kpc,v_obs_kms,v_vis_kms,v_err_kms,h_kpc,source_path,Dw_i,Dw_smooth_i,dDw_dr_i,propagation_source_i,propagation_term_i,delta_struct_i,DeltaD_i,segment_density_eff_msun_per_kpc3,segment_wedge_volume_eff_kpc3,segment_index,v_bar_kms,delta_v_i,C_i
NGC2403,0.16,24.5,23.21,2.83,0.53,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC2403_structure_enriched.csv,2.3714096120591295,2.3521226169314824,-0.04929724610524399,0.5759396816658092,0.046697812026957504,0.39020761606290433,0.39020761606290433,1427879560.290768,0.6464145000000002,1,23.21,0.05265306122448976,0.020545625498822297
NGC2403,0.26,35.3,35.33,2.46,0.53,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC2403_structure_enriched.csv,2.3714096120591295,2.3521226169314824,-0.04929724610524399,0.5759396816658092,0.046697812026957504,0.39020761606290433,0.39020761606290433,1427879560.290768,0.6464145000000002,1,35.33,0.0008498583569405422,0.0003316212034529058
NGC2403,0.36,43.2,47.00922569028339,1.12,0.53,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC2403_structure_enriched.csv,2.3714096120591295,2.3521226169314824,-0.04929724610524399,0.5759396816658092,0.046697812026957504,0.39020761606290433,0.39020761606290433,1427879560.290768,0.6464145000000002,1,47.00922569028339,0.08817652060841166,0.03440714989932987
NGC2403,0.46,52.0,56.726241722856976,1.25,0.53,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC2403_structure_enriched.csv,2.3714096120591295,2.3521226169314824,-0.04929724610524399,0.5759396816658092,0.046697812026957504,0.39020761606290433,0.39020761606290433,1427879560.290768,0.6464145000000002,1,56.726241722856976,0.0908892639010957,0.03546568299255874
NGC2403,0.56,60.9,63.8246229914443,2.93,0.53,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC2403_structure_enriched.csv,2.3714096120591295,2.3521226169314824,-0.04929724610524399,0.5759396816658092,0.046697812026957504,0.39020761606290433,0.39020761606290433,1427879560.290768,0.6464145000000002,1,63.8246229914443,0.04802336603356818,0.018739083175274892
NGC2403,0.66,65.8,67.62657465819188,1.25,0.53,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC2403_structure_enriched.csv,2.3714096120591295,2.3521226169314824,-0.04929724610524399,0.5759396816658092,0.046697812026957504,0.39020761606290433,0.39020761606290433,1427879560.290768,0.6464145000000002,1,67.62657465819188,0.027759493285591,0.010831965698084664
NGC2403,0.76,71.7,70.9087053893949,1.25,0.53,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC2403_structure_enriched.csv,2.3714096120591295,2.3521226169314824,-0.04929724610524399,0.5759396816658092,0.046697812026957504,0.39020761606290433,0.39020761606290433,1427879560.290768,0.6464145000000002,1,70.9087053893949,0.011036187037728126,0.004306404234416218
NGC2403,0.86,74.6,72.89295164829038,1.6,0.53,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC2403_structure_enriched.csv,2.3714096120591295,2.3521226169314824,-0.04929724610524399,0.5759396816658092,0.046697812026957504,0.39020761606290433,0.39020761606290433,1427879560.290768,0.6464145000000002,1,72.89295164829038,0.022882685679753573,0.008928998228213402
NGC2403,0.96,74.6,74.9778453944897,1.03,0.53,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC2403_structure_enriched.csv,2.3688996606384083,2.347439378551484,-0.04917322483599351,0.5753112496714944,0.04840772399177815,0.3973516410451126,0.3973516410451126,1566684142.2240365,0.709389934931507,1,74.9778453944897,0.005064951668762881,0.0020125668573971124
NGC2403,1.06,76.6,77.24371366007722,1.12,0.53,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC2403_structure_enriched.csv,2.366257606511333,2.34250965394096,-0.04904267613151932,0.5746497423090576,0.05020763132316831,0.40487166734217395,0.40487166734217395,1712794228.4695823,0.7756798664383564,1,77.24371366007722,0.008403572585864555,0.0034023684444699663
NGC2403,1.16,78.5,79.61182952300493,1.6,0.53,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC2403_structure_enriched.csv,2.3636155523842586,2.3375799293304356,-0.04891212742704513,0.5739882349466209,0.052007538654558455,0.4123916936392353,0.4123916936392353,1858904314.715128,0.8419697979452057,1,79.61182952300493,0.014163433414075522,0.005840882293377141
NGC2403,1.27,83.4,82.34121021699889,1.8,0.53,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC2403_structure_enriched.csv,2.360709292844476,2.3321572322588584,-0.04876852385212352,0.5732605768479405,0.05398743671908763,0.42066372256600276,0.42066372256600276,2019625409.5852284,0.91488872260274,1,82.34121021699889,0.012695321139102125,0.005340461049545566
NGC2403,1.36,86.4,85.36800454502846,1.6,0.53,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC2403_structure_enriched.csv,2.3583314441301084,2.3277204801093867,-0.04865103001809675,0.5726652202217475,0.055607353317338765,0.427431746233358,0.427431746233358,2151124487.2062197,0.9745496609589044,1,85.36800454502846,0.0119443918399485,0.005105412261844659
NGC2403,1.47,87.4,88.12843581954691,1.41,0.53,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC2403_structure_enriched.csv,2.355425184590326,2.32229778303781,-0.04850742644317514,0.5719375621230671,0.05758725138186793,0.4357037751601255,0.4357037751601255,2311845582.0763197,1.0474685856164385,1,88.12843581954691,0.008334505944472569,0.0036313757041012053
NGC2403,1.57,90.3,90.96677030652457,1.41,0.53,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC2403_structure_enriched.csv,2.352783130463251,2.3173680584272853,-0.04837687773870095,0.5712760547606304,0.05938715871325809,0.4432238014571868,0.4432238014571868,2457955668.321866,1.113758517123288,1,90.96677030652457,0.0073839458086884715,0.003272740531080766
NGC2403,1.67,93.3,94.184948372869,1.6,0.53,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC2403_structure_enriched.csv,2.3501410763361763,2.312438333816761,-0.048246329034226765,0.5706145473981936,0.06118706604464824,0.45074382775424815,0.45074382775424815,2604065754.5674114,1.1800484486301372,2,94.184948372869,0.009484977201168324,0.004275294929816386
NGC2403,1.77,93.3,97.07252958484186,1.41,0.53,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC2403_structure_enriched.csv,2.3474990222091012,2.3075086092062365,-0.04811578032975257,0.569953040035757,0.0629869733760384,0.45826385405130954,0.45826385405130954,2750175840.8129573,1.2463383801369865,2,97.07252958484186,0.04043440069498245,0.018529624298737606
NGC2403,1.87,95.2,99.42995625061896,1.25,0.53,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC2403_structure_enriched.csv,2.344856968082026,2.3025788845957122,-0.04798523162527838,0.5692915326733202,0.06478688070742855,0.46578388034837087,0.46578388034837087,2896285927.058503,1.312628311643836,2,99.42995625061896,0.04443231355692179,0.020695855421398554
NGC2403,1.97,97.2,101.64837677011866,1.6,0.53,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC2403_structure_enriched.csv,2.3422149139549515,2.2976491599851876,-0.04785468292080419,0.5686300253108835,0.0665867880388187,0.4733039066454322,0.4733039066454322,3042396013.3040485,1.3789182431506852,2,101.64837677011866,0.04576519310821663,0.02166084468650154
NGC2403,2.08,99.1,104.02645913420298,2.02,0.53,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC2403_structure_enriched.csv,2.339308654415169,2.292226462913611,-0.04771107934588258,0.5679023672122031,0.06856668610334787,0.4815759355721997,0.4815759355721997,3203117108.1741495,1.4518371678082196,2,104.02645913420298,0.04971199933605435,0.023940102589424944
NGC2403,2.18,98.2,106.31884969279906,2.02,0.53,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC2403_structure_enriched.csv,2.336666600288094,2.2872967383030867,-0.047580530641408394,0.5672408598497664,0.07036659343473803,0.4890959618692611,0.4890959618692611,3349227194.4196954,1.5181270993150688,2,106.31884969279906,0.08267667711608004,0.04043682891824349
