galaxy,r_kpc,v_obs_kms,v_vis_kms,v_err_kms,h_kpc,source_path,Dw_i,Dw_smooth_i,dDw_dr_i,state_term_i,propagation_source_i,propagation_term_i,history_term_i,delta_struct_i,DeltaD_i,causal_horizon_kpc,ell_info_kpc,segment_density_eff_msun_per_kpc3,segment_wedge_volume_eff_kpc3,segment_index,v_bar_kms,delta_v_i,C_i
IC4202,0.77,35.1,135.41353846643253,3.96,3.44,data\derived\crossmatch\sparc_structure_test32\per_galaxy\IC4202_structure_enriched.csv,2.2084095623130016,2.1866921804849735,-0.0020056413313962987,0.4586883536583009,0.3378636873738369,0.0702150808997473,0.3716197932826748,0.42386092950805043,0.42386092950805043,3.9700000000000006,3.9700000000000006,491519152.1122285,51.010212,1,135.41353846643253,2.8579355688442316,1.2113672266844349
IC4202,1.59,77.9,181.3490504524355,3.95,3.44,data\derived\crossmatch\sparc_structure_test32\per_galaxy\IC4202_structure_enriched.csv,2.2084095623130016,2.1866921804849735,-0.0020056413313962987,0.4586883536583009,0.3378636873738369,0.0702150808997473,0.3716197932826748,0.42386092950805043,0.42386092950805043,3.9700000000000006,3.9700000000000006,491519152.1122285,51.010212,1,181.3490504524355,1.3279724063213798,0.5628756185044225
IC4202,2.36,115.0,186.30282982284513,6.7,3.44,data\derived\crossmatch\sparc_structure_test32\per_galaxy\IC4202_structure_enriched.csv,2.2084095623130016,2.1866921804849735,-0.0020056413313962987,0.4586883536583009,0.3378636873738369,0.0702150808997473,0.3716197932826748,0.42386092950805043,0.42386092950805043,3.9700000000000006,3.9700000000000006,491519152.1122285,51.010212,1,186.30282982284513,0.620024607155175,0.2628042063066563
IC4202,3.13,156.0,188.001365154618,3.16,3.44,data\derived\crossmatch\sparc_structure_test32\per_galaxy\IC4202_structure_enriched.csv,2.2084095623130016,2.1866921804849735,-0.0020056413313962987,0.4586883536583009,0.3378636873738369,0.0702150808997473,0.3716197932826748,0.42386092950805043,0.42386092950805043,3.9700000000000006,3.9700000000000006,491519152.1122285,51.010212,1,188.001365154618,0.20513695611934607,0.08694954089719818
IC4202,3.95,192.0,196.11701252058683,3.14,3.44,data\derived\crossmatch\sparc_structure_test32\per_galaxy\IC4202_structure_enriched.csv,2.201495630207594,2.1850575827998857,-0.00231205609642357,0.46419913756120346,0.3636724949500718,0.07408023426622905,0.3830105098671099,0.43172368648356596,0.43172368648356596,3.9700000000000006,3.9700000000000006,551809073.3117437,60.83584435937501,1,196.11701252058683,0.021442773544723053,0.009257353243160118
IC4202,4.73,204.0,204.51862726900941,2.9,3.44,data\derived\crossmatch\sparc_structure_test32\per_galaxy\IC4202_structure_enriched.csv,2.194878615431867,2.1834931825613966,-0.002605311945161326,0.46947326203269296,0.3883729488267139,0.07777939945132814,0.3939120545736857,0.43924877904909004,0.43924877904909004,3.9700000000000006,3.9700000000000006,609509856.7910342,70.23951704687501,1,204.51862726900941,0.0025422905343598736,0.0011166980132056332
IC4202,5.5,209.0,206.54727788087646,3.36,3.44,data\derived\crossmatch\sparc_structure_test32\per_galaxy\IC4202_structure_enriched.csv,2.1883464341789054,2.181948838736221,-0.0028948081035306493,0.47467976952377877,0.41275673021775794,0.08143113944174647,0.40467383588658756,0.4466773960689023,0.4466773960689023,3.9700000000000006,3.9700000000000006,666470886.6359749,79.522629828125,1,206.54727788087646,0.011735512531691557,0.005241988179189956
IC4202,6.27,220.0,207.24817610777666,3.25,3.44,data\derived\crossmatch\sparc_structure_test32\per_galaxy\IC4202_structure_enriched.csv,2.181814252925944,2.180404494911046,-0.003184304261899973,0.4798862770148646,0.43714051160880196,0.0850828794321648,0.4154356171994894,0.4541060130887145,0.4541060130887145,3.9700000000000006,3.9700000000000006,723431916.4809155,88.805742609375,2,207.24817610777666,0.057962835873742465,0.026321272305940707
IC4202,7.08,231.0,213.0514801638327,3.49,3.44,data\derived\crossmatch\sparc_structure_test32\per_galaxy\IC4202_structure_enriched.csv,2.1749427375819197,2.178779925432615,-0.0034888391817430274,0.4853632524275653,0.46279098294223797,0.08892432020130617,0.42675645208708746,0.46192053229137414,0.46192053229137414,3.9700000000000006,3.9700000000000006,783351960.8632559,98.57109501562502,2,213.0514801638327,0.07769922006998828,0.035890865093353604
IC4202,7.86,235.0,222.65660376463126,4.65,3.44,data\derived\crossmatch\sparc_structure_test32\per_galaxy\IC4202_structure_enriched.csv,2.1683257228061925,2.177215525194126,-0.0037820950304807838,0.4906373768990548,0.48749143681888,0.09262348538640526,0.43765799679366335,0.4694456248568982,0.4694456248568982,3.9700000000000006,3.9700000000000006,841052744.3425465,107.97476770312502,2,222.65660376463126,0.05252509036327125,0.024657673866250916
