r_kpc,v_obs_kms,v_bar_internal_kms,v_err_kms,galaxy,v_gas_kmps,v_disk_kmps,v_bul_kmps,a_obs_kmps2_per_kpc,matched_sparc_name,matched_sparc_name_norm,included_source_catalog,secondary_source_catalog,duplicate_flag,duplicate_status,source_object_name_primary,source_object_name_secondary,structure_2014_Name,structure_2014_preferred_name,structure_2014_catalog_name_normalized,structure_2014_RAJ2000,structure_2014_DEJ2000,structure_2014_Band,structure_2014_h,structure_2014_e_h,structure_2014_z0,structure_2014_e_z0,structure_2014_z0_over_h,structure_2014_h_over_z0,structure_2014_S0,structure_2014_e_S0,structure_2014_gradz0,structure_2014_mag,structure_2014_B/T,structure_2014_Type,structure_2014_RV,structure_2014_AName,structure_2014_NED,structure_2014_thickness_flag,structure_2014_biz_name,structure_2014_biz_name_norm,structure_2014_biz_catalog_token,structure_2014_RA_match_deg,structure_2014_DE_match_deg,structure_2014_biz_aname_norm,structure_2014_biz_aname_token,structure_2014_biz_ned_norm,structure_2014_biz_ned_token,structure_2014_matched,structure_2014_match_reason,structure_2014_matched_sparc_name,structure_2014_matched_sparc_index,structure_2014_matched_sep_deg,structure_2014___source_catalog__,segment_index,h_i_kpc,d_i,d_gal_mean,sigma_i,sigma_norm,sigma_desc_i,beta_i,psi_i,omega_i,density_ratio_i,thickness_visibility_i,radial_visibility_i,tau_i,v_desc_kms,g_bar_internal_km2s2_per_kpc,g_desc_km2s2_per_kpc,g_transform_km2s2_per_kpc,rotation_residual_desc_kms,rotation_residual_bar_only_kms
3.44,285.0,289.9312589218348,14.4,NGC2841,-0.57,163.4,239.5,23611.918604651164,NGC2841,NGC2841,Bizyaev_2014,,False,unique_to_2014,PGC26549,,EON_140.660_50.765,PGC26549,PGC26549,140.659882,50.76506,r,5.8,0.14,2.04,0.3,0.3517241379310345,2.8431372549019605,21.01,0.22,0.143,15.32,0.22,SB,8070.0,PGC026549,NED,thick_like,PGC26549,PGC26549,PGC26549,140.659882,50.76506,PGC026549,PGC26549,NED,,True,coord_review,NGC2841,46.0,0.2313387107923883,Bizyaev_2014,1,0.35,3.3394044978638715,3.215230853415098,0.12417364444877332,0.5942576537835488,0.14791524524525165,0.85,0.630276555455941,0.47044546257310516,0.9408909251462103,0.5,0.07817410433689503,0.037279690715400216,295.2860828596005,24436.085726744186,25347.05544493223,910.9697181880438,-10.286082859600526,-4.931258921834797
3.77,297.0,286.07929722368937,13.6,NGC2841,-0.57,171.13,229.25,23397.61273209549,NGC2841,NGC2841,Bizyaev_2014,,False,unique_to_2014,PGC26549,,EON_140.660_50.765,PGC26549,PGC26549,140.659882,50.76506,r,5.8,0.14,2.04,0.3,0.3517241379310345,2.8431372549019605,21.01,0.22,0.143,15.32,0.22,SB,8070.0,PGC026549,NED,thick_like,PGC26549,PGC26549,PGC26549,140.659882,50.76506,PGC026549,PGC26549,NED,,True,coord_review,NGC2841,46.0,0.2313387107923883,Bizyaev_2014,1,0.35,3.3394044978638715,3.215230853415098,0.12417364444877332,0.5942576537835488,0.14791524524525165,0.85,0.630276555455941,0.47044546257310516,0.9408909251462103,0.5,0.07817410433689503,0.037279690715400216,291.36297817126734,21708.584694960213,22517.874018257404,809.289323297191,5.637021828732657,10.920702776310634
4.13,303.0,284.22515177232293,8.47,NGC2841,-0.43,180.88,219.24,22229.78208232445,NGC2841,NGC2841,Bizyaev_2014,,False,unique_to_2014,PGC26549,,EON_140.660_50.765,PGC26549,PGC26549,140.659882,50.76506,r,5.8,0.14,2.04,0.3,0.3517241379310345,2.8431372549019605,21.01,0.22,0.143,15.32,0.22,SB,8070.0,PGC026549,NED,thick_like,PGC26549,PGC26549,PGC26549,140.659882,50.76506,PGC026549,PGC26549,NED,,True,coord_review,NGC2841,46.0,0.2313387107923883,Bizyaev_2014,1,0.35,3.3394044978638715,3.215230853415098,0.12417364444877332,0.5942576537835488,0.14791524524525165,0.85,0.630276555455941,0.47044546257310516,0.9408909251462103,0.5,0.07817410433689503,0.037279690715400216,289.47458797346,19560.275278450365,20289.47629113909,729.2010126887253,13.525412026539982,18.77484822767707
4.47,306.0,282.78312361242496,5.93,NGC2841,-0.1,188.37,210.91,20947.65100671141,NGC2841,NGC2841,Bizyaev_2014,,False,unique_to_2014,PGC26549,,EON_140.660_50.765,PGC26549,PGC26549,140.659882,50.76506,r,5.8,0.14,2.04,0.3,0.3517241379310345,2.8431372549019605,21.01,0.22,0.143,15.32,0.22,SB,8070.0,PGC026549,NED,thick_like,PGC26549,PGC26549,PGC26549,140.659882,50.76506,PGC026549,PGC26549,NED,,True,coord_review,NGC2841,46.0,0.2313387107923883,Bizyaev_2014,1,0.35,3.3394044978638715,3.215230853415098,0.12417364444877332,0.5942576537835488,0.14791524524525165,0.85,0.630276555455941,0.47044546257310516,0.9408909251462103,0.5,0.07817410433689503,0.037279690715400216,288.00592658009055,17889.551454138706,18556.468399386245,666.9169452475398,17.994073419909455,23.21687638757504
4.8,307.0,281.6261658653187,5.93,NGC2841,-0.19,194.64,203.54,19635.208333333336,NGC2841,NGC2841,Bizyaev_2014,,False,unique_to_2014,PGC26549,,EON_140.660_50.765,PGC26549,PGC26549,140.659882,50.76506,r,5.8,0.14,2.04,0.3,0.3517241379310345,2.8431372549019605,21.01,0.22,0.143,15.32,0.22,SB,8070.0,PGC026549,NED,thick_like,PGC26549,PGC26549,PGC26549,140.659882,50.76506,PGC026549,PGC26549,NED,,True,coord_review,NGC2841,46.0,0.2313387107923883,Bizyaev_2014,1,0.35,3.3394044978638715,3.215230853415098,0.12417364444877332,0.5942576537835488,0.14791524524525165,0.85,0.630276555455941,0.47044546257310516,0.9408909251462103,0.5,0.07817410433689503,0.037279690715400216,286.8276006470831,16523.603604166667,17139.598436033873,615.9948318672068,20.172399352916898,25.373834134681317
5.13,304.0,281.0518416591501,8.47,NGC2841,-0.28,200.57,196.88,18014.81481481481,NGC2841,NGC2841,Bizyaev_2014,,False,unique_to_2014,PGC26549,,EON_140.660_50.765,PGC26549,PGC26549,140.659882,50.76506,r,5.8,0.14,2.04,0.3,0.3517241379310345,2.8431372549019605,21.01,0.22,0.143,15.32,0.22,SB,8070.0,PGC026549,NED,thick_like,PGC26549,PGC26549,PGC26549,140.659882,50.76506,PGC026549,PGC26549,NED,,True,coord_review,NGC2841,46.0,0.2313387107923883,Bizyaev_2014,1,0.35,3.3394044978638715,3.215230853415098,0.12417364444877332,0.5942576537835488,0.14791524524525165,0.85,0.630276555455941,0.47044546257310516,0.9408909251462103,0.5,0.07817410433689503,0.037279690715400216,286.2426690817127,15397.687660818712,15971.708694546369,574.0210337276567,17.757330918287323,22.948158340849886
5.48,308.0,281.0117926351134,8.47,NGC2841,-0.38,206.64,190.44,17310.948905109486,NGC2841,NGC2841,Bizyaev_2014,,False,unique_to_2014,PGC26549,,EON_140.660_50.765,PGC26549,PGC26549,140.659882,50.76506,r,5.8,0.14,2.04,0.3,0.3517241379310345,2.8431372549019605,21.01,0.22,0.143,15.32,0.22,SB,8070.0,PGC026549,NED,thick_like,PGC26549,PGC26549,PGC26549,140.659882,50.76506,PGC026549,PGC26549,NED,,True,coord_review,NGC2841,46.0,0.2313387107923883,Bizyaev_2014,1,0.35,3.3394044978638715,3.215230853415098,0.12417364444877332,0.5942576537835488,0.14791524524525165,0.85,0.630276555455941,0.47044546257310516,0.9408909251462103,0.5,0.07817410433689503,0.037279690715400216,286.20188038071467,14410.151021897806,14947.35699515637,537.205973258564,21.79811961928533,26.98820736488659
5.83,313.0,280.55263213878425,12.7,NGC2841,-0.48,211.29,184.57,16804.288164665522,NGC2841,NGC2841,Bizyaev_2014,,False,unique_to_2014,PGC26549,,EON_140.660_50.765,PGC26549,PGC26549,140.659882,50.76506,r,5.8,0.14,2.04,0.3,0.3517241379310345,2.8431372549019605,21.01,0.22,0.143,15.32,0.22,SB,8070.0,PGC026549,NED,thick_like,PGC26549,PGC26549,PGC26549,140.659882,50.76506,PGC026549,PGC26549,NED,,True,coord_review,NGC2841,46.0,0.2313387107923883,Bizyaev_2014,1,0.35,3.3394044978638715,3.215230853415098,0.12417364444877332,0.5942576537835488,0.14791524524525165,0.85,0.630276555455941,0.47044546257310516,0.9408909251462103,0.5,0.07817410433689503,0.037279690715400216,285.7342395169144,13500.819794168096,14004.126180499037,503.3063863309417,27.265760483085614,32.44736786121575
6.16,314.0,280.233626461922,9.32,NGC2841,-0.53,215.14,179.57,16005.844155844155,NGC2841,NGC2841,Bizyaev_2014,,False,unique_to_2014,PGC26549,,EON_140.660_50.765,PGC26549,PGC26549,140.659882,50.76506,r,5.8,0.14,2.04,0.3,0.3517241379310345,2.8431372549019605,21.01,0.22,0.143,15.32,0.22,SB,8070.0,PGC026549,NED,thick_like,PGC26549,PGC26549,PGC26549,140.659882,50.76506,PGC026549,PGC26549,NED,,True,coord_review,NGC2841,46.0,0.2313387107923883,Bizyaev_2014,1,0.35,3.3394044978638715,3.215230853415098,0.12417364444877332,0.5942576537835488,0.14791524524525165,0.85,0.630276555455941,0.47044546257310516,0.9408909251462103,0.5,0.07817410433689503,0.037279690715400216,285.4093420323143,12748.52035714286,13223.781253136134,475.26089599327497,28.590657967685672,33.76637353807803
6.86,317.0,284.37957257862246,8.47,NGC2841,8.02,227.72,170.15,14648.542274052475,NGC2841,NGC2841,Bizyaev_2014,,False,unique_to_2014,PGC26549,,EON_140.660_50.765,PGC26549,PGC26549,140.659882,50.76506,r,5.8,0.14,2.04,0.3,0.3517241379310345,2.8431372549019605,21.01,0.22,0.143,15.32,0.22,SB,8070.0,PGC026549,NED,thick_like,PGC26549,PGC26549,PGC26549,140.659882,50.76506,PGC026549,PGC26549,NED,,True,coord_review,NGC2841,46.0,0.2313387107923883,Bizyaev_2014,2,0.35,3.289005622239616,3.215230853415098,0.07377476882451761,0.3530638182095704,0.08829916112578569,0.85,0.8134395567664925,0.45501955170185726,0.9100391034037145,0.5,0.13191389063482087,0.02777991096458913,288.30253393417354,11788.88357142857,12116.377707414766,327.49413598619503,28.69746606582646,32.62042742137754
7.18,320.0,285.497386678057,7.63,NGC2841,12.15,231.73,166.32,14261.838440111422,NGC2841,NGC2841,Bizyaev_2014,,False,unique_to_2014,PGC26549,,EON_140.660_50.765,PGC26549,PGC26549,140.659882,50.76506,r,5.8,0.14,2.04,0.3,0.3517241379310345,2.8431372549019605,21.01,0.22,0.143,15.32,0.22,SB,8070.0,PGC026549,NED,thick_like,PGC26549,PGC26549,PGC26549,140.659882,50.76506,PGC026549,PGC26549,NED,,True,coord_review,NGC2841,46.0,0.2313387107923883,Bizyaev_2014,2,0.35,3.289005622239616,3.215230853415098,0.07377476882451761,0.3530638182095704,0.08829916112578569,0.85,0.8134395567664925,0.45501955170185726,0.9100391034037145,0.5,0.13191389063482087,0.02777991096458913,289.43576806351746,11352.19467966574,11667.557637119537,315.3629574537972,30.564231936482543,34.50261332194299
7.51,316.0,286.64103840866886,20.5,NGC2841,16.24,235.48,162.63,13296.404793608524,NGC2841,NGC2841,Bizyaev_2014,,False,unique_to_2014,PGC26549,,EON_140.660_50.765,PGC26549,PGC26549,140.659882,50.76506,r,5.8,0.14,2.04,0.3,0.3517241379310345,2.8431372549019605,21.01,0.22,0.143,15.32,0.22,SB,8070.0,PGC026549,NED,thick_like,PGC26549,PGC26549,PGC26549,140.659882,50.76506,PGC026549,PGC26549,NED,,True,coord_review,NGC2841,46.0,0.2313387107923883,Bizyaev_2014,2,0.35,3.289005622239616,3.215230853415098,0.07377476882451761,0.3530638182095704,0.08829916112578569,0.85,0.8134395567664925,0.45501955170185726,0.9100391034037145,0.5,0.13191389063482087,0.02777991096458913,290.59519624917743,10940.490665778958,11244.416522383215,303.9258566042572,25.404803750822566,29.358961591331138
7.85,318.0,288.61413842707015,23.4,NGC2841,20.27,239.96,159.08,12882.03821656051,NGC2841,NGC2841,Bizyaev_2014,,False,unique_to_2014,PGC26549,,EON_140.660_50.765,PGC26549,PGC26549,140.659882,50.76506,r,5.8,0.14,2.04,0.3,0.3517241379310345,2.8431372549019605,21.01,0.22,0.143,15.32,0.22,SB,8070.0,PGC026549,NED,thick_like,PGC26549,PGC26549,PGC26549,140.659882,50.76506,PGC026549,PGC26549,NED,,True,coord_review,NGC2841,46.0,0.2313387107923883,Bizyaev_2014,2,0.35,3.289005622239616,3.215230853415098,0.07377476882451761,0.3530638182095704,0.08829916112578569,0.85,0.8134395567664925,0.45501955170185726,0.9100391034037145,0.5,0.13191389063482087,0.02777991096458913,292.5955148017816,10611.22559235669,10906.004494537527,294.77890218083667,25.404485198218424,29.385861572929855
8.21,321.0,289.92085747665686,8.48,NGC2841,24.66,243.42,155.54,12550.669914738122,NGC2841,NGC2841,Bizyaev_2014,,False,unique_to_2014,PGC26549,,EON_140.660_50.765,PGC26549,PGC26549,140.659882,50.76506,r,5.8,0.14,2.04,0.3,0.3517241379310345,2.8431372549019605,21.01,0.22,0.143,15.32,0.22,SB,8070.0,PGC026549,NED,thick_like,PGC26549,PGC26549,PGC26549,140.659882,50.76506,PGC026549,PGC26549,NED,,True,coord_review,NGC2841,46.0,0.2313387107923883,Bizyaev_2014,2,0.35,3.289005622239616,3.215230853415098,0.07377476882451761,0.3530638182095704,0.08829916112578569,0.85,0.8134395567664925,0.45501955170185726,0.9100391034037145,0.5,0.13191389063482087,0.02777991096458913,293.920259788631,10238.015054811203,10522.426201487979,284.4111466767754,27.079740211369028,31.079142523343137
