galaxy_id,source,radius_kpc,v_obs_kms,v_err_kms,v_gas_kms,v_disk_kms,v_bulge_kms,v_bar_kms
IC2574,SPARC,0.85,10.3,0.2,0,9.59,0,9.59
IC2574,SPARC,1.14,12.9,2.7,0,11.99,0,11.99
IC2574,SPARC,1.42,16.4,1.8,0.94,13.83,0,13.86190824
IC2574,SPARC,1.71,18.6,2.1,3.44,15.27,0,15.65268348
IC2574,SPARC,1.99,19.8,2,5.14,16.76,0,17.53046491
IC2574,SPARC,2.28,26.1,0.6,5.82,17.77,0,18.69880477
IC2574,SPARC,2.55,27.7,2.7,6.87,18.7,0,19.92202048
IC2574,SPARC,2.84,29.7,2.6,7.58,19.36,0,20.79100767
IC2574,SPARC,3.13,33,3.4,8.21,19.89,0,21.51781123
IC2574,SPARC,3.41,34.8,1.2,8.78,20.19,0,22.01645975
IC2574,SPARC,3.7,35,0.9,8.64,20.15,0,21.92423545
IC2574,SPARC,3.98,39,10.2,7.98,20.39,0,21.89594711
IC2574,SPARC,4.26,35.9,5.4,7.97,21.28,0,22.72354066
IC2574,SPARC,4.55,40,4.1,10.01,22.72,0,24.82737401
IC2574,SPARC,4.84,38.7,1.4,11.42,24.6,0,27.12151176
IC2574,SPARC,5.12,41.8,0.5,12.67,25.34,0,28.33098127
IC2574,SPARC,5.41,42.9,0.4,13.13,25.74,0,28.89540621
IC2574,SPARC,5.68,44.4,1.7,13.93,26.48,0,29.92048295
IC2574,SPARC,5.97,46.1,1.3,14.5,27.15,0,30.77941682
IC2574,SPARC,6.26,49,0.9,15.98,27.39,0,31.71076316
IC2574,SPARC,6.54,51.9,0.6,17.58,27.31,0,32.47910867
IC2574,SPARC,6.83,53.1,2.1,18.38,26.75,0,32.45592242
IC2574,SPARC,7.1,54,0.5,19.29,26.25,0,32.57555218
IC2574,SPARC,7.39,55.9,1.1,19.86,26.04,0,32.74906411
IC2574,SPARC,7.68,58.8,3.6,21.01,25.86,0,33.31905911
IC2574,SPARC,7.96,57.3,4.6,21.81,25.77,0,33.76046504
IC2574,SPARC,8.25,54,9,22.49,25.57,0,34.0532671
IC2574,SPARC,8.52,63.8,12,22.38,25.47,0,33.90553495
IC2574,SPARC,8.81,60.5,6.2,22.6,25.41,0,34.00629501
IC2574,SPARC,9.1,61,5.7,22.95,25.38,0,34.21764019
IC2574,SPARC,9.38,66,1.3,23.63,25.51,0,34.7726473
IC2574,SPARC,9.67,65.2,3.4,24.89,25.74,0,35.80586125
IC2574,SPARC,9.96,67.1,4.7,25.8,24.84,0,35.81432116
IC2574,SPARC,10.23,67.5,9.3,27.17,23.97,0,36.23216527
