galaxy_id,source,radius_kpc,v_obs_kms,v_err_kms,v_gas_kms,v_disk_kms,v_bulge_kms,v_bar_kms
NGC4183,SPARC,0.87,47.1,8.2,2.5,39.16,0,39.23971967
NGC4183,SPARC,1.74,65.9,6.6,5.78,48.78,0,49.12124591
NGC4183,SPARC,2.61,76.1,5.6,11.64,56.83,0,58.00981382
NGC4183,SPARC,3.5,85.7,5.6,13.9,59.49,0,61.09230803
NGC4183,SPARC,4.37,96.6,5.2,17.89,65.42,0,67.8220355
NGC4183,SPARC,5.24,99.3,5.2,23.49,68.37,0,72.29271748
NGC4183,SPARC,6.11,103,5.2,25.97,71.96,0,76.50282675
NGC4183,SPARC,6.98,107,5.2,27.48,75.74,0,80.57107421
NGC4183,SPARC,7.85,111,5.2,31.47,78.27,0,84.35966927
NGC4183,SPARC,8.72,114,6.1,35.45,80.37,0,87.84098929
NGC4183,SPARC,9.6,115,6.1,36.42,78.73,0,86.74577396
NGC4183,SPARC,10.47,111,5.6,37.82,74.74,0,83.76407344
NGC4183,SPARC,11.35,110,5.6,41.81,70.87,0,82.28385625
NGC4183,SPARC,12.31,111,5.2,40.2,67.15,0,78.26341738
NGC4183,SPARC,13.12,109,4.8,38.58,64.51,0,75.16619253
NGC4183,SPARC,14.05,108,4.4,38.15,61.97,0,72.77158374
NGC4183,SPARC,14.98,109,5.2,39.01,59.84,0,71.4325255
NGC4183,SPARC,16.03,111,5.3,38.26,57.82,0,69.33238781
NGC4183,SPARC,16.95,110,4.9,36.53,56.23,0,67.05411099
NGC4183,SPARC,17.88,109,4.9,37.39,54.53,0,66.11756953
NGC4183,SPARC,18.93,110,5.3,36.86,52.76,0,64.36052517
NGC4183,SPARC,19.97,112,10.2,35.67,51.32,0,62.49873039
NGC4183,SPARC,21.02,113,11.5,35.35,49.87,0,61.12805739
