galaxy_id,source,radius_kpc,v_obs_kms,v_err_kms,v_gas_kms,v_disk_kms,v_bulge_kms,v_bar_kms
UGC01281,SPARC,0.08,1.41,4,-5.85,1.5,0,1.5
UGC01281,SPARC,0.23,4.46,4,-5.85,3.55,0,3.55
UGC01281,SPARC,0.38,7.71,4,-0.98,5.31,0,5.31
UGC01281,SPARC,0.54,11,4,-2.22,8.22,0,8.22
UGC01281,SPARC,0.69,14.2,4,-3.47,10.22,0,10.22
UGC01281,SPARC,0.84,17.2,5.78,-4.43,12.07,0,12.07
UGC01281,SPARC,1,20.2,4.74,-5.15,13.91,0,13.91
UGC01281,SPARC,1.15,23.2,4,-5.85,15.41,0,15.41
UGC01281,SPARC,1.3,26.4,7.13,-1.76,16.74,0,16.74
UGC01281,SPARC,1.46,29.3,4.38,2.33,17.86,0,18.01134365
UGC01281,SPARC,1.61,31.6,4.94,5.46,18.77,0,19.54800501
UGC01281,SPARC,1.76,34.6,4,7.63,19.16,0,20.62334842
UGC01281,SPARC,1.92,37.4,7.09,9.79,19.52,0,21.83745635
UGC01281,SPARC,2.07,39.9,4,11.26,19.66,0,22.65619562
UGC01281,SPARC,2.22,42.2,4.37,12.73,19.81,0,23.54759011
UGC01281,SPARC,2.38,44.4,4.58,13.9,19.88,0,24.25746071
UGC01281,SPARC,2.53,46.7,5.91,14.68,20.02,0,24.82544662
UGC01281,SPARC,2.68,48.5,7.72,15.47,19.97,0,25.26107282
UGC01281,SPARC,2.76,49.3,9.73,15.76,19.92,0,25.40047244
UGC01281,SPARC,3.07,53,4,16.84,19.61,0,25.84835972
UGC01281,SPARC,3.46,54.1,4,18.3,19.28,0,26.58210676
UGC01281,SPARC,3.83,55,4,18.5,18.95,0,26.48306062
UGC01281,SPARC,4.23,55.7,4,18.21,18.54,0,25.98722186
UGC01281,SPARC,4.62,56.4,4,19.58,18.33,0,26.82098619
UGC01281,SPARC,4.99,56.9,4,20.46,18.23,0,27.40336658
