galaxy,r_kpc,v_obs_kmps,v_err_kmps,v_gas_kmps,v_disk_kmps,v_bul_kmps,a_obs_kmps2_per_kpc
NGC2915,0.34,13.5,10.1,4.08,44.78,0.0,536.0294117647059
NGC2915,0.67,31.3,12.5,7.65,48.88,0.0,1462.2238805970148
NGC2915,1.0,35.3,13.4,10.36,46.82,0.0,1246.0899999999997
NGC2915,1.34,50.5,9.38,11.92,43.88,0.0,1903.1716417910447
NGC2915,1.68,61.0,10.1,12.33,40.74,0.0,2214.8809523809523
NGC2915,2.01,66.5,11.9,12.44,38.01,0.0,2200.124378109453
NGC2915,2.34,74.4,11.6,12.54,35.66,0.0,2365.538461538462
NGC2915,2.67,83.0,9.17,12.44,33.66,0.0,2580.1498127340824
NGC2915,3.01,86.4,7.66,12.13,31.74,0.0,2480.05315614618
NGC2915,3.35,83.6,8.18,12.02,29.95,0.0,2086.25671641791
NGC2915,3.68,79.8,7.93,12.54,28.46,0.0,1730.445652173913
NGC2915,4.02,82.8,6.95,13.47,27.13,0.0,1705.4328358208954
NGC2915,4.35,83.5,7.19,14.61,25.93,0.0,1602.816091954023
NGC2915,4.68,80.4,7.85,15.44,24.93,0.0,1381.2307692307695
NGC2915,5.02,80.3,7.57,15.86,24.0,0.0,1284.480079681275
NGC2915,5.35,82.1,7.92,15.86,23.2,0.0,1259.889719626168
NGC2915,5.69,82.4,8.33,15.65,22.42,0.0,1193.279437609842
NGC2915,6.03,80.9,7.88,15.44,21.74,0.0,1085.3747927031511
NGC2915,6.36,79.0,6.15,15.65,21.15,0.0,981.2893081761006
NGC2915,6.69,81.4,6.11,16.27,20.57,0.0,990.4275037369208
NGC2915,7.02,79.7,5.59,17.1,20.07,0.0,904.8561253561254
NGC2915,7.36,77.5,6.33,17.83,19.59,0.0,816.0665760869565
NGC2915,7.7,79.9,6.41,17.93,19.12,0.0,829.0922077922079
NGC2915,8.03,81.5,7.86,18.24,18.72,0.0,827.1793275217933
NGC2915,8.37,82.2,7.82,18.65,18.33,0.0,807.2688172043012
NGC2915,8.7,82.0,7.09,18.97,17.95,0.0,772.8735632183908
NGC2915,9.03,84.7,5.74,19.38,17.62,0.0,794.4728682170544
NGC2915,9.37,86.1,5.54,19.59,17.3,0.0,791.1643543223053
NGC2915,9.7,85.3,5.23,19.9,16.98,0.0,750.1123711340206
NGC2915,10.04,86.5,6.45,19.9,16.69,0.0,745.2440239043825
