galaxy,r_kpc,v_obs_kmps,v_err_kmps,v_gas_kmps,v_disk_kmps,v_bul_kmps,a_obs_kmps2_per_kpc
NGC0055,1.23,28.7,3.4,13.65,27.5,0.0,669.6666666666666
NGC0055,1.84,37.6,2.6,18.65,32.63,0.0,768.3478260869566
NGC0055,2.46,43.1,1.2,21.85,36.38,0.0,755.1260162601627
NGC0055,3.07,50.1,2.8,25.04,38.7,0.0,817.5928338762216
NGC0055,3.68,58.1,4.5,28.73,39.68,0.0,917.2853260869565
NGC0055,4.3,64.6,4.1,32.28,39.98,0.0,970.5023255813951
NGC0055,4.91,68.5,2.7,34.59,39.99,0.0,955.6517311608961
NGC0055,5.52,72.3,0.8,36.37,39.87,0.0,946.9728260869566
NGC0055,6.14,74.2,2.4,37.73,39.71,0.0,896.684039087948
NGC0055,6.75,78.9,2.6,38.68,39.75,0.0,922.2533333333334
NGC0055,7.37,82.4,2.3,39.3,40.35,0.0,921.2700135685212
NGC0055,7.98,84.3,4.8,39.72,41.04,0.0,890.5375939849623
NGC0055,8.59,85.4,7.3,40.39,41.57,0.0,849.0291036088475
NGC0055,9.21,85.3,4.6,40.44,42.03,0.0,790.0206297502713
NGC0055,9.82,86.8,4.0,39.94,42.44,0.0,767.234215885947
NGC0055,10.43,85.4,5.7,39.15,42.87,0.0,699.2483221476512
NGC0055,11.05,85.4,7.0,37.71,43.32,0.0,660.0144796380091
NGC0055,11.66,86.2,4.1,36.23,43.95,0.0,637.2590051457977
NGC0055,12.28,86.1,6.2,35.41,44.71,0.0,603.6815960912052
NGC0055,12.89,87.4,2.5,34.67,45.88,0.0,592.6113266097751
NGC0055,13.5,86.5,5.5,33.61,48.0,0.0,554.2407407407408
