galaxy,r_kpc,v_obs_kmps,v_err_kmps,v_gas_kmps,v_disk_kmps,v_bul_kmps,a_obs_kmps2_per_kpc
UGC06983,1.74,56.9,6.6,0.0,57.53,0.0,1860.6954022988505
UGC06983,2.61,87.4,4.8,0.0,63.17,0.0,2926.7279693486594
UGC06983,3.5,92.1,5.7,0.0,61.1,0.0,2423.5457142857144
UGC06983,4.37,93.5,5.2,8.69,59.01,0.0,2000.5148741418764
UGC06983,5.24,98.2,4.4,16.6,57.64,0.0,1840.3129770992366
UGC06983,6.11,99.7,4.4,18.86,56.44,0.0,1626.8559738134206
UGC06983,6.98,102.0,3.5,23.82,56.03,0.0,1490.5444126074497
UGC06983,7.85,107.0,4.4,29.74,55.57,0.0,1458.471337579618
UGC06983,8.72,108.0,4.4,30.17,54.32,0.0,1337.6146788990825
UGC06983,9.6,110.0,4.4,31.9,52.55,0.0,1260.4166666666667
UGC06983,10.47,113.0,4.4,35.89,51.23,0.0,1219.5797516714422
UGC06983,11.35,110.0,5.2,38.26,49.57,0.0,1066.079295154185
UGC06983,12.19,108.0,5.7,39.33,47.76,0.0,956.8498769483183
UGC06983,13.12,109.0,8.6,40.63,45.68,0.0,905.564024390244
UGC06983,13.94,108.0,9.8,40.95,43.38,0.0,836.7288378766141
UGC06983,14.86,108.0,9.8,40.63,41.42,0.0,784.9259757738897
UGC06983,15.68,109.0,12.3,40.09,39.99,0.0,757.7168367346939
