galaxy,r_kpc,v_obs_kmps,v_err_kmps,v_gas_kmps,v_disk_kmps,v_bul_kmps,a_obs_kmps2_per_kpc
UGC02487,9.93,377.0,10.3,-13.26,255.96,207.88,14313.091641490433
UGC02487,10.05,377.0,19.7,-13.37,257.66,206.72,14142.189054726367
UGC02487,10.35,378.0,10.8,-13.47,261.62,204.38,13805.217391304348
UGC02487,15.07,367.0,10.7,-11.85,272.35,172.87,8937.558062375581
UGC02487,20.09,364.0,6.67,13.97,269.96,151.39,6595.121951219512
UGC02487,25.12,375.0,6.19,27.34,262.34,134.72,5598.12898089172
UGC02487,30.14,383.0,3.82,34.12,253.37,123.32,4866.92103516921
UGC02487,35.17,378.0,2.21,36.15,235.34,114.11,4062.6670457776513
UGC02487,40.19,364.0,4.0,36.15,219.18,106.71,3296.7404827071414
UGC02487,45.21,349.0,3.0,35.84,206.41,100.63,2694.116345941163
UGC02487,50.24,338.0,3.08,37.87,194.11,95.47,2273.9649681528663
UGC02487,55.26,332.0,2.19,41.62,183.23,91.03,1994.6435034382919
UGC02487,60.28,330.0,1.61,44.55,174.98,87.16,1806.5693430656934
UGC02487,65.31,329.0,2.2,46.17,166.27,83.74,1657.341907824223
UGC02487,70.33,330.0,3.53,46.48,159.17,80.69,1548.4146168064838
UGC02487,75.35,332.0,13.4,44.86,152.96,77.96,1462.8268082282682
UGC02487,80.38,333.0,15.3,42.32,147.51,75.48,1379.5595919382931
