galaxy,r_kpc,v_obs_kmps,v_err_kmps,v_gas_kmps,v_disk_kmps,v_bul_kmps,a_obs_kmps2_per_kpc
F583-1,0.26,14.6,13.0,-0.5,5.06,0.0,819.8461538461538
F583-1,0.44,10.0,7.0,-0.86,8.17,0.0,227.27272727272728
F583-1,0.77,10.7,7.13,-1.55,13.14,0.0,148.68831168831167
F583-1,0.89,17.4,9.6,-1.78,14.55,0.0,340.1797752808988
F583-1,1.22,23.5,11.2,-2.43,17.29,0.0,452.6639344262295
F583-1,1.55,31.0,5.2,-2.98,18.37,0.0,620.0
F583-1,1.8,32.3,2.41,-3.18,18.25,0.0,579.6055555555554
F583-1,2.21,40.9,5.9,-3.53,19.06,0.0,756.9276018099547
F583-1,2.31,43.8,4.26,-3.66,19.39,0.0,830.4935064935064
F583-1,2.54,44.8,4.5,-4.08,20.16,0.0,790.1732283464565
F583-1,3.1,51.7,12.7,-5.16,22.16,0.0,862.2225806451613
F583-1,3.43,55.7,4.5,-4.94,23.71,0.0,904.5160349854227
F583-1,3.86,59.4,9.85,-3.07,24.94,0.0,914.0829015544041
F583-1,4.09,62.0,4.5,1.31,25.34,0.0,939.8533007334963
F583-1,4.37,63.0,3.2,4.42,25.74,0.0,908.2379862700228
F583-1,4.76,66.6,6.9,7.13,26.09,0.0,931.8403361344538
F583-1,5.4,71.3,2.95,11.25,26.17,0.0,941.4240740740739
F583-1,5.86,72.3,15.5,13.88,25.92,0.0,892.0290102389077
F583-1,6.08,73.4,6.0,14.94,25.73,0.0,886.1118421052632
F583-1,6.43,72.4,5.81,16.72,25.39,0.0,815.2037325038882
F583-1,6.97,77.1,12.1,19.67,24.74,0.0,852.8565279770444
F583-1,7.96,80.3,13.5,24.09,23.76,0.0,810.0615577889446
F583-1,10.29,84.7,6.0,31.66,22.09,0.0,697.1904761904763
F583-1,15.49,86.9,5.6,39.34,17.78,0.0,487.5151710781149
F583-1,16.26,85.8,8.6,39.55,17.09,0.0,452.74538745387446
