galaxy,r_kpc,v_obs_kmps,v_err_kmps,v_gas_kmps,v_disk_kmps,v_bul_kmps,a_obs_kmps2_per_kpc
NGC4157,1.74,96.4,12.1,5.73,129.95,70.64,5340.781609195403
NGC4157,3.5,157.0,10.5,16.49,217.21,49.8,7042.571428571428
NGC4157,5.24,192.0,8.4,21.44,237.63,40.7,7035.114503816793
NGC4157,6.98,201.0,6.9,24.35,246.25,35.27,5788.108882521489
NGC4157,8.72,201.0,7.3,30.5,251.02,31.55,4633.142201834862
NGC4157,10.47,194.0,6.4,41.92,230.73,28.8,3594.6513849092644
NGC4157,12.19,190.0,6.0,51.62,208.57,26.69,2961.4438063986877
NGC4157,13.94,186.0,6.4,50.11,192.8,24.96,2481.7790530846487
NGC4157,15.68,184.0,6.4,48.39,179.28,23.53,2159.183673469388
NGC4157,17.42,182.0,7.3,52.05,169.24,22.32,1901.4925373134326
NGC4157,19.16,181.0,6.6,50.54,160.07,21.29,1709.8643006263048
NGC4157,20.9,183.0,6.5,48.06,151.49,20.38,1602.3444976076555
NGC4157,22.65,185.0,6.5,52.27,145.0,19.58,1511.037527593819
NGC4157,24.39,186.0,9.1,50.33,138.91,18.87,1418.450184501845
NGC4157,26.13,186.0,11.4,47.42,133.62,18.23,1323.9954075774972
NGC4157,27.87,184.0,13.6,44.83,128.95,17.65,1214.782920703265
NGC4157,29.61,185.0,13.6,43.0,124.77,17.12,1155.8595069233368
