galaxy,r_kpc,v_obs_kmps,v_err_kmps,v_gas_kmps,v_disk_kmps,v_bul_kmps,a_obs_kmps2_per_kpc
NGC1090,0.35,20.9,9.81,-0.82,48.76,0.0,1248.0285714285712
NGC1090,1.07,61.7,8.19,-2.5,98.26,0.0,3557.841121495327
NGC1090,1.6,81.3,4.32,-3.73,114.22,0.0,4131.05625
NGC1090,3.7,124.0,3.41,-7.4,144.04,0.0,4155.675675675676
NGC1090,5.09,156.0,7.02,-9.39,154.24,0.0,4781.139489194499
NGC1090,6.61,166.0,6.34,-10.89,166.19,0.0,4168.835098335854
NGC1090,8.17,165.0,12.1,-5.79,171.87,0.0,3332.313341493268
NGC1090,9.11,174.0,4.84,9.64,169.05,0.0,3323.3809001097698
NGC1090,10.37,164.0,5.86,17.85,166.21,0.0,2593.6354869816782
NGC1090,11.28,176.0,7.35,22.68,167.76,0.0,2746.099290780142
NGC1090,13.62,174.0,3.28,31.86,164.88,0.0,2222.9074889867843
NGC1090,15.04,168.0,2.23,35.59,159.31,0.0,1876.595744680851
NGC1090,16.37,166.0,2.23,38.11,153.0,0.0,1683.3231521075136
NGC1090,17.59,167.0,4.59,40.13,146.12,0.0,1585.5031267765776
NGC1090,18.8,167.0,5.3,41.74,140.2,0.0,1483.4574468085107
NGC1090,20.13,165.0,3.48,42.85,134.43,0.0,1352.4590163934427
NGC1090,21.35,165.0,3.12,43.55,129.7,0.0,1275.1756440281029
NGC1090,22.57,165.0,2.39,44.16,125.69,0.0,1206.2472308373947
NGC1090,23.89,165.0,2.23,45.07,121.68,0.0,1139.5981582251989
NGC1090,25.11,163.0,2.23,46.68,118.15,0.0,1058.10434090004
NGC1090,26.33,162.0,2.23,48.39,114.89,0.0,996.7337637675656
NGC1090,27.65,162.0,2.23,50.01,111.67,0.0,949.1500904159133
NGC1090,28.87,162.0,2.23,51.42,108.99,0.0,909.0405264980949
NGC1090,30.09,160.0,2.23,52.53,106.1,0.0,850.7809903622466
