galaxy,r_kpc,v_obs_kmps,v_err_kmps,v_gas_kmps,v_disk_kmps,v_bul_kmps,a_obs_kmps2_per_kpc
NGC4183,0.87,47.1,8.2,2.5,39.16,0.0,2549.896551724138
NGC4183,1.74,65.9,6.6,5.78,48.78,0.0,2495.8678160919544
NGC4183,2.61,76.1,5.6,11.64,56.83,0.0,2218.8544061302678
NGC4183,3.5,85.7,5.6,13.9,59.49,0.0,2098.4257142857145
NGC4183,4.37,96.6,5.2,17.89,65.42,0.0,2135.368421052631
NGC4183,5.24,99.3,5.2,23.49,68.37,0.0,1881.7729007633586
NGC4183,6.11,103.0,5.2,25.97,71.96,0.0,1736.3338788870703
NGC4183,6.98,107.0,5.2,27.48,75.74,0.0,1640.2578796561604
NGC4183,7.85,111.0,5.2,31.47,78.27,0.0,1569.5541401273886
NGC4183,8.72,114.0,6.1,35.45,80.37,0.0,1490.366972477064
NGC4183,9.6,115.0,6.1,36.42,78.73,0.0,1377.6041666666667
NGC4183,10.47,111.0,5.6,37.82,74.74,0.0,1176.7908309455586
NGC4183,11.35,110.0,5.6,41.81,70.87,0.0,1066.079295154185
NGC4183,12.31,111.0,5.2,40.2,67.15,0.0,1000.8935824532899
NGC4183,13.12,109.0,4.8,38.58,64.51,0.0,905.564024390244
NGC4183,14.05,108.0,4.4,38.15,61.97,0.0,830.1779359430604
NGC4183,14.98,109.0,5.2,39.01,59.84,0.0,793.1241655540721
NGC4183,16.03,111.0,5.3,38.26,57.82,0.0,768.6213349968808
NGC4183,16.95,110.0,4.9,36.53,56.23,0.0,713.8643067846608
NGC4183,17.88,109.0,4.9,37.39,54.53,0.0,664.4854586129754
NGC4183,18.93,110.0,5.3,36.86,52.76,0.0,639.1970417326994
NGC4183,19.97,112.0,10.2,35.67,51.32,0.0,628.14221331998
NGC4183,21.02,113.0,11.5,35.35,49.87,0.0,607.4690770694576
