galaxy,r_kpc,v_obs_kmps,v_err_kmps,v_gas_kmps,v_disk_kmps,v_bul_kmps,a_obs_kmps2_per_kpc
ESO116-G012,0.25,20.9,3.4,-0.22,17.33,0.0,1747.2399999999998
ESO116-G012,0.83,40.0,3.29,-1.8,34.96,0.0,1927.710843373494
ESO116-G012,1.38,51.5,2.96,-1.55,51.34,0.0,1921.9202898550727
ESO116-G012,1.85,67.9,3.45,5.01,61.73,0.0,2492.1135135135137
ESO116-G012,2.68,80.2,2.93,12.54,60.49,0.0,2400.0149253731347
ESO116-G012,3.19,83.3,3.08,16.68,63.17,0.0,2175.2006269592475
ESO116-G012,3.68,91.4,2.83,20.19,65.14,0.0,2270.0978260869565
ESO116-G012,4.13,102.0,5.4,22.31,66.32,0.0,2519.128329297821
ESO116-G012,5.23,105.0,4.21,25.63,64.52,0.0,2108.0305927342256
ESO116-G012,6.05,109.0,2.1,27.28,60.09,0.0,1963.801652892562
ESO116-G012,6.81,108.0,2.1,28.58,55.74,0.0,1712.775330396476
ESO116-G012,7.56,109.0,2.1,30.7,53.61,0.0,1571.5608465608466
ESO116-G012,8.32,110.0,2.1,33.83,51.18,0.0,1454.326923076923
ESO116-G012,9.09,111.0,2.33,35.49,49.08,0.0,1355.4455445544554
ESO116-G012,9.86,112.0,4.74,33.74,46.34,0.0,1272.210953346856
