galaxy,r_kpc,v_obs_kmps,v_err_kmps,v_gas_kmps,v_disk_kmps,v_bul_kmps,a_obs_kmps2_per_kpc
NGC0801,1.17,123.0,6.2,2.58,183.66,0.0,12930.769230769232
NGC0801,1.56,142.0,6.2,3.43,210.66,0.0,12925.641025641025
NGC0801,1.96,205.0,6.2,4.28,232.37,0.0,21441.326530612245
NGC0801,2.73,228.0,6.2,5.96,264.64,0.0,19041.75824175824
NGC0801,3.52,238.0,6.2,7.61,281.54,0.0,16092.045454545454
NGC0801,10.59,229.0,4.2,23.2,269.17,0.0,4951.935788479698
NGC0801,17.65,225.0,6.9,37.46,243.6,0.0,2868.271954674221
NGC0801,24.61,220.0,4.0,47.21,226.69,0.0,1966.6802112962212
NGC0801,31.67,222.0,2.4,59.26,219.45,0.0,1556.1730344174296
NGC0801,38.74,219.0,4.1,61.77,202.4,0.0,1238.022715539494
NGC0801,45.8,214.0,4.7,58.45,183.36,0.0,999.9126637554585
NGC0801,52.86,216.0,2.6,58.96,169.7,0.0,882.633371169126
NGC0801,59.82,216.0,8.8,66.89,158.21,0.0,779.9398194583752
