galaxy,source_file,beta_mode,beta,r_kpc,v_obs_kmps,v_err_kmps,a_newton,sigma_profile,a_struct,a_total,v_model_kmps,residual_kmps
F579-V1,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\F579-V1_normalized.csv,structural,780.6208149807635,0.42,35.7,9.1,570.8145238095238,541.5501457725948,1006536.4670141767,1007107.2815379861,650.3730146969154,-614.6730146969154
F579-V1,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\F579-V1_normalized.csv,structural,780.6208149807635,1.47,83.3,9.3,1139.4421768707484,331.3921744193345,175980.7001860328,177120.14236290354,510.2613146942145,-426.9613146942145
F579-V1,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\F579-V1_normalized.csv,structural,780.6208149807635,2.11,94.2,10.4,1130.867298578199,-93.14685471186529,-34460.84058676353,-33329.973288185334,1.4525839046333949e-06,94.1999985474161
F579-V1,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\F579-V1_normalized.csv,structural,780.6208149807635,2.84,97.6,9.1,1011.830985915493,-151.36232122260083,-41604.42906696013,-40592.59808104464,1.6852299546352715e-06,97.59999831477003
F579-V1,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\F579-V1_normalized.csv,structural,780.6208149807635,3.9,101.0,9.1,859.9287435897436,-78.26426529418575,-15665.311425081529,-14805.382681491785,1.97484176581315e-06,100.99999802515823
F579-V1,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\F579-V1_normalized.csv,structural,780.6208149807635,4.74,105.0,16.7,863.12888185654,-9.733370416161087,-1602.968680753865,-739.8397988973251,2.1771541057077243e-06,104.9999978228459
F579-V1,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\F579-V1_normalized.csv,structural,780.6208149807635,5.69,106.0,9.1,842.5060105448152,-35.5048903754741,-4870.976530879659,-4028.4705203348435,2.3853720883753127e-06,105.99999761462792
F579-V1,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\F579-V1_normalized.csv,structural,780.6208149807635,6.32,108.0,11.5,807.031155063291,-52.55686645629708,-6491.611380688255,-5684.580225624964,2.5139610179953073e-06,107.99999748603898
F579-V1,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\F579-V1_normalized.csv,structural,780.6208149807635,7.37,110.0,23.0,754.2104748982362,-59.82730977641277,-6336.83084338805,-5582.620368489814,2.7147743920996455e-06,109.9999972852256
F579-V1,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\F579-V1_normalized.csv,structural,780.6208149807635,8.21,112.0,19.7,693.9575395858708,-57.005132228284424,-5420.145283572419,-4726.187743986548,2.8653097563788805e-06,111.99999713469025
F579-V1,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\F579-V1_normalized.csv,structural,780.6208149807635,9.16,113.0,9.1,652.171288209607,-50.653033951497626,-4316.682603107681,-3664.5113148980736,3.026549190084311e-06,112.9999969734508
F579-V1,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\F579-V1_normalized.csv,structural,780.6208149807635,10.85,114.0,9.1,560.2335299539171,-60.863506908857374,-4378.923536016551,-3818.690006062634,3.293933818400121e-06,113.99999670606618
F579-V1,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\F579-V1_normalized.csv,structural,780.6208149807635,12.21,114.0,9.1,466.537592137592,-51.42905395964137,-3288.009010291966,-2821.471418154374,3.4942810419312296e-06,113.99999650571895
F579-V1,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\F579-V1_normalized.csv,structural,780.6208149807635,15.16,114.0,11.2,338.5743073878628,-43.377384660925166,-2233.594285339411,-1895.019977951548,3.893584466786357e-06,113.99999610641554
