galaxy,source_file,beta_mode,beta,r_kpc,v_obs_kmps,v_err_kmps,a_newton,sigma_profile,a_struct,a_total,v_model_kmps,residual_kmps
NGC5585,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC5585_normalized.csv,structural,1093.1413466299566,0.09,11.2,2.02,1798.897777777778,5859.089994972348,71164594.74589087,71166393.64366865,2530.8052923783325,-2519.6052923783327
NGC5585,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC5585_normalized.csv,structural,1093.1413466299566,0.26,26.5,1.03,2794.943076923077,3269.1488068095473,13744775.880805787,13747570.82388271,1890.6000143365875,-1864.1000143365875
NGC5585,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC5585_normalized.csv,structural,1093.1413466299566,0.43,33.7,1.03,2910.408372093024,-340.6982654600303,-866119.4434871349,-863209.0351150419,6.557438524302001e-07,33.69999934425615
NGC5585,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC5585_normalized.csv,structural,1093.1413466299566,0.6,32.7,1.12,2679.105666666667,-1379.8118659726067,-2513882.3354421477,-2511203.229775481,7.745966692414833e-07,32.69999922540333
NGC5585,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC5585_normalized.csv,structural,1093.1413466299566,0.77,33.7,1.03,2441.2723376623376,-1262.6230496453888,-1792500.598409588,-1790059.3260719257,8.774964387392123e-07,33.69999912250356
NGC5585,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC5585_normalized.csv,structural,1093.1413466299566,0.94,35.7,2.24,2249.8138297872347,-1015.8182162299813,-1181311.5881073214,-1179061.774277534,9.695359714832657e-07,35.699999030464035
NGC5585,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC5585_normalized.csv,structural,1093.1413466299566,1.11,37.8,3.35,2095.894144144144,-1059.3256023153963,-1043236.5904816595,-1041140.6963375154,1.053565375285274e-06,37.79999894643462
NGC5585,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC5585_normalized.csv,structural,1093.1413466299566,1.28,41.8,3.35,1889.6431249999998,-1009.048239629061,-861744.0245958585,-859854.3814708586,1.1313708498984761e-06,41.799998868629146
NGC5585,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC5585_normalized.csv,structural,1093.1413466299566,1.46,43.9,2.14,1742.7272602739727,-735.6681748466258,-550814.5885785226,-549071.8613182486,1.208304597359457e-06,43.8999987916954
NGC5585,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC5585_normalized.csv,structural,1093.1413466299566,1.63,44.9,1.25,1632.159263803681,-520.9308669381095,-349356.48428578884,-347724.32502198516,1.2767145334803705e-06,44.899998723285464
NGC5585,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC5585_normalized.csv,structural,1093.1413466299566,2.05,53.2,1.6,1435.3780487804881,-387.36166989612883,-206556.61339662588,-205121.2353478454,1.4317821063276352e-06,53.19999856821789
NGC5585,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC5585_normalized.csv,structural,1093.1413466299566,2.74,64.3,0.9,1202.1878102189778,-329.4037706128121,-131417.83992433385,-130215.65211411487,1.6552945357246848e-06,64.29999834470546
NGC5585,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC5585_normalized.csv,structural,1093.1413466299566,3.42,73.1,2.4,984.0948830409355,-235.57522155327032,-75297.37278403284,-74313.2779009919,1.849324200890693e-06,73.09999815067579
NGC5585,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC5585_normalized.csv,structural,1093.1413466299566,4.11,76.2,4.4,879.4497566909974,-165.45218745959215,-44005.5053533943,-43126.0555967033,2.0273134932713294e-06,76.1999979726865
NGC5585,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC5585_normalized.csv,structural,1093.1413466299566,4.79,78.4,3.8,757.4253862212943,-184.54481680785682,-42115.56775760319,-41358.142371381895,2.1886068628239286e-06,78.39999781139315
NGC5585,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC5585_normalized.csv,structural,1093.1413466299566,5.48,83.1,3.1,626.6233576642336,-167.32893865806872,-33378.50024358442,-32751.87688592019,2.340939982143925e-06,83.09999765906001
NGC5585,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC5585_normalized.csv,structural,1093.1413466299566,6.16,88.0,3.0,528.1847402597401,-138.57734562310208,-24591.66009851343,-24063.475358253687,2.4819347291981714e-06,87.99999751806527
NGC5585,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC5585_normalized.csv,structural,1093.1413466299566,6.85,89.9,2.4,436.7723941605839,-116.66297284398591,-18617.38966956625,-18180.617275405668,2.61725046566048e-06,89.89999738274955
NGC5585,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC5585_normalized.csv,structural,1093.1413466299566,7.53,90.6,2.8,368.3564674634794,-81.34380204005096,-11808.801235333587,-11440.444767870107,2.7440845468024487e-06,90.59999725591545
NGC5585,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC5585_normalized.csv,structural,1093.1413466299566,8.21,91.6,2.6,326.14482338611447,-57.24314446198369,-7621.784168392934,-7295.639345006819,2.8653097563788805e-06,91.59999713469024
NGC5585,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC5585_normalized.csv,structural,1093.1413466299566,8.9,92.3,1.4,289.93335955056176,-50.05313478126465,-6147.769793015996,-5857.836433465434,2.9832867780352594e-06,92.29999701671322
NGC5585,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC5585_normalized.csv,structural,1093.1413466299566,9.57,90.9,1.0,258.07256008359457,-42.058452990368885,-4804.162376077802,-4546.089815994207,3.093541659651604e-06,90.89999690645834
NGC5585,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC5585_normalized.csv,structural,1093.1413466299566,10.31,89.6,2.7,230.63094083414163,-36.556113697697064,-3875.945621247175,-3645.3146804130333,3.210918871600464e-06,89.59999678908112
NGC5585,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC5585_normalized.csv,structural,1093.1413466299566,10.96,89.4,2.7,207.25956204379563,-35.95596736976306,-3586.2184844859094,-3378.958922442114,3.3105890714493696e-06,89.39999668941094
